case	locus_id	annotation	disposition	membership_role	fresh_family	rna_degree	dna_degree	both_layer_degree	rna_only_degree	dna_only_degree
GOLGA6_8	L~chr15_18484393_18487719	.	KEEP_RNA_CANDIDATE	CANDIDATE_MEMBER	GWFAM16	10	11	10	0	1
GOLGA6_8	L~chr15_20096768_20102630	.	KEEP_RNA_CANDIDATE	CANDIDATE_MEMBER	GWFAM16	10	13	10	0	3
GOLGA6_8	L~chr15_20279485_20289994	.	KEEP_RNA_CANDIDATE	CANDIDATE_MEMBER	GWFAM16	7	9	6	1	3
GOLGA6_8	L~chr15_20841196_20854572	.	KEEP_RNA_CANDIDATE	CANDIDATE_MEMBER	GWFAM16	14	12	10	4	2
GOLGA6_8	L~chr15_20972619_20985986	LOC124907502	KEEP_RNA_CANDIDATE	CANDIDATE_MEMBER	GWFAM16	14	12	10	4	2
GOLGA6_8	L~chr15_21175968_21180517	GOLGA6L2	KEEP_KNOWN	FAMILY_MEMBER	GWFAM16	1	2	1	0	1
GOLGA6_8	L~chr15_26121347_26134747	GOLGA8F	KEEP_KNOWN	FAMILY_MEMBER	GWFAM16	14	12	10	4	2
GOLGA6_8	L~chr15_26296281_26309739	GOLGA8G	KEEP_KNOWN	FAMILY_MEMBER	GWFAM16	14	12	10	4	2
GOLGA6_8	L~chr15_27926395_27929106	GOLGA8T	KEEP_KNOWN	FAMILY_MEMBER	GWFAM16	2	13	2	0	11
GOLGA6_8	L~chr15_30241447_30252178	GOLGA8O	KEEP_KNOWN	FAMILY_MEMBER	GWFAM16	7	9	7	0	2
GOLGA6_8	L~chr15_32184800_32193680	GOLGA8A	KEEP_KNOWN	FAMILY_MEMBER	GWFAM16	10	10	9	1	1
GOLGA6_8	L~chr15_32330973_32333374	GOLGA8B	KEEP_KNOWN	FAMILY_MEMBER	GWFAM17	0	11	0	0	11
GOLGA6_8	L~chr15_73646286_73657758	.	KEEP_RNA_CANDIDATE	CANDIDATE_MEMBER	GWFAM16	6	8	6	0	2
GOLGA6_8	L~chr15_80204134_80213595	GOLGA6L10	KEEP_KNOWN	FAMILY_MEMBER	GWFAM16	9	7	5	4	2
GOLGA6_8	L~chr15_80293456_80303275	GOLGA6L9	KEEP_KNOWN	FAMILY_MEMBER	GWFAM16	11	7	6	5	1
GOLGA6_8	L~chr15_82101756_82111482	GOLGA6L4	KEEP_KNOWN	FAMILY_MEMBER	GWFAM16	9	7	5	4	2
GOLGA6_8	L~chr15_82259345_82265184	.	KEEP_RNA_CANDIDATE	CANDIDATE_MEMBER	GWFAM16	9	10	9	0	1
GOLGA6_8	L~chr5_7237265_7244593	.	KEEP_RNA_CANDIDATE	CANDIDATE_MEMBER	GWFAM18	0	2	0	0	2
GOLGA6_8	L~chr9_140463642_140483173	GOLGA2,SWI5	REVIEW_RELATED_OUTGROUP	CONTEXT_OUTGROUP	GWFAM16	5	1	0	5	1
