family	gene	rna_bucket	rna_found	dna_linked98	best_sib_id
ID_35	AL669831.1	FOUND:protein-tail	True	True	0.985
ID_393	MST1L	FOUND:rna-split	True	True	0.984
ID_393	MST1P2	FOUND:rna-split	True	True	0.984
ID_131	AMY2A	FOUND:rna-split	True	True	0.994
ID_131	AMY1A	FOUND:rna-split	True	True	0.999
ID_131	AC105272.1	MISS:mischain	False	True	1.0
ID_131	AMY1B	FOUND:rna-split	True	True	1.0
ID_131	AMYP1	FOUND:protein-tail	True	True	0.994
ID_131	AMY1C	FOUND:rna-split	True	True	1.0
ID_400	NOTCH2	FOUND:rna-split	True	True	0.984
ID_448	SEC22B	FOUND:rna-split	True	True	0.987
ID_215	AC244669.2	MISS:not-expressed	False	True	0.995
ID_212	AC244669.1	FOUND:rna-split	True	True	0.986
ID_215	AC241952.1	FOUND:rna-split	True	True	0.995
ID_400	NOTCH2NLR	FOUND:projection	True	True	1.0
ID_400	NBPF26	FOUND:rna-split	True	True	1.0
ID_431	PPIAL4A	MISS:not-expressed	False	True	0.988
ID_212	AC241377.4	FOUND:rna-split	True	True	0.986
ID_211	AC241377.2	FOUND:rna-split	True	True	0.992
ID_357	FCGR1B	FOUND:rna-split	True	True	0.986
ID_226	H2BP1	FOUND:rna-split	True	True	0.99
ID_226	H3P4	MISS:collapse-K0	False	False	0.974
ID_354	FAM72B	FOUND:rna-split	True	True	0.994
ID_462	SRGAP2C	FOUND:rna-split	True	True	0.991
ID_24	AC239859.5	FOUND:expr-collapse	True	True	0.995
ID_22	AC239859.4	FOUND:rna-split	True	True	0.996
ID_212	AC239800.1	FOUND:projection	True	False	0.848
ID_211	AC239798.1	FOUND:projection	True	True	0.993
ID_357	FCGR1CP	FOUND:rna-split	True	True	0.988
ID_226	H3-2	FOUND:rna-split	True	True	0.99
ID_354	FAM72C	FOUND:rna-split	True	True	0.996
ID_462	SRGAP2D	FOUND:rna-split	True	True	0.995
ID_431	PPIAL4F	MISS:not-expressed	False	True	1.0
ID_213	AC246785.1	MISS:not-expressed	False	True	0.993
ID_431	PPIAL4E	MISS:not-expressed	False	True	1.0
ID_22	FP700107.1	FOUND:rna-split	True	True	0.996
ID_462	SRGAP2B	FOUND:rna-split	True	True	0.995
ID_354	FAM72D	FOUND:rna-split	True	True	0.996
ID_211	AC241585.3	FOUND:rna-split	True	False	0.97
ID_431	PPIAL4D	FOUND:rna-split	True	True	0.998
ID_215	AC239860.2	FOUND:rna-split	True	True	0.999
ID_215	AC239860.1	FOUND:rna-split	True	False	0.978
ID_400	NOTCH2NLA	FOUND:rna-split	True	True	0.997
ID_448	SEC22B3P	FOUND:rna-split	True	True	0.999
ID_215	PDE4DIP	FOUND:rna-split	True	True	0.997
ID_213	AC239804.2	FOUND:rna-split	True	True	0.993
ID_215	AC245297.1	FOUND:rna-split	True	True	0.997
