family_id	gene_id	chrom	start	end	strand
GOLGA	gene-GOLGA1	NC_073237.2	121243067	121307528	-
GOLGA	gene-GOLGA2	NC_073237.2	124641301	124661634	-
GOLGA	gene-GOLGA3	NC_073234.2	148263352	148325793	-
GOLGA	gene-GOLGA4	NC_086017.1	47145197	47269032	+
GOLGA	gene-GOLGA5	NC_073239.2	109733513	109779147	+
GOLGA	gene-GOLGA6L10	NC_073240.2	83999064	84007244	+
GOLGA	gene-GOLGA6L7	NC_073240.2	29848078	29854543	-
GOLGA	gene-GOLGA7	NC_073231.2	79959251	79978885	-
GOLGA	gene-GOLGB1	NC_086017.1	132524091	132611987	-
GOLGA	gene-GORAB	NC_073224.2	86208243	86229946	-
GOLGA	gene-LOC101131916	NC_073240.2	63010905	63023959	-
GOLGA	gene-LOC101133389	NC_073240.2	73504636	73517829	+
GOLGA	gene-LOC101137218	NC_073243.2	104871356	104877901	+
GOLGA	gene-LOC101138059	NC_073240.2	23429566	23433726	+
GOLGA	gene-LOC101138066	NC_073240.2	86386260	86469536	-
GOLGA	gene-LOC101139171	NC_073240.2	79622435	79634519	+
GOLGA	gene-LOC101140620	NC_073240.2	103035900	103037217	-
GOLGA	gene-LOC101140842	NC_073234.2	115589198	115593546	-
GOLGA	gene-LOC101146184	NC_073230.2	75253705	75254196	-
GOLGA	gene-LOC101149363	NC_073240.2	35224653	35235966	-
GOLGA	gene-LOC101150678	NC_073240.2	23542201	23556026	+
GOLGA	gene-LOC101151050	NC_073240.2	29713304	29727669	-
GOLGA	gene-LOC101153208	NC_073240.2	24972369	24996612	-
GOLGA	gene-LOC101153918	NC_073240.2	29616470	29630297	+
GOLGA	gene-LOC115930772	NC_073240.2	74968810	74983844	-
GOLGA	gene-LOC115930779	NC_073240.2	33421475	33435719	+
GOLGA	gene-LOC115930818	NC_073240.2	76165534	76181258	+
GOLGA	gene-LOC115930840	NC_073240.2	85708746	85718110	-
GOLGA	gene-LOC115930844	NC_073240.2	78807045	78821946	-
GOLGA	gene-LOC115931294	NC_073243.2	104789647	104796276	+
GOLGA	gene-LOC115932861	NC_073240.2	85723572	85760909	+
GOLGA	gene-LOC115933515	NC_073240.2	31244508	31256040	+
GOLGA	gene-LOC129523543	NC_073240.2	86475110	86482753	+
GOLGA	gene-LOC129527017	NC_073240.2	33035822	33047004	-
GOLGA	gene-LOC129527021	NC_073240.2	33206773	33218168	-
GOLGA	gene-LOC129527057	NC_073240.2	23635578	23649429	-
GOLGA	gene-LOC129527071	NC_073240.2	24898209	24912695	-
GOLGA	gene-LOC129527170	NC_073240.2	31095122	31108943	+
GOLGA	gene-LOC129527171	NC_073240.2	24705707	24717027	-
GOLGA	gene-LOC129527175	NC_073240.2	31359989	31374377	+
GOLGA	gene-LOC129527176	NC_073240.2	33336736	33347903	+
GOLGA	gene-LOC129527209	NC_073240.2	63024073	63031631	-
GOLGA	gene-LOC134757232	NC_073240.2	29664763	29674393	-
GOLGA	gene-LOC134757233	NC_073240.2	29674402	29676753	-
GOLGA	gene-LOC134757307	NC_073240.2	33166122	33177521	+
GOLGA	gene-LOC134757625	NC_073243.2	104830536	104837094	+
