family	gene	locus	member_bp	fam_size	dna_best_paralog_id	dna_n_paralogs_ge90	dna_exists_in_genome	dna_pipeline_recovered	rna_recovered	rna_bucket
ID_35	AL669831.1	chr1:152393-205163	52770	10	0.993	27	yes	yes	yes	FOUND:protein-tail
ID_393	MST1L	chr1:16352796-16368125	15329	2	0.996	7	yes	yes	yes	FOUND:rna-split
ID_393	MST1P2	chr1:16566523-16571192	4669	2	0.998	5	yes	yes	yes	FOUND:rna-split
ID_131	AMY2A	chr1:103465755-103474647	8892	6	0.994	10	yes	yes	yes	FOUND:rna-split
ID_131	AMY1A	chr1:103504154-103513416	9262	6	0.999	6	yes	yes	yes	FOUND:rna-split
ID_131	AC105272.1	chr1:103516936-103517135	199	6	1.000	11	yes	yes	yes	MISS:mischain
ID_131	AMY1B	chr1:103630425-103639464	9039	6	1.000	6	yes	yes	yes	FOUND:rna-split
ID_131	AMYP1	chr1:103750861-103757011	6150	6	1.000	3	yes	yes	yes	FOUND:protein-tail
ID_131	AMY1C	chr1:103787543-103795829	8286	6	1.000	6	yes	yes	yes	FOUND:rna-split
ID_400	NOTCH2	chr1:119924808-120114044	189236	6	0.983	4	yes	yes	yes	FOUND:rna-split
ID_448	SEC22B	chr1:120164163-120189787	25624	3	0.986	3	yes	yes	yes	FOUND:rna-split
ID_215	AC244669.2	chr1:120210345-120332947	122602	7	0.995	3	yes	yes	no	MISS:not-expressed
ID_212	AC244669.1	chr1:120280596-120355138	74542	5	0.991	7	yes	yes	yes	FOUND:rna-split
ID_215	AC241952.1	chr1:120503158-120714510	211352	7	0.992	4	yes	yes	yes	FOUND:rna-split
ID_400	NOTCH2NLR	chr1:120737163-120807117	69954	6	0.951	4	yes	yes	yes	FOUND:projection
ID_400	NBPF26	chr1:120737166-120851508	114342	6	0.955	1	yes	yes	yes	FOUND:rna-split
ID_431	PPIAL4A	chr1:120899120-120899781	661	5	0.989	6	yes	yes	no	MISS:not-expressed
ID_212	AC241377.4	chr1:120973035-120986976	13941	5	0.986	2	yes	yes	yes	FOUND:rna-split
ID_211	AC241377.2	chr1:120995080-121061551	66471	4	0.983	3	yes	yes	yes	FOUND:rna-split
ID_357	FCGR1B	chr1:121096726-121106544	9818	3	0.986	2	yes	yes	yes	FOUND:rna-split
ID_226	H2BP1	chr1:121117591-121126640	9049	5	0.990	2	yes	yes	yes	FOUND:rna-split
ID_226	H3P4	chr1:121127576-121127993	417	5	0.974	4	yes	yes	no	MISS:collapse-K0
ID_354	FAM72B	chr1:121177004-121194903	17899	4	0.994	3	yes	yes	yes	FOUND:rna-split
ID_462	SRGAP2C	chr1:121194173-121402237	208064	4	0.991	4	yes	yes	yes	FOUND:rna-split
ID_24	AC239859.5	chr1:142491733-142492317	584	3	0.998	6	yes	yes	yes	FOUND:expr-collapse
ID_22	AC239859.4	chr1:142533330-142570879	37549	6	0.990	27	yes	yes	yes	FOUND:rna-split
ID_212	AC239800.1	chr1:142817363-142832784	15421	5	0.848	0	yes	yes	yes	FOUND:projection
ID_211	AC239798.1	chr1:142883385-142897871	14486	4	0.993	3	yes	yes	yes	FOUND:projection
ID_357	FCGR1CP	chr1:142946822-142955600	8778	3	0.988	2	yes	yes	yes	FOUND:rna-split
ID_226	H3-2	chr1:142966564-142977985	11421	5	0.990	2	yes	yes	yes	FOUND:rna-split
ID_354	FAM72C	chr1:143027383-143043986	16603	4	0.996	3	yes	yes	yes	FOUND:rna-split
ID_462	SRGAP2D	chr1:143047107-143140349	93242	4	0.995	6	yes	yes	yes	FOUND:rna-split
ID_431	PPIAL4F	chr1:143472956-143473742	786	5	1.000	6	yes	yes	no	MISS:not-expressed
ID_213	AC246785.1	chr1:143591826-143594083	2257	4	0.996	3	yes	yes	no	MISS:not-expressed
ID_431	PPIAL4E	chr1:143692933-143693719	786	5	1.000	6	yes	yes	no	MISS:not-expressed
ID_22	FP700107.1	chr1:143760914-143779230	18316	6	0.998	14	yes	yes	yes	FOUND:rna-split
ID_462	SRGAP2B	chr1:144012010-144220236	208226	4	0.996	4	yes	yes	yes	FOUND:rna-split
ID_354	FAM72D	chr1:144220682-144237402	16720	4	0.996	3	yes	yes	yes	FOUND:rna-split
ID_211	AC241585.3	chr1:144264691-144273083	8392	4	0.970	3	yes	yes	yes	FOUND:rna-split
ID_431	PPIAL4D	chr1:144366357-144366853	496	5	0.998	28	yes	yes	yes	FOUND:rna-split
ID_215	AC239860.2	chr1:144624326-144625491	1165	7	0.999	3	yes	yes	yes	FOUND:rna-split
ID_215	AC239860.1	chr1:144625929-144637478	11549	7	0.978	3	yes	yes	yes	FOUND:rna-split
ID_400	NOTCH2NLA	chr1:145263046-145345902	82856	6	0.997	5	yes	yes	yes	FOUND:rna-split
ID_448	SEC22B3P	chr1:145439433-145451394	11961	3	0.999	3	yes	yes	yes	FOUND:rna-split
