gene_a	gene_b	cls	cls_auth	in_dna_loose	in_ep	ep_tier	core_recip	core_source	has_direct_edge	aln_len	aln_frac	mm_median_hi	mm_mean_hi	mm_max_hi	mm_median_lo	mm_mean_lo	mm_max_lo	mm_max_max	mm_max_min	mm_median_max	mm_mean_max	allele_gene	allele_balanced_frac	allele_het_risk	allele_copy_like	allele_med_maf	abl_bridge_mask
ABCA10	ABCA8	truthbar	truthbar-FP	0	1	tier1	0.1809	dn	1	NA	NA	2.0000	2.1575	51	2.0000	2.1275	51	51	51	2.0000	2.1575	NA	NA	NA	NA	NA	0.1032
ABCA10	ABCA9	truthbar	truthbar-FP	0	1	tier1	0.3553	dn	1	NA	NA	2.0000	2.1575	51	2.0000	2.0000	2	51	2	2.0000	2.1575	NA	NA	NA	NA	NA	0.1887
ABCA13	ITSN1	genuine	genuine-FP	0	0	none	0.1409	dn	1	474	0.1400	51.0000	43.4752	53	51.0000	49.8583	52	53	52	51.0000	49.8583	NA	NA	NA	NA	NA	0.2345
ABCA13	LOC101150644	genuine	genuine-FP	0	0	none	0.1360	dn	1	0	0.0000	51.0000	41.5263	53	51.0000	49.8583	52	53	52	51.0000	49.8583	NA	NA	NA	NA	NA	0.3132
ABCA13	LOC129532904	genuine	genuine-FP	0	0	none	0.1346	dn	1	0	0.0000	51.0000	49.8583	52	1.0000	10.3400	51	52	51	51.0000	49.8583	NA	NA	NA	NA	NA	0.3216
ABCA8	ABCA9	truthbar	truthbar-FP	0	1	tier1	0.4182	dn	1	NA	NA	2.0000	2.1275	51	2.0000	2.0000	2	51	2	2.0000	2.1275	NA	NA	NA	NA	NA	0.1887
ABCD1	LOC129526391	TP	TP	1	0	none	0.4426	dn	1	1488	0.8100	12.0000	16.7492	51	12.0000	11.5751	13	51	13	12.0000	16.7492	NA	NA	NA	NA	NA	0.0445
ABCD1	LOC129526471	TP	TP	1	0	none	0.3255	dn	1	1480	0.8083	12.0000	15.8669	52	12.0000	11.5751	13	52	13	12.0000	15.8669	NA	NA	NA	NA	NA	0.0445
ABCD1	LOC129531453	TP	TP	1	0	none	0.3224	dn	1	1479	0.8056	12.0000	15.7368	39	12.0000	11.5751	13	39	13	12.0000	15.7368	NA	NA	NA	NA	NA	0.0445
ABITRAM	CTNNAL1	genuine	genuine-FP	0	0	none	0.7593	dn	1	2431	0.7599	1.0000	1.4150	2	1.0000	1.0000	1	2	1	1.0000	1.4150	NA	NA	NA	NA	NA	0.1638
ACAD10	SBK3	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACADL	C3H4orf36	genuine	genuine-FP	0	0	none	0.2241	dn	1	0	0.0000	1.0000	4.0147	52	1.0000	1.0000	1	52	1	1.0000	4.0147	NA	NA	NA	NA	NA	0.3974
ACADL	C9H11orf65	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACADL	CCDC152	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACADL	COPS9	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACADL	DCAF16	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACADL	GIMAP4	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACADL	KLHL33	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACADL	LIPA	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACADL	LOC101126025	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACADL	LOC101143448	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACADL	LOC101145464	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACADL	LOC109023154	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACADL	LOC109024560	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACADL	LOC109025730	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACADL	LOC109028669	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACADL	LOC129530096	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACADL	LOC129530131	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACADL	LOC129533438	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACADL	LOC134756589	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACADL	LRFN5	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACADL	MINPP1	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACADL	MMP24OS	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACADL	NCALD	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACADL	NCR3LG1	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACADL	NFXL1	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACADL	OXCT1	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACADL	PDCD5	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACADL	SELENOP	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACADL	SEM1	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACADL	SMYD3	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACADL	SPATA33	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACADL	SPC25	genuine	genuine-FP	0	0	none	0.1610	dn	1	0	0.0000	1.0000	4.0147	52	1.0000	17.2143	51	52	51	1.0000	17.2143	NA	NA	NA	NA	NA	0.4132
ACADL	THNSL1	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACADL	TMEM38B	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACADL	TSPAN8	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACADL	UCHL1	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACAT2	TCP1	genuine	genuine-FP	0	0	none	0.1573	dn	1	601	0.1576	2.0000	2.8450	51	4.0000	2.9950	51	51	51	4.0000	2.9950	NA	NA	NA	NA	NA	0.0635
ACO2	POLR3H	genuine	genuine-FP	0	0	none	0.2132	dn	1	0	0.0000	4.0000	4.0475	18	4.0000	4.0300	18	18	18	4.0000	4.0475	NA	NA	NA	NA	NA	0.0728
ACOT4	ACOT6	truthbar	truthbar-FP	0	1	tier1	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACOT4	CDKN2AIPNL	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACOT6	CDKN2AIPNL	genuine	genuine-FP	0	0	none	0.1320	dn	1	0	0.0000	1.0000	2.5854	51	3.0000	4.4848	47	51	47	3.0000	4.4848	NA	NA	NA	NA	NA	0.4691
ACOT9	LOC129525165	genuine	genuine-FP	0	0	none	0.1880	dn	1	0	0.0000	1.0000	3.1192	52	1.0000	2.7111	51	52	51	1.0000	3.1192	NA	NA	NA	NA	NA	0.2501
ACOT9	SLC35F6	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACP1	ALKAL2	genuine	genuine-FP	0	0	none	0.8616	dn	1	1867	0.8616	2.0000	3.2425	5	1.0000	1.6944	4	5	4	2.0000	3.2425	NA	NA	NA	NA	NA	0.1440
ACSBG1	IDH3A	TP	TP	1	0	none	0.5137	dn	1	2175	0.5130	2.0000	2.0475	51	2.0000	2.0625	51	51	51	2.0000	2.0625	NA	NA	NA	NA	NA	0.0698
ACSL3	ACSL4	truthbar	truthbar-FP	0	1	tier1	0.1790	dn	1	NA	NA	3.0000	3.7775	52	2.0000	2.1050	51	52	51	3.0000	3.7775	NA	NA	NA	NA	NA	0.1388
ACSM1	LOC129528956	genuine	genuine-FP	0	0	none	0.1515	dn	1	3035	0.9663	50.0000	47.7875	52	22.0000	23.7250	51	52	51	50.0000	47.7875	NA	NA	NA	NA	NA	0.1964
ACSM1	LOC134757664	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACTA2	ACTB	truthbar	truthbar-FP	0	1	tier1	0.6390	dn	1	NA	NA	41.0000	39.9500	51	10.0000	8.7125	12	51	12	41.0000	39.9500	NA	NA	NA	NA	NA	0.1127
ACTA2	ACTG1	truthbar	truthbar-FP	0	1	tier1	0.6350	dn	1	NA	NA	45.0000	43.1625	51	10.0000	8.7125	12	51	12	45.0000	43.1625	NA	NA	NA	NA	NA	0.0404
ACTB	ACTG1	TP	TP	1	1	tier1	0.5384	dn	1	NA	NA	45.0000	43.1625	51	41.0000	39.9500	51	51	51	45.0000	43.1625	NA	NA	NA	NA	NA	0.1127
ACTL6A	MRPL47	genuine	genuine-FP	0	0	none	0.4282	dn	1	1069	0.4274	1.0000	1.3312	51	1.0000	1.5950	51	51	51	1.0000	1.5950	NA	NA	NA	NA	NA	0.2165
ACTN1	ACTN3	truthbar	truthbar-FP	0	1	tier1	0.3588	dn	1	NA	NA	1.0000	17.9667	52	1.0000	1.3675	3	52	3	1.0000	17.9667	NA	NA	NA	NA	NA	0.0866
ACTN1	ACTN4	truthbar	truthbar-FP	0	1	tier1	0.6757	dn	1	NA	NA	3.0000	3.8550	51	1.0000	1.3675	3	51	3	3.0000	3.8550	NA	NA	NA	NA	NA	0.0866
ACTN3	ACTN4	truthbar	truthbar-FP	0	1	tier1	0.7921	dn	1	NA	NA	1.0000	17.9667	52	3.0000	3.8550	51	52	51	3.0000	17.9667	NA	NA	NA	NA	NA	0.0805
ADA	PKIG	genuine	genuine-FP	0	0	none	0.2136	dn	1	332	0.2136	1.0000	1.6892	51	1.0000	3.7778	51	51	51	1.0000	3.7778	NA	NA	NA	NA	NA	0.0430
ADAM29	LOC101154164	truthbar	truthbar-FP	0	1	tier1	0.3251	dn	1	NA	NA	51.0000	37.2550	52	1.0000	4.5714	51	52	51	51.0000	37.2550	NA	NA	NA	NA	NA	0.0710
ADAT1	LOC109026802	genuine	genuine-FP	0	0	none	0.2491	dn	1	0	0.0000	3.0000	4.0370	51	1.0000	1.5495	51	51	51	3.0000	4.0370	NA	NA	NA	NA	NA	0.4280
ADAT1	SMIM15	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ADGRF5	LOC109023105	genuine	genuine-FP	0	0	none	0.2208	dn	1	3064	0.9057	2.0000	6.8235	52	2.0000	1.9835	5	52	5	2.0000	6.8235	NA	NA	NA	NA	NA	0.1398
