stage_id	chrom	start	end	strand	n_reads	n_junctions	n_nodes	n_edges	n_transfrags	n_transcripts	seed_total	seed_stored	seed_rescued	bundle_bnodes	bundle_read_bnode_links	bundle_color_count	struct_hash	graph_active_transfrags	graph_long_transfrags	graph_pattern_size	graph_hard_boundary_nodes	seed_unwitnessed	seed_zero_flux	seed_low_cov	seed_back_fail	seed_fwd_fail	longrec_back_no_choice	longrec_fwd_no_choice	longrec_back_no_reach	longrec_fwd_no_reach	longrec_back_unreachable	longrec_fwd_unreachable	checktrf_total	checktrf_pre_filter	predcluster_before	predcluster_removed	pairwise_included_kill	pairwise_secontained_kill	pairwise_intronic_kill	pairwise_bettercov_kill	pairwise_other_kill	isofrac_longunder_kill	junction_support_removed	note
bundle_context	NC_073243.2	44054882	44307897	-	505	3103	0	0	0	0	0	0	0	0	0	0	1995416328987417646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	detected_bundle
bundle_context	NC_073243.2	44054882	44307897	+	10	31	0	0	0	0	0	0	0	0	0	0	5322311175818243820	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	detected_bundle
region_merge_bundle	NC_073243.2	44054882	44307897	.	515	3134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	keep_strand=0 src_bundle(-/.+/o)=1/0/1/0 src_read(-/.+/o)=505/0/10/0
bundle_partition	NC_073243.2	44054882	44307897	.	515	3134	0	0	0	0	0	0	0	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	post_cgroup_bnodes mode=three_strand cgroup_reads=515 assigned_reads=3 region_reads=515
region_groupflow	NC_073243.2	44054882	44307897	.	515	3134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	region_reads=515 region(-/.+/o)=501/5/9/0 effective(-/.+/o)=501/5/9/0
bundle_context	NC_073243.2	44054882	44094254	-	409	2494	0	0	0	0	0	0	0	6	1383	6	4578317460628870800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	subbundle
graph_evolution	NC_073243.2	44054882	44094254	-	409	25	30	71	119	0	0	0	0	0	0	0	11223835880526543352	119	119	167	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	after_map_reads
seed_flow	NC_073243.2	44054882	44094254	-	409	25	30	71	151	8	156	31	0	0	0	0	0	0	0	0	0	0	36	0	0	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	unwitnessed=0 zero_flux=36 low_cov=0 back_fail=0 fwd_fail=4 longrec_attempted=95 longrec_succeeded=91 longrec_fallback=4 back_no_choice=0 fwd_no_choice=4 back_no_reach=0 fwd_no_reach=0 back_unreachable=0 fwd_unreachable=0
checktrf	NC_073243.2	44054882	44094254	-	409	25	30	71	151	8	60	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	36	0	0	0	0	0	0	0	0	0	checktrf_total=60 rescued=5 pre_filter=36
pairwise_overlap_filter	NC_073243.2	44054882	44094254	-	409	25	30	71	151	8	156	31	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	28	2	0	0	0	26	0	0	before=36 removed=28 included_drop=2 retained_intron=26
isofrac	NC_073243.2	44054882	44094254	-	409	25	30	71	151	8	156	31	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	before=8 removed=0 longunder=0
collapse_single_exon_runoff	NC_073243.2	44054882	44094254	-	409	25	30	71	151	8	156	31	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	before=8 removed=0
polymerase_runoff_filter	NC_073243.2	44054882	44094254	-	409	25	30	71	151	8	156	31	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	before=8 removed=0
