fam	n	exit	reads_in_units	assigned	tied	amb	q60	q60_assigned	q60_agree	qlow	qlow_assigned	elapsed	rss_mb	forecast_unassignable
fam_MCL101_073244	3	exit=0	232	146	6	80	232	146	145	0	0	7.23	667	0
fam_MCL105_073244	3	exit=0	26	2	2	22	20	1	1	6	1	0.44	159	0
fam_MCL108_073244	3	exit=0	7	3	4	0	7	3	3	0	0	0.23	159	2
fam_MCL10_073244	8	exit=0	1387	75	55	1257	1387	75	43	0	0	28.65	1876	0
fam_MCL110_073244	3	exit=0	472	133	10	329	472	133	133	0	0	1.64	184	0
fam_MCL15_073242	4	exit=0	296	166	32	98	212	110	110	84	56	1.19	283	2
fam_MCL16_073242	3	exit=0	3	3	0	0	1	1	1	2	2	0.98	340	3
fam_MCL23_073244	4	exit=0	67	48	18	1	64	47	39	3	1	0.36	159	0
fam_MCL29_073242	3	exit=0	19	19	0	0	15	15	15	4	4	0.23	257	0
fam_MCL2_073244	2	exit=0	3	3	0	0	3	3	3	0	0	0.29	159	0
fam_MCL32_073244	3	exit=0	47	29	15	3	47	29	29	0	0	0.33	159	2
fam_MCL34_073244	2	exit=0	320	176	20	124	320	176	171	0	0	7.04	555	0
fam_MCL35_073242	3	exit=0	111	109	2	0	111	109	108	0	0	0.35	257	0
fam_MCL36_073242	3	exit=0	384	196	2	186	384	196	195	0	0	1.19	257	0
fam_MCL37_073244	5	exit=0	730	395	21	314	730	395	394	0	0	2.79	354	0
fam_MCL38_073244	4	exit=0	704	476	23	205	624	426	424	80	50	3.22	168	2
fam_MCL3_073242	22	exit=0	1655	304	437	914	996	185	175	659	119	72.39	2222	0
fam_MCL48_073242	4	exit=0	1306	698	441	167	1100	688	688	206	10	11.59	824	0
fam_MCL50_073242	4	exit=0	954	207	126	621	667	180	180	287	27	9.12	682	3
fam_MCL51_073242	3	exit=0	33	13	10	10	20	8	8	13	5	1.63	418	2
fam_MCL53_073242	4	exit=0	1377	123	25	1229	1337	122	122	40	1	4.73	386	2
fam_MCL59_073244	4	exit=0	536	103	433	0	536	103	102	0	0	2.57	255	2
fam_MCL60_073242	2	exit=0	183	183	0	0	183	183	183	0	0	0.32	257	0
fam_MCL61_073242	4	exit=0	9	2	3	4	9	2	2	0	0	0.28	257	2
fam_MCL62_073244	3	exit=0	725	387	128	210	724	387	378	1	0	1.99	204	0
fam_MCL63_073244	4	exit=0	524	221	133	170	524	221	217	0	0	2.02	320	0
fam_MCL65_073244	2	exit=0	65	0	65	0	62	0	0	3	0	0.24	159	1
fam_MCL6_073244	14	exit=0	1627	66	34	1527	1627	66	61	0	0	72.55	2884	0
fam_MCL7_073242	10	exit=0	9098	8322	297	479	8975	8306	8306	123	16	128.86	1399	4
fam_MCL83_073242	3	exit=0	1167	254	86	827	1062	198	189	105	56	11.24	875	0
fam_MCL84_073242	2	exit=0	1025	905	7	113	1017	898	898	8	7	0.83	257	0
fam_MCL85_073242	3	exit=0	2464	289	32	2143	2429	279	279	35	10	5.51	428	3
fam_MCL88_073242	3	exit=0	719	482	127	110	522	459	458	197	23	5.89	791	2
fam_MCL89_073242	3	exit=0	1010	14	49	947	898	9	9	112	5	0.94	257	3
fam_MCL8_073244	3	exit=0	12	2	1	9	12	2	2	0	0	0.5	221	0
