family_id	genes	chrom	n_soto_members	n_recovered_blind	sensitivity	precision	status	merge_evidence
ID_207	SPDYE1;SPDYE10P;SPDYE12P;SPDYE13;SPDYE14	chr7	17	9	0.529	1.0	SPLIT	
ID_113	GOLGA8CP;GOLGA8DP;GOLGA8EP;GOLGA8F;GOLGA	chr15	16	10	0.625	1.0	SPLIT	
ID_154	NPIPA2;NPIPA5;NPIPA7;NPIPB10P;NPIPB11;NP	chr16	14	9	0.643	1.0	SPLIT	
ID_35	AC008443.6;AC110079.1;AL133216.2;AL59214	chr1	10	8	0.8	1.0	SPLIT	
ID_65	AP000534.2;CR383656.5;CYP4F27P;CYP4F30P;	chr2	9	4	0.444	1.0	SPLIT	
ID_8	AC211486.3;PMS2P1;PMS2P10;PMS2P11;PMS2P2	chr7	9	8	0.889	1.0	SPLIT	
ID_63	AC083899.1;AC097527.1;ANAPC1;ANAPC1P1;AN	chr2	8	5	0.625	1.0	SPLIT	
ID_215	AC239860.1;AC239860.2;AC241952.1;AC24466	chr1	7	7	1.0	0.636	MERGE	ID_212(id0.991,cov0.7)
ID_163	AC131392.1;AC146949.1;GUSBP1;GUSBP16;GUS	chr5	6	5	0.833	1.0	SPLIT	
ID_395	RGPD1;RGPD2;RGPD3;RGPD4;RGPD5;RGPD8	chr2	6	6	1.0	0.667	MERGE	ID_63(id0.848,cov0.67)
ID_156	AC127502.1;AC127502.3;AC135983.4;WHAMMP2	chr15	5	2	0.4	1.0	SPLIT	
ID_208	CASTOR2;GTF2I;GTF2IP1;GTF2IP14;GTF2IP5	chr7	5	2	0.4	1.0	SPLIT	
ID_212	AC239800.1;AC241377.4;AC244669.1;AC24510	chr1	5	4	0.8	0.364	MERGE	ID_215(id0.991,cov0.7)
ID_226	H2BC18;H2BP1;H3-2;H3C13;H3P4	chr1	5	5	1.0	0.625	MERGE	ID_357(id0.999,cov1.0)
ID_324	CSPG4P10;CSPG4P11;CSPG4P12;CSPG4P4Y;DNM1	chr15	5	5	1.0	0.417	MERGE	ID_481(id0.995,cov0.58);ID_78(id0.996,cov1.0)
ID_359	FGF7P1;FGF7P2;FGF7P5;FGF7P7;FGF7P8	chr21	5	2	0.4	1.0	SPLIT	
ID_481	UBE2Q2L;UBE2Q2P11;UBE2Q2P12;UBE2Q2P6;UBE	chr15	5	5	1.0	0.417	MERGE	ID_324(id0.995,cov0.58);ID_78(id0.898,cov0.57)
ID_78	AC044860.1;AC243562.1;GOLGA8A;UBE2Q2P1;U	chr15	5	2	0.4	0.167	MERGE	ID_324(id0.996,cov1.0);ID_481(id0.898,cov0.57)
ID_12	AC004980.1;POM121;POM121C;POMZP3	chr7	4	2	0.5	1.0	SPLIT	
ID_147	AC125634.1;AL353626.3;ANKRD30BP2;FO68149	chr13	4	2	0.5	1.0	SPLIT	
ID_182	AC137800.1;AC137800.2;FAM153A;FAM153B	chr16	4	2	0.5	1.0	SPLIT	
ID_188	HERC2;HERC2P2;HERC2P3;HERC2P9	chr15	4	3	0.75	1.0	SPLIT	
ID_213	AC239804.2;AC239809.1;AC245407.1;AC24678	chr1	4	3	0.75	1.0	SPLIT	
ID_327	CTSLP1;CTSLP3;CTSLP4;CTSLP6	chr10	4	3	0.75	1.0	SPLIT	
ID_399	NAIP;NAIPP1;NAIPP2;NAIPP4	chr5	4	3	0.75	1.0	SPLIT	
ID_407	NSUN5P1;NSUN5P2;TRIM73;TRIM74	chr7	4	2	0.5	0.667	MERGE	ID_12(id0.999,cov0.53)
ID_43	TRIM64;TRIM64B;TRIM64DP;TRIM64EP	chr11	4	2	0.5	1.0	SPLIT	
ID_462	SRGAP2;SRGAP2B;SRGAP2C;SRGAP2D	chr1	4	3	0.75	1.0	SPLIT	
ID_104	AL669942.1;CYP4F60P;FAM95B1	chr9	3	3	1.0	0.5	MERGE	ID_280(id0.814,cov0.56)
ID_167	AC133548.1;AC136944.3;CHEK2P2	chr16	3	1	0.333	1.0	SPLIT	
ID_240	AL157893.1;FO681492.1;SYT15	chr10	3	2	0.667	1.0	SPLIT	
ID_280	ANKRD20A1;ANKRD20A3P;ANKRD20A7P	chr9	3	3	1.0	0.5	MERGE	ID_104(id0.814,cov0.56)
ID_338	DEFB108A;DEFB108C;DEFB108D	chr8	3	2	0.667	0.4	MERGE	ID_490(id1.0,cov1.0)
ID_357	FCGR1A;FCGR1B;FCGR1CP	chr1	3	3	1.0	0.375	MERGE	ID_226(id0.999,cov1.0)
ID_49	AC009533.1;DDX11;DDX12P	chr12	3	2	0.667	1.0	SPLIT	
ID_490	ZNF705B;ZNF705D;ZNF705G	chr8	3	3	1.0	0.6	MERGE	ID_338(id1.0,cov1.0)
ID_148	AC126603.1;AC142384.1	chr16	2	1	0.5	1.0	SPLIT	
ID_251	AL356585.4;ANKRD36B	chr13	2	1	0.5	1.0	SPLIT	
ID_26	AC006453.4;SLC9B1P1	chr2	2	1	0.5	1.0	SPLIT	
ID_468	TBC1D3;TBC1D3B;TBC1D3D;TBC1D3E;TBC1D3H;T	chr17	9	9	1.0	1.0	EXACT	
ID_14	AC005562.2;AC090616.5;LRRC37A;LRRC37A2;L	chr17	7	7	1.0	1.0	EXACT	
ID_116	AC091304.1;AC100756.3;AC138749.1;GOLGA6L	chr15	6	6	1.0	1.0	EXACT	
ID_131	AC105272.1;AMY1A;AMY1B;AMY1C;AMY2A;AMYP1	chr1	6	6	1.0	1.0	EXACT	
ID_22	AC006453.1;AC027612.2;AC239859.4;AL35658	chr1	6	6	1.0	1.0	EXACT	
ID_332	DDX11L10;DDX11L16;DDX11L2;DDX11L5;DDX11L	chr11	6	6	1.0	1.0	EXACT	
ID_400	NBPF26;NOTCH2;NOTCH2NLA;NOTCH2NLB;NOTCH2	chr1	6	6	1.0	1.0	EXACT	
ID_261	AL513478.3;AL773545.4;BX664718.2;CNTNAP3	chr9	5	5	1.0	1.0	EXACT	
ID_283	AP000356.3;BCRP1;BCRP2;BCRP4;BCRP7	chr22	5	5	1.0	1.0	EXACT	
ID_391	WASH2P;WASH3P;WASH6P;WASH8P;WASHC1	chr16	5	5	1.0	1.0	EXACT	
ID_431	PPIAL4A;PPIAL4C;PPIAL4D;PPIAL4E;PPIAL4F	chr1	5	5	1.0	1.0	EXACT	
ID_71	AC023310.1;AC091304.3;AC242376.1;HERC2P1	chr15	5	5	1.0	1.0	EXACT	
ID_211	AC239798.1;AC241377.2;AC241585.3;AC24377	chr1	4	4	1.0	1.0	EXACT	
ID_245	BX005040.4;CNTNAP3;CNTNAP3B;CNTNAP3P2	chr9	4	4	1.0	1.0	EXACT	
ID_354	FAM72A;FAM72B;FAM72C;FAM72D	chr1	4	4	1.0	1.0	EXACT	
ID_68	AC019322.3;DNM1P28;DNM1P32;DNM1P50	chr15	4	4	1.0	1.0	EXACT	
