gene_a	gene_b	cls	in_ep	core	bridge_dn_a	bridge_dn_b	bridge_mask	deg_max	deg_mean	mm_median_max	mm_max_max	km_median_max	km_p90_max	km_frac_ge_100_max	aln_len	aln_frac	arbitration
ABCA10	ABCA8	truthbar	1	0.1809	DN_NC_073228.2_22763468_38	DN_NC_073228.2_23038330_39	0.1032	2	2.0000	2.0000	51.0000						0
ABCA10	ABCA9	truthbar	1	0.3553	DN_NC_073228.2_22763468_38	DN_NC_073228.2_22930246_39	0.1887	5	3.5000	2.0000	51.0000						0
ABCA13	ITSN1	genuine	0	0.1409	DN_NC_073230.2_56036026_15	DN_NC_073246.2_35769268_8	0.2345	4	3.0000	51.0000	53.0000				474.0000	0.1400	1
ABCA13	LOC101150644	genuine	0	0.1360	DN_NC_073230.2_56036026_15	DN_NC_073233.2_11450665_3	0.3132	6	5.0000	51.0000	53.0000				0.0000	0.0000	1
ABCA13	LOC129532904	genuine	0	0.1346	DN_NC_073227.2_36265860_3	DN_NC_073230.2_56036026_15	0.3216	4	4.0000	51.0000	52.0000				0.0000	0.0000	1
ABCA8	ABCA9	truthbar	1	0.4182	DN_NC_073228.2_22930246_39	DN_NC_073228.2_23038330_39	0.1887	5	3.5000	2.0000	51.0000						0
ABCD1	LOC129526391	TP	0	0.4426	DN_NC_073236.2_25270756_7	DN_NC_073247.2_165410205_10	0.0445	3	3.0000	12.0000	51.0000				1488.0000	0.8100	1
ABCD1	LOC129526471	TP	0	0.3255	DN_NC_073236.2_22701854_7	DN_NC_073247.2_165410205_10	0.0445	3	3.0000	12.0000	52.0000				1480.0000	0.8083	1
ABCD1	LOC129531453	TP	0	0.3224	DN_NC_073240.2_15970659_7	DN_NC_073247.2_165410205_10	0.0445	3	3.0000	12.0000	39.0000				1479.0000	0.8056	1
ABITRAM	CTNNAL1	genuine	0	0.7593	DN_NC_073237.2_105179643_6	DN_NC_073237.2_105184979_19	0.1638	1	1.0000	1.0000	2.0000				2431.0000	0.7599	1
ACAD10	SBK3	genuine	0														0
ACADL	C3H4orf36	genuine	0	0.2241	DN_NC_073227.2_107202270_4	DN_NC_073235.2_112807340_11	0.3974	10	6.0000	1.0000	52.0000				0.0000	0.0000	1
ACADL	C9H11orf65	genuine	0														0
ACADL	CCDC152	genuine	0														0
ACADL	COPS9	genuine	0														0
ACADL	DCAF16	genuine	0														0
ACADL	GIMAP4	genuine	0														0
ACADL	KLHL33	genuine	0														0
ACADL	LIPA	genuine	0														0
ACADL	LOC101126025	genuine	0														0
ACADL	LOC101143448	genuine	0														0
ACADL	LOC101145464	genuine	0														0
ACADL	LOC109023154	genuine	0														0
ACADL	LOC109024560	genuine	0														0
ACADL	LOC109025730	genuine	0														0
ACADL	LOC109028669	genuine	0														0
ACADL	LOC129530096	genuine	0														0
ACADL	LOC129530131	genuine	0														0
ACADL	LOC129533438	genuine	0														0
ACADL	LOC134756589	genuine	0														0
ACADL	LRFN5	genuine	0														0
ACADL	MINPP1	genuine	0														0
ACADL	MMP24OS	genuine	0														0
ACADL	NCALD	genuine	0														0
ACADL	NCR3LG1	genuine	0														0
ACADL	NFXL1	genuine	0														0
ACADL	OXCT1	genuine	0														0
ACADL	PDCD5	genuine	0														0
ACADL	SELENOP	genuine	0														0
ACADL	SEM1	genuine	0														0
ACADL	SMYD3	genuine	0														0
ACADL	SPATA33	genuine	0														0
ACADL	SPC25	genuine	0	0.1610	DN_NC_073235.2_112807340_11	DN_NC_073235.2_71373985_7	0.4132	51	26.5000	1.0000	52.0000				0.0000	0.0000	1
ACADL	THNSL1	genuine	0														0
ACADL	TMEM38B	genuine	0														0
ACADL	TSPAN8	genuine	0														0
ACADL	UCHL1	genuine	0														0
ACAT2	TCP1	genuine	0	0.1573	DN_NC_073229.2_183992530_9	DN_NC_073229.2_184008587_12	0.0635	1	1.0000	4.0000	51.0000				601.0000	0.1576	1
ACO2	POLR3H	genuine	0	0.2132	DN_NC_086018.1_39469630_18	DN_NC_086018.1_39525778_6	0.0728	1	1.0000	4.0000	18.0000				0.0000	0.0000	1
ACOT4	ACOT6	truthbar	1														0
ACOT4	CDKN2AIPNL	genuine	0														0
ACOT6	CDKN2AIPNL	genuine	0	0.1320	DN_NC_073228.2_138307166_3	DN_NC_073239.2_90471291_2	0.4691	3	2.0000	3.0000	51.0000				0.0000	0.0000	1
ACOT9	LOC129525165	genuine	0	0.1880	DN_NC_073232.2_145623155_3	DN_NC_073247.2_34199522_16	0.2501	3	2.0000	1.0000	52.0000				0.0000	0.0000	1
ACOT9	SLC35F6	genuine	0														0
ACP1	ALKAL2	genuine	0	0.8616	DN_NC_073236.2_139618373_5	DN_NC_073236.2_139624268_6	0.1440	1	1.0000	2.0000	5.0000				1867.0000	0.8616	1
ACSBG1	IDH3A	TP	0	0.5137	DN_NC_073240.2_79048326_11	DN_NC_073240.2_79068535_14	0.0698	1	1.0000	2.0000	51.0000				2175.0000	0.5130	1
ACSL3	ACSL4	truthbar	1	0.1790	DN_NC_073235.2_125539339_16	DN_NC_073247.2_121395319_16	0.1388	1	1.0000	3.0000	52.0000						0
ACSM1	LOC129528956	genuine	0	0.1515	DN_NC_073242.2_20304889_2	DN_NC_073244.2_28133171_2	0.1964	5	4.5000	50.0000	52.0000				3035.0000	0.9663	1
ACSM1	LOC134757664	genuine	0														0
ACTA2	ACTB	truthbar	1	0.6390	DN_NC_073230.2_12962256_6	DN_NC_073232.2_101260375_9	0.1127	2	2.0000	41.0000	51.0000						0
ACTA2	ACTG1	truthbar	1	0.6350	DN_NC_073228.2_10434405_6	DN_NC_073232.2_101260375_9	0.0404	2	2.0000	45.0000	51.0000						0
ACTB	ACTG1	TP	1	0.5384	DN_NC_073228.2_10434405_6	DN_NC_073230.2_12962256_6	0.1127	2	2.0000	45.0000	51.0000						0
ACTL6A	MRPL47	genuine	0	0.4282	DN_NC_086017.1_190656695_14	DN_NC_086017.1_190680196_7	0.2165	1	1.0000	1.0000	51.0000				1069.0000	0.4274	1
ACTN1	ACTN3	truthbar	1	0.3588	DN_NC_073233.2_74467231_21	DN_NC_073239.2_85769342_21	0.0866	3	3.0000	1.0000	52.0000						0
ACTN1	ACTN4	truthbar	1	0.6757	DN_NC_073239.2_85769342_21	DN_NC_073244.2_50412691_21	0.0866	3	3.0000	3.0000	51.0000						0
ACTN3	ACTN4	truthbar	1	0.7921	DN_NC_073233.2_74467231_21	DN_NC_073244.2_50412691_21	0.0805	3	3.0000	3.0000	52.0000						0
ADA	PKIG	genuine	0	0.2136	DN_NC_073245.2_56763975_4	DN_NC_073245.2_56852545_12	0.0430	1	1.0000	1.0000	51.0000				332.0000	0.2136	1
ADAM29	LOC101154164	truthbar	1	0.3251	DN_NC_073227.2_195911333_4	DN_NC_073239.2_87316371_2	0.0710	1	1.0000	51.0000	52.0000						0
ADAT1	LOC109026802	genuine	0	0.2491	DN_NC_073228.2_185199640_2	DN_NC_073242.2_106088342_11	0.4280	2	1.5000	3.0000	51.0000				0.0000	0.0000	1
ADAT1	SMIM15	genuine	0														0
ADGRF5	LOC109023105	genuine	0	0.2208	DN_NC_073229.2_64639535_22	DN_NC_073238.2_32078126_7	0.1398	1	1.0000	2.0000	52.0000				3064.0000	0.9057	1
ADH1B	LOC101136823	TP	1	0.3518	DN_NC_073227.2_119617950_9	DN_NC_073227.2_119647764_9	0.2359	1	1.0000	3.0000	51.0000						0
ADORA1	CHIT1	genuine	0	0.4714	DN_NC_073224.2_53524414_11	DN_NC_073224.2_53535059_3	0.0387	1	1.0000	1.0000	51.0000				1063.0000	0.4710	1
AFG3L2	TUBB6	genuine	0	0.2395	DN_NC_073241.2_37890028_17	DN_NC_073241.2_37935842_4	0.3383	1	1.0000	2.0000	8.0000				641.0000	0.2391	1
AK6	TAF9B	genuine	0	0.3182	DN_NC_073243.2_40875168_3	DN_NC_073247.2_89808941_7	0.1683	1	1.0000	4.0000	52.0000				0.0000	0.0000	1
AKR1B10	LOC115935241	TP	1	0.4206	DN_NC_073230.2_143596666_10	DN_NC_073230.2_143617302_10	0.3018	1	1.0000	5.0000	51.0000						0
AKR1C3	LOC129525965	genuine	0														0
AKR1C3	LOC129532059	genuine	0														0
AKR1C3	LOC129532348	genuine	0														0
AKR1C3	PASD1	genuine	0														0
AKR1C3	RTP4	genuine	0														0
AKR7A2	LOC115933748	TP	1	0.7366	DN_NC_073224.2_220588830_7	DN_NC_073224.2_220611411_7	0.2469	1	1.0000	5.0000	51.0000						0
AKT1	AKT2	truthbar	1	0.2018	DN_NC_073239.2_121772610_13	DN_NC_073244.2_51984253_14	0.1000	1	1.0000	1.0000	8.0000						0
AKTIP	RBL2	genuine	0	0.3117	DN_NC_073242.2_82507839_22	DN_NC_073242.2_82560306_10	0.2095	1	1.0000	1.0000	51.0000				1525.0000	0.3105	1
ALB	AVEN	genuine	0	0.1543	DN_NC_073227.2_93560991_18	DN_NC_073240.2_34703303_6	0.3271	2	1.5000	37.0000	52.0000				0.0000	0.0000	1
