tier	chrom	start	end	n_isoforms	n_fsm	n_psv	n_coseg	n_copies	frac_sec	frac_mq0	n_aln	minor_frac
A_ge3groups	NC_073224.2	130222249	130377196	11	0	98	29	3	0.827	0.045	132	0.169
A_ge3groups	NC_073238.2	24426952	24483773	3	0	36	22	4	0.314	0.000	70	0.288
A_ge3groups	NC_073224.2	218433980	218484870	17	0	42	19	4	0.496	0.000	409	0.368
A_ge3groups	NC_073236.2	51721489	51739597	2	1	19	14	4	0.000	0.000	56	0.333
A_ge3groups	NC_073224.2	15783682	15915696	15	0	32	9	3	0.704	0.000	129	0.269
A_ge3groups	NC_073224.2	95749871	95774428	2	0	11	9	6	0.002	0.000	423	0.079
A_ge3groups	NC_073228.2	182511671	182572979	3	0	18	9	3	0.596	0.141	78	0.257
A_ge3groups	NC_073239.2	122741458	123616891	21	0	400	8	14	0.373	0.000	178	0.098
A_ge3groups	NC_073224.2	117294169	117447151	8	0	101	7	3	0.743	0.000	61	0.346
A_ge3groups	NC_073244.2	46599942	46606769	3	0	9	7	3	0.004	0.000	247	0.109
A_ge3groups	NC_073232.2	126478837	126530239	8	0	14	6	3	0.010	0.000	300	0.450
A_ge3groups	NC_073228.2	45929665	45957790	1	0	8	4	3	0.699	0.021	47	0.371
A_ge3groups	NC_073236.2	36818672	37021681	22	1	27	4	3	0.014	0.000	215	0.240
A_ge3groups	NC_073238.2	24959976	25041728	1	0	64	4	3	0.006	0.000	159	0.227
A_ge3groups	NC_073239.2	33550153	33587096	18	2	5	4	3	0.059	0.000	32	0.333
A_ge3groups	NC_073244.2	68477519	68489322	2	0	17	4	3	0.005	0.000	217	0.333
A_ge3groups	NC_073224.2	117476348	117529051	6	0	59	3	3	0.724	0.005	207	0.381
A_ge3groups	NC_073230.2	51812103	51845160	2	0	6	3	3	0.300	0.000	49	0.250
A_ge3groups	NC_073237.2	30414391	30514231	4	1	14	3	5	0.000	0.000	271	0.208
A_ge3groups	NC_073242.2	23115867	23162102	3	0	7	3	3	0.006	0.000	157	0.333
A_ge3groups	NC_073243.2	36945192	36985259	1	0	8	3	3	0.014	0.000	205	0.073
A_ge3groups	NC_073244.2	47739592	47822135	5	1	8	3	3	0.013	0.000	77	0.300
B_dense2copy	NC_073236.2	139047584	139177611	2	0	103	46	2	0.000	0.000	94	0.364
B_dense2copy	NC_073236.2	44341132	44542739	7	0	97	31	2	0.007	0.000	285	0.042
B_dense2copy	NC_073229.2	141479429	141618735	3	0	32	30	2	0.000	0.000	26	0.375
B_dense2copy	NC_086018.1	20180282	20277129	4	0	81	29	2	0.074	0.000	25	0.500
B_dense2copy	NC_073224.2	124263963	124347827	4	0	43	24	2	0.040	0.000	194	0.405
B_dense2copy	NC_073240.2	38615652	38782447	4	0	28	22	2	0.000	0.000	24	0.412
B_dense2copy	NC_073224.2	21623165	21678358	1	0	22	21	2	0.056	0.000	17	0.333
B_dense2copy	NC_073243.2	88364350	88398213	1	0	22	21	2	0.000	0.000	15	0.429
B_dense2copy	NC_073228.2	11708011	11783068	11	0	64	18	2	0.000	0.000	240	0.300
B_dense2copy	NC_086018.1	44787220	45191135	3	1	21	18	2	0.000	0.000	82	0.488
B_dense2copy	NC_073230.2	81087564	81142525	4	0	23	17	2	0.065	0.000	43	0.441
B_dense2copy	NC_073231.2	7199199	7203985	1	0	17	17	2	0.000	0.000	14	0.429
B_dense2copy	NC_073235.2	21689734	21735973	1	0	18	17	2	0.000	0.000	20	0.375
