gene_a	chrom_a	gene_b	chrom_b	core_cov	core_ident	aln_ident	jaccard
ADH5	NC_073227.2	LOC101125574	NC_073229.2	1.0	0.962	0.962	0.1993
ADH5	NC_073227.2	LOC129534225	NC_073229.2	1.0	0.962	0.962	0.1818
AK6	NC_073243.2	LOC115934278	NC_073227.2	1.0	0.996	0.996	0.7273
ATP5MF	NC_073230.2	LOC101136485	NC_073228.2	1.0	0.918	0.918	0.0515
ATP5PD	NC_073228.2	LOC101141427	NC_073237.2	1.0	0.896	0.896	0.0691
ATP6V1F	NC_073230.2	LOC109029005	NC_073234.2	1.0	0.947	0.947	0.1705
C17H18orf32	NC_073241.2	LOC115934570	NC_073228.2	1.0	0.993	0.993	0.3919
CCDC196	NC_073239.2	LOC129526440	NC_073238.2	1.0	0.997	0.997	0.895
CNN2	NC_073244.2	LOC129524764	NC_073237.2	1.0	0.994	0.994	0.3851
EEF1A1	NC_073229.2	LOC101136757	NC_073247.2	1.0	0.915	0.915	0.0683
EEF1A1	NC_073229.2	LOC109023808	NC_073243.2	1.0	0.982	0.982	0.4431
ELF2	NC_073227.2	LOC115933780	NC_073235.2	1.0	0.98	0.98	0.2176
GGTLC1	NC_073245.2	LOC101149759	NC_086018.1	1.0	0.967	0.967	0.3806
GNG5	NC_073224.2	LOC115936218	NC_073233.2	1.0	0.932	0.932	0.125
GNG5B	NC_073247.2	LOC115936218	NC_073233.2	1.0	0.918	0.918	0.0885
GPS2	NC_073243.2	LOC101141051	NC_073237.2	1.0	0.935	0.935	0.1611
HMGN1	NC_073246.2	LOC129531710	NC_073236.2	1.0	0.97	0.97	0.1367
HMGN2	NC_073224.2	LOC101130226	NC_073240.2	1.0	0.927	0.927	0.0377
HMGN2	NC_073224.2	LOC101137804	NC_086017.1	1.0	0.958	0.958	0.0661
HSP90AA1	NC_073239.2	LOC115936257	NC_073233.2	1.0	0.968	0.968	0.4245
KMT5A	NC_073234.2	LOC101134637	NC_073224.2	1.0	0.987	0.987	0.2581
LOC101123774	NC_073224.2	LOC101152273	NC_073244.2	1.0	0.937	0.937	0.1318
LOC101123774	NC_073224.2	LOC109026425	NC_086017.1	1.0	0.951	0.951	0.2979
LOC101123774	NC_073224.2	LOC129525277	NC_073233.2	1.0	0.922	0.922	0.0375
LOC101123774	NC_073224.2	RPL23A	NC_073228.2	1.0	0.956	0.956	0.1265
LOC101123911	NC_073224.2	LOC101136257	NC_073229.2	1.0	0.847	0.847	0.0311
LOC101123958	NC_073239.2	LOC101138859	NC_073247.2	1.0	0.964	0.964	0.3096
LOC101123958	NC_073239.2	LOC101145104	NC_073247.2	1.0	0.963	0.963	0.359
LOC101123968	NC_073227.2	LOC129523578	NC_086017.1	1.0	0.974	0.974	0.4778
LOC101123968	NC_073227.2	LOC129532360	NC_086017.1	1.0	0.974	0.974	0.4778
LOC101123968	NC_073227.2	LOC129532377	NC_086017.1	1.0	0.974	0.974	0.4778
LOC101123968	NC_073227.2	LOC129532378	NC_086017.1	1.0	0.974	0.974	0.4778
LOC101123968	NC_073227.2	LOC129532381	NC_086017.1	1.0	0.974	0.974	0.4778
LOC101123968	NC_073227.2	LOC129532382	NC_086017.1	1.0	0.974	0.974	0.4778
LOC101123968	NC_073227.2	LOC129532414	NC_086017.1	1.0	0.974	0.974	0.4778
LOC101123968	NC_073227.2	LOC129532417	NC_086017.1	1.0	0.974	0.974	0.4778
LOC101123968	NC_073227.2	LOC129532419	NC_086017.1	1.0	0.974	0.974	0.4778
LOC101123968	NC_073227.2	LOC129532421	NC_086017.1	1.0	0.974	0.974	0.4778
LOC101123968	NC_073227.2	LOC129532423	NC_086017.1	1.0	0.974	0.974	0.4778
LOC101123968	NC_073227.2	LOC129532425	NC_086017.1	1.0	0.974	0.974	0.4778
LOC101123968	NC_073227.2	LOC134757997	NC_086017.1	1.0	0.974	0.974	0.4778
LOC101123968	NC_073227.2	LOC134757998	NC_086017.1	1.0	0.974	0.974	0.4778
LOC101123968	NC_073227.2	LOC134757999	NC_086017.1	1.0	0.974	0.974	0.4778
LOC101123968	NC_073227.2	LOC134758000	NC_086017.1	1.0	0.974	0.974	0.4778
LOC101123968	NC_073227.2	LOC134758001	NC_086017.1	1.0	0.974	0.974	0.4778
LOC101123968	NC_073227.2	LOC134758002	NC_086017.1	1.0	0.974	0.974	0.4778
LOC101123968	NC_073227.2	LOC134758003	NC_086017.1	1.0	0.974	0.974	0.4778
LOC101124540	NC_073235.2	LOC101136829	NC_073228.2	1.0	0.921	0.921	0.1478
LOC101124540	NC_073235.2	LOC101147142	NC_073247.2	1.0	0.903	0.903	0.1964
LOC101124540	NC_073235.2	RPL31	NC_073236.2	1.0	0.945	0.945	0.0428
LOC101124995	NC_073229.2	LOC101132577	NC_073231.2	1.0	0.99	0.99	0.699
