cluster_id	member	core_hull	sd_block	block_n_hulls	block_clusters	direct_sd_partner_clusters
MCL0	NC_073244.2:42984641-42985506	42984641-42985506	SDB0	86	MCL0,MCL2,MCL256	MCL2,MCL256
MCL0	NC_073244.2:42990805-42991670	42990805-42991670	SDB0	86	MCL0,MCL2,MCL256	MCL2,MCL256
MCL0	NC_073244.2:42996985-42997850	42996985-42997850	SDB0	86	MCL0,MCL2,MCL256	MCL2,MCL256
MCL0	NC_073244.2:43003146-43004011	43003146-43004011	SDB0	86	MCL0,MCL2,MCL256	MCL2,MCL256
MCL0	NC_073244.2:43009313-43010178	43009313-43010178	SDB0	86	MCL0,MCL2,MCL256	MCL2,MCL256
MCL0	NC_073244.2:43015474-43016339	43015474-43016339	SDB0	86	MCL0,MCL2,MCL256	MCL2,MCL256
MCL0	NC_073244.2:43021635-43022500	43021635-43022500	SDB0	86	MCL0,MCL2,MCL256	MCL2,MCL256
MCL0	NC_073244.2:43035322-43036187	43035322-43036187	SDB0	86	MCL0,MCL2,MCL256	MCL2,MCL256
MCL0	NC_073244.2:43041501-43042366	43041501-43042366	SDB0	86	MCL0,MCL2,MCL256	MCL2,MCL256
MCL0	NC_073244.2:43047651-43048516	43047651-43048516	SDB0	86	MCL0,MCL2,MCL256	MCL2,MCL256
MCL0	NC_073244.2:43053817-43054682	43053817-43054682	SDB0	86	MCL0,MCL2,MCL256	MCL2,MCL256
MCL0	NC_073244.2:43059995-43060860	43059995-43060860	SDB0	86	MCL0,MCL2,MCL256	MCL2,MCL256
MCL0	NC_073244.2:43072335-43073200	43072335-43073200	SDB0	86	MCL0,MCL2,MCL256	MCL2,MCL256
MCL0	NC_073244.2:43078492-43079357	43078492-43079357	SDB0	86	MCL0,MCL2,MCL256	MCL2,MCL256
MCL0	NC_073244.2:43084656-43085521	43084656-43085521	SDB0	86	MCL0,MCL2,MCL256	MCL2,MCL256
MCL0	NC_073244.2:43097000-43097865	43097000-43097865	SDB0	86	MCL0,MCL2,MCL256	MCL2,MCL256
MCL0	NC_073244.2:43103163-43104028	43103163-43104028	SDB0	86	MCL0,MCL2,MCL256	MCL2,MCL256
MCL0	NC_073244.2:43109326-43110191	43109326-43110191	SDB0	86	MCL0,MCL2,MCL256	MCL2,MCL256
MCL0	NC_073244.2:43115485-43116350	43115485-43116350	SDB0	86	MCL0,MCL2,MCL256	MCL2,MCL256
MCL0	NC_073244.2:43121647-43122512	43121647-43122512	SDB0	86	MCL0,MCL2,MCL256	MCL2,MCL256
MCL0	NC_073244.2:43127804-43128669	43127804-43128669	SDB0	86	MCL0,MCL2,MCL256	MCL2,MCL256
