side	target	role	chrom	start	end	n_reads	n_spliced	n_single	N	n_loci	multi_loci	singletons	orphans_rec_spliced	orphans_rec_singleexon	frag_merges	copy_collapse	newborn_loci	fuzzy_induced_collapse
recall	LOC101141440	paralog_copy	NC_073232.2	92105557	92238799	180	119	61	0	64	2	62	0	0	0	NA	0	NA
recall	LOC101141440	paralog_copy	NC_073232.2	92105557	92238799	180	119	61	2	64	2	62	0	0	0	NA	0	NA
recall	LOC101141440	paralog_copy	NC_073232.2	92105557	92238799	180	119	61	5	64	2	62	0	0	0	NA	0	NA
recall	LOC101141440	paralog_copy	NC_073232.2	92105557	92238799	180	119	61	10	64	2	62	0	0	0	NA	0	NA
recall	LOC101141440	paralog_copy	NC_073232.2	92105557	92238799	180	119	61	20	64	2	62	0	0	0	NA	0	NA
recall	LOC101141440	own	NC_073232.2	99608839	99618116	6	4	2	0	4	1	3	0	0	0	NA	0	NA
recall	LOC101141440	own	NC_073232.2	99608839	99618116	6	4	2	2	4	1	3	0	0	0	NA	0	NA
recall	LOC101141440	own	NC_073232.2	99608839	99618116	6	4	2	5	4	1	3	0	0	0	NA	0	NA
recall	LOC101141440	own	NC_073232.2	99608839	99618116	6	4	2	10	4	1	3	0	0	0	NA	0	NA
recall	LOC101141440	own	NC_073232.2	99608839	99618116	6	4	2	20	4	1	3	0	0	0	NA	0	NA
recall	LOC115930538	paralog_copy	NC_073238.2	29962908	29994153	8	4	4	0	5	1	4	0	0	0	NA	0	NA
recall	LOC115930538	paralog_copy	NC_073238.2	29962908	29994153	8	4	4	2	5	1	4	0	0	0	NA	0	NA
recall	LOC115930538	paralog_copy	NC_073238.2	29962908	29994153	8	4	4	5	5	1	4	0	0	0	NA	0	NA
recall	LOC115930538	paralog_copy	NC_073238.2	29962908	29994153	8	4	4	10	5	1	4	0	0	0	NA	0	NA
recall	LOC115930538	paralog_copy	NC_073238.2	29962908	29994153	8	4	4	20	5	1	4	0	0	0	NA	0	NA
recall	LOC115930538	paralog_copy	NC_073238.2	32266743	32352771	76	21	55	0	64	1	63	0	0	0	NA	0	NA
recall	LOC115930538	paralog_copy	NC_073238.2	32266743	32352771	76	21	55	2	63	2	61	2	0	1	NA	1	NA
recall	LOC115930538	paralog_copy	NC_073238.2	32266743	32352771	76	21	55	5	62	2	60	3	0	2	NA	1	NA
recall	LOC115930538	paralog_copy	NC_073238.2	32266743	32352771	76	21	55	10	62	1	61	2	0	2	NA	0	NA
recall	LOC115930538	paralog_copy	NC_073238.2	32266743	32352771	76	21	55	20	61	1	60	3	0	3	NA	0	NA
recall	LOC115930538	paralog_copy	NC_073238.2	33425477	33511623	51	16	35	0	39	1	38	0	0	0	NA	0	NA
recall	LOC115930538	paralog_copy	NC_073238.2	33425477	33511623	51	16	35	2	39	1	38	0	0	0	NA	0	NA
recall	LOC115930538	paralog_copy	NC_073238.2	33425477	33511623	51	16	35	5	39	1	38	0	0	0	NA	0	NA
recall	LOC115930538	paralog_copy	NC_073238.2	33425477	33511623	51	16	35	10	39	1	38	0	0	0	NA	0	NA
recall	LOC115930538	paralog_copy	NC_073238.2	33425477	33511623	51	16	35	20	39	1	38	0	0	0	NA	0	NA
recall	LOC115930538	paralog_copy	NC_073240.2	20415301	20547757	75	49	26	0	30	3	27	0	0	0	NA	0	NA
recall	LOC115930538	paralog_copy	NC_073240.2	20415301	20547757	75	49	26	2	30	3	27	0	0	0	NA	0	NA
recall	LOC115930538	paralog_copy	NC_073240.2	20415301	20547757	75	49	26	5	30	3	27	0	0	0	NA	0	NA
recall	LOC115930538	paralog_copy	NC_073240.2	20415301	20547757	75	49	26	10	30	3	27	0	0	0	NA	0	NA
recall	LOC115930538	paralog_copy	NC_073240.2	20415301	20547757	75	49	26	20	30	3	27	0	0	0	NA	0	NA
recall	LOC115930538	own	NC_073240.2	21123901	21134037	1	1	0	0	1	0	1	0	0	0	NA	0	NA
recall	LOC115930538	own	NC_073240.2	21123901	21134037	1	1	0	2	1	0	1	0	0	0	NA	0	NA
recall	LOC115930538	own	NC_073240.2	21123901	21134037	1	1	0	5	1	0	1	0	0	0	NA	0	NA
recall	LOC115930538	own	NC_073240.2	21123901	21134037	1	1	0	10	1	0	1	0	0	0	NA	0	NA
recall	LOC115930538	own	NC_073240.2	21123901	21134037	1	1	0	20	1	0	1	0	0	0	NA	0	NA
recall	LOC115930538	paralog_copy	NC_073240.2	22123280	22183941	34	25	9	0	10	1	9	0	0	0	NA	0	NA
recall	LOC115930538	paralog_copy	NC_073240.2	22123280	22183941	34	25	9	2	10	1	9	0	0	0	NA	0	NA
recall	LOC115930538	paralog_copy	NC_073240.2	22123280	22183941	34	25	9	5	10	1	9	0	0	0	NA	0	NA
recall	LOC115930538	paralog_copy	NC_073240.2	22123280	22183941	34	25	9	10	10	1	9	0	0	0	NA	0	NA
recall	LOC115930538	paralog_copy	NC_073240.2	22123280	22183941	34	25	9	20	10	1	9	0	0	0	NA	0	NA
recall	LOC115930538	paralog_copy	NC_073240.2	24224495	24300314	86	54	32	0	34	2	32	0	0	0	NA	0	NA
recall	LOC115930538	paralog_copy	NC_073240.2	24224495	24300314	86	54	32	2	34	2	32	0	0	0	NA	0	NA
