family	gene	copyA	geneA	chromA	copyB	geneB	chromB	read	switch_type	n_switches	full_switches	n_full_ab	clean_full	n_info_bubbles	impurity	tract_bubbles	tract_chrom	tract_start	tract_end	tract_bp	switch_brackets	microhomology	cluster_id	cluster_size	recurrent	recomb_fraction	structural_call	dna_support	classification	gate_status	should_abstain	gate_leak
0	?	copy0	GSTM2	NC_073224.2:129364055-129435645	copy1	GSTM2	NC_073224.2:130222432-130281766	m64076_221110_210557/122618963/ccs	crossover	1	1	16	1	14	1	0	NC_073224.2	129433789	129434208	419	184-206	0	F0_C0	1	0	0.016	sporadic_chimera	unchecked	ChimeraSuspect	assigned	1	1
0	?	copy0	GSTM2	NC_073224.2:129364055-129435645	copy2	LOC129525331	NC_073224.2:125048347-125095445	m64076_221110_210557/6095750/ccs	crossover	1	1	11	1	10	0	0	NC_073224.2	129433121	129433789	668	155-184	0	F0_C1	1	0	0.005	sporadic_chimera	unchecked	ChimeraSuspect	assigned	1	1
0	?	copy2	LOC129525331	NC_073224.2:125048347-125095445	copy6	LOC129525330	NC_073224.2:125591784-125598382	m64076_221110_210557/88277639/ccs	conversion	2	3	8	0	7	0	2	NC_073224.2	129434510	129434551	41	213-214;216-220	0	F0_C10	1	0	0.005	sporadic_chimera	unchecked	ChimeraSuspect	assigned	1	1
0	?	copy4	LOC129525599	NC_073224.2:116807774-116847210	copy6	LOC129525330	NC_073224.2:125591784-125598382	m64076_221110_210557/41484480/ccs	conversion	2	6	89	0	82	0	2	NC_073224.2	129431913	129431915	2	93-103;104-108	0	F0_C11	1	0	0.021	sporadic_chimera	unchecked	ChimeraSuspect	assigned	1	1
0	?	copy5	LOC134756861	NC_073224.2:117489966-117529051	copy6	LOC129525330	NC_073224.2:125591784-125598382	m64076_221110_210557/134415864/ccs	conversion	2	2	14	1	12	0	3	NC_073224.2	129434596	129434661	65	220-221;226-235	0	F0_C12	1	0	0.008	sporadic_chimera	unchecked	ChimeraSuspect	assigned	1	1
0	?	copy0	GSTM2	NC_073224.2:129364055-129435645	copy5	LOC134756861	NC_073224.2:117489966-117529051	m64076_221110_210557/43518005/ccs	crossover	1	3	9	0	8	0	0	NC_073224.2	129434150	129434412	262	203-212	0	F0_C2	2	0	0.016	sporadic_chimera	unchecked	ChimeraSuspect	assigned	1	1
0	?	copy0	GSTM2	NC_073224.2:129364055-129435645	copy5	LOC134756861	NC_073224.2:117489966-117529051	m64076_221110_210557/64686911/ccs	crossover	1	3	9	0	8	0	0	NC_073224.2	129434150	129434412	262	203-212	0	F0_C2	2	0	0.016	sporadic_chimera	unchecked	ChimeraSuspect	assigned	1	1
0	?	copy0	GSTM2	NC_073224.2:129364055-129435645	copy6	LOC129525330	NC_073224.2:125591784-125598382	m64076_221110_210557/96995672/ccs	conversion	2	6	11	0	7	0	2	NC_073224.2	129433789	129434596	807	146-184;221-225	0	F0_C3	1	0	0.016	sporadic_chimera	unchecked	ChimeraSuspect	assigned	1	1
0	?	copy0	GSTM2	NC_073224.2:129364055-129435645	copy6	LOC129525330	NC_073224.2:125591784-125598382	m64076_221110_210557/100271628/ccs	crossover	1	1	5	1	5	0	0	NC_073224.2	129434596	129434660	64	221-225	0	F0_C4	173	1	0.739	systematic_copy_split	unchecked	GeneConversion	assigned	1	1
0	?	copy0	GSTM2	NC_073224.2:129364055-129435645	copy6	LOC129525330	NC_073224.2:125591784-125598382	m64076_221110_210557/100731426/ccs	crossover	1	1	5	1	5	0	0	NC_073224.2	129434596	129434660	64	221-225	0	F0_C4	173	1	0.739	systematic_copy_split	unchecked	GeneConversion	assigned	1	1
0	?	copy0	GSTM2	NC_073224.2:129364055-129435645	copy6	LOC129525330	NC_073224.2:125591784-125598382	m64076_221110_210557/100992323/ccs	crossover	1	1	5	1	5	0	0	NC_073224.2	129434596	129434660	64	221-225	0	F0_C4	173	1	0.739	systematic_copy_split	unchecked	GeneConversion	assigned	1	1
0	?	copy0	GSTM2	NC_073224.2:129364055-129435645	copy6	LOC129525330	NC_073224.2:125591784-125598382	m64076_221110_210557/103483410/ccs	crossover	1	1	5	1	5	0	0	NC_073224.2	129434596	129434660	64	221-225	0	F0_C4	173	1	0.739	systematic_copy_split	unchecked	GeneConversion	assigned	1	1
0	?	copy0	GSTM2	NC_073224.2:129364055-129435645	copy6	LOC129525330	NC_073224.2:125591784-125598382	m64076_221110_210557/103746024/ccs	crossover	1	1	5	1	5	0	0	NC_073224.2	129434596	129434660	64	221-225	0	F0_C4	173	1	0.739	systematic_copy_split	unchecked	GeneConversion	assigned	1	1
0	?	copy0	GSTM2	NC_073224.2:129364055-129435645	copy6	LOC129525330	NC_073224.2:125591784-125598382	m64076_221110_210557/109577148/ccs	crossover	1	1	5	1	5	0	0	NC_073224.2	129434596	129434660	64	221-225	0	F0_C4	173	1	0.739	systematic_copy_split	unchecked	GeneConversion	assigned	1	1
0	?	copy0	GSTM2	NC_073224.2:129364055-129435645	copy6	LOC129525330	NC_073224.2:125591784-125598382	m64076_221110_210557/112396822/ccs	crossover	1	1	5	1	5	0	0	NC_073224.2	129434596	129434660	64	221-225	0	F0_C4	173	1	0.739	systematic_copy_split	unchecked	GeneConversion	assigned	1	1
0	?	copy0	GSTM2	NC_073224.2:129364055-129435645	copy6	LOC129525330	NC_073224.2:125591784-125598382	m64076_221110_210557/114098845/ccs	crossover	1	1	5	1	5	0	0	NC_073224.2	129434596	129434660	64	221-225	0	F0_C4	173	1	0.739	systematic_copy_split	unchecked	GeneConversion	assigned	1	1
0	?	copy0	GSTM2	NC_073224.2:129364055-129435645	copy6	LOC129525330	NC_073224.2:125591784-125598382	m64076_221110_210557/114166412/ccs	crossover	1	1	5	1	5	0	0	NC_073224.2	129434596	129434660	64	221-225	0	F0_C4	173	1	0.739	systematic_copy_split	unchecked	GeneConversion	assigned	1	1
0	?	copy0	GSTM2	NC_073224.2:129364055-129435645	copy6	LOC129525330	NC_073224.2:125591784-125598382	m64076_221110_210557/114360774/ccs	crossover	1	1	5	1	5	0	0	NC_073224.2	129434596	129434660	64	221-225	0	F0_C4	173	1	0.739	systematic_copy_split	unchecked	GeneConversion	assigned	1	1
0	?	copy0	GSTM2	NC_073224.2:129364055-129435645	copy6	LOC129525330	NC_073224.2:125591784-125598382	m64076_221110_210557/114492143/ccs	crossover	1	1	5	1	5	0	0	NC_073224.2	129434596	129434660	64	221-225	0	F0_C4	173	1	0.739	systematic_copy_split	unchecked	GeneConversion	assigned	1	1
0	?	copy0	GSTM2	NC_073224.2:129364055-129435645	copy6	LOC129525330	NC_073224.2:125591784-125598382	m64076_221110_210557/114624678/ccs	crossover	1	1	4	1	4	0	0	NC_073224.2	129434596	129434660	64	221-225	0	F0_C4	173	1	0.739	systematic_copy_split	unchecked	GeneConversion	assigned	1	1
0	?	copy0	GSTM2	NC_073224.2:129364055-129435645	copy6	LOC129525330	NC_073224.2:125591784-125598382	m64076_221110_210557/114688561/ccs	crossover	1	1	5	1	5	0	0	NC_073224.2	129434596	129434660	64	221-225	0	F0_C4	173	1	0.739	systematic_copy_split	unchecked	GeneConversion	assigned	1	1
0	?	copy0	GSTM2	NC_073224.2:129364055-129435645	copy6	LOC129525330	NC_073224.2:125591784-125598382	m64076_221110_210557/115017472/ccs	crossover	1	1	5	1	5	0	0	NC_073224.2	129434596	129434660	64	221-225	0	F0_C4	173	1	0.739	systematic_copy_split	unchecked	GeneConversion	assigned	1	1
0	?	copy0	GSTM2	NC_073224.2:129364055-129435645	copy6	LOC129525330	NC_073224.2:125591784-125598382	m64076_221110_210557/115475821/ccs	crossover	1	1	5	1	5	0	0	NC_073224.2	129434596	129434660	64	221-225	0	F0_C4	173	1	0.739	systematic_copy_split	unchecked	GeneConversion	assigned	1	1
0	?	copy0	GSTM2	NC_073224.2:129364055-129435645	copy6	LOC129525330	NC_073224.2:125591784-125598382	m64076_221110_210557/115739259/ccs	crossover	1	1	5	1	5	0	0	NC_073224.2	129434596	129434660	64	221-225	0	F0_C4	173	1	0.739	systematic_copy_split	unchecked	GeneConversion	assigned	1	1
0	?	copy0	GSTM2	NC_073224.2:129364055-129435645	copy6	LOC129525330	NC_073224.2:125591784-125598382	m64076_221110_210557/11600698/ccs	crossover	1	1	5	1	5	0	0	NC_073224.2	129434596	129434660	64	221-225	0	F0_C4	173	1	0.739	systematic_copy_split	unchecked	GeneConversion	assigned	1	1
0	?	copy0	GSTM2	NC_073224.2:129364055-129435645	copy6	LOC129525330	NC_073224.2:125591784-125598382	m64076_221110_210557/116916914/ccs	crossover	1	1	5	1	5	0	0	NC_073224.2	129434596	129434660	64	221-225	0	F0_C4	173	1	0.739	systematic_copy_split	unchecked	GeneConversion	assigned	1	1
0	?	copy0	GSTM2	NC_073224.2:129364055-129435645	copy6	LOC129525330	NC_073224.2:125591784-125598382	m64076_221110_210557/116982546/ccs	crossover	1	1	5	1	5	0	0	NC_073224.2	129434596	129434660	64	221-225	0	F0_C4	173	1	0.739	systematic_copy_split	unchecked	GeneConversion	assigned	1	1
0	?	copy0	GSTM2	NC_073224.2:129364055-129435645	copy6	LOC129525330	NC_073224.2:125591784-125598382	m64076_221110_210557/117573599/ccs	crossover	1	1	5	1	5	0	0	NC_073224.2	129434596	129434660	64	221-225	0	F0_C4	173	1	0.739	systematic_copy_split	unchecked	GeneConversion	assigned	1	1
0	?	copy0	GSTM2	NC_073224.2:129364055-129435645	copy6	LOC129525330	NC_073224.2:125591784-125598382	m64076_221110_210557/120586301/ccs	crossover	1	1	5	1	5	0	0	NC_073224.2	129434596	129434660	64	221-225	0	F0_C4	173	1	0.739	systematic_copy_split	unchecked	GeneConversion	assigned	1	1
0	?	copy0	GSTM2	NC_073224.2:129364055-129435645	copy6	LOC129525330	NC_073224.2:125591784-125598382	m64076_221110_210557/120785550/ccs	crossover	1	1	5	1	5	0	0	NC_073224.2	129434596	129434660	64	221-225	0	F0_C4	173	1	0.739	systematic_copy_split	unchecked	GeneConversion	assigned	1	1
0	?	copy0	GSTM2	NC_073224.2:129364055-129435645	copy6	LOC129525330	NC_073224.2:125591784-125598382	m64076_221110_210557/122226267/ccs	crossover	1	1	5	1	5	0	0	NC_073224.2	129434596	129434660	64	221-225	0	F0_C4	173	1	0.739	systematic_copy_split	unchecked	GeneConversion	assigned	1	1
