family	gene	n_loci_ref	K_read	chi_H	sedef_partners	sex	hap_CN_mat	hap_CN_pat	frag_mat	frag_pat	asm_hapCN	class	cnv_autosomal
0	GSTM2	47	0	7	47	auto	19	19	2	2	19	multi_copy	0
1	LOC109025447	35	2	1	9	auto	11	9	0	0	11	multi_copy	1
2	NA	32	NA	NA	NA	auto	1	1	2	3	1	single_locus_allele	0
3	NA	31	NA	NA	NA	auto	3	3	0	0	3	multi_copy	0
4	NA	25	NA	NA	NA	mixed_sex	9	11	0	0	11	multi_copy	1
5	TUBGCP5	23	0	2	5	auto	2	2	2	2	2	multi_copy	0
6	NA	22	NA	NA	NA	auto	1	1	10	10	1	single_locus_allele	0
7	LOC129534585	21	1	1	100	auto	7	7	0	0	7	multi_copy	0
8	NA	19	NA	NA	NA	auto	2	2	3	3	2	multi_copy	0
9	NA	17	NA	NA	NA	auto	27	21	1	5	27	multi_copy	1
10	LOC115930576	16	2	2	40	auto	15	16	7	8	16	multi_copy	1
11	LOC101130894	15	2	2	37	auto	16	15	2	2	16	multi_copy	1
12	NA	15	NA	NA	NA	auto	8	8	1	1	8	multi_copy	0
13	NA	14	NA	NA	NA	auto	5	5	3	3	5	multi_copy	0
14	LOC115930164	14	1	1	138	auto	13	5	32	15	13	multi_copy	1
15	LOC115932756	14	1	3	12	auto	9	11	1	1	11	multi_copy	1
16	NA	14	NA	NA	NA	auto	7	7	0	0	7	multi_copy	0
17	NA	14	NA	NA	NA	auto	3	3	1	1	3	multi_copy	0
18	LOC134757299	13	6	9	23	auto	23	23	0	0	23	multi_copy	0
19	NA	13	NA	NA	NA	auto	5	5	1	1	5	multi_copy	0
20	NA	13	NA	NA	NA	auto	2	2	0	0	2	multi_copy	0
21	LOC101141440	12	3	1	59	auto	6	6	2	2	6	multi_copy	0
22	LOC115933254	12	3	1	50	auto	7	8	0	0	8	multi_copy	1
23	NA	11	NA	NA	NA	auto	2	2	0	0	2	multi_copy	0
24	LOC101129940	10	2	3	4	auto	3	3	0	0	3	multi_copy	0
25	NA	10	NA	NA	NA	auto	2	2	2	2	2	multi_copy	0
26	NA	10	NA	NA	NA	auto	2	2	0	0	2	multi_copy	0
27	LOC129526550	10	2	5	24	auto	13	13	0	0	13	multi_copy	0
28	NA	10	NA	NA	NA	auto	4	4	6	6	4	multi_copy	0
29	NA	10	NA	NA	NA	mixed_sex	1	1	0	0	1	single_locus_allele	0
30	IKBKG	10	0	2	2	X	2	0	0	0	2	multi_copy	0
31	LOC109025132	9	1	3	30	auto	4	4	0	0	4	multi_copy	0
32	LOC115934629	9	4	3	37	auto	5	5	1	1	5	multi_copy	0
33	NA	9	NA	NA	NA	auto	2	2	0	0	2	multi_copy	0
34	LOC115930538	9	3	1	203	auto	12	12	9	9	12	multi_copy	0
35	NA	9	NA	NA	NA	auto	3	3	2	2	3	multi_copy	0
36	LOC129523519	9	0	2	3	auto	3	3	0	0	3	multi_copy	0
37	NA	9	NA	NA	NA	auto	2	2	0	0	2	multi_copy	0
38	NA	9	NA	NA	NA	Y	0	16	0	0	16	multi_copy	0
39	LOC134756389	8	2	5	8	mixed_sex	5	5	0	0	5	multi_copy	0
40	NA	8	NA	NA	NA	auto	1	2	4	3	2	cnv	0
41	NA	8	NA	NA	NA	auto	10	7	1	1	10	multi_copy	1
42	LOC129529768	8	2	8	2	X	12	0	0	9	12	multi_copy	0
43	NA	8	NA	NA	NA	X	1	0	1	45	1	single_locus_allele	0
44	NA	7	NA	NA	NA	auto	21	21	2	2	21	multi_copy	0
45	NA	7	NA	NA	NA	auto	1	1	0	0	1	single_locus_allele	0
46	LOC101145461	7	1	2	9	X	2	0	0	5	2	multi_copy	0
47	LOC101139703	7	1	2	76	auto	13	15	8	14	15	multi_copy	1
48	NA	7	NA	NA	NA	auto	2	2	0	0	2	multi_copy	0
49	NA	7	NA	NA	NA	auto	30	28	1	2	30	multi_copy	1
50	MPHOSPH8	7	1	2	11	auto	2	2	1	1	2	multi_copy	0
51	NA	7	NA	NA	NA	auto	2	2	0	0	2	multi_copy	0
52	NA	7	NA	NA	NA	auto	5	3	0	0	5	multi_copy	1
53	NA	7	NA	NA	NA	X	2	0	0	52	2	multi_copy	0
54	LOC134758386	6	0	2	12	auto	2	2	2	2	2	multi_copy	0
55	NA	6	NA	NA	NA	auto	4	4	0	0	4	multi_copy	0
56	NA	6	NA	NA	NA	auto	2	2	0	0	2	multi_copy	0
57	NA	6	NA	NA	NA	auto	4	3	0	0	4	multi_copy	1
58	DHRSX	6	2	2	4	mixed_sex	1	1	0	0	1	single_locus_allele	0
59	NA	6	NA	NA	NA	auto	6	6	0	0	6	multi_copy	0
60	NA	6	NA	NA	NA	auto	3	3	0	0	3	multi_copy	0
61	NA	6	NA	NA	NA	auto	8	6	0	0	8	multi_copy	1
62	LOC109023386	6	2	1	15	auto	4	3	0	0	4	multi_copy	1
63	LOC129529986	6	3	1	9	X	2	0	0	0	2	multi_copy	0
64	NA	5	NA	NA	NA	auto	2	2	1	1	2	multi_copy	0
65	ZNF425	5	2	4	97	auto	21	26	5	4	26	multi_copy	1
66	NA	5	NA	NA	NA	auto	2	2	1	1	2	multi_copy	0
67	NA	5	NA	NA	NA	auto	3	3	3	4	3	multi_copy	0
68	LOC129523521	5	0	2	10	auto	4	4	0	0	4	multi_copy	0
69	LOC115932259	5	0	1	2	X	2	0	0	0	2	multi_copy	0
70	NA	4	NA	NA	NA	auto	5	3	6	7	5	multi_copy	1
71	PLEKHM1	4	2	2	11	auto	3	3	0	0	3	multi_copy	0
72	NA	4	NA	NA	NA	auto	16	15	6	7	16	multi_copy	1
73	NA	4	NA	NA	NA	auto	2	2	0	0	2	multi_copy	0
74	LOC134758618	4	1	3	16	auto	3	3	0	0	3	multi_copy	0
75	CPLANE1	4	2	1	6	auto	6	6	2	2	6	multi_copy	0
76	NA	4	NA	NA	NA	auto	1	1	21	20	1	single_locus_allele	0
77	NA	4	NA	NA	NA	auto	2	2	0	0	2	multi_copy	0
78	NA	4	NA	NA	NA	auto	4	3	0	0	4	multi_copy	1
79	SNRNP25	4	2	2	3	auto	2	2	0	0	2	multi_copy	0
80	NA	4	NA	NA	NA	auto	4	4	33	27	4	multi_copy	0
81	NA	4	NA	NA	NA	auto	3	3	0	0	3	multi_copy	0
82	FOXO1	4	4	2	15	auto	2	2	0	0	2	multi_copy	0
83	NA	4	NA	NA	NA	auto	6	5	1	1	6	multi_copy	1
84	NA	4	NA	NA	NA	auto	2	2	0	0	2	multi_copy	0
