family_id	gene	chrom	start	end	base_detected	tied_seed_detected	topup_detected	verdict
ID_146	AC233280.19	chr3	198342015	198343130	N	N	Y	COVERAGE-RECOVERABLE (ideal coverage seeds it)
ID_146	AC124944.2	chr3	198403551	198444967	Y	Y	Y	already-detected (per-region base)
ID_127	TCAF2	chr7	144980464	145010762	N	N	Y	COVERAGE-RECOVERABLE (ideal coverage seeds it)
ID_127	AC099548.2	chr7	145042141	145117285	N	N	Y	COVERAGE-RECOVERABLE (ideal coverage seeds it)
ID_127	TCAF2C	chr7	145090337	145098763	N	N	Y	COVERAGE-RECOVERABLE (ideal coverage seeds it)
ID_43	TRIM64B	chr11	89788985	89795720	N	Y	N	structural/K=0 floor (still no locus with ideal coverage)
ID_43	TRIM64	chr11	89888639	89894223	N	N	N	structural/K=0 floor (still no locus with ideal coverage)
ID_131	AC105272.1	chr1	103516936	103517135	N	N	Y	COVERAGE-RECOVERABLE (ideal coverage seeds it)
ID_313	CDH12P1	chr5	70901860	70902156	N	N	N	structural/K=0 floor (still no locus with ideal coverage)
ID_313	CDH12P3	chr5	71589693	71589989	N	N	N	structural/K=0 floor (still no locus with ideal coverage)
ID_386	LIMS1	chr2	108994973	109147842	N	N	N	structural/K=0 floor (still no locus with ideal coverage)
ID_386	LIMS4	chr2	110869109	110895544	Y	Y	Y	already-detected (per-region base)
ID_481	UBE2Q2P8	chr15	82169947	82170050	N	N	N	structural/K=0 floor (still no locus with ideal coverage)
ID_402	NCF1B	chr7	74420835	74436153	N	N	Y	COVERAGE-RECOVERABLE (ideal coverage seeds it)
ID_402	NCF1	chr7	75976253	75991692	N	N	Y	COVERAGE-RECOVERABLE (ideal coverage seeds it)
ID_402	NCF1C	chr7	76360590	76375995	N	N	Y	COVERAGE-RECOVERABLE (ideal coverage seeds it)
ID_407	TRIM74	chr7	74187708	74197691	N	N	N	structural/K=0 floor (still no locus with ideal coverage)
ID_407	TRIM73	chr7	76682335	76698280	N	N	N	structural/K=0 floor (still no locus with ideal coverage)
