transcript_id	chrom	start	end	n_reads	n_psv_assigned	n_copies_supported	copies
STRG.15821.1	NC_073243.2	18565770	18638553	235	0	0	
STRG.15821.5	NC_073243.2	18565770	18638553	235	0	0	
STRG.15821.9	NC_073243.2	18565770	18638553	235	0	0	
STRG.15821.10	NC_073243.2	18565770	18638553	235	0	0	
STRG.15821.11	NC_073243.2	18635039	18660804	120	0	0	
STRG.15821.12	NC_073243.2	18635039	18667424	120	0	0	
STRG.15821.13	NC_073243.2	18635039	18667424	120	0	0	
STRG.15821.14	NC_073243.2	18635039	18660804	120	0	0	
STRG.15821.15	NC_073243.2	18635039	18667424	120	0	0	
STRG.15821.16	NC_073243.2	18635039	18654759	119	0	0	
