family_id	seed_tid	tid	chrom	start	end	n_exon	strand	n_reads	identity	coverage
GWFAM31	DN_NC_073229.2_44451307_4	SE_NC_073229.2_44402484_4	NC_073229.2	44402484	44412589	4	+	2	1.0000	0.9976
GWFAM115	DN_NC_073242.2_35624699_9	SE_NC_073242.2_35298120_9	NC_073242.2	35298120	35364392	9	-	1	1.0000	0.9954
GWFAM142	DN_NC_073247.2_114140053_23	SE_NC_073247.2_114041731_23	NC_073247.2	114041731	114106256	23	+	1	0.9975	0.9916
GWFAM138	DN_NC_073247.2_62249491_13	SE_NC_073247.2_62361058_13	NC_073247.2	62361058	62368506	13	+	2	0.9938	0.9934
GWFAM151	DN_NC_073248.2_34839953_6	SE_NC_073248.2_34736504_6	NC_073248.2	34736504	34739253	6	-	1	0.9857	0.9991
GWFAM82	DN_NC_073237.2_109461618_3	SE_NC_073237.2_109453321_3	NC_073237.2	109453321	109460094	3	-	1	0.9889	0.9902
GWFAM151	DN_NC_073248.2_34819290_6	SE_NC_073248.2_34757175_6	NC_073248.2	34757175	34759904	6	-	2	1.0000	0.9774
GWFAM142	DN_NC_073247.2_114041708_23	SE_NC_073247.2_114140055_23	NC_073247.2	114140055	114204695	23	-	2	0.9850	0.9912
GWFAM34	DN_NC_073229.2_49583457_41	SE_NC_073229.2_49609918_41	NC_073229.2	49609918	49624154	41	+	1	0.9769	0.9983
GWFAM61	DN_NC_073235.2_144819833_8	SE_NC_073242.2_3677891_8	NC_073242.2	3677891	3681175	8	-	2	0.9905	0.9841
GWFAM151	DN_NC_073248.2_34819290_6	SE_NC_073248.2_34798631_6	NC_073248.2	34798631	34801358	6	-	1	0.9926	0.9764
GWFAM92	DN_NC_073239.2_35520653_9	SE_NC_073239.2_35396951_9	NC_073239.2	35396951	35468587	9	+	1	0.9942	0.9731
GWFAM138	DN_NC_073247.2_62361058_13	SE_NC_073247.2_62249491_13	NC_073247.2	62249491	62256960	13	-	1	0.9746	0.9865
