cid	kind	chrom	start	end	protein	divergence	n_loci_read	haploid_label	ref_loci	mat_loci	pat_loci	ref_frag	mat_frag	pat_frag	best_id_ref	best_id_mat	best_id_pat	anyid_ref	anyid_mat	anyid_pat	allcov_ref	allcov_mat	allcov_pat	diploid_label	subclass	confidence	oracle_family	oracle_class	oracle_collapsed	reason
NC_073224.2_6827750	collapsed	NC_073224.2	6827750	6872337	LOC101124243	3.5	2	AMBIGUOUS	2	2	2	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	0.9239	0.9239	0.9239	UNDECIDABLE		med				reference already models 2 loci and both haplotypes match (no diploid-visible extra) -- RNA variant is an allele of an existing copy / reference already contains the paralog (MHC-class); not a NEW reference-absent copy
NC_073224.2_42258427	collapsed	NC_073224.2	42258427	42453811	TIGD1	5.7	1	AMBIGUOUS	1	1	1	0	0	0	0.9615	0.9635	0.9615	0.9615	0.9635	0.9615	0.9944	0.9944	0.9944	ALLELE		med				single locus in reference AND both haplotypes (ref=mat=pat=1) -- the co-segregating RNA PSVs are a het allele of a one-copy gene, not a copy
NC_073224.2_45327469	collapsed	NC_073224.2	45327469	45379775	NO-HIT	7.8	None	AMBIGUOUS	1	1	1	0	0	0	0.9402	0.9463	0.9402	0.9402	0.9463	0.9402	0.6925	0.6925	0.6925	ALLELE		med				single locus in reference AND both haplotypes (ref=mat=pat=1) -- the co-segregating RNA PSVs are a het allele of a one-copy gene, not a copy
NC_073224.2_63992094	collapsed	NC_073224.2	63992094	64010610	LOC109027270	13.9	1	ALLELE/HET	1	1	1	0	0	0	0.9983	0.9984	0.9983	0.9983	0.9984	0.9983	0.7189	0.7189	0.7189	ALLELE		med				single locus in reference AND both haplotypes (ref=mat=pat=1) -- the co-segregating RNA PSVs are a het allele of a one-copy gene, not a copy
NC_073224.2_116807774	collapsed	NC_073224.2	116807774	116847210	LOC129525599	71.2	None	COPY	0	0	0	1	0	1	0.9852	0.0	0.9852	0.9852	0.0	0.9852	0.1158	0.0	0.1158	NOVEL	partial_present	high	0	multi_copy	0	reference/hap-PRESENT but only PARTIAL coverage: high-identity (~99%) fragments cover 12% (<50%) of the consensus in ref -- chimeric/fragmentary transcript consensus of a locus that IS in the genome, not a full extra copy and not novel
NC_073224.2_117489966	collapsed	NC_073224.2	117489966	117529051	LOC129525331	15.1	12	AMBIGUOUS	0	0	0	14	14	15	1.0	1.0	1.0	1.0	1.0	1.0	0.2753	0.3149	0.2146	NOVEL	partial_present	high	0	multi_copy	0	reference/hap-PRESENT but only PARTIAL coverage: high-identity (~100%) fragments cover 28% (<50%) of the consensus in ref -- chimeric/fragmentary transcript consensus of a locus that IS in the genome, not a full extra copy and not novel
NC_073224.2_124254598	collapsed	NC_073224.2	124254598	124347827	LOC115932735	15.2	11	AMBIGUOUS	1	0	1	14	15	15	1.0	1.0	1.0	1.0	1.0	1.0	0.5034	0.395	0.5034	UNDECIDABLE		low	70	multi_copy	1	ambiguous / contradictory locus counts (ref=1,mat=0,pat=1) -- no clean diploid resolution
NC_073224.2_130011266	collapsed	NC_073224.2	130011266	130080187	LOC101126097	21.8	None	COPY	3	3	3	5	5	5	1.0	1.0	1.0	1.0	1.0	1.0	0.6411	0.6364	0.6411	UNDECIDABLE		med	13	multi_copy	0	reference already models 3 loci and both haplotypes match (no diploid-visible extra) -- RNA variant is an allele of an existing copy / reference already contains the paralog (MHC-class); not a NEW reference-absent copy
NC_073224.2_239511912	collapsed	NC_073224.2	239511912	239565347	CDK11B	7.5	1	ALLELE/HET	0	1	0	1	0	1	0.9916	0.9924	0.9916	0.9916	0.9924	0.9916	0.4336	0.5276	0.4336	ALLELE		high				extra locus on MATERNAL only (ref=0,mat=1,pat=0) -- heterozygous one-chromosome CNV, not a germline copy
NC_073227.2_22580407	collapsed	NC_073227.2	22580407	22736808	LOC129534172	3.5	1	AMBIGUOUS	1	1	1	3	3	2	0.9916	0.9933	0.9916	0.9916	0.9933	0.9916	1.0	1.0	1.0	ALLELE		med				single locus in reference AND both haplotypes (ref=mat=pat=1) -- the co-segregating RNA PSVs are a het allele of a one-copy gene, not a copy
NC_073227.2_36265854	collapsed	NC_073227.2	36265854	36545762	NO-HIT	74.5	None	COPY	0	0	0	1	1	1	0.9967	1.0	0.9967	0.9967	1.0	0.9967	0.0925	0.0925	0.0925	NOVEL	partial_present	high				reference/hap-PRESENT but only PARTIAL coverage: high-identity (~100%) fragments cover 9% (<50%) of the consensus in mat -- chimeric/fragmentary transcript consensus of a locus that IS in the genome, not a full extra copy and not novel
NC_073227.2_138707546	collapsed	NC_073227.2	138707546	138780623	PRSS12	6.4	1	ALLELE/HET	1	1	1	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	0.6063	0.6063	0.6063	ALLELE		med				single locus in reference AND both haplotypes (ref=mat=pat=1) -- the co-segregating RNA PSVs are a het allele of a one-copy gene, not a copy
NC_073227.2_139053638	collapsed	NC_073227.2	139053638	139225281	SYNPO2	8.9	1	ALLELE/HET	1	1	1	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	0.8064	0.8064	0.8064	ALLELE		med				single locus in reference AND both haplotypes (ref=mat=pat=1) -- the co-segregating RNA PSVs are a het allele of a one-copy gene, not a copy
NC_073227.2_174237338	collapsed	NC_073227.2	174237338	174372512	TRIM2	7.5	1	AMBIGUOUS	1	1	1	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	0.6697	0.6697	0.6697	ALLELE		med				single locus in reference AND both haplotypes (ref=mat=pat=1) -- the co-segregating RNA PSVs are a het allele of a one-copy gene, not a copy
NC_073227.2_204398881	collapsed	NC_073227.2	204398881	204427731	CHN1	4.3	1	ALLELE/HET	1	1	1	0	0	0	0.9878	0.9971	0.9878	0.9878	0.9971	0.9878	0.9117	0.9117	0.9117	ALLELE		med				single locus in reference AND both haplotypes (ref=mat=pat=1) -- the co-segregating RNA PSVs are a het allele of a one-copy gene, not a copy
NC_073227.2_208632617	collapsed	NC_073227.2	208632617	208674896	ZDHHC13	13.1	2	AMBIGUOUS	1	1	1	2	2	2	0.9978	0.9978	0.9978	0.9978	0.9978	0.9978	0.7552	0.7552	0.7552	ALLELE		med				single locus in reference AND both haplotypes (ref=mat=pat=1) -- the co-segregating RNA PSVs are a het allele of a one-copy gene, not a copy
NC_073227.2_210005207	collapsed	NC_073227.2	210005207	210049158	NO-HIT	9.2	None	ALLELE/HET	1	1	1	0	0	0	0.9955	1.0	0.9955	0.9955	1.0	0.9955	0.8731	0.8731	0.8731	ALLELE		med				single locus in reference AND both haplotypes (ref=mat=pat=1) -- the co-segregating RNA PSVs are a het allele of a one-copy gene, not a copy
NC_073228.2_11708010	collapsed	NC_073228.2	11708010	11769380	SLC26A11	11.1	1	ALLELE/HET	0	0	0	1	1	1	0.9988	0.9989	0.9988	0.9988	0.9989	0.9988	0.3042	0.3042	0.3042	NOVEL	partial_present	high				reference/hap-PRESENT but only PARTIAL coverage: high-identity (~100%) fragments cover 30% (<50%) of the consensus in mat -- chimeric/fragmentary transcript consensus of a locus that IS in the genome, not a full extra copy and not novel
NC_073228.2_17861469	collapsed	NC_073228.2	17861469	17917649	NO-HIT	40.3	None	DIVERGENT-NOVEL	0	0	0	1	1	1	0.9721	0.9777	0.9721	0.9721	0.9777	0.9721	0.2291	0.2291	0.2291	NOVEL	partial_present	high				reference/hap-PRESENT but only PARTIAL coverage: high-identity (~98%) fragments cover 23% (<50%) of the consensus in mat -- chimeric/fragmentary transcript consensus of a locus that IS in the genome, not a full extra copy and not novel
NC_073228.2_21847044	collapsed	NC_073228.2	21847044	21893022	E2F6	31.7	None	COPY	0	0	0	1	1	1	0.996	0.996	0.996	0.996	0.996	0.996	0.7837	0.7837	0.7837	NOVEL	subthreshold_present	high				reference/hap-PRESENT below the id>=0.9 gate: a 78%-coverage locus aligns at ~89% identity in ref -- a single divergent locus that IS in the genome (transcript consensus ~11% diverged), not a full >=90% copy and NOT novel-to-genome
NC_073228.2_111658883	collapsed	NC_073228.2	111658883	112183378	CMTM7	8.9	2	AMBIGUOUS	1	1	1	0	0	0	0.9949	0.9922	0.9949	0.9949	0.9922	0.9949	0.7019	0.7019	0.7019	ALLELE		med				single locus in reference AND both haplotypes (ref=mat=pat=1) -- the co-segregating RNA PSVs are a het allele of a one-copy gene, not a copy
NC_073228.2_144645073	collapsed	NC_073228.2	144645073	144848266	LOC101141132	19.0	None	AMBIGUOUS	1	1	1	0	0	0	0.9403	0.9407	0.9403	0.9403	0.9407	0.9403	0.8097	0.8097	0.8097	ALLELE		med				single locus in reference AND both haplotypes (ref=mat=pat=1) -- the co-segregating RNA PSVs are a het allele of a one-copy gene, not a copy
NC_073228.2_145157314	collapsed	NC_073228.2	145157314	145343542	LOC101128585	14.7	1	AMBIGUOUS	1	1	1	0	0	0	0.909	0.9108	0.909	0.909	0.9108	0.909	0.9765	0.9765	0.9765	ALLELE		med				single locus in reference AND both haplotypes (ref=mat=pat=1) -- the co-segregating RNA PSVs are a het allele of a one-copy gene, not a copy
NC_073228.2_177789227	collapsed	NC_073228.2	177789227	177907979	NSG2	3.1	1	AMBIGUOUS	1	1	1	0	0	0	0.9925	1.0	0.9925	0.9925	1.0	0.9925	0.8646	0.8646	0.8646	ALLELE		med				single locus in reference AND both haplotypes (ref=mat=pat=1) -- the co-segregating RNA PSVs are a het allele of a one-copy gene, not a copy
NC_073229.2_18073875	collapsed	NC_073229.2	18073875	18312763	LOC115931578	10.0	None	AMBIGUOUS	1	1	1	0	0	0	0.9707	0.9707	0.9768	0.9707	0.9707	0.9768	0.8401	0.8401	0.8401	ALLELE		med				single locus in reference AND both haplotypes (ref=mat=pat=1) -- the co-segregating RNA PSVs are a het allele of a one-copy gene, not a copy
NC_073229.2_20874296	collapsed	NC_073229.2	20874296	20924049	LOC134757596	4.7	None	ALLELE/HET	1	1	1	0	0	0	0.968	0.968	0.968	0.968	0.968	0.968	1.0	1.0	1.0	ALLELE		med				single locus in reference AND both haplotypes (ref=mat=pat=1) -- the co-segregating RNA PSVs are a het allele of a one-copy gene, not a copy
NC_073229.2_74962769	collapsed	NC_073229.2	74962769	75437156	RAB23	11.1	1	AMBIGUOUS	1	1	1	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	0.769	0.769	0.769	ALLELE		med				single locus in reference AND both haplotypes (ref=mat=pat=1) -- the co-segregating RNA PSVs are a het allele of a one-copy gene, not a copy
NC_073229.2_164331546	collapsed	NC_073229.2	164331546	164376616	LOC129525654	46.3	None	COPY	0	0	0	0	0	0	0.0	0.0	0.0	0.891	0.891	0.891	0.4481	0.4481	0.4481	NOVEL	genuinely_absent	high				absent from reference AND both haplotypes (no block >= 0.9 identity and <50% coverage in all three) -- genuinely novel or artifact / too divergent (<~80%) to place as a full germline copy
NC_073229.2_181351545	collapsed	NC_073229.2	181351545	181381413	ARID1B	21.6	None	DIVERGENT-NOVEL	1	1	1	0	0	0	0.9979	0.9979	0.9979	0.9979	0.9979	0.9979	0.7525	0.7525	0.7525	ALLELE		med				single locus in reference AND both haplotypes (ref=mat=pat=1) -- the co-segregating RNA PSVs are a het allele of a one-copy gene, not a copy
NC_073230.2_7606300	collapsed	NC_073230.2	7606300	7612608	NO-HIT	26.6	None	DIVERGENT-NOVEL	1	1	1	0	0	0	0.9908	0.9908	0.9899	0.9908	0.9908	0.9899	0.6402	0.6402	0.6402	ALLELE		med				single locus in reference AND both haplotypes (ref=mat=pat=1) -- the co-segregating RNA PSVs are a het allele of a one-copy gene, not a copy
NC_073230.2_22601670	collapsed	NC_073230.2	22601670	22842316	AGMO	26.3	None	COPY	0	0	0	1	1	1	0.9846	0.9846	1.0	0.9846	0.9846	1.0	0.283	0.283	0.283	NOVEL	partial_present	high				reference/hap-PRESENT but only PARTIAL coverage: high-identity (~100%) fragments cover 28% (<50%) of the consensus in pat -- chimeric/fragmentary transcript consensus of a locus that IS in the genome, not a full extra copy and not novel
NC_073230.2_37489449	collapsed	NC_073230.2	37489449	37519267	NO-HIT	4.7	None	AMBIGUOUS	1	1	1	0	0	0	0.966	0.966	0.9654	0.966	0.966	0.9654	0.9996	0.9996	0.9996	ALLELE		med				single locus in reference AND both haplotypes (ref=mat=pat=1) -- the co-segregating RNA PSVs are a het allele of a one-copy gene, not a copy
NC_073230.2_41333848	collapsed	NC_073230.2	41333848	41583256	BMPER	3.1	1	ALLELE/HET	1	1	1	0	0	0	0.9913	0.9913	0.9955	0.9913	0.9913	0.9955	0.7227	0.7227	0.7227	ALLELE		med				single locus in reference AND both haplotypes (ref=mat=pat=1) -- the co-segregating RNA PSVs are a het allele of a one-copy gene, not a copy
