Node,Colour
L~chr12_110591816_110607946,#ff6d01
L~chr14_18170236_18190010,#ff6d01
L~chr14_31943082_31948334,#ff6d01
L~chr15_40664879_40672646,#ff6d01
L~chr15_46535297_46542401,#ff6d01
L~chr18_79318414_79365251,#ff6d01
L~chr1_108256107_108352036,#f9ab00
L~chr1_224377066_224384199,#ff6d01
L~chr20_5512078_5518490,#9aa0a6
L~chr20_5535248_5544066,#9aa0a6
L~chr2_110773830_110806970,#ff6d01
L~chr5_86491157_86514189,#9aa0a6
L~chr6_143315899_143338050,#ff6d01
L~chr7_54952741_54954933,#9aa0a6
L~chr8_82275840_82283845,#9aa0a6
RB~NBPF_repeat_bridge~0,#f06292
RB~NBPF_repeat_bridge~1,#f06292
RB~NBPF_repeat_bridge~2,#f06292
RB~NBPF_repeat_bridge~3,#f06292
RB~NBPF_repeat_bridge~4,#f06292
RB~NBPF_repeat_bridge~5,#f06292
RB~NBPF_repeat_bridge~6,#f06292
RB~NBPF_repeat_bridge~7,#f06292
RB~NBPF_repeat_bridge~8,#f06292
RB~NBPF_repeat_bridge~9,#f06292
RB~NBPF_repeat_bridge~10,#f06292
RB~NBPF_repeat_bridge~11,#f06292
RB~NBPF_repeat_bridge~12,#f06292
RB~NBPF_repeat_bridge~13,#f06292
RB~NBPF_repeat_bridge~14,#f06292
RB~NBPF_repeat_bridge~15,#f06292
RB~NBPF_repeat_bridge~16,#f06292
RB~NBPF_repeat_bridge~17,#f06292
RB~NBPF_repeat_bridge~18,#f06292
RB~NBPF_repeat_bridge~19,#f06292
RB~NBPF_repeat_bridge~20,#f06292
RB~NBPF_repeat_bridge~21,#f06292
RB~NBPF_repeat_bridge~22,#f06292
RB~NBPF_repeat_bridge~23,#f06292
RB~NBPF_repeat_bridge~24,#f06292
RB~NBPF_repeat_bridge~25,#f06292
DB~NBPF_repeat_bridge~0,#00acc1
DB~NBPF_repeat_bridge~1,#00acc1
DB~NBPF_repeat_bridge~2,#00acc1
DB~NBPF_repeat_bridge~3,#00acc1
DB~NBPF_repeat_bridge~4,#00acc1
DB~NBPF_repeat_bridge~5,#00acc1
DB~NBPF_repeat_bridge~6,#00acc1
DB~NBPF_repeat_bridge~7,#00acc1
DB~NBPF_repeat_bridge~8,#00acc1
DB~NBPF_repeat_bridge~9,#00acc1
DB~NBPF_repeat_bridge~10,#00acc1
DB~NBPF_repeat_bridge~11,#00acc1
DB~NBPF_repeat_bridge~12,#00acc1
DB~NBPF_repeat_bridge~13,#00acc1
