a	b	core_recip
DN_NC_073244.2_65102393_4	DN_NC_086017.1_54527845_6	0.1317
DN_NC_073228.2_182864372_4	DN_NC_086017.1_85766278_5	0.245
DN_NC_073234.2_148420424_5	DN_NC_073244.2_45796040_6	0.2531
DN_NC_073227.2_8907801_4	DN_NC_073244.2_28588105_4	0.1337
DN_NC_073237.2_109453117_3	DN_NC_073237.2_109461576_3	0.9803
DN_NC_073229.2_47377766_7	DN_NC_073229.2_47549272_8	0.8425
DN_NC_073233.2_119980246_6	DN_NC_073233.2_119988736_3	0.7616
DN_NC_073230.2_88726357_6	DN_NC_073231.2_150671310_5	0.1623
DN_NC_073244.2_69454247_3	DN_NC_073244.2_69492904_4	0.1489
DN_NC_073234.2_148580749_5	DN_NC_073244.2_65293743_4	0.1956
DN_NC_073244.2_27765726_4	DN_NC_073244.2_28588105_4	0.2114
DN_NC_073244.2_45985550_6	DN_NC_086017.1_41849524_2	0.1659
DN_NC_073244.2_26240039_2	DN_NC_073244.2_64585864_4	0.1757
DN_NC_073227.2_8633418_2	DN_NC_073246.2_15789285_3	0.2775
DN_NC_073244.2_51749194_6	DN_NC_073244.2_65003440_7	0.3002
DN_NC_073244.2_48352926_4	DN_NC_073244.2_48919547_6	0.2737
DN_NC_073244.2_48980018_5	DN_NC_073244.2_65046428_4	0.4468
DN_NC_073232.2_81033881_5	DN_NC_073245.2_58728682_5	0.2386
DN_NC_073224.2_6827773_11	DN_NC_073230.2_165840202_11	0.5098
DN_NC_073231.2_150671310_5	DN_NC_073234.2_148620174_2	0.1934
DN_NC_073231.2_150618111_5	DN_NC_073231.2_150777699_3	0.1752
DN_NC_073227.2_8633416_4	DN_NC_073227.2_8705656_4	0.2553
DN_NC_073244.2_64543447_4	DN_NC_073244.2_65398487_4	0.2317
DN_NC_073228.2_184836165_2	DN_NC_073244.2_64500861_5	0.2243
DN_NC_073242.2_21673693_21	DN_NC_073242.2_35991615_14	0.2414
DN_NC_073230.2_74637814_2	DN_NC_073244.2_26901109_4	0.4407
DN_NC_073244.2_18096775_3	DN_NC_073244.2_18124193_3	0.1411
DN_NC_073244.2_47586219_5	DN_NC_073245.2_58728682_5	0.203
DN_NC_073244.2_27869273_3	DN_NC_073244.2_65046428_4	0.2661
DN_NC_073229.2_45067329_6	DN_NC_073244.2_69454318_2	0.1343
DN_NC_073232.2_81033881_5	DN_NC_073244.2_48242798_5	0.3517
DN_NC_073244.2_64672255_4	DN_NC_073244.2_65266359_4	0.2502
DN_NC_073228.2_182994030_5	DN_NC_073232.2_80964961_8	0.1524
DN_NC_073244.2_64265252_5	DN_NC_073244.2_65293743_4	0.2179
DN_NC_073237.2_89310571_5	DN_NC_073244.2_48919547_6	0.1893
DN_NC_073229.2_44967262_5	DN_NC_073244.2_49072464_4	0.1766
DN_NC_073228.2_83513581_6	DN_NC_073230.2_74637814_2	0.2437
DN_NC_073228.2_22763468_38	DN_NC_073228.2_23038330_39	0.1809
DN_NC_073244.2_47586219_5	DN_NC_073244.2_48242798_5	0.3217
DN_NC_073232.2_71834982_5	DN_NC_086017.1_54612772_3	0.1793
DN_NC_073232.2_26196651_3	DN_NC_073232.2_26211167_9	0.2988
DN_NC_073244.2_69514207_2	DN_NC_073244.2_70077616_7	0.1792
DN_NC_073244.2_17922158_4	DN_NC_073244.2_8711681_4	0.1771
DN_NC_073224.2_8329397_4	DN_NC_073244.2_18096775_3	0.2656
DN_NC_073232.2_71973207_3	DN_NC_073244.2_48919547_6	0.2199
DN_NC_073244.2_49246931_6	DN_NC_073247.2_58372296_6	0.2678
DN_NC_073234.2_52239096_3	DN_NC_073234.2_52239132_2	0.6448
DN_NC_073236.2_30205531_7	DN_NC_073238.2_23392840_7	0.9939
DN_NC_073229.2_182999268_13	DN_NC_073247.2_77369372_13	0.3807
DN_NC_073244.2_47997304_5	DN_NC_073244.2_48030811_4	0.3946
DN_NC_073243.2_69046517_5	DN_NC_073244.2_43610901_6	0.2546
DN_NC_073224.2_130406472_2	DN_NC_086017.1_165200217_5	0.1349
DN_NC_073244.2_55497464_5	DN_NC_073244.2_55607411_6	0.4062
DN_NC_073230.2_91841008_2	DN_NC_073230.2_91841140_2	0.848
DN_NC_073241.2_64520240_3	DN_NC_073244.2_47706460_3	0.216
DN_NC_073233.2_9788172_5	DN_NC_073244.2_27956158_2	0.3916
DN_NC_073241.2_36126198_2	DN_NC_073244.2_47642985_5	0.1642
DN_NC_073228.2_154747841_5	DN_NC_086017.1_54457640_6	0.164
DN_NC_073244.2_64618758_7	DN_NC_073244.2_68643423_8	0.1465
DN_NC_073244.2_27051998_4	DN_NC_073244.2_29970261_4	0.5359
DN_NC_073224.2_218361248_19	DN_NC_073224.2_223478295_8	0.4617
DN_NC_073244.2_64797239_5	DN_NC_073244.2_65293743_4	0.1694
DN_NC_073232.2_81253567_6	DN_NC_073244.2_47878793_6	0.2317
DN_NC_073242.2_119293235_15	DN_NC_073242.2_119301617_14	0.1933
DN_NC_073244.2_27566430_5	DN_NC_073244.2_64860608_4	0.3165
DN_NC_073244.2_27626411_5	DN_NC_073244.2_30438340_4	0.4074
DN_NC_073228.2_154747841_5	DN_NC_073231.2_150671293_2	0.2771
DN_NC_073244.2_17635782_4	DN_NC_073244.2_18096775_3	0.268
DN_NC_073244.2_48352926_4	DN_NC_073244.2_63895938_6	0.2016
DN_NC_073232.2_71892021_2	DN_NC_073244.2_55607411_6	0.1351
DN_NC_073224.2_123525276_5	DN_NC_073230.2_92132360_3	0.2425
DN_NC_073230.2_88700652_4	DN_NC_073230.2_89330255_2	0.1416
DN_NC_073244.2_51825388_5	DN_NC_073244.2_65046428_4	0.183
DN_NC_073224.2_8422960_4	DN_NC_073244.2_64125568_5	0.309
DN_NC_073244.2_70818649_5	DN_NC_086017.1_211655827_5	0.7473
DN_NC_073229.2_29619457_3	DN_NC_073235.2_83159862_3	0.1558
DN_NC_073244.2_18564507_4	DN_NC_073244.2_45985550_6	0.1745
DN_NC_073242.2_37386128_4	DN_NC_073244.2_64231369_4	0.1946
DN_NC_073244.2_17960497_4	DN_NC_073244.2_49101177_5	0.1385
DN_NC_073228.2_145338559_2	DN_NC_073228.2_145339446_2	0.9007
DN_NC_073234.2_148630977_5	DN_NC_073245.2_58728682_5	0.1962
DN_NC_073232.2_46766506_15	DN_NC_073232.2_46804261_15	0.487
DN_NC_073231.2_150671293_2	DN_NC_073240.2_85898394_3	0.2181
DN_NC_073230.2_73508332_4	DN_NC_073244.2_27504818_5	0.2273
DN_NC_073232.2_71973207_3	DN_NC_073232.2_81033881_5	0.1576
DN_NC_073241.2_36126183_3	DN_NC_073244.2_47642985_5	0.1352
DN_NC_073232.2_146269317_5	DN_NC_073240.2_103747497_4	0.1349
