fam_id	member
0	DN_NC_073227.2_211080863_4
0	DN_NC_073227.2_8155721_4
0	DN_NC_073229.2_195378107_3
0	DN_NC_073230.2_168783006_4
0	DN_NC_073231.2_150902261_3
0	DN_NC_073232.2_146269317_5
0	DN_NC_073232.2_8583099_4
0	DN_NC_073236.2_140400059_5
0	DN_NC_073237.2_118498911_4
0	DN_NC_073239.2_124648897_4
0	DN_NC_073240.2_103747497_4
0	DN_NC_073241.2_110003031_5
0	DN_NC_073242.2_121237165_4
0	DN_NC_073244.2_70818649_5
0	DN_NC_086017.1_211655827_5
0	DN_NC_086017.1_9337960_4
1	DN_NC_073236.2_32866582_11
1	DN_NC_073236.2_32935295_3
1	DN_NC_073236.2_32935299_2
1	DN_NC_073236.2_32985892_2
1	DN_NC_073236.2_32986425_2
1	DN_NC_073236.2_32986917_2
1	DN_NC_073236.2_32986956_2
1	DN_NC_073237.2_24384479_2
1	DN_NC_073237.2_24384787_2
1	DN_NC_073237.2_24387014_11
1	DN_NC_073237.2_29418618_13
1	DN_NC_073237.2_31481917_11
1	DN_NC_073237.2_93516915_6
1	DN_NC_073238.2_54832744_2
2	DN_NC_073227.2_210893336_9
2	DN_NC_073235.2_33703802_2
2	DN_NC_073235.2_34402342_7
2	DN_NC_073236.2_21829724_2
2	DN_NC_073236.2_26203134_8
2	DN_NC_073238.2_24693721_8
2	DN_NC_073239.2_44147073_8
2	DN_NC_073239.2_44758266_8
2	DN_NC_073240.2_14911190_8
2	DN_NC_073245.2_42779121_5
2	DN_NC_073246.2_2235416_3
2	DN_NC_073248.2_10847471_7
2	DN_NC_086018.1_1774757_3
3	DN_NC_073230.2_74190289_5
3	DN_NC_073230.2_74299233_4
3	DN_NC_073230.2_74637722_4
3	DN_NC_073230.2_74637814_2
3	DN_NC_073244.2_27765726_4
3	DN_NC_073244.2_28072858_4
3	DN_NC_073244.2_28588105_4
3	DN_NC_073244.2_29232445_4
3	DN_NC_073244.2_29557605_4
3	DN_NC_073244.2_29680825_2
3	DN_NC_073244.2_29680825_4
3	DN_NC_073244.2_30438340_4
3	DN_NC_073244.2_30438386_2
4	DN_NC_073227.2_8633416_4
4	DN_NC_073227.2_8633418_2
4	DN_NC_073227.2_8705656_4
4	DN_NC_073227.2_8907801_4
4	DN_NC_073227.2_9009655_3
4	DN_NC_073227.2_9009888_2
4	DN_NC_073227.2_9010062_2
4	DN_NC_073241.2_36126183_3
4	DN_NC_073241.2_36126198_2
4	DN_NC_073246.2_15789285_3
4	DN_NC_073246.2_15789320_2
5	DN_NC_073244.2_17635782_4
5	DN_NC_073244.2_17831067_3
5	DN_NC_073244.2_17846610_4
5	DN_NC_073244.2_17876785_4
5	DN_NC_073244.2_17922158_4
5	DN_NC_073244.2_17960497_4
5	DN_NC_073244.2_17994654_4
5	DN_NC_073244.2_18564507_4
5	DN_NC_073244.2_18614963_5
6	DN_NC_073247.2_164381222_3
6	DN_NC_073247.2_164381237_2
6	DN_NC_073247.2_164397061_3
6	DN_NC_073247.2_164405406_2
6	DN_NC_073247.2_164407411_3
6	DN_NC_073247.2_164407414_2
6	DN_NC_073247.2_164426194_3
6	DN_NC_073247.2_164442447_2
6	DN_NC_073247.2_164442447_3
