family_id	n_copies	contig	span_bp	best_target_identity	best_target_copy	best_target_n_reads	max_admissible_identity	n_usable	n_usable_with_reads	n_blocked	n_too_divergent	n_copies_hit	in_window	per_copy_gate	worst_copy_identity	median_identity	n_pairs	legacy_in_window	start	end
GWFAM382	4	NC_073239.2	156291	0.969	2	238	0.9699	4	3	0	0	4	True	0:0.9624;1:0.9652;2:0.9690;3:0.9699	0.9699	0.9628	6	True	122615409	122771700
GWFAM247	3	NC_073232.2	157307	0.9754	0	249	0.9754	2	2	0	1	3	True	0:0.9754;1:0.9754;2:0.8966	0.9754	0.9073	3	False	13920827	14078134
GWFAM331	3	NC_073236.2	1614397	0.9766	1	10	0.9766	2	2	0	1	3	True	0:0.9699;1:0.9766;2:0.8675	0.9766	0.9559	3	False	33798672	35413069
GWFAM227	3	NC_073230.2	134502	0.9629	1	70	0.9629	2	1	0	0	2	True	0:NA;1:0.9629;2:0.9629	0.9629	0.9629	1	True	143511874	143646376
GWFAM441	8	NC_073244.2	421430	0.9601	4	64	0.9601	1	1	0	7	8	True	0:0.7761;1:0.7487;2:0.7788;3:0.8185;4:0.9601;5:0.7752;6:0.7958;7:0.7529	0.9601	0.93215	2	False	69628920	70050350
GWFAM268	3	NC_073233.2	13365	0.9377	2	206	0.9377	0	0	0	3	3	False	0:0.9377;1:0.8064;2:0.9377	0.9377	0.9410000000000001	1	False	6759824	6773189
GWFAM377	3	NC_073239.2	48197	0.8422000000000001	2	11	0.8422000000000001	0	0	0	3	3	False	0:0.7609;1:0.7616;2:0.8422	0.8422000000000001	0.9057	1	False	90428925	90477122
GWFAM438	3	NC_073244.2	81368				0.8758	0	0	2	1	3	False	0:0.8758;1:0.9969;2:0.9969	0.9969	0.9127	3	False	68258642	68340010
GWFAM460	7	NC_073247.2	93131					0	0	7	0	7	False	0:1.0000;1:1.0000;2:1.0000;3:1.0000;4:0.9982;5:1.0000;6:0.9982	1.0	0.9982	21	False	59696712	59789843
GWFAM201	3	NC_073229.2	106121	0.9096	1	24	0.9096	0	0	0	3	3	False	0:0.8808;1:0.9096;2:0.8840	0.9096	0.9162	3	False	174132639	174238760
GWFAM269	4	NC_073233.2	112444	0.7843	3	453	0.7843	0	0	0	4	4	False	0:0.7551;1:0.7843;2:0.7720;3:0.7843	0.7843		0	False	11931357	12043801
GWFAM490	3	NC_086018.1	127244	0.8616	1	112	0.8616	0	0	0	3	3	False	0:0.7951;1:0.8616;2:0.8526	0.8616	0.8699	2	False	34137553	34264797
GWFAM188	4	NC_073229.2	159934	0.9196	1	1297	0.9499	0	0	0	4	4	False	0:0.9499;1:0.9196;2:0.9196;3:0.9053	0.9499	0.91725	6	False	70527940	70687874
GWFAM16	3	NC_073224.2	161919					0	0	0	0	0	False	0:NA;1:NA;2:NA			0	False	85416149	85578068
GWFAM37	4	NC_073224.2	251249	0.8815	2	173	0.8815	0	0	0	4	4	False	0:0.8095;1:0.8512;2:0.8815;3:0.8815	0.8815	0.8507	3	False	150714160	150965409
GWFAM320	3	NC_073235.2	294103	0.731	2	32	0.7313000000000001	0	0	0	2	2	False	0:0.7313;1:NA;2:0.7310	0.7313000000000001		0	False	68674350	68968453
GWFAM180	4	NC_073229.2	301811	0.9484	2	149	0.9484	0	0	0	4	4	False	0:0.9484;1:0.9256;2:0.9484;3:0.7819	0.9484	0.9283	3	False	50085643	50387454
GWFAM469	3	NC_073247.2	320863	0.9145	2	322	0.9145	0	0	0	3	3	False	0:0.9029;1:0.9029;2:0.9145	0.9145	0.8956999999999999	1	False	114842677	115163540
GWFAM433	14	NC_073244.2	442075	0.8681	6	167	0.88	0	0	0	14	14	False	0:0.7373;1:0.8800;2:0.8423;3:0.8407;4:0.8564;5:0.8574;6:0.8681;7:0.8636;8:0.8542;9:0.7495;10:0.7654;11:0.7512;12:0.7643;13:0.7699	0.88	0.8602	25	False	55428272	55870347
GWFAM440	3	NC_073244.2	1079045	0.7711	1	26	0.7711	0	0	0	3	3	False	0:0.7451;1:0.7711;2:0.7476	0.7711		0	False	69454298	70533343
GWFAM34	4	NC_073224.2	1255816	0.9238	3	92	0.9238	0	0	0	4	4	False	0:0.7997;1:0.8656;2:0.8656;3:0.9238	0.9238	0.9186	3	False	129169634	130425450
GWFAM467	5	NC_073247.2	1487941	0.9541	1	58	0.9541	0	0	0	5	5	False	0:0.9193;1:0.9541;2:0.9172;3:0.9193;4:0.9541	0.9541	0.9322	4	False	113908294	115396235
GWFAM175	6	NC_073229.2	1677295	0.9418	2	596	0.9418	0	0	0	6	6	False	0:0.8696;1:0.9418;2:0.9418;3:0.8666;4:0.9255;5:0.9255	0.9418	0.8758	15	False	47377240	49054535
GWFAM454	5	NC_073247.2	2438827	0.7782	2	390	0.7782	0	0	0	5	5	False	0:0.7724;1:0.7724;2:0.7782;3:0.7399;4:0.7776	0.7782		0	False	38333266	40772093
