family_id	copy_idx	tid	chrom	start	end	n_exon	strand	n_reads	exons	source	core_hull	sd_depth	core_bp	nearest_ident	rep_frac
MCL0	0	MCL_NC_073224.2_5757442	NC_073224.2	5757442	5763817	6	+	1	5757442-5757807,5758034-5758092,5758185-5758418,5759192-5759383,5761445-5761503,5761674-5763817	gff_fallback	NA	62	0	0.9720	0.133
MCL0	1	MCL_NC_073224.2_6676252	NC_073224.2	6676252	6682070	4	-	5	6676252-6677704,6678951-6679042,6679280-6681398,6681448-6682070	read_chain	NA	71	0	0.9752	0.103
MCL0	2	MCL_NC_073224.2_12380784	NC_073224.2	12380784	12422001	11	+	4	12380784-12380844,12382997-12383056,12384149-12384389,12405082-12405290,12406131-12406196,12416110-12416301,12418365-12418423,12418516-12418749,12419519-12419710,12421777-12421835,12421992-12422001	read_chain	NA	55	0	0.9800	0.491
MCL0	3	MCL_NC_073224.2_15570571	NC_073224.2	15570571	15622214	23	+	1	15570571-15570705,15570715-15570931,15575020-15575130,15576192-15576324,15579611-15579827,15580709-15580775,15582931-15583031,15584075-15584608,15590180-15590416,15593247-15593312,15595538-15595728,15602466-15602590,15604090-15604213,15604452-15605081,15605938-15606003,15611629-15611752,15612491-15612686,15614319-15614519,15614746-15614804,15614897-15615156,15615905-15617933,15618160-15618218,15618311-15622214	gff_fallback	NA	69	0	0.9817	0.329
MCL0	4	MCL_NC_073224.2_15728364	NC_073224.2	15728364	15734690	5	+	2	15728364-15728639,15728732-15728965,15729741-15729932,15731998-15732056,15732149-15734690	gff_fallback	NA	60	0	0.9838	0.159
MCL0	5	MCL_NC_073224.2_15946912	NC_073224.2	15946912	15953525	6	+	1	15946912-15947168,15947182-15947453,15947546-15947805,15948551-15948746,15950806-15950864,15950957-15953525	gff_fallback	NA	60	0	0.9829	0.164
MCL0	6	MCL_NC_073224.2_28790176	NC_073224.2	28790176	28839061	21	-	4	28790176-28794060,28794610-28794668,28794895-28796928,28797702-28797935,28798028-28798086,28800152-28800343,28801117-28801350,28801443-28801501,28803567-28803758,28804532-28804765,28804858-28804916,28805143-28807173,28813674-28813739,28814596-28817217,28824078-28824268,28826493-28826558,28829382-28829618,28834480-28834539,28835166-28835694,28836783-28836842,28838995-28839061	gff_fallback	NA	66	0	0.9788	0.442
MCL0	7	MCL_NC_073224.2_36030738	NC_073224.2	36030738	36040459	7	-	1	36030738-36034087,36034254-36034312,36036378-36036565,36037335-36037568,36037661-36037719,36039785-36039972,36040339-36040459	gff_fallback	NA	67	0	0.9741	0.117
MCL0	8	MCL_NC_073224.2_41234299	NC_073224.2	41234299	41251129	2	+	7	41234299-41235005,41250228-41251129	read_chain	NA	68	0	0.9773	0.433
MCL0	9	MCL_NC_073224.2_146924250	NC_073224.2	146924250	146956432	20	-	1	146924250-146927994,146928712-146928770,146928997-146929253,146930834-146931029,146931801-146932034,146932127-146932185,146932412-146934213,146934249-146934444,146935189-146935448,146935541-146935598,146935826-146937858,146944342-146944407,146944973-146945129,146945251-146945448,146945650-146945727,146945786-146945903,146947538-146947661,146952133-146952661,146953748-146953807,146955958-146956432	gff_fallback	NA	69	0	0.9826	0.379
MCL0	10	MCL_NC_073227.2_8238278	NC_073227.2	8238278	8382177	21	-	1	8238278-8239065,8239180-8239238,8241302-8241493,8242269-8242502,8242595-8242653,8336981-8337214,8337307-8337365,8340853-8341086,8341179-8341237,8349448-8349681,8349774-8349832,8359802-8360035,8360128-8360186,8374474-8374707,8374800-8374858,8376920-8377115,8377887-8378120,8378213-8378271,8381327-8381560,8381653-8381711,8381938-8382177	gff_fallback	NA	51	0	0.9884	0.252
MCL0	11	MCL_NC_073227.2_166185907	NC_073227.2	166185907	166239254	29	+	2	166185907-166186054,166186494-166186560,166189887-166190385,166195984-166196220,166199046-166199111,166201334-166201524,166208399-166208523,166210524-166211012,166211889-166211954,166218460-166218655,166218668-166220498,166220725-166220783,166220876-166221109,166221883-166222078,166222104-166223921,166224148-166224206,166224299-166224532,166225309-166225504,166225530-166227347,166227574-166227632,166227725-166227958,166228737-166228932,166228958-166230775,166231002-166231060,166231153-166231386,166232163-166232358,166232384-166234201,166234428-166234486,166234579-166239254	gff_fallback	NA	57	0	0.9753	0.444
MCL0	12	MCL_NC_073227.2_211224295	NC_073227.2	211224295	211248978	13	-	2	211224295-211225011,211225132-211225190,211226906-211227447,211228222-211228455,211228548-211228606,211233485-211233718,211233811-211233869,211241322-211241555,211241648-211241706,211243764-211243955,211247465-211247607,211247863-211248116,211248754-211248978	gff_fallback	NA	38	0	0.9862	0.418
MCL0	13	MCL_NC_073228.2_181469456	NC_073228.2	181469456	181472300	1	-	1	181469456-181472300	gff_fallback	NA	66	0	0.9428	0.000
MCL0	14	MCL_NC_073229.2_17666036	NC_073229.2	17666036	17669564	3	-	1	17666036-17667026,17667119-17667177,17669239-17669564	gff_fallback	NA	44	0	0.9791	0.205
MCL0	15	MCL_NC_073230.2_59216218	NC_073230.2	59216218	59217696	3	-	1	59216218-59216915,59217007-59217065,59217292-59217696	gff_fallback	NA	57	0	0.9703	0.169
MCL0	16	MCL_NC_073230.2_63890544	NC_073230.2	63890544	63915321	9	-	2	63890544-63891210,63891302-63891360,63893412-63893603,63894350-63894473,63900008-63900073,63901780-63901897,63903749-63903864,63912041-63912128,63915105-63915321	gff_fallback	NA	32	0	0.9703	0.426
MCL0	17	MCL_NC_073230.2_168495111	NC_073230.2	168495111	168722117	42	+	1	168495111-168495135,168603851-168604100,168604327-168604385,168604478-168604711,168604780-168604864,168605948-168606179,168606406-168606464,168606557-168606790,168630321-168630379,168630472-168630705,168631483-168631674,168633740-168633798,168640768-168640826,168640919-168641152,168643668-168643726,168643819-168644052,168645427-168645485,168645578-168645811,168647577-168647635,168647728-168647961,168648738-168648929,168650995-168651053,168658072-168658130,168658223-168658456,168662872-168662930,168663023-168663266,168665905-168665963,168666056-168666289,168666358-168666628,168686654-168686712,168686805-168687038,168687815-168688010,168690072-168690130,168690251-168691223,168696665-168696723,168696816-168697049,168701464-168701522,168701615-168701848,168714804-168714862,168714955-168715188,168718222-168718280,168718398-168722117	gff_fallback	NA	57	0	0.9936	0.182
MCL0	18	MCL_NC_073231.2_151077505	NC_073231.2	151077505	151081262	2	+	5	151077505-151077753,151080534-151081262	read_chain	NA	34	0	0.9594	0.000
MCL0	19	MCL_NC_073232.2_8661527	NC_073232.2	8661527	8899115	12	-	25	8661527-8662574,8664351-8665100,8665223-8665281,8667348-8667539,8668316-8668549,8668642-8668700,8668927-8669058,8889267-8891911,8894424-8896315,8897024-8897291,8897510-8897717,8898890-8899115	read_chain	NA	54	0	0.9807	0.293
MCL0	20	MCL_NC_073232.2_145979532	NC_073232.2	145979532	145996163	12	+	1	145979532-145979783,145981854-145981912,145982005-145982236,145982309-145983015,145984777-145985398,145985491-145985724,145989938-145989996,145990089-145990322,145992673-145992731,145992824-145993057,145995117-145995175,145995268-145996163	gff_fallback	NA	46	0	0.9824	0.274
MCL0	21	MCL_NC_073232.2_146151471	NC_073232.2	146151471	146205512	3	+	1	146151471-146151722,146200840-146200898,146204408-146205512	gff_fallback	NA	63	0	0.9828	0.046
MCL0	22	MCL_NC_073232.2_146181965	NC_073232.2	146181965	146186764	4	+	1	146181965-146182765,146183540-146183731,146185795-146185853,146185974-146186764	gff_fallback	NA	24	0	0.9948	0.362
MCL0	23	MCL_NC_073233.2_122329145	NC_073233.2	122329145	122332354	3	+	1	122329145-122331911,122332138-122332196,122332289-122332354	gff_fallback	NA	12	0	0.9932	0.747
MCL0	24	MCL_NC_073233.2_122338959	NC_073233.2	122338959	122342427	3	+	3	122338959-122339017,122340114-122340233,122342369-122342427	read_chain	NA	56	0	0.9932	1.000
MCL0	25	MCL_NC_073234.2_15586129	NC_073234.2	15586129	15619465	16	-	1	15586129-15587188,15587350-15587408,15589467-15589662,15596510-15596743,15596836-15596894,15598955-15599150,15602660-15602800,15603192-15603309,15605182-15605305,15609773-15610293,15611381-15611440,15613595-15613661,15614105-15614259,15614544-15614760,15618043-15618175,15619241-15619465	gff_fallback	NA	44	0	0.9745	0.413
MCL0	26	MCL_NC_073235.2_144691595	NC_073235.2	144691595	144721773	16	+	1	144691595-144691605,144691735-144693030,144693257-144693315,144693408-144693641,144694419-144694610,144696676-144696734,144696855-144703556,144703783-144703841,144703934-144704167,144706256-144706314,144706407-144706640,144714798-144714856,144714949-144715182,144715960-144716151,144718217-144718275,144718396-144721773	gff_fallback	NA	34	0	0.9883	0.122
MCL0	27	MCL_NC_073236.2_100224509	NC_073236.2	100224509	100228788	3	+	1	100224509-100224734,100224740-100225019,100225165-100228788	gff_fallback	NA	55	0	0.9748	0.080
MCL0	28	MCL_NC_073236.2_139917889	NC_073236.2	139917889	139925978	6	+	1	139917889-139918079,139919197-139919388,139921021-139921221,139921448-139921506,139925012-139925070,139925163-139925978	gff_fallback	NA	2	0	0.9876	0.327
MCL0	29	MCL_NC_073240.2_42545567	NC_073240.2	42545567	42578240	21	+	1	42545567-42545662,42550909-42551063,42551139-42551393,42551756-42551813,42552316-42552412,42555937-42556078,42556111-42556233,42556979-42557174,42557183-42559009,42559243-42559301,42559394-42559627,42560401-42560596,42562658-42562716,42562836-42568944,42569037-42569270,42571167-42571225,42571318-42571551,42572330-42572525,42574587-42574645,42574765-42576202,42576250-42578240	gff_fallback	NA	36	0	0.9794	0.234
MCL0	30	MCL_NC_073240.2_42593307	NC_073240.2	42593307	42603280	8	+	1	42593307-42593964,42594057-42594290,42596254-42596312,42596405-42596638,42597418-42597609,42599675-42599733,42599856-42601096,42601290-42603280	gff_fallback	NA	54	0	0.9828	0.138
MCL0	31	MCL_NC_073240.2_74651957	NC_073240.2	74651957	74655683	4	+	1	74651957-74652149,74653102-74653985,74654212-74654270,74654621-74655683	gff_fallback	NA	67	0	0.9832	0.371
MCL0	32	MCL_NC_073240.2_103427358	NC_073240.2	103427358	103477639	15	+	2	103427358-103428010,103428103-103428336,103431646-103431704,103431797-103432030,103447551-103447609,103447702-103447935,103451245-103451303,103451396-103451629,103457743-103457801,103457894-103458127,103472376-103472434,103472527-103472760,103473537-103473753,103475792-103475850,103475971-103477639	gff_fallback	NA	3	0	0.9948	0.210
MCL0	33	MCL_NC_073241.2_109870579	NC_073241.2	109870579	109875958	3	+	1	109870579-109872026,109872253-109872311,109872432-109875958	gff_fallback	NA	12	0	0.9996	0.179
MCL0	34	MCL_NC_073242.2_3152423	NC_073242.2	3152423	3154269	2	-	3	3152423-3153943,3153991-3154269	read_chain	NA	5	0	0.9998	0.000
MCL0	35	MCL_NC_073242.2_3212363	NC_073242.2	3212363	3222228	4	-	1	3212363-3218765,3218883-3218941,3221003-3221198,3221975-3222228	gff_fallback	NA	5	0	0.9998	0.149
MCL0	36	MCL_NC_073242.2_3291192	NC_073242.2	3291192	3301056	5	-	1	3291192-3292177,3293352-3297591,3297712-3297770,3299832-3300027,3300804-3301056	gff_fallback	NA	6	0	1.0000	0.054
MCL0	37	MCL_NC_073242.2_3362561	NC_073242.2	3362561	3365591	3	-	3	3362561-3363628,3363681-3364552,3364842-3365591	read_chain	NA	12	0	0.9891	0.000
MCL0	38	MCL_NC_073242.2_3432220	NC_073242.2	3432220	3432385	1	-	3	3432220-3432385	read_chain	NA	38	0	0.9891	0.000
MCL0	39	MCL_NC_073243.2_112587398	NC_073243.2	112587398	112610918	15	+	1	112587398-112587535,112587762-112587820,112587913-112588146,112591000-112591058,112591151-112591384,112594560-112594618,112594711-112594944,112597522-112597580,112597673-112597906,112601087-112601145,112601238-112601471,112604616-112604674,112604767-112605000,112607312-112607370,112607491-112610918	gff_fallback	NA	33	0	0.9940	0.085
MCL0	40	MCL_NC_073244.2_5756648	NC_073244.2	5756648	5791659	7	-	2	5756648-5760171,5760296-5760354,5762315-5762548,5762641-5762699,5764347-5764580,5764673-5764731,5791432-5791659	gff_fallback	NA	23	0	0.9861	0.040
MCL0	41	MCL_NC_073244.2_5834387	NC_073244.2	5834387	5852234	11	-	1	5834387-5834644,5834737-5834795,5836828-5837061,5840260-5843783,5843908-5843966,5845927-5846160,5846253-5846311,5847959-5848192,5848285-5848343,5851795-5852028,5852120-5852234	gff_fallback	NA	23	0	0.9885	0.071
MCL0	42	MCL_NC_073244.2_70671212	NC_073244.2	70671212	70679829	3	+	12	70671212-70672368,70672691-70672845,70678461-70679829	read_chain	70753064-70760396	95	7332	0.9815	0.354
MCL0	43	MCL_NC_086017.1_9742330	NC_086017.1	9742330	9786529	13	-	4	9742330-9743143,9743236-9743294,9745064-9745297,9745390-9745403,9754894-9754937,9764707-9764824,9766680-9766803,9771257-9771781,9772869-9772928,9775084-9775150,9778969-9779101,9780166-9780276,9786360-9786529	read_chain	NA	53	0	0.9804	0.312
MCL0	44	MCL_NC_086017.1_207063014	NC_086017.1	207063014	207067231	3	+	1	207063014-207063265,207066296-207066354,207066472-207067231	gff_fallback	NA	0	0	0.9998	0.061
MCL0	45	MCL_NC_086018.1_48832098	NC_086018.1	48832098	48871742	8	+	2	48832098-48832737,48833472-48833606,48837832-48837881,48837974-48838177,48858038-48858415,48859259-48859324,48868071-48868129,48868628-48871742	gff_fallback	NA	31	0	0.9785	0.083
MCL0	46	MCL_NC_073235.2_144999580	NC_073235.2	144999580	145368832	35	+	9	144999580-144999963,144999993-145000079,145006166-145006307,145025774-145025878,145027100-145027210,145027317-145027367,145029107-145030134,145032548-145032680,145035979-145036195,145036479-145036633,145037078-145037144,145039292-145039351,145040441-145040972,145045455-145045578,145047432-145047687,145047886-145048083,145048927-145048992,145054613-145054736,145058260-145058318,145058411-145058644,145060618-145060676,145060769-145061002,145199686-145199744,145199837-145200070,145200847-145201038,145203104-145203162,145203280-145209554,145209781-145225313,145243296-145243416,145243985-145249657,145249663-145261999,145276076-145277003,145277109-145277289,145277536-145278138,145360745-145368832	gff_fallback	NA	34	0	0.9610	0.393
MCL0	47	MCL_NC_073233.2_143907131	NC_073233.2	143907131	143958172	3	+	1	143907131-143907359,143957630-143957688,143957781-143958172	gff_fallback	NA	12	0	0.9887	0.285
MCL0	48	MCL_NC_073244.2_5881036	NC_073244.2	5881036	5888187	6	-	1	5881036-5881675,5881768-5881826,5883886-5884119,5884212-5884270,5887722-5887955,5888047-5888187	gff_fallback	NA	19	0	0.9915	0.287
MCL0	49	MCL_NC_073242.2_120770930	NC_073242.2	120770930	120847767	14	+	20	120770930-120770953,120772544-120772811,120776094-120780814,120796002-120800000,120800073-120800107,120800293-120800380,120830149-120830259,120835840-120835906,120838057-120838116,120839207-120839733,120844232-120844355,120846207-120846324,120846661-120846858,120847702-120847767	read_chain	NA	49	0	0.9424	0.517
