family_id	n_loci	dominant_gene	member_dn	member_gene	chrom	start	end	psv_status	n_psv	n_aligned_cols
0	2	GLMP	DN_NC_073224.2_100532147_6	GLMP	NC_073224.2	100532147	100537751	tandem_like_psv	896	1584
0	2	GLMP	DN_NC_073224.2_100535401_4	TMEM79	NC_073224.2	100535401	100545909	tandem_like_psv	896	1584
1	2	GON4L	DN_NC_073224.2_100975273_21	GON4L	NC_073224.2	100975273	101068289	same_chrom_segmental_psv	107	306
1	2	GON4L	DN_NC_073224.2_101136214_11	DAP3	NC_073224.2	101136214	101165258	same_chrom_segmental_psv	107	306
2	2	GBA1	DN_NC_073224.2_101578782_11	GBA1	NC_073224.2	101578782	101587073	tandem_like_psv	47	1907
2	2	GBA1	DN_NC_073224.2_101602135_9	LOC101127437	NC_073224.2	101602135	101607689	tandem_like_psv	47	1907
3	2	SCNM1	DN_NC_073224.2_105669663_7	SCNM1	NC_073224.2	105669663	105673546	tandem_like_psv	517	917
3	2	SCNM1	DN_NC_073224.2_105672200_3	LYSMD1	NC_073224.2	105672200	105679058	tandem_like_psv	517	917
4	2	TRNAQ-CUG	DN_NC_073224.2_114480077_3	TRNAQ-CUG	NC_073224.2	114480077	114483087	same_chrom_segmental_psv	182	471
4	2	TRNAQ-CUG	DN_NC_073224.2_115073534_2	LOC134756743	NC_073224.2	115073534	115128780	same_chrom_segmental_psv	182	471
5	2	LOC129525730	DN_NC_073224.2_115044966_4	LOC129525730	NC_073224.2	115044966	115050006	same_chrom_segmental_psv	38	1586
5	2	LOC129525730	DN_NC_073224.2_115725463_3	NA	NC_073224.2	115725463	115730550	same_chrom_segmental_psv	38	1586
7	2	GPR89A	DN_NC_073224.2_116008764_12	GPR89A	NC_073224.2	116008764	116055232	same_chrom_segmental_psv	135	1779
7	2	GPR89A	DN_NC_073224.2_124490902_14	LOC101128637	NC_073224.2	124490902	124557189	same_chrom_segmental_psv	135	1779
8	2	LOC129532935	DN_NC_073224.2_116693847_11	LOC129532935	NC_073224.2	116693847	116752792	same_chrom_segmental_psv	117	1369
8	2	LOC129532935	DN_NC_073224.2_130686217_20	SORT1	NC_073224.2	130686217	130774379	same_chrom_segmental_psv	117	1369
9	3	SEC22B	DN_NC_073224.2_117114419_5	SEC22B	NC_073224.2	117114419	117139645	same_chrom_segmental_psv	1214	2834
9	3	SEC22B	DN_NC_073224.2_124983304_5	LOC101129940	NC_073224.2	124983304	125008555	same_chrom_segmental_psv	1214	2834
9	3	SEC22B	DN_NC_073224.2_130157457_4	GSTM2	NC_073224.2	130157457	130181956	same_chrom_segmental_psv	1214	2834
10	3	LOC109023809	DN_NC_073224.2_117447152_14	LOC109023809	NC_073224.2	117447152	117475649	inter_chromosomal_psv	328	2225
10	3	LOC109023809	DN_NC_073224.2_130305133_13	GSTM2	NC_073224.2	130305133	130333659	inter_chromosomal_psv	328	2225
10	3	LOC109023809	DN_NC_073243.2_111262956_13	TRIP13	NC_073243.2	111262956	111287626	inter_chromosomal_psv	328	2225
11	2	LOC101134045	DN_NC_073224.2_119539361_2	NA	NC_073224.2	119539361	119555794	inter_chromosomal_psv	852	1493
11	2	LOC101134045	DN_NC_073233.2_14005356_9	LOC101134045	NC_073233.2	14005356	14017083	inter_chromosomal_psv	852	1493
12	2	IGSF3	DN_NC_073224.2_120975632_11	IGSF3	NC_073224.2	120975632	121068999	inter_chromosomal_psv	186	2057
12	2	IGSF3	DN_NC_073238.2_24435116_16	LOC129526379	NC_073238.2	24435116	24483769	inter_chromosomal_psv	186	2057
13	3	LOC109025730	DN_NC_073224.2_123525276_5	LOC109025730	NC_073224.2	123525276	123536289	inter_chromosomal_psv	320	420
13	3	LOC109025730	DN_NC_073235.2_71373985_7	SPC25	NC_073235.2	71373985	71393450	inter_chromosomal_psv	320	420
13	3	LOC109025730	DN_NC_073244.2_43610901_6	PDCD5	NC_073244.2	43610901	43617830	inter_chromosomal_psv	320	420
14	4	LOC109025592	DN_NC_073224.2_125859316_3	LOC109025592	NC_073224.2	125859316	125938804	inter_chromosomal_psv	1176	1891
14	4	LOC109025592	DN_NC_073224.2_45389129_11	TRAF5	NC_073224.2	45389129	45437416	inter_chromosomal_psv	1176	1891
14	4	LOC109025592	DN_NC_073237.2_96675699_5	LOC101136036	NC_073237.2	96675699	96716877	inter_chromosomal_psv	1176	1891
14	4	LOC109025592	DN_NC_086018.1_19844955_6	LOC101148457	NC_086018.1	19844955	19861177	inter_chromosomal_psv	1176	1891
15	2	RHOC	DN_NC_073224.2_126184593_6	RHOC	NC_073224.2	126184593	126190542	tandem_like_psv	552	1345
15	2	RHOC	DN_NC_073224.2_126189262_21	MOV10	NC_073224.2	126189262	126217233	tandem_like_psv	552	1345
16	5	GSTM2	DN_NC_073224.2_129191737_8	GSTM5	NC_073224.2	129191737	129198214	inter_chromosomal_psv	138	231
16	5	GSTM2	DN_NC_073224.2_129211328_8	GSTM1	NC_073224.2	129211328	129222730	inter_chromosomal_psv	138	231
16	5	GSTM2	DN_NC_073224.2_130406472_2	GSTM2	NC_073224.2	130406472	130413539	inter_chromosomal_psv	138	231
16	5	GSTM2	DN_NC_073224.2_130406472_4	GSTM2	NC_073224.2	130406472	130413536	inter_chromosomal_psv	138	231
16	5	GSTM2	DN_NC_073224.2_130416112_8	GSTM4	NC_073224.2	130416112	130425488	inter_chromosomal_psv	138	231
16	5	GSTM2	DN_NC_073231.2_95446522_6	NA	NC_073231.2	95446522	95616687	inter_chromosomal_psv	138	231
17	4	GSTM1	DN_NC_073224.2_129200469_3	GSTM1	NC_073224.2	129200469	129222194	inter_chromosomal_psv	232	289
17	4	GSTM1	DN_NC_073224.2_139648450_2	NA	NC_073224.2	139648450	139651772	inter_chromosomal_psv	232	289
17	4	GSTM1	DN_NC_073247.2_101028925_2	NA	NC_073247.2	101028925	101089937	inter_chromosomal_psv	232	289
17	4	GSTM1	DN_NC_073248.2_27104145_4	LOC129530196	NC_073248.2	27104145	27118485	inter_chromosomal_psv	232	289
18	4	WDR64	DN_NC_073224.2_13812644_2	WDR64	NC_073224.2	13812644	13832322	inter_chromosomal_psv	146	187
18	4	WDR64	DN_NC_073235.2_71287360_16	NOSTRIN	NC_073235.2	71287360	71353631	inter_chromosomal_psv	146	187
18	4	WDR64	DN_NC_073236.2_30490104_2	LOC115932762	NC_073236.2	30490104	30514875	inter_chromosomal_psv	146	187
18	4	WDR64	DN_NC_073247.2_66706466_2	NA	NC_073247.2	66706466	66715243	inter_chromosomal_psv	146	187
19	3	RPAP2	DN_NC_073224.2_147572773_13	RPAP2	NC_073224.2	147572773	147663961	inter_chromosomal_psv	2147	3229
19	3	RPAP2	DN_NC_073229.2_48204411_2	NA	NC_073229.2	48204411	48210413	inter_chromosomal_psv	2147	3229
19	3	RPAP2	DN_NC_073229.2_48206781_2	NA	NC_073229.2	48206781	48210421	inter_chromosomal_psv	2147	3229
19	3	RPAP2	DN_NC_073244.2_28431147_7	ZNF208	NC_073244.2	28431147	28544467	inter_chromosomal_psv	2147	3229
20	2	GLMN	DN_NC_073224.2_147663563_19	GLMN	NC_073224.2	147663563	147717983	tandem_like_psv	404	781
20	2	GLMN	DN_NC_073224.2_147715668_5	C1H1orf146	NC_073224.2	147715668	147744839	tandem_like_psv	404	781
21	6	LOC101137042	DN_NC_073224.2_150567709_6	LOC101137042	NC_073224.2	150567709	150581340	same_chrom_segmental_psv	827	1510
21	6	LOC101137042	DN_NC_073224.2_150600792_11	GBP6	NC_073224.2	150600792	150623268	same_chrom_segmental_psv	827	1510
21	6	LOC101137042	DN_NC_073224.2_150787798_12	GBP4	NC_073224.2	150787798	150804813	same_chrom_segmental_psv	827	1510
21	6	LOC101137042	DN_NC_073224.2_150859518_11	GBP2	NC_073224.2	150859518	150880912	same_chrom_segmental_psv	827	1510
21	6	LOC101137042	DN_NC_073224.2_150903711_11	LOC101130426	NC_073224.2	150903711	150917769	same_chrom_segmental_psv	827	1510
21	6	LOC101137042	DN_NC_073224.2_150948916_11	GBP3	NC_073224.2	150948916	150965431	same_chrom_segmental_psv	827	1510
22	3	AVEN	DN_NC_073224.2_152452447_2	NA	NC_073224.2	152452447	152456740	inter_chromosomal_psv	676	1039
22	3	AVEN	DN_NC_073229.2_91949623_2	NA	NC_073229.2	91949623	91955182	inter_chromosomal_psv	676	1039
22	3	AVEN	DN_NC_073240.2_34703303_6	AVEN	NC_073240.2	34703303	34856484	inter_chromosomal_psv	676	1039
23	2	GNG5	DN_NC_073224.2_155484145_3	GNG5	NC_073224.2	155484145	155493399	tandem_like_psv	289	493
23	2	GNG5	DN_NC_073224.2_155489872_9	RPF1	NC_073224.2	155489872	155512154	tandem_like_psv	289	493
24	7	LOC129529226	DN_NC_073224.2_15670210_25	LOC129529226	NC_073224.2	15670210	15690287	same_chrom_segmental_psv	485	986
24	7	LOC129529226	DN_NC_073224.2_15783681_8	LOC134758712	NC_073224.2	15783681	15791935	same_chrom_segmental_psv	485	986
24	7	LOC129529226	DN_NC_073224.2_19027212_8	LOC129523520	NC_073224.2	19027212	19035461	same_chrom_segmental_psv	485	986
24	7	LOC129529226	DN_NC_073224.2_19135994_8	LOC101130728	NC_073224.2	19135994	19144219	same_chrom_segmental_psv	485	986
24	7	LOC129529226	DN_NC_073224.2_19235747_8	LOC134756437	NC_073224.2	19235747	19243971	same_chrom_segmental_psv	485	986
24	7	LOC129529226	DN_NC_073224.2_19344252_8	LOC134758754	NC_073224.2	19344252	19352450	same_chrom_segmental_psv	485	986
24	7	LOC129529226	DN_NC_073224.2_29070818_24	LOC129531982	NC_073224.2	29070818	29090914	same_chrom_segmental_psv	485	986
25	2	LOC129532115	DN_NC_073224.2_16928217_2	LOC129532115	NC_073224.2	16928217	16936659	inter_chromosomal_psv	236	454
25	2	LOC129532115	DN_NC_073232.2_122771445_4	DUSP5	NC_073232.2	122771445	122785402	inter_chromosomal_psv	236	454
26	2	TESK2	DN_NC_073224.2_194445089_11	TESK2	NC_073224.2	194445089	194596091	same_chrom_segmental_psv	934	1946
26	2	TESK2	DN_NC_073224.2_194593658_8	TOE1	NC_073224.2	194593658	194599588	same_chrom_segmental_psv	934	1946
27	2	PTPRF	DN_NC_073224.2_196323176_17	PTPRF	NC_073224.2	196323176	196341678	inter_chromosomal_psv	704	2181
27	2	PTPRF	DN_NC_073244.2_10996541_7	PTPRS	NC_073244.2	10996541	11003229	inter_chromosomal_psv	704	2181
28	4	LOC129533540	DN_NC_073224.2_204820137_2	NA	NC_073224.2	204820137	204828327	inter_chromosomal_psv	713	1949
28	4	LOC129533540	DN_NC_073228.2_64851588_2	LOC129533540	NC_073228.2	64851588	64860099	inter_chromosomal_psv	713	1949
28	4	LOC129533540	DN_NC_073228.2_64854515_2	LOC129533540	NC_073228.2	64854515	64860099	inter_chromosomal_psv	713	1949
28	4	LOC129533540	DN_NC_073235.2_134120506_2	NA	NC_073235.2	134120506	134125452	inter_chromosomal_psv	713	1949
28	4	LOC129533540	DN_NC_073247.2_105164639_2	NA	NC_073247.2	105164639	105171308	inter_chromosomal_psv	713	1949
29	2	SYNC	DN_NC_073224.2_207257149_3	SYNC	NC_073224.2	207257149	207272992	tandem_like_psv	989	2071
29	2	SYNC	DN_NC_073224.2_207270226_12	RBBP4	NC_073224.2	207270226	207302728	tandem_like_psv	989	2071
30	2	XKR8	DN_NC_073224.2_211985035_3	XKR8	NC_073224.2	211985035	211993195	inter_chromosomal_psv	423	2136
30	2	XKR8	DN_NC_073230.2_12413521_6	LOC101125339	NC_073230.2	12413521	12439643	inter_chromosomal_psv	423	2136
31	2	AUNIP	DN_NC_073224.2_214075309_3	AUNIP	NC_073224.2	214075309	214098577	tandem_like_psv	654	1443
31	2	AUNIP	DN_NC_073224.2_214095871_7	MTFR1L	NC_073224.2	214095871	214110631	tandem_like_psv	654	1443
32	2	RHD	DN_NC_073224.2_214517378_2	RHD	NC_073224.2	214517378	214542559	inter_chromosomal_psv	390	664
32	2	RHD	DN_NC_073233.2_119992784_4	SDHD	NC_073233.2	119992784	120001778	inter_chromosomal_psv	390	664
33	2	AKR7A2	DN_NC_073224.2_220588830_7	AKR7A2	NC_073224.2	220588830	220597024	tandem_like_psv	270	1360
33	2	AKR7A2	DN_NC_073224.2_220611411_7	LOC115933748	NC_073224.2	220611411	220619269	tandem_like_psv	270	1360
34	2	ENO1	DN_NC_073224.2_231736369_12	ENO1	NC_073224.2	231736369	231754310	same_chrom_segmental_psv	389	972
34	2	ENO1	DN_NC_073224.2_25093112_7	EDARADD	NC_073224.2	25093112	25230797	same_chrom_segmental_psv	389	972
35	4	ACTN3	DN_NC_073224.2_25533741_19	NA	NC_073224.2	25533741	25533741	inter_chromosomal_psv	118	227
35	4	ACTN3	DN_NC_073233.2_74467231_21	ACTN3	NC_073233.2	74467231	74483749	inter_chromosomal_psv	118	227
35	4	ACTN3	DN_NC_073239.2_85769342_21	ACTN1	NC_073239.2	85769342	85874778	inter_chromosomal_psv	118	227
35	4	ACTN3	DN_NC_073244.2_50412691_21	ACTN4	NC_073244.2	50412691	50495775	inter_chromosomal_psv	118	227
36	3	LOC109026917	DN_NC_073224.2_27333739_3	LOC101153891	NC_073224.2	27333739	27342562	inter_chromosomal_psv	150	192
36	3	LOC109026917	DN_NC_073228.2_64771915_4	LOC109026917	NC_073228.2	64771915	64820429	inter_chromosomal_psv	150	192
36	3	LOC109026917	DN_NC_073228.2_64771950_2	LOC109026917	NC_073228.2	64771950	64819487	inter_chromosomal_psv	150	192
36	3	LOC109026917	DN_NC_073234.2_48400691_7	KRT18	NC_073234.2	48400691	48404609	inter_chromosomal_psv	150	192
38	35	ZNF92	DN_NC_073224.2_40627195_4	ZNF678	NC_073224.2	40627195	40691824	inter_chromosomal_psv	463	501
38	35	ZNF92	DN_NC_073230.2_73977205_4	ZNF680	NC_073230.2	73977205	74023352	inter_chromosomal_psv	463	501
38	35	ZNF92	DN_NC_073230.2_74126483_4	LOC101128844	NC_073230.2	74126483	74171491	inter_chromosomal_psv	463	501
38	35	ZNF92	DN_NC_073230.2_74190289_5	LOC101133668	NC_073230.2	74190289	74236913	inter_chromosomal_psv	463	501
38	35	ZNF92	DN_NC_073230.2_74299233_4	ZNF273	NC_073230.2	74299233	74334240	inter_chromosomal_psv	463	501
38	35	ZNF92	DN_NC_073230.2_74637722_4	ZNF92	NC_073230.2	74637722	74665115	inter_chromosomal_psv	463	501
38	35	ZNF92	DN_NC_073230.2_74637814_2	ZNF92	NC_073230.2	74637814	74665114	inter_chromosomal_psv	463	501
38	35	ZNF92	DN_NC_073242.2_66613619_4	LOC129527827	NC_073242.2	66613619	66651969	inter_chromosomal_psv	463	501
38	35	ZNF92	DN_NC_073244.2_26240035_4	ZNF506	NC_073244.2	26240035	26271063	inter_chromosomal_psv	463	501
38	35	ZNF92	DN_NC_073244.2_26240039_2	ZNF506	NC_073244.2	26240039	26271037	inter_chromosomal_psv	463	501
38	35	ZNF92	DN_NC_073244.2_26314241_4	LOC101129171	NC_073244.2	26314241	26342983	inter_chromosomal_psv	463	501
38	35	ZNF92	DN_NC_073244.2_26666712_5	ZNF486	NC_073244.2	26666712	26701477	inter_chromosomal_psv	463	501
38	35	ZNF92	DN_NC_073244.2_26901109_4	LOC101136009	NC_073244.2	26901109	26930210	inter_chromosomal_psv	463	501
38	35	ZNF92	DN_NC_073244.2_27051998_4	LOC115930172	NC_073244.2	27051998	27075053	inter_chromosomal_psv	463	501
38	35	ZNF92	DN_NC_073244.2_27131194_2	ZNF626	NC_073244.2	27131194	27169982	inter_chromosomal_psv	463	501
38	35	ZNF92	DN_NC_073244.2_27285351_4	LOC101137462	NC_073244.2	27285351	27320295	inter_chromosomal_psv	463	501
38	35	ZNF92	DN_NC_073244.2_27408454_4	LOC129528947	NC_073244.2	27408454	27437361	inter_chromosomal_psv	463	501
38	35	ZNF92	DN_NC_073244.2_27504818_5	ZNF430	NC_073244.2	27504818	27543672	inter_chromosomal_psv	463	501
38	35	ZNF92	DN_NC_073244.2_27566430_5	LOC115931567	NC_073244.2	27566430	27603446	inter_chromosomal_psv	463	501
38	35	ZNF92	DN_NC_073244.2_27626411_5	LOC115931567	NC_073244.2	27626411	27669889	inter_chromosomal_psv	463	501
38	35	ZNF92	DN_NC_073244.2_27765726_4	LOC101141027	NC_073244.2	27765726	27802258	inter_chromosomal_psv	463	501
38	35	ZNF92	DN_NC_073244.2_27869273_3	LOC101142646	NC_073244.2	27869273	27900063	inter_chromosomal_psv	463	501
38	35	ZNF92	DN_NC_073244.2_27956158_2	ZNF429	NC_073244.2	27956158	27994790	inter_chromosomal_psv	463	501
38	35	ZNF92	DN_NC_073244.2_27956158_4	ZNF429	NC_073244.2	27956158	27995104	inter_chromosomal_psv	463	501
38	35	ZNF92	DN_NC_073244.2_28072858_4	LOC115931568	NC_073244.2	28072858	28101601	inter_chromosomal_psv	463	501
