locus_run	focus_refs	query_mrnas	focus_matched	focus_sn_qry_pr	trace_notes
STRG_251	6	10	5/6	83.3% | 80.0%	STRG.251.5:readthr_gate(flow_cov=0.97_longcov=1.0;read_count_fallback_was_reverted_due_to_jc_FP_inflation;coverage_floor)
STRG_151	6	8	6/6	100.0% | 57.1%	all_focus_matched
STRG_503	5	9	5/5	100.0% | 81.8%	all_focus_matched
STRG_157	5	8	5/5	100.0% | 62.5%	all_focus_matched; STRG.157.7 now recovered via SE-ON
STRG_453	4	4	3/4	75.0% | 100.0%	STRG.453.5:not_extracted:junctions_present
STRG_442	3	12	3/3	100.0% | 25.0%	all_focus_matched; STRG.442.3 now recovered via multi-prefix back_extend
STRG_566	4	13	4/4	100.0% | 92.3%	all_focus_matched
STRG_445	3	10	3/3	100.0% | 30.0%	all_focus_matched
STRG_29	3	10	3/3	100.0% | 30.0%	all_focus_matched
STRG_440	3	7	3/3	100.0% | 42.9%	all_focus_matched
STRG_300	3	12	3/3	100.0% | 25.0%	all_focus_matched
STRG_125	3	8	2/3	66.7% | 25.0%	STRG.125.6:k(Rustle_5prime_ext_36ex>28ex); STRG.125.9 now recovered in de novo mode (RSTL.356.6)
STRG_210	3	7	2/3	66.7% | 28.6%	STRG.210.4 now recovered via SE-ON; STRG.210.5:c-class(3.8kb_fragment_vs_9.3kb_ref)
STRG_52	2	4	2/2	100.0% | 50.0%	all_focus_matched
STRG_95	2	64	2/2	100.0% | 3.1%	all_focus_matched
