gene_a	gene_b	dn_a	dn_b	cls	in_ep	core	aln_len	aln_frac
ABCA13	ITSN1	DN_NC_073230.2_56036026_15	DN_NC_073246.2_35769268_8	genuine	0	0.1409	474	0.14
ABCA13	LOC101150644	DN_NC_073230.2_56036026_15	DN_NC_073233.2_11450665_3	genuine	0	0.1360	0	0.0
ABCA13	LOC129532904	DN_NC_073227.2_36265860_3	DN_NC_073230.2_56036026_15	genuine	0	0.1346	0	0.0
ABCD1	LOC129526391	DN_NC_073236.2_25270756_7	DN_NC_073247.2_165410205_10	TP	0	0.4426	1488	0.81
ABCD1	LOC129526471	DN_NC_073236.2_22701854_7	DN_NC_073247.2_165410205_10	TP	0	0.3255	1480	0.8083
ABCD1	LOC129531453	DN_NC_073240.2_15970659_7	DN_NC_073247.2_165410205_10	TP	0	0.3224	1479	0.8056
ABITRAM	CTNNAL1	DN_NC_073237.2_105179643_6	DN_NC_073237.2_105184979_19	genuine	0	0.7593	2431	0.7599
ACADL	C3H4orf36	DN_NC_073227.2_107202270_4	DN_NC_073235.2_112807340_11	genuine	0	0.2241	0	0.0
ACADL	SPC25	DN_NC_073235.2_112807340_11	DN_NC_073235.2_71373985_7	genuine	0	0.1610	0	0.0
ACAT2	TCP1	DN_NC_073229.2_183992530_9	DN_NC_073229.2_184008587_12	genuine	0	0.1573	601	0.1576
ACO2	POLR3H	DN_NC_086018.1_39469630_18	DN_NC_086018.1_39525778_6	genuine	0	0.2132	0	0.0
ACOT6	CDKN2AIPNL	DN_NC_073228.2_138307166_3	DN_NC_073239.2_90471291_2	genuine	0	0.1320	0	0.0
ACOT9	LOC129525165	DN_NC_073232.2_145623155_3	DN_NC_073247.2_34199522_16	genuine	0	0.1880	0	0.0
ACP1	ALKAL2	DN_NC_073236.2_139618373_5	DN_NC_073236.2_139624268_6	genuine	0	0.8616	1867	0.8616
ACSBG1	IDH3A	DN_NC_073240.2_79048326_11	DN_NC_073240.2_79068535_14	TP	0	0.5137	2175	0.513
ACSM1	LOC129528956	DN_NC_073242.2_20304889_2	DN_NC_073244.2_28133171_2	genuine	0	0.1515	3035	0.9663
ACTL6A	MRPL47	DN_NC_086017.1_190656695_14	DN_NC_086017.1_190680196_7	genuine	0	0.4282	1069	0.4274
ADA	PKIG	DN_NC_073245.2_56763975_4	DN_NC_073245.2_56852545_12	genuine	0	0.2136	332	0.2136
ADAT1	LOC109026802	DN_NC_073228.2_185199640_2	DN_NC_073242.2_106088342_11	genuine	0	0.2491	0	0.0
ADGRF5	LOC109023105	DN_NC_073229.2_64639535_22	DN_NC_073238.2_32078126_7	genuine	0	0.2208	3064	0.9057
ADORA1	CHIT1	DN_NC_073224.2_53524414_11	DN_NC_073224.2_53535059_3	genuine	0	0.4714	1063	0.471
AFG3L2	TUBB6	DN_NC_073241.2_37890028_17	DN_NC_073241.2_37935842_4	genuine	0	0.2395	641	0.2391
AK6	TAF9B	DN_NC_073243.2_40875168_3	DN_NC_073247.2_89808941_7	genuine	0	0.3182	0	0.0
AKTIP	RBL2	DN_NC_073242.2_82507839_22	DN_NC_073242.2_82560306_10	genuine	0	0.3117	1525	0.3105
ALB	AVEN	DN_NC_073227.2_93560991_18	DN_NC_073240.2_34703303_6	genuine	0	0.1543	0	0.0
ALG1	LOC101139163	DN_NC_073242.2_8725127_13	DN_NC_086017.1_141278779_5	genuine	0	0.1538	957	0.4459
ALG1	LOC101152938	DN_NC_073233.2_75718276_6	DN_NC_073242.2_8725127_13	genuine	0	0.1724	901	0.4199
ALG1L1P	LOC101127338	DN_NC_086017.1_134833806_5	DN_NC_086017.1_136815000_6	genuine	0	0.6561	994	1.1244
