dn_a	dn_b	n_exon_a	n_exon_b	n_exon_min	colinear	colinear_nd	n_matched	exon_match_frac	mean_matched_id	best_exon_id	isolated_domain	colinear_50	colinear_60	colinear_65	colinear_70	colinear_75	colinear_80
DN_NC_073224.2_100532147_6	DN_NC_073224.2_100535401_4	6	4	4	0	0	0	0.0	0.0	0.0	0	1	0	0	0	0	0
DN_NC_073224.2_100772522_11	DN_NC_073247.2_66651439_2	11	2	2	0	0	0	0.0	0.0	0.0	0	2	0	0	0	0	0
DN_NC_073224.2_100975273_21	DN_NC_073224.2_101136214_11	21	10	10	9	9	9	0.9	0.953	1.0	0	9	9	9	9	9	9
DN_NC_073224.2_101578782_11	DN_NC_073224.2_101602135_9	11	9	9	6	6	6	0.6667	0.9513	1.0	0	6	6	6	6	6	5
DN_NC_073224.2_102253297_12	DN_NC_073240.2_76716889_13	12	13	12	9	9	9	0.75	0.7702	0.8211	0	11	11	10	9	6	2
DN_NC_073224.2_103138337_14	DN_NC_073224.2_103145991_4	14	4	4	0	0	0	0.0	0.0	0.0	0	3	0	0	0	0	0
DN_NC_073224.2_105669663_7	DN_NC_073224.2_105672200_3	7	3	3	1	1	1	0.3333	1.0	1.0	1	2	1	1	1	1	1
DN_NC_073224.2_105776266_5	DN_NC_073224.2_105784199_2	5	2	2	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0
DN_NC_073224.2_114480077_3	DN_NC_073224.2_115073534_2	3	2	2	1	1	1	0.5	0.761	0.761	1	1	1	1	1	1	0
DN_NC_073224.2_114825986_4	DN_NC_073240.2_44556092_13	4	13	4	0	0	0	0.0	0.0	0.0	0	4	0	0	0	0	0
DN_NC_073224.2_115073393_19	DN_NC_073224.2_116807774_25	19	25	19	14	15	24	1.2632	0.9572	1.0	0	14	14	14	14	14	14
DN_NC_073224.2_115073393_19	DN_NC_073224.2_117494263_25	19	25	19	14	15	24	1.2632	0.9547	1.0	0	14	14	14	14	14	14
DN_NC_073224.2_115073393_19	DN_NC_073224.2_124254598_20	19	20	19	10	10	11	0.5789	0.8316	0.9638	0	11	11	11	10	7	6
DN_NC_073224.2_115073393_19	DN_NC_073224.2_129429039_7	19	7	7	7	7	7	1.0	0.9773	1.0	0	7	7	7	7	7	7
DN_NC_073224.2_115073393_19	DN_NC_073224.2_129970070_21	19	21	19	15	16	20	1.0526	0.9516	1.0	0	15	15	15	15	15	15
DN_NC_073224.2_115073393_19	DN_NC_073224.2_218361248_19	19	19	19	12	13	18	0.9474	0.8959	0.9608	0	12	12	12	12	12	12
DN_NC_073224.2_115073393_19	DN_NC_073224.2_218434129_23	19	23	19	12	13	22	1.1579	0.9032	0.9804	0	13	12	12	12	12	12
DN_NC_073224.2_115073393_19	DN_NC_073224.2_223156764_8	19	8	8	6	7	8	1.0	0.9131	0.9804	0	7	6	6	6	6	6
