species	case	catalog_family	node	locus	genes	disposition	reason
GGO	C4	GWFAM179	GWFAM179~0	NC_073229.2:49583457-49597695	C4A	KEEP_KNOWN	independent same-family protein-coding annotation
GGO	C4	GWFAM179	GWFAM179~1	NC_073229.2:49609915-49624154	C4B	KEEP_KNOWN	independent same-family protein-coding annotation
GGO	TSPYL	GWFAM196	GWFAM196~0	NC_073229.2:140449427-140453573	TSPYL4	KEEP_KNOWN	independent same-family protein-coding annotation
GGO	TSPYL	GWFAM196	GWFAM196~1	NC_073229.2:140476252-140479462	TSPYL1	KEEP_KNOWN	independent same-family protein-coding annotation
GGO	GSTM	GWFAM34	GWFAM34~0	NC_073224.2:129169634-129173089	GSTM3	KEEP_KNOWN	independent same-family protein-coding annotation
GGO	GSTM	GWFAM34	GWFAM34~1	NC_073224.2:129191738-129197754	GSTM5	KEEP_KNOWN	independent same-family protein-coding annotation
GGO	GSTM	GWFAM34	GWFAM34~2	NC_073224.2:129214072-129222700	GSTM1	KEEP_KNOWN	independent same-family protein-coding annotation
GGO	GSTM	GWFAM34	GWFAM34~3	NC_073224.2:130416115-130425450	GSTM4	KEEP_KNOWN	independent same-family protein-coding annotation
GGO	RGPD	GWFAM332	GWFAM332~0	NC_073236.2:46653760-46675997	LOC101136692	KEEP_RNA_CANDIDATE	forward RNA homology reaches a named family member; no conflicting named gene
GGO	RGPD	GWFAM332	GWFAM332~1	NC_073236.2:47713107-47730218	LOC109025447	KEEP_RNA_CANDIDATE	forward RNA homology reaches a named family member; no conflicting named gene
GGO	RGPD	GWFAM332	GWFAM332~2	NC_073236.2:47732254-47781827	LOC109025447,LOC129531693	KEEP_RNA_CANDIDATE	forward RNA homology reaches a named family member; no conflicting named gene
GGO	RGPD	GWFAM332	GWFAM332~3	NC_073236.2:49989276-49996072	RGPD8	KEEP_KNOWN_OUTLIER	independent same-family protein-coding annotation
GGO	RGPD	GWFAM332	GWFAM332~4	NC_073236.2:51202489-51224380	LOC129531666	KEEP_RNA_CANDIDATE	forward RNA homology reaches a named family member; no conflicting named gene
GGO	RGPD	GWFAM332	GWFAM332~5	NC_073236.2:52825244-52845979	LOC101131768	KEEP_RNA_CANDIDATE	forward RNA homology reaches a named family member; no conflicting named gene
GGO	ANKRD18	GWFAM338	GWFAM338~0	NC_073237.2:29418618-29426261	LOC101142783	KEEP_RNA_CANDIDATE	forward RNA homology reaches a named family member; no conflicting named gene
GGO	ANKRD18	GWFAM338	GWFAM338~1	NC_073237.2:29426288-29451443	LOC101142783	KEEP_RNA_CANDIDATE	forward RNA homology reaches a named family member; no conflicting named gene
GGO	ANKRD18	GWFAM338	GWFAM338~2	NC_073237.2:31482001-31507794	ANKRD18B	KEEP_KNOWN_OUTLIER	independent same-family protein-coding annotation
GGO	ANKRD18	GWFAM338	GWFAM338~3	NC_073237.2:93517785-93564369	LOC101147259,LOC129524455,LOC134756891	KEEP_RNA_CANDIDATE	forward RNA homology reaches a named family member; no conflicting named gene
GGO	HERC2	GWFAM387	GWFAM387~0	NC_073240.2:23337811-23357151	LOC115932987,LOC129527054	KEEP_RNA_CANDIDATE	forward RNA homology reaches a named family member; no conflicting named gene
GGO	HERC2	GWFAM387	GWFAM387~1	NC_073240.2:29369422-29402102	HERC2	KEEP_KNOWN_OUTLIER	independent same-family protein-coding annotation
GGO	MAGEA	GWFAM455	GWFAM455~0	NC_073247.2:46342753-46348287	MAGEB16	REVIEW_CONFLICTING_GENE	independent annotation names another gene: MAGEB16
GGO	MAGEA	GWFAM455	GWFAM455~1	NC_073247.2:161251228-161256980	LOC129530018	KEEP_RNA_CANDIDATE	forward RNA homology reaches a named family member; no conflicting named gene
GGO	MAGEA	GWFAM455	GWFAM455~10	NC_073247.2:164861280-164865957	MAGEA1	KEEP_KNOWN	independent same-family protein-coding annotation
GGO	MAGEA	GWFAM455	GWFAM455~2	NC_073247.2:161459069-161464316	MAGEA9	KEEP_KNOWN	independent same-family protein-coding annotation
GGO	MAGEA	GWFAM455	GWFAM455~3	NC_073247.2:163590503-163600782	MAGEA4	KEEP_KNOWN	independent same-family protein-coding annotation
GGO	MAGEA	GWFAM455	GWFAM455~4	NC_073247.2:163809311-163814501	MAGEA10	KEEP_KNOWN	independent same-family protein-coding annotation
GGO	MAGEA	GWFAM455	GWFAM455~5	NC_073247.2:164381244-164384845	LOC129529976	KEEP_RNA_CANDIDATE	forward RNA homology reaches a named family member; no conflicting named gene
GGO	MAGEA	GWFAM455	GWFAM455~6	NC_073247.2:164397083-164401094	LOC129529978	KEEP_RNA_CANDIDATE	forward RNA homology reaches a named family member; no conflicting named gene
GGO	MAGEA	GWFAM455	GWFAM455~7	NC_073247.2:164407412-164411338	MAGEA12	KEEP_KNOWN	independent same-family protein-coding annotation
GGO	MAGEA	GWFAM455	GWFAM455~8	NC_073247.2:164426194-164430205	LOC129529983	KEEP_RNA_CANDIDATE	forward RNA homology reaches a named family member; no conflicting named gene
GGO	MAGEA	GWFAM455	GWFAM455~9	NC_073247.2:164442448-164446063	LOC129529986	KEEP_RNA_CANDIDATE	forward RNA homology reaches a named family member; no conflicting named gene
GGO	DAZ	GWFAM479	GWFAM479~0	NC_073248.2:42783135-42859567	DAZ1	KEEP_KNOWN	independent same-family protein-coding annotation
GGO	DAZ	GWFAM479	GWFAM479~1	NC_086017.1:26423034-26441838	DAZL	KEEP_KNOWN	independent same-family protein-coding annotation
GGO	APOBEC3	GWFAM491	GWFAM491~0	NC_086018.1:37016959-37023077	APOBEC3C	KEEP_KNOWN	independent same-family protein-coding annotation
GGO	APOBEC3	GWFAM491	GWFAM491~1	NC_086018.1:37043632-37056318	APOBEC3F	KEEP_KNOWN	independent same-family protein-coding annotation
HSA	GOLGA6_8	GWFAM141	GWFAM141~0	chr12:100117634-100121292	.	REVIEW_UNTYPED	no same-family annotation or forward path to a named member
HSA	GOLGA6_8	GWFAM141	GWFAM141~1	chr15:18474207-18487533	.	KEEP_RNA_CANDIDATE	forward RNA homology reaches a named family member; no conflicting named gene
HSA	GOLGA6_8	GWFAM141	GWFAM141~10	chr15:27926773-27937424	GOLGA8T	KEEP_KNOWN	independent same-family protein-coding annotation
HSA	GOLGA6_8	GWFAM141	GWFAM141~11	chr15:30241581-30252173	GOLGA8O	KEEP_KNOWN	independent same-family protein-coding annotation
HSA	GOLGA6_8	GWFAM141	GWFAM141~12	chr15:32184806-32193312	GOLGA8A	KEEP_KNOWN	independent same-family protein-coding annotation
HSA	GOLGA6_8	GWFAM141	GWFAM141~13	chr15:32330818-32333748	GOLGA8B	KEEP_KNOWN	independent same-family protein-coding annotation
HSA	GOLGA6_8	GWFAM141	GWFAM141~14	chr15:73646286-73657735	.	KEEP_RNA_CANDIDATE	forward RNA homology reaches a named family member; no conflicting named gene
HSA	GOLGA6_8	GWFAM141	GWFAM141~15	chr15:80206660-80213549	GOLGA6L10	KEEP_KNOWN	independent same-family protein-coding annotation
HSA	GOLGA6_8	GWFAM141	GWFAM141~16	chr15:80295867-80300833	GOLGA6L9	KEEP_KNOWN	independent same-family protein-coding annotation
HSA	GOLGA6_8	GWFAM141	GWFAM141~17	chr15:82101777-82108939	GOLGA6L4	KEEP_KNOWN	independent same-family protein-coding annotation
HSA	GOLGA6_8	GWFAM141	GWFAM141~18	chr15:82259568-82264268	.	KEEP_RNA_CANDIDATE	forward RNA homology reaches a named family member; no conflicting named gene
