chrom	chromStart	chromEnd	size	Gene Name	Gene ID	ENSEMBL	Biotype	Family ID	Family status	Gene Coords	SD98_v1.0	SD98_v2.0	Genomic disorders	Median parCN	parCN>0.5	parCN>0.5%	parCN<1.5	parCN=2	parCN>=2.5	parCN=2 %	parCN class	Neanderthal Mezmaiskaya	Neanderthal  Vindija	Neanderthal Altai	Denisova	parCN<0.5	parCN<1.5	parCN=2	Lifted over to hg19	Association	Duplications	Deletions	Median Probands	Median Siblings	p-value	q-value	Median Probands Rounded CN	Median Siblings Rounded CN	p-value Rounded CN	q-value Rounded CN
chr1	112071.0	113065.0	994.0	OR4F21	CHM13_G0000002	ENSG00000176269.3	protein_coding	ID_361	Human duplicated gene family	chr1:112071-113065	chr1:112071-113065	chr1:111902-112896	1p36.3	1.04	2476.0	98.88	2165.0	332.0	7.0	13.26	Nearly-Fixed	0.61	0.16	0.15	1.62	2	3.0	1.0	Yes	No	-	-	0.188741	0.188012	0.52972191072722	0.966635075779227	0.0	0.0	0.0990626789661797	0.945848613525673
chr1	1.2401266E7	1.2406084E7	4818.0	PRAMEF2	CHM13_G0000412	ENSG00000120952.4	protein_coding	ID_433	Undetermined	chr1:12401266-12406084	chr1:12401266-12406084	chr1:12401097-12405915	-	1.95	2489.0	99.4	334.0	1947.0	223.0	77.76	Nearly-Fixed	1.09	1.12	1.36	1.33	0	4.0	0.0	Yes	Yes	brain stem volume measurement;negative(1:12865657-12923962);brain stem volume measurement;positive(1:12885335-12955549);brain volume measurement;negative(1:12885335-12955549,1:12885335-12943277,1:12854105-13038285,1:12848097-13038285,1:12848097-13497768,1:12854105-12923962,1:12848097-12943277,1:12861693-12923962,1:12880278-13038285,1:12880278-12955549,1:12848097-12923962,1:12854105-12955549,1:12880278-12942222,1:12880278-12923962,1:12885335-13186401,1:12880278-13497768,1:12885335-12942222,1:12861693-13038285,1:12848097-12955549,1:12896983-12955549,1:12880278-13186401,1:12885335-13038285);brain volume measurement;positive(1:12854105-13038285,1:12885335-13186401,1:12861693-12923962,1:12880278-12923962,1:12848097-13497768,1:12896983-12943277,1:12880278-12943277,1:12880278-13497768,1:12885335-12955549,1:12880278-13038285,1:12861693-12955549,1:12865657-12923962,1:12848097-12955549,1:12896983-12955549,1:12880278-12942222,1:12885335-13038285,1:12885335-12943277,1:12854105-12955549,1:12880278-13186401,1:12848097-12943277,1:12861693-13038285,1:12885335-12923962);caudate nucleus volume;negative(1:12848097-12943277,1:12854105-13038285);cerebrospinal fluid volume measurement;negative(1:12880278-12955549);cerebrospinal fluid volume measurement;positive(1:12880278-13038285);grey matter volume measurement;negative(1:12885335-12942222,1:12885335-12955549,1:12854105-13038285,1:12861693-13038285,1:12854105-12955549,1:12880278-12942222,1:12848097-13497768,1:12848097-12943277,1:12896983-12943277,1:12865657-12923962,1:12885335-12943277,1:12896983-12955549,1:12848097-13038285,1:12880278-12955549,1:12880278-12923962);grey matter volume measurement;positive(1:12854105-13038285,1:12896983-12943277,1:12880278-13038285,1:12865657-12923962,1:12880278-12942222,1:12885335-12955549,1:12880278-12943277,1:12861693-12923962,1:12880278-13186401,1:12885335-13038285,1:12880278-13497768,1:12848097-12955549,1:12854105-12923962,1:12848097-13497768,1:12885335-13186401,1:12880278-12923962,1:12885335-12923962,1:12848097-12943277);grey matter volume measurement,white matter volume measurement;negative(1:12885335-12955549,1:12854105-13038285);grey matter volume measurement,white matter volume measurement;positive(1:12848097-12943277);nucleus accumbens volume;negative(1:12854105-13038285,1:12880278-13038285);nucleus accumbens volume;positive(1:12848097-13038285,1:12885335-13186401);pallidum volume;negative(1:12848097-12923962,1:12854105-13038285);putamen volume;negative(1:12885335-12943277);superior frontal gyrus grey matter volume measurement;negative(1:12848097-13497768);superior frontal gyrus grey matter volume measurement;positive(1:12896983-13038285);thalamus volume;negative(1:12854105-13038285);white matter volume measurement;negative(1:12861693-12955549,1:12854105-13038285);white matter volume measurement;positive(1:12848097-12943277,1:12885335-12923962,1:12880278-12943277)	brain stem volume measurement;negative(1:12880278-13038285);brain stem volume measurement;positive(1:12855598-12923962);brain volume measurement;negative(1:12855598-12923962,1:12880278-12943277,1:12880278-13038285,1:12885335-12943277,1:12912501-12923962,1:12861693-12923962,1:12896983-12923962,1:12901323-12923962,1:12880278-12923962,1:12880278-12955549,1:12865657-12923962);brain volume measurement;positive(1:12880278-13038285,1:12896983-12923962,1:12901323-12923962,1:12865657-12923962,1:12880278-12943277,1:12855598-12923962,1:12907438-12923962,1:12912501-12923962,1:12885335-12943277,1:12880278-12955549);caudate nucleus volume;negative(1:12880278-13038285);caudate nucleus volume;positive(1:12855598-12923962);grey matter volume measurement;negative(1:12901323-12923962,1:12865657-12923962,1:12880278-12923962,1:12880278-13038285,1:12907438-12923962,1:12885335-12943277,1:12880278-12943277);grey matter volume measurement;positive(1:12861693-12923962,1:12880278-13038285,1:12855598-12923962,1:12880278-12955549,1:12901323-12923962,1:12912501-12923962,1:12896983-12955549,1:12896983-12923962,1:12880278-12943277,1:12865657-12923962,1:12880278-12923962);grey matter volume measurement,white matter volume measurement;positive(1:12855598-12923962);hippocampal volume;positive(1:12880278-12923962);nucleus accumbens volume;negative(1:12880278-12943277,1:12880278-12955549);nucleus accumbens volume;positive(1:12855598-12923962);pallidum volume;negative(1:12880278-12943277,1:12885335-12943277);pallidum volume;positive(1:12896983-12955549);putamen volume;positive(1:12912501-12923962);superior frontal gyrus grey matter volume measurement;positive(1:12912501-12923962);thalamus volume;positive(1:12855598-12923962);white matter volume measurement;negative(1:12880278-13038285)	1.928793	1.930783	0.661892267618234	0.983336357253052	2.0	2.0	0.429963846707617	1.0
chr1	1.2423336E7	1.2430329E7	6993.0	PRAMEF4	CHM13_G0000413	ENSG00000243073.4	protein_coding	ID_434	Undetermined	chr1:12423336-12430329	chr1:12423336-12430329	chr1:12423167-12430160	-	1.93	2479.0	99.0	541.0	1825.0	138.0	72.88	Nearly-Fixed	0.68	0.8	0.79	0.6	0	4.0	0.0	Yes	Yes	brain stem volume measurement;positive(1:12885335-12955549);brain volume measurement;negative(1:12885335-12955549,1:12939426-13038285,1:12885335-12943277,1:12854105-13038285,1:12848097-13038285,1:12848097-13497768,1:12848097-12943277,1:12880278-13038285,1:12880278-12955549,1:12854105-12955549,1:12885335-13186401,1:12880278-13497768,1:12861693-13038285,1:12848097-12955549,1:12896983-12955549,1:12880278-13186401,1:12885335-13038285);brain volume measurement;positive(1:12854105-13038285,1:12885335-13186401,1:12848097-13497768,1:12896983-12943277,1:12880278-12943277,1:12880278-13497768,1:12885335-12955549,1:12880278-13038285,1:12861693-12955549,1:12848097-12955549,1:12896983-12955549,1:12885335-13038285,1:12885335-12943277,1:12854105-12955549,1:12880278-13186401,1:12939426-13038285,1:12848097-12943277,1:12861693-13038285);caudate nucleus volume;negative(1:12848097-12943277,1:12854105-13038285);cerebrospinal fluid volume measurement;negative(1:12880278-12955549);cerebrospinal fluid volume measurement;positive(1:12880278-13038285,1:12939426-13038285);grey matter volume measurement;negative(1:12885335-12955549,1:12854105-13038285,1:12861693-13038285,1:12939426-13038285,1:12854105-12955549,1:12848097-13497768,1:12848097-12943277,1:12896983-12943277,1:12885335-12943277,1:12896983-12955549,1:12848097-13038285,1:12880278-12955549);grey matter volume measurement;positive(1:12854105-13038285,1:12896983-12943277,1:12880278-13038285,1:12885335-12955549,1:12880278-12943277,1:12880278-13186401,1:12939426-13038285,1:12885335-13038285,1:12880278-13497768,1:12848097-12955549,1:12848097-13497768,1:12885335-13186401,1:12848097-12943277);grey matter volume measurement,white matter volume measurement;negative(1:12885335-12955549,1:12854105-13038285);grey matter volume measurement,white matter volume measurement;positive(1:12848097-12943277);nucleus accumbens volume;negative(1:12854105-13038285,1:12880278-13038285,1:12939426-13038285);nucleus accumbens volume;positive(1:12848097-13038285,1:12885335-13186401);pallidum volume;negative(1:12854105-13038285);putamen volume;negative(1:12885335-12943277);superior frontal gyrus grey matter volume measurement;negative(1:12848097-13497768);superior frontal gyrus grey matter volume measurement;positive(1:12896983-13038285);thalamus volume;negative(1:12854105-13038285,1:12939426-13038285);white matter volume measurement;negative(1:12861693-12955549,1:12854105-13038285);white matter volume measurement;positive(1:12848097-12943277,1:12880278-12943277)	brain stem volume measurement;negative(1:12880278-13038285);brain volume measurement;negative(1:12880278-12943277,1:12880278-13038285,1:12885335-12943277,1:12880278-12955549);brain volume measurement;positive(1:12880278-13038285,1:12880278-12943277,1:12885335-12943277,1:12880278-12955549);caudate nucleus volume;negative(1:12880278-13038285);grey matter volume measurement;negative(1:12880278-13038285,1:12885335-12943277,1:12880278-12943277);grey matter volume measurement;positive(1:12880278-13038285,1:12880278-12955549,1:12896983-12955549,1:12880278-12943277);nucleus accumbens volume;negative(1:12880278-12943277,1:12880278-12955549);pallidum volume;negative(1:12880278-12943277,1:12885335-12943277);pallidum volume;positive(1:12896983-12955549);white matter volume measurement;negative(1:12880278-13038285)	1.990405	1.995915	0.947501408491001	0.995422847412124	2.0	2.0	0.73993186781633	1.0
chr1	1.2437031E7	1.2442406E7	5375.0	PRAMEF10	CHM13_G0000414	ENSG00000187545.5	protein_coding	ID_38	Undetermined	chr1:12437031-12442406	chr1:12437031-12442406	chr1:12436862-12442237	-	2.16	2499.0	99.8	262.0	1873.0	369.0	74.8	Nearly-Fixed	0.7	0.44	0.6	0.52	1	4.0	0.0	Yes	Yes	brain stem volume measurement;positive(1:12885335-12955549);brain volume measurement;negative(1:12885335-12955549,1:12939426-13038285,1:12854105-13038285,1:12848097-13038285,1:12848097-13497768,1:12880278-13038285,1:12880278-12955549,1:12854105-12955549,1:12885335-13186401,1:12880278-13497768,1:12861693-13038285,1:12848097-12955549,1:12896983-12955549,1:12880278-13186401,1:12885335-13038285);brain volume measurement;positive(1:12854105-13038285,1:12885335-13186401,1:12848097-13497768,1:12880278-13497768,1:12885335-12955549,1:12880278-13038285,1:12861693-12955549,1:12848097-12955549,1:12896983-12955549,1:12885335-13038285,1:12854105-12955549,1:12880278-13186401,1:12939426-13038285,1:12861693-13038285);caudate nucleus volume;negative(1:12854105-13038285);cerebrospinal fluid volume measurement;negative(1:12880278-12955549);cerebrospinal fluid volume measurement;positive(1:12880278-13038285,1:12939426-13038285);grey matter volume measurement;negative(1:12885335-12955549,1:12854105-13038285,1:12861693-13038285,1:12939426-13038285,1:12854105-12955549,1:12848097-13497768,1:12896983-12955549,1:12848097-13038285,1:12880278-12955549);grey matter volume measurement;positive(1:12854105-13038285,1:12880278-13038285,1:12885335-12955549,1:12880278-13186401,1:12939426-13038285,1:12885335-13038285,1:12880278-13497768,1:12848097-12955549,1:12848097-13497768,1:12885335-13186401);grey matter volume measurement,white matter volume measurement;negative(1:12885335-12955549,1:12854105-13038285);nucleus accumbens volume;negative(1:12854105-13038285,1:12880278-13038285,1:12939426-13038285);nucleus accumbens volume;positive(1:12848097-13038285,1:12885335-13186401);pallidum volume;negative(1:12854105-13038285);superior frontal gyrus grey matter volume measurement;negative(1:12848097-13497768);superior frontal gyrus grey matter volume measurement;positive(1:12896983-13038285);thalamus volume;negative(1:12854105-13038285,1:12939426-13038285);white matter volume measurement;negative(1:12861693-12955549,1:12854105-13038285)	brain stem volume measurement;negative(1:12880278-13038285);brain volume measurement;negative(1:12880278-13038285,1:12880278-12955549);brain volume measurement;positive(1:12880278-13038285,1:12880278-12955549);caudate nucleus volume;negative(1:12880278-13038285);grey matter volume measurement;negative(1:12880278-13038285);grey matter volume measurement;positive(1:12880278-13038285,1:12880278-12955549,1:12896983-12955549);nucleus accumbens volume;negative(1:12880278-12955549);pallidum volume;positive(1:12896983-12955549);white matter volume measurement;negative(1:12880278-13038285)	2.11098	2.109405	0.572040032649554	0.973582962201015	2.0	2.0	0.838531494769592	1.0
chr1	1.2461712E7	1.2464568E7	2856.0	PRAMEF7	CHM13_G0000416	ENSG00000204510.5	protein_coding	ID_436	Undetermined	chr1:12461712-12464568	chr1:12461712-12464568	chr1:12461543-12464399	-	1.62	2474.0	98.8	973.0	1469.0	62.0	58.67	Nearly-Fixed	1.1	0.49	0.82	0.62	1	4.0	0.0	Yes	Yes	brain volume measurement;negative(1:12939426-13038285,1:12854105-13038285,1:12848097-13038285,1:12848097-13497768,1:12880278-13038285,1:12885335-13186401,1:12880278-13497768,1:12861693-13038285,1:12880278-13186401,1:12885335-13038285);brain volume measurement;positive(1:12854105-13038285,1:12885335-13186401,1:12848097-13497768,1:12880278-13497768,1:12880278-13038285,1:12885335-13038285,1:12880278-13186401,1:12939426-13038285,1:12861693-13038285);caudate nucleus volume;negative(1:12854105-13038285);cerebrospinal fluid volume measurement;positive(1:12880278-13038285,1:12939426-13038285);grey matter volume measurement;negative(1:12854105-13038285,1:12861693-13038285,1:12939426-13038285,1:12848097-13497768,1:12848097-13038285);grey matter volume measurement;positive(1:12854105-13038285,1:12880278-13038285,1:12880278-13186401,1:12939426-13038285,1:12885335-13038285,1:12880278-13497768,1:12848097-13497768,1:12885335-13186401);grey matter volume measurement,white matter volume measurement;negative(1:12854105-13038285);nucleus accumbens volume;negative(1:12854105-13038285,1:12880278-13038285,1:12939426-13038285);nucleus accumbens volume;positive(1:12848097-13038285,1:12885335-13186401);pallidum volume;negative(1:12854105-13038285);superior frontal gyrus grey matter volume measurement;negative(1:12848097-13497768);superior frontal gyrus grey matter volume measurement;positive(1:12896983-13038285);thalamus volume;negative(1:12854105-13038285,1:12939426-13038285);white matter volume measurement;negative(1:12854105-13038285)	brain stem volume measurement;negative(1:12880278-13038285);brain volume measurement;negative(1:12880278-13038285);brain volume measurement;positive(1:12880278-13038285);caudate nucleus volume;negative(1:12880278-13038285);grey matter volume measurement;negative(1:12880278-13038285);grey matter volume measurement;positive(1:12880278-13038285);white matter volume measurement;negative(1:12880278-13038285)	1.7934215	1.7904745	0.402632610096719	0.963421719307322	2.0	2.0	0.841702195566936	1.0
chr1	1.2482562E7	1.2491658E7	9096.0	PRAMEF6	LOFF_G0000013	ENSG00000232423.6	protein_coding	ID_434	Undetermined	chr1:12482562-12491658	chr1:12482562-12491658	chr1:12482393-12491489	-	0.83	2130.0	85.06	2065.0	427.0	12.0	17.05	Polymorphic	0.15	0.26	0.89	0.74	2	4.0	0.0	Yes	Yes	brain volume measurement;negative(1:12939426-13038285,1:12854105-13038285,1:12848097-13038285,1:12848097-13497768,1:12880278-13038285,1:12885335-13186401,1:12880278-13497768,1:12861693-13038285,1:12880278-13186401,1:12885335-13038285);brain volume measurement;positive(1:12854105-13038285,1:12885335-13186401,1:12848097-13497768,1:12880278-13497768,1:12880278-13038285,1:12885335-13038285,1:12880278-13186401,1:12939426-13038285,1:12861693-13038285);caudate nucleus volume;negative(1:12854105-13038285);cerebrospinal fluid volume measurement;positive(1:12880278-13038285,1:12939426-13038285);grey matter volume measurement;negative(1:12854105-13038285,1:12861693-13038285,1:12939426-13038285,1:12848097-13497768,1:12848097-13038285);grey matter volume measurement;positive(1:12854105-13038285,1:12880278-13038285,1:12880278-13186401,1:12939426-13038285,1:12885335-13038285,1:12880278-13497768,1:12848097-13497768,1:12885335-13186401);grey matter volume measurement,white matter volume measurement;negative(1:12854105-13038285);nucleus accumbens volume;negative(1:12854105-13038285,1:12880278-13038285,1:12939426-13038285);nucleus accumbens volume;positive(1:12848097-13038285,1:12885335-13186401);pallidum volume;negative(1:12854105-13038285);superior frontal gyrus grey matter volume measurement;negative(1:12848097-13497768);superior frontal gyrus grey matter volume measurement;positive(1:12896983-13038285);thalamus volume;negative(1:12854105-13038285,1:12939426-13038285);white matter volume measurement;negative(1:12854105-13038285)	brain stem volume measurement;negative(1:12880278-13038285);brain volume measurement;negative(1:12880278-13038285);brain volume measurement;positive(1:12880278-13038285);caudate nucleus volume;negative(1:12880278-13038285);grey matter volume measurement;negative(1:12880278-13038285);grey matter volume measurement;positive(1:12880278-13038285);white matter volume measurement;negative(1:12880278-13038285)	0.764598	0.769124	0.344058162749225	0.963421719307322	1.0	1.0	0.795206610333455	1.0
chr1	1.2519762E7	1.2521812E7	2050.0	PRAMEF18	CHM13_G0000421	ENSG00000279804.2	protein_coding	Unassigned_87	Undetermined	chr1:12519762-12523164	chr1:12519762-12521812	chr1:12519593-12521643	-	2.42	2504.0	100.0	90.0	1394.0	1020.0	55.67	Nearly-Fixed	2.06	1.78	2.67	2.6	0	0.0	2.0	No	No	-	-	2.421212	2.419454	0.792685661173561	0.983336357253052	2.0	2.0	0.456374577088652	1.0
chr1	1.2594095E7	1.2596872E7	2777.0	PRAMEF26	CHM13_G0000427	ENSG00000280267.4	protein_coding	ID_434	Undetermined	chr1:12589813-12596872	chr1:12594095-12596872	chr1:12593926-12596703	-	3.33	2504.0	100.0	12.0	284.0	2208.0	11.34	Nearly-Fixed	3.39	2.49	3.67	2.47	0	0.0	2.0	Yes	Yes	brain volume measurement;negative(1:12848097-13497768,1:12885335-13186401,1:12880278-13497768,1:12880278-13186401);brain volume measurement;positive(1:12885335-13186401,1:12848097-13497768,1:12880278-13497768,1:12880278-13186401);grey matter volume measurement;negative(1:12848097-13497768);grey matter volume measurement;positive(1:12880278-13186401,1:12880278-13497768,1:12848097-13497768,1:12885335-13186401);nucleus accumbens volume;positive(1:12885335-13186401);superior frontal gyrus grey matter volume measurement;negative(1:12848097-13497768)	brain volume measurement;positive(1:13038285-13186401);grey matter volume measurement;negative(1:13038285-13186401);grey matter volume measurement;positive(1:13038285-13186401)	3.319521	3.339376	0.574542304448851	0.973582962201015	3.0	3.0	0.561931367203856	1.0
chr1	1.2668017E7	1.2670787E7	2770.0	PRAMEF25	CHM13_G0000433	ENSG00000229571.7	protein_coding	ID_434	Undetermined	chr1:12668017-12670787	chr1:12668017-12670787	chr1:12667848-12670618	-	1.28	2498.0	99.76	1518.0	923.0	63.0	36.86	Nearly-Fixed	1.14	1.84	2.16	1.93	0	1.0	3.0	No	No	-	-	1.096281	1.109795	0.622067592256182	0.983336357253052	1.0	1.0	0.720646245572362	1.0
chr1	1.2695613E7	1.2704716E7	9103.0	PRAMEF5	CHM13_G0000434	ENSG00000270601.4	protein_coding	ID_434	Undetermined	chr1:12695613-12704716	chr1:12695613-12704716	chr1:12695444-12704547	-	2.32	2493.0	99.56	273.0	1248.0	983.0	49.84	Nearly-Fixed	0.19	0.49	1.41	0.9	2	4.0	0.0	Yes	Yes	brain volume measurement;negative(1:12848097-13497768,1:12880278-13497768);brain volume measurement;positive(1:12848097-13497768,1:12880278-13497768);grey matter volume measurement;negative(1:12848097-13497768);grey matter volume measurement;positive(1:12880278-13497768,1:12848097-13497768);superior frontal gyrus grey matter volume measurement;negative(1:12848097-13497768)	-	2.434416	2.438915	0.451378492635201	0.963421719307322	2.0	2.0	0.261691285403406	1.0
