family_id	n_loci	dominant_gene	member_dn	member_gene	chrom	start	end	psv_status	n_psv	n_aligned_cols
6	20	LOC115930164	DN_NC_073224.2_115073393_19	LOC115933241	NC_073224.2	115073393	115193872	no_alignment	0	0
6	20	LOC115930164	DN_NC_073224.2_115215234_17	LOC101126097	NC_073224.2	115215234	115246016	no_alignment	0	0
6	20	LOC115930164	DN_NC_073224.2_116807774_25	LOC129525599	NC_073224.2	116807774	116835308	no_alignment	0	0
6	20	LOC115930164	DN_NC_073224.2_117217199_13	LOC134756922	NC_073224.2	117217199	117278033	no_alignment	0	0
6	20	LOC115930164	DN_NC_073224.2_117494263_25	LOC134756861	NC_073224.2	117494263	117521778	no_alignment	0	0
6	20	LOC115930164	DN_NC_073224.2_124234032_12	LOC109029488	NC_073224.2	124234032	124252089	no_alignment	0	0
6	20	LOC115930164	DN_NC_073224.2_124254598_20	LOC115932735	NC_073224.2	124254598	124347827	no_alignment	0	0
6	20	LOC115930164	DN_NC_073224.2_125055626_35	LOC129525331	NC_073224.2	125055626	125095445	no_alignment	0	0
6	20	LOC115930164	DN_NC_073224.2_125594338_29	LOC129525330	NC_073224.2	125594338	125629357	no_alignment	0	0
6	20	LOC115930164	DN_NC_073224.2_129429039_7	LOC115933235	NC_073224.2	129429039	129435541	no_alignment	0	0
6	20	LOC115930164	DN_NC_073224.2_129970070_21	GSTM2	NC_073224.2	129970070	129995159	no_alignment	0	0
6	20	LOC115930164	DN_NC_073224.2_130013703_13	GSTM2	NC_073224.2	130013703	130080097	no_alignment	0	0
6	20	LOC115930164	DN_NC_073224.2_130224824_25	LOC115932984	NC_073224.2	130224824	130257152	no_alignment	0	0
6	20	LOC115930164	DN_NC_073224.2_130335848_23	LOC101135585	NC_073224.2	130335848	130374650	no_alignment	0	0
6	20	LOC115930164	DN_NC_073224.2_218361248_19	LOC101131274	NC_073224.2	218361248	218406123	no_alignment	0	0
6	20	LOC115930164	DN_NC_073224.2_218434129_23	LOC115930576	NC_073224.2	218434129	218484870	no_alignment	0	0
6	20	LOC115930164	DN_NC_073224.2_223156764_8	LOC115930164	NC_073224.2	223156764	223205281	no_alignment	0	0
6	20	LOC115930164	DN_NC_073224.2_223291569_8	LOC115930164	NC_073224.2	223291569	223342021	no_alignment	0	0
