family	gene	locus	len	fam_size	rna_found	best_par_id	n_par_ge95	n_par_ge90	best_par_locus
ID_35	AL669831.1	chr1:152393-205163	52770	10	True	0.993	24	27	chr5:181880000
ID_393	MST1L	chr1:16352796-16368125	15329	2	True	0.996	7	7	chr1:16475000
ID_393	MST1P2	chr1:16566523-16571192	4669	2	True	0.998	5	5	chr1:16270000
ID_131	AMY2A	chr1:103465755-103474647	8892	6	True	0.994	3	10	chr1:103655000
ID_131	AMY1A	chr1:103504154-103513416	9262	6	True	0.999	6	6	chr1:103535000
ID_131	AC105272.1	chr1:103516936-103517135	199	6	False	1.000	11	11	chr1:103610000
ID_131	AMY1B	chr1:103630425-103639464	9039	6	True	1.000	6	6	chr1:103535000
ID_131	AMYP1	chr1:103750861-103757011	6150	6	True	1.000	3	3	chr1:103655000
ID_131	AMY1C	chr1:103787543-103795829	8286	6	True	1.000	6	6	chr1:103535000
ID_400	NOTCH2	chr1:119924808-120114044	189236	6	True	0.983	4	4	chr1:148495000
ID_448	SEC22B	chr1:120164163-120189787	25624	3	True	0.986	3	3	chr1:145430000
ID_215	AC244669.2	chr1:120210345-120332947	122602	7	False	0.995	3	3	chr1:120590000
ID_212	AC244669.1	chr1:120280596-120355138	74542	5	True	0.991	7	7	chr1:120585000
ID_215	AC241952.1	chr1:120503158-120714510	211352	7	True	0.992	2	4	chr1:120210000
ID_400	NOTCH2NLR	chr1:120737163-120807117	69954	6	True	0.951	1	4	chr1:120005000
ID_400	NBPF26	chr1:120737166-120851508	114342	6	True	0.955	1	1	chr1:120000000
ID_431	PPIAL4A	chr1:120899120-120899781	661	5	False	0.989	6	6	chr1:148705000
ID_212	AC241377.4	chr1:120973035-120986976	13941	5	True	0.986	2	2	chr1:148775000
ID_211	AC241377.2	chr1:120995080-121061551	66471	4	True	0.983	1	3	chr1:144250000
ID_357	FCGR1B	chr1:121096726-121106544	9818	3	True	0.986	2	2	chr1:142945000
ID_226	H2BP1	chr1:121117591-121126640	9049	5	True	0.990	1	2	chr1:142965000
ID_226	H3P4	chr1:121127576-121127993	417	5	False	0.974	2	4	chr1:148935000
ID_354	FAM72B	chr1:121177004-121194903	17899	4	True	0.994	3	3	chr1:144215000
ID_462	SRGAP2C	chr1:121194173-121402237	208064	4	True	0.991	4	4	chr1:143115000
ID_24	AC239859.5	chr1:142491733-142492317	584	3	True	0.998	6	6	chr1:143345000
ID_22	AC239859.4	chr1:142533330-142570879	37549	6	True	0.990	23	27	chr2:91885000
ID_212	AC239800.1	chr1:142817363-142832784	15421	5	True	0.848	0	0	chr1:148775000
ID_211	AC239798.1	chr1:142883385-142897871	14486	4	True	0.993	3	3	chr1:148840000
ID_357	FCGR1CP	chr1:142946822-142955600	8778	3	True	0.988	2	2	chr1:148905000
ID_226	H3-2	chr1:142966564-142977985	11421	5	True	0.990	2	2	chr1:121115000
ID_354	FAM72C	chr1:143027383-143043986	16603	4	True	0.996	3	3	chr1:144220000
ID_462	SRGAP2D	chr1:143047107-143140349	93242	4	True	0.995	6	6	chr1:144015000
ID_431	PPIAL4F	chr1:143472956-143473742	786	5	False	1.000	6	6	chr1:143690000
ID_213	AC246785.1	chr1:143591826-143594083	2257	4	False	0.996	3	3	chr1:120415000
ID_431	PPIAL4E	chr1:143692933-143693719	786	5	False	1.000	6	6	chr1:143470000
ID_22	FP700107.1	chr1:143760914-143779230	18316	6	True	0.998	12	14	chr1:143385000
ID_462	SRGAP2B	chr1:144012010-144220236	208226	4	True	0.996	4	4	chr1:143115000
