fam	copy_idx	nearest_ident	assigned_share	reads	rep_frac	source
fam_MCL101_073244	1	0.8228	0.8571428571428571	7	0.0	read_chain
fam_MCL105_073244	0	0.9718	0.0	14	0.189	read_chain
fam_MCL105_073244	1	0.9806	0.0	6	0.196	read_chain
fam_MCL105_073244	2	0.9806	0.3333333333333333	6	0.075	gff_fallback
fam_MCL10_073244	0	0.8478	0.19339622641509435	212	0.287	read_chain
fam_MCL10_073244	1	0.9137	0.022146507666098807	587	0.296	read_chain
fam_MCL10_073244	3	0.8279	0.2	5	0.0	read_chain
fam_MCL10_073244	4	0.8572	0.06302521008403361	476	0.091	read_chain
fam_MCL10_073244	5	0.8572	0.011363636363636364	88	0.23	read_chain
fam_MCL10_073244	6	0.8531	0.25	8	0.209	read_chain
fam_MCL110_073244	0	0.8431	0.9464285714285714	168	0.1	read_chain
fam_MCL110_073244	1	0.8301	0.983402489626556	241	0.0	read_chain
fam_MCL110_073244	2	0.8431	0.41818181818181815	55	0.081	read_chain
fam_MCL15_073242	2	0.9988	1.0	69	0.0	read_chain
fam_MCL15_073242	3	0.9988	0.2857142857142857	7	0.104	read_chain
fam_MCL23_073244	1	0.9748	0.6896551724137931	58	0.847	read_chain
fam_MCL29_073242	0	0.9315	1.0	12	0.0	read_chain
fam_MCL32_073244	2	0.916	0.08	25	0.0	read_chain
fam_MCL34_073244	0	0.8762	0.11206896551724138	116	0.067	read_chain
fam_MCL35_073242	2	0.9808	0.9351851851851852	108	0.0	read_chain
fam_MCL36_073242	0	0.9593	0.5313351498637602	367	0.088	read_chain
fam_MCL36_073242	1	0.9677	0.0	15	0.053	read_chain
fam_MCL37_073244	0	0.8905	0.9591836734693877	147	0.098	read_chain
fam_MCL37_073244	1	0.8629	0.9466666666666667	225	0.0	read_chain
fam_MCL37_073244	2	0.8905	0.22137404580152673	131	0.124	read_chain
fam_MCL37_073244	3	0.9297	0.15	60	0.092	read_chain
fam_MCL37_073244	4	0.9297	0.08163265306122448	98	0.094	read_chain
fam_MCL38_073244	0	0.8848	0.8709677419354839	31	0.538	read_chain
fam_MCL38_073244	1	0.9066	0.8085106382978723	47	0.0	read_chain
fam_MCL38_073244	2	0.99	1.0	96	0.323	read_chain
fam_MCL38_073244	3	0.9908	0.6346749226006192	323	0.0	read_chain
fam_MCL3_073242	0	0.9863	0.0	12	0.111	read_chain
fam_MCL3_073242	1	0.9747	0.0	8	0.059	read_chain
fam_MCL3_073242	2	0.9708	0.4240506329113924	158	0.392	read_chain
fam_MCL3_073242	3	0.965	0.05714285714285714	35	0.221	read_chain
fam_MCL3_073242	4	0.9627	0.0	36	0.034	read_chain
fam_MCL3_073242	7	0.9853	0.027777777777777776	108	0.08	read_chain
fam_MCL3_073242	8	0.9867	0.0	12	0.044	read_chain
fam_MCL3_073242	9	0.9616	0.0	12	0.358	read_chain
fam_MCL3_073242	10	0.985	0.14814814814814814	27	0.111	read_chain
fam_MCL3_073242	11	0.9866	0.0	101	0.095	read_chain
fam_MCL3_073242	12	0.9613	0.0	41	0.123	read_chain
fam_MCL3_073242	13	0.9656	0.016304347826086956	184	0.051	read_chain
fam_MCL3_073242	14	0.9627	0.04838709677419355	62	0.177	read_chain
fam_MCL3_073242	15	0.963	0.02702702702702703	37	0.181	read_chain
fam_MCL3_073242	16	0.9648	0.0	15	0.233	read_chain
fam_MCL3_073242	17	0.9671	0.015873015873015872	63	0.041	read_chain
fam_MCL3_073242	18	0.9656	0.13043478260869565	23	0.389	read_chain
fam_MCL3_073242	19	0.9648	0.030303030303030304	33	0.039	read_chain
fam_MCL3_073242	20	0.9688	0.3333333333333333	6	0.025	read_chain
fam_MCL3_073242	21	0.961	0.0	15	0.233	read_chain
fam_MCL48_073242	0	0.9405	0.7117117117117117	222	0.046	read_chain
fam_MCL48_073242	1	0.9524	1.0	35	0.0	read_chain
fam_MCL48_073242	2	0.9681	0.45121951219512196	82	0.079	read_chain
fam_MCL48_073242	3	0.9681	0.6619718309859155	71	0.0	read_chain
fam_MCL50_073242	0	0.9936	0.07207207207207207	111	0.496	read_chain
fam_MCL50_073242	1	0.9936	0.18627450980392157	102	0.434	read_chain
fam_MCL50_073242	2	0.9926	0.8296089385474861	358	0.306	read_chain
fam_MCL50_073242	3	0.9887	0.0048543689320388345	206	0.486	read_chain
fam_MCL51_073242	1	0.9902	0.0	13	0.039	read_chain
fam_MCL53_073242	0	0.9949	0.0	36	0.0	read_chain
fam_MCL53_073242	1	0.9949	1.0	12	0.0	read_chain
fam_MCL53_073242	2	0.978	0.9684873949579832	952	0.0	read_chain
fam_MCL53_073242	3	0.9832	0.972972972972973	37	0.0	read_chain
fam_MCL59_073244	0	0.8776	0.4878048780487805	41	0.994	read_chain
fam_MCL59_073244	1	0.9912	0.0	16	0.907	read_chain
fam_MCL60_073242	0	0.9157	1.0	66	0.0	read_chain
fam_MCL60_073242	1	0.9267	1.0	117	0.0	read_chain
fam_MCL62_073244	0	0.8903	0.74609375	512	0.461	read_chain
fam_MCL62_073244	1	0.8326	0.8623188405797102	138	0.189	read_chain
fam_MCL63_073244	0	0.8457	0.0	195	0.0	read_chain
fam_MCL63_073244	1	0.8707	0.011111111111111112	90	0.056	read_chain
fam_MCL63_073244	2	0.8707	0.007042253521126761	142	0.0	read_chain
fam_MCL63_073244	3	0.8457	0.05063291139240506	79	0.094	read_chain
fam_MCL65_073244	0	1.0	1.0	11	0.772	read_chain
fam_MCL65_073244	1	0.9464	0.8333333333333334	6	0.0	read_chain
fam_MCL6_073244	0	0.8608	0.0	92	0.138	read_chain
fam_MCL6_073244	1	0.8453	0.02564102564102564	39	0.299	read_chain
fam_MCL6_073244	2	0.8615	0.0875	80	0.173	read_chain
fam_MCL6_073244	3	0.8723	0.0034129692832764505	293	0.156	read_chain
fam_MCL6_073244	4	0.8578	0.23684210526315788	38	0.109	read_chain
fam_MCL6_073244	5	0.8856	0.08571428571428572	140	0.327	read_chain
fam_MCL6_073244	6	0.85	0.0	122	0.212	read_chain
fam_MCL6_073244	7	0.8729	0.0	116	0.24	read_chain
fam_MCL6_073244	8	0.9499	0.009615384615384616	104	0.279	read_chain
fam_MCL6_073244	9	0.8891	0.006944444444444444	144	0.033	read_chain
fam_MCL6_073244	10	0.8497	0.0	186	0.162	read_chain
fam_MCL6_073244	11	0.8874	0.0	23	0.179	read_chain
fam_MCL6_073244	12	0.8762	0.017543859649122806	228	0.343	read_chain
fam_MCL7_073242	0	0.9612	0.10687022900763359	131	0.0	read_chain
fam_MCL7_073242	1	0.9835	0.017241379310344827	174	0.0	read_chain
fam_MCL7_073242	2	0.9835	0.0	57	0.0	read_chain
fam_MCL7_073242	3	0.9725	0.0	13	0.0	read_chain
fam_MCL7_073242	4	0.9635	0.007518796992481203	133	0.0	read_chain
fam_MCL7_073242	5	0.9982	0.23076923076923078	13	0.17	read_chain
fam_MCL7_073242	6	0.996	0.30434782608695654	46	0.126	read_chain
fam_MCL7_073242	7	0.9982	0.14285714285714285	7	0.11	read_chain
fam_MCL7_073242	8	0.9955	0.0	7	0.022	gff_fallback
fam_MCL7_073242	9	0.9558	0.10256410256410256	78	0.494	read_chain
fam_MCL83_073242	0	0.989	0.058981233243967826	746	0.0	read_chain
fam_MCL83_073242	1	0.989	0.16847826086956522	184	0.0	read_chain
fam_MCL83_073242	2	0.9828	0.11016949152542373	118	0.233	read_chain
fam_MCL84_073242	1	0.9784	0.05078125	1024	0.0	read_chain
fam_MCL85_073242	0	0.9907	0.20833333333333334	48	0.102	read_chain
fam_MCL85_073242	1	0.9933	0.08	100	0.0	read_chain
fam_MCL85_073242	2	0.9933	0.09386281588447654	2216	0.084	read_chain
fam_MCL88_073242	0	0.9543	0.9967845659163987	311	0.257	read_chain
fam_MCL88_073242	1	0.9989	0.0	63	0.03	read_chain
fam_MCL88_073242	2	0.9989	0.02127659574468085	47	0.0	read_chain
fam_MCL89_073242	0	0.9992	0.2	5	1.0	read_chain
fam_MCL89_073242	1	0.9992	0.01834862385321101	109	0.0	read_chain
fam_MCL89_073242	2	0.9973	0.010089686098654708	892	0.0	read_chain
fam_MCL8_073244	2	0.9299	0.0	9	0.0	read_chain
