# identity_regime_map :: EDGE precision + genuine-FP composition, binned by copy identity on 2 axes.
# substrate=colinear_multiexon_gate.tsv (5571 multi-exon core-present E_r edges); real=TP+truthbar, FP=genuine.
# precision_corrected credits CARDINALITY+EP_OVERSPLIT (E_p truth-artifacts) as real; only GENUINE-OVERMERGE stays FP.
# SEDEF: final.bed WGAC>=0.90 id, DN-start +/-40kb both ends.  Deterministic PYTHONHASHSEED=0.
axis	bin	bin_lo	bin_hi	n_edges	n_TP	n_truthbar	n_real	n_genuine	precision_raw	g_cardinality	g_ep_oversplit	g_overmerge	frac_overmerge	frac_ep_oversplit	frac_cardinality	n_sedef_genuine	n_sedef_overmerge	precision_corrected
core_recip	0.00-0.30	0	0.3	3660	95	2320	2415	1245	0.6598	30	319	896	0.7197	0.2562	0.0241	182	35	0.7552
core_recip	0.30-0.50	0.3	0.5	1298	113	844	957	341	0.7373	9	150	182	0.5337	0.4399	0.0264	101	20	0.8598
core_recip	0.50-0.70	0.5	0.7	320	60	149	209	111	0.6531	5	52	54	0.4865	0.4685	0.045	50	9	0.8313
core_recip	0.70-0.80	0.7	0.8	106	42	32	74	32	0.6981	3	20	9	0.2812	0.625	0.0938	22	1	0.9151
core_recip	0.80-0.90	0.8	0.9	67	21	30	51	16	0.7612	1	9	6	0.375	0.5625	0.0625	9	1	0.9104
core_recip	0.90-0.95	0.9	0.95	17	11	2	13	4	0.7647	0	2	2	0.5	0.5	0.0	0	0	0.8824
core_recip	0.95-1.00	0.95	1.0001	103	74	5	79	24	0.767	4	17	3	0.125	0.7083	0.1667	22	1	0.9709
mean_matched_id	0.00(no-matched-exon)	-0.0	0.0	1479	30	642	672	807	0.4544	8	0	799	0.9901	0.0	0.0099	30	30	0.4598
mean_matched_id	0.00-0.70	0.0	0.7	0	0	0	0	0	0.0	0	0	0	0.0	0.0	0.0	0	0	0.0
mean_matched_id	0.70-0.80	0.7	0.8	1681	4	1423	1427	254	0.8489	1	103	150	0.5906	0.4055	0.0039	6	5	0.9108
mean_matched_id	0.80-0.90	0.8	0.9	1572	36	1207	1243	329	0.7907	2	187	140	0.4255	0.5684	0.0061	34	10	0.9109
mean_matched_id	0.90-0.95	0.9	0.95	199	64	81	145	54	0.7286	5	33	16	0.2963	0.6111	0.0926	42	11	0.9196
mean_matched_id	0.95-0.98	0.95	0.98	225	82	14	96	129	0.4267	13	106	10	0.0775	0.8217	0.1008	111	6	0.9556
mean_matched_id	0.98-0.99	0.98	0.99	204	78	5	83	121	0.4069	16	102	3	0.0248	0.843	0.1322	119	3	0.9853
mean_matched_id	0.99-1.00	0.99	1.0001	211	122	10	132	79	0.6256	7	38	34	0.4304	0.481	0.0886	44	2	0.8389

# ep_impure residual-FP roster (family_level_pr_current.json), block-level classification
block	genes	n_loci	n_prot	n_cross_edges	max_colinear	best_mean_matched_id	best_core_recip	sedef	verdict
9	LOC129532935;SORT1	2	2	1	8	0.9895	0.3095	1	ep_oversplit
16	LOC101136036;LOC101148457;LOC109025592;TRAF5	4	2	4	1	0.7664	0.2984	0	genuine_overmerge
17	MOV10;RHOC	2	2	1	0	0.0	0.536	0	genuine_overmerge
28	LOC101130728;LOC129523520;LOC129529226;LOC129531982;LOC134756437;LOC134758712;LOC134758754	7	2	10	7	1.0	0.6378	1	cardinality
33	RBBP4;SYNC	2	2	1	1	1.0	0.6067	0	genuine_overmerge
36	RHD;SDHD	2	2	1	1	0.9468	0.4522	1	genuine_overmerge
51	DEDD;NIT1	2	2	1	1	0.9516	0.6935	0	genuine_overmerge
67	KMT2C;LOC129526385;LOC129526398;LOC129526957;LOC134757216;TMEM128	6	2	8	6	0.9963	0.8082	1	cardinality
70	LOC129523822;LOC129525064;LOC129525175;LOC129527285;LOC129527429;LOC129528751;LOC129531751;LOC129532625;LOC129532709;LOC129532808;LOC129533287;LOC129534552;LOC134756415;LOC134757299;LOC134759133;NDUFA8	16	3	42	4	0.9903	0.9988	1	cardinality
83	FAM228B;LOC129526638;LOC134757313;MTHFD2L;ZNF626	7	3	5	1	0.8527	0.6141	0	genuine_overmerge
100	NHP2;RMND5B	2	2	1	1	0.7183	0.4336	0	genuine_overmerge
105	CANX;HMGB3	2	2	1	0	0.0	0.4859	0	genuine_overmerge
110	ARL17A;LOC101128092;LOC101135168;LOC115933002;LOC115934626;LOC115934680;LRRC37A3	7	2	4	3	0.9828	0.5577	1	cardinality
117	SERF2;SERINC4;TTPAL	4	2	1	0	0.0	0.4008	0	genuine_overmerge
132	LOC115932787;MAP2K3	2	2	1	3	0.9624	0.2592	1	ep_oversplit
170	B3GAT2;SMAP1	2	2	1	0	0.0	0.4622	0	genuine_overmerge
175	LOC101130894;LOC115933167;LOC129523494;LOC129534750	4	2	3	4	0.9986	0.4554	1	cardinality
183	LOC115935989;RHEB;SHLD2	3	2	1	0	0.0	0.3408	0	genuine_overmerge
201	LOC115935268;LOC129534750	2	2	1	4	0.9972	0.4659	1	ep_oversplit
212	LOC129525654;RPL7	2	2	1	0	0.0	0.2939	0	genuine_overmerge
236	LOC115931432;LOC129525065	2	2	1	3	0.9826	0.4165	1	ep_oversplit
240	CEP57;MTMR2	2	2	1	0	0.0	0.5439	0	genuine_overmerge
246	BMAL1;BTBD10	2	2	1	1	0.9057	0.5174	0	genuine_overmerge
250	ESRRA;TPTE2	2	2	1	0	0.0	0.235	1	genuine_overmerge
265	DDX11;LOC109029264;LOC115930232	3	2	1	1	0.9733	0.2642	1	cardinality
267	CDK4;TSPAN31	2	2	1	1	1.0	0.5438	0	genuine_overmerge
280	PYROXD1;RECQL	2	2	1	1	0.8886	0.4514	0	genuine_overmerge
287	LOC101143820;LOC101144552;RHBDF1;SNRNP25	4	2	1	0	0.0	0.4648	1	genuine_overmerge
