fam_id	member
0	DN_NC_073227.2_211080863_4
0	DN_NC_073227.2_8155721_4
0	DN_NC_073229.2_195378107_3
0	DN_NC_073230.2_168783006_4
0	DN_NC_073231.2_150902261_3
0	DN_NC_073232.2_146269317_5
0	DN_NC_073232.2_8583099_4
0	DN_NC_073236.2_140400059_5
0	DN_NC_073237.2_118498911_4
0	DN_NC_073239.2_124648897_4
0	DN_NC_073240.2_103747497_4
0	DN_NC_073241.2_110003031_5
0	DN_NC_073242.2_121237165_4
0	DN_NC_073244.2_70818649_5
0	DN_NC_086017.1_211655827_5
0	DN_NC_086017.1_9337960_4
1	DN_NC_073224.2_115073393_19
1	DN_NC_073224.2_116807774_25
1	DN_NC_073224.2_117494263_25
1	DN_NC_073224.2_124234032_12
1	DN_NC_073224.2_124254598_20
1	DN_NC_073224.2_125055626_35
1	DN_NC_073224.2_125594338_29
1	DN_NC_073224.2_129970070_21
1	DN_NC_073224.2_130224824_25
1	DN_NC_073224.2_130335848_23
2	DN_NC_073247.2_59696701_5
2	DN_NC_073247.2_59706220_5
2	DN_NC_073247.2_59715729_5
2	DN_NC_073247.2_59725264_5
2	DN_NC_073247.2_59744368_5
2	DN_NC_073247.2_59753367_5
2	DN_NC_073247.2_59772963_5
2	DN_NC_073247.2_59782481_5
2	DN_NC_073247.2_59792068_6
3	DN_NC_073224.2_15670210_25
3	DN_NC_073224.2_15783681_8
3	DN_NC_073224.2_19027212_8
3	DN_NC_073224.2_19135994_8
3	DN_NC_073224.2_19235747_8
3	DN_NC_073224.2_19344252_8
3	DN_NC_073224.2_29070818_24
4	DN_NC_073227.2_12088225_8
4	DN_NC_073236.2_22549336_8
4	DN_NC_073236.2_24785599_8
4	DN_NC_073236.2_30205531_7
4	DN_NC_073238.2_23392840_7
4	DN_NC_073246.2_11287585_8
4	DN_NC_073248.2_45277558_8
5	DN_NC_073227.2_210893336_9
5	DN_NC_073235.2_34402342_7
5	DN_NC_073236.2_26203134_8
5	DN_NC_073238.2_24693721_8
5	DN_NC_073239.2_44147073_8
5	DN_NC_073239.2_44758266_8
5	DN_NC_073240.2_14911190_8
6	DN_NC_073248.2_15918163_7
6	DN_NC_073248.2_19602755_10
6	DN_NC_073248.2_19625716_11
6	DN_NC_073248.2_19648671_11
6	DN_NC_073248.2_19671639_11
6	DN_NC_073248.2_19694607_11
6	DN_NC_073248.2_25725363_11
7	DN_NC_073227.2_212285016_9
7	DN_NC_073231.2_151170137_9
7	DN_NC_073235.2_15131698_9
7	DN_NC_073247.2_167707352_7
7	DN_NC_086018.1_48818439_9
8	DN_NC_073238.2_8052138_7
8	DN_NC_073240.2_4575875_4
8	DN_NC_073241.2_195924_6
8	DN_NC_073244.2_11377962_21
8	DN_NC_073244.2_11413820_21
9	DN_NC_073224.2_223156764_8
9	DN_NC_073224.2_223291569_8
9	DN_NC_073224.2_223478295_8
9	DN_NC_073224.2_223613827_8
10	DN_NC_073229.2_21250610_2
10	DN_NC_073229.2_21260621_3
10	DN_NC_073229.2_21267403_2
10	DN_NC_073229.2_21328949_3
11	DN_NC_073230.2_47098444_23
11	DN_NC_073230.2_86128587_5
11	DN_NC_073230.2_86213678_7
11	DN_NC_073230.2_86257459_21
