family_stem	modal_gene	copies_chimp	copies_gorilla	copies_orang	sample_paralogs
ZNF	ZNF77	174	181	121	ZNF77,ZNF443,ZNF791,ZNF829,ZNF345,ZNF571
GOLGA	GOLGA2	22	0	40	GOLGA2,SWI5,GOLGA6L2,MIR1233-2,MIR1233-3,GOLGA8A
ULBP	ULBP1	5	3	31	ULBP1,FAM156B,ULBP3,FAM156A,WDR64,PHACTR1
USP	USP32	3	2	30	USP32,USP6,CA4
ZNF	ZNF550	27	24	25	ZNF550,ZNF416,ZNF586,ZNF776,ZNF132,ZNF264
ZNG	ZNG1B	23	0	0	ZNG1B,DPP6,ACR,ZNG1A
NPIPB	NPIPB2	22	0	0	NPIPB2
CCNYL	CCNYL1	3	0	22	CCNYL1
ATG	ATG5	0	0	22	ATG5,VIPR2,CLEC9A,KHK,CGREF1,EPB42
TRNAE-UUC	TRNAE-UUC	5	20	5	TRNAE-UUC,GSTM2,TRNAN-GUU,SEC22B,TRNAG-CCC,TRNAQ-CUG
NBPF	NBPF7P	16	0	0	NBPF7P,NBPF3,NOTCH2
FRK	FRK	0	0	16	FRK,CEP85L,ESRRA,TRMT112,NEK11
ANKRD	ANKRD18A	14	4	7	ANKRD18A,ANKRD18B,ANKRD19P
ZNF	ZNF230	12	14	5	ZNF230,ZNF224,ZNF234,ZNF222,ZNF284,ZNF225
NUPR	NUPR2	8	0	12	NUPR2,PDE5A
RPL	RPL41	12	0	0	RPL41,LRRC37B
PAK	PAK1	2	12	2	PAK1,PAK3,MDM2,PIGX,MRPS17,RFTN2
MAGEA	MAGEA4	11	11	12	MAGEA4,MAGEA12,MAGEA1,MAGEA11,MAGEA9,MAGEA8
POTEA	POTEA	11	0	0	POTEA,POTEC
LRPAP	LRPAP1	0	11	0	LRPAP1,XRCC2
PDCD	PDCD6	7	0	10	PDCD6
ACTB	ACTB	10	3	10	ACTB,ACTA2,ACTG1,ACTC1,ACTA1,STAMBPL1
TUBA	TUBA8	9	10	10	TUBA8,TUBA1C,TUBA1A,TUBA1B,TUBA4A,TUBA3C
NDUFA	NDUFA8	0	10	0	NDUFA8
ITPR	ITPR3	0	10	4	ITPR3,ITPR2,ITPR1,C7H8orf33,SURF6,PPP1R15A
SLC25A	SLC25A52	0	0	9	SLC25A52
ZC3H	ZC3H11B	8	0	0	ZC3H11B,ZC3H11A
FCRL	FCRL5	8	0	0	FCRL5,CFAP299,SPC25,NOSTRIN,SLAIN1
FRG	FRG1	3	8	0	FRG1
GPR	GPR182	8	0	0	GPR182
ZNF	ZNF280C	8	2	2	ZNF280C,GGTLC2,RGL4,ZNF280B,ZNF280D,GGTLC1
EIF4A	EIF4A1	8	3	3	EIF4A1,EIF4A3,EIF4A2,MIR1248,RFC4
MPHOSPH	MPHOSPH8	0	8	0	MPHOSPH8,PSPC1
KMT	KMT2C	0	0	8	KMT2C
PAFAH1B	PAFAH1B2	0	0	8	PAFAH1B2,STARD9,TMEM199,NR2C2,MRPS25,SPATA12
PATR-F	PATR-F	7	0	0	PATR-F,PATR-G,PATR-A,PATR-E,PATR-C,PATR-B
TUBB	TUBB	6	5	7	TUBB,TUBB4B,CIMIP2A,TUBB6,TUBB4A,TUBB2A
HNRNPA	HNRNPA1	7	4	0	HNRNPA1,MRPS31,HNRNPA1L2,CBX3,HNRNPA2B1,HNRNPA3
MCFD	MCFD2	5	7	7	MCFD2,GALNTL5,CAB39L,SLC12A1,ENTPD1,MYORG
ALDH	ALDH2	5	7	4	ALDH2,ALDH1A1,ALDH1A2,ALDH1B1,ALDH1A3
RGPD	RGPD8	7	6	0	RGPD8,IL18R1
ANKRD	ANKRD36C	4	3	7	ANKRD36C
CSNK1G	CSNK1G2	0	0	7	CSNK1G2,CSNK1G3,CSNK1G1
ANKRD	ANKRD26	0	0	7	ANKRD26
TDRD	TDRD5	6	0	0	TDRD5,AGAP6,AGAP1
SDHA	SDHA	2	3	6	SDHA
TMEM	TMEM223	3	6	0	TMEM223,NXF1,TMEM179B,NXF3
KRT	KRT8	4	4	6	KRT8,KRT1,KRT81,KRT86,KPNA4,TTBK2
SMG	SMG1	6	4	0	SMG1
PAGE	PAGE1	6	0	5	PAGE1
ZNF	ZNF804A	0	6	0	ZNF804A
ARL	ARL17A	0	6	0	ARL17A
