family_id	n_members	n_chroms	chroms	genes	status	n_psv	n_aligned_cols	ref_len	max_span	mean_member_len
0	2	1	NC_073224.2	GLMP,TMEM79	tandem_like_psv	896	1584	2237	13762	1941.0
1	2	1	NC_073224.2	DAP3,GON4L	same_chrom_segmental_psv	107	306	4499	189985	2402.5
2	2	1	NC_073224.2	GBA1,LOC101127437	tandem_like_psv	47	1907	3976	28907	3099.0
3	2	1	NC_073224.2	LYSMD1,SCNM1	tandem_like_psv	517	917	2570	9395	1757.0
4	2	1	NC_073224.2	LOC134756743,TRNAQ-CUG	same_chrom_segmental_psv	182	471	4518	648703	2494.5
5	2	1	NC_073224.2	LOC129525730	same_chrom_segmental_psv	38	1586	1950	685584	2229.0
6	20	1	NC_073224.2	GSTM2,LOC101126097,LOC101131274,LOC101135585,LOC109029488,LOC115930164,LOC115930576,LOC115932735,LOC115932984,LOC115933235,LOC115933241,LOC129525330,LOC129525331,LOC129525599,LOC134756861,LOC134756922	no_alignment	0	0	66394	108552478	8190.8
7	2	1	NC_073224.2	GPR89A,LOC101128637	same_chrom_segmental_psv	135	1779	2184	8548425	1982.5
8	2	1	NC_073224.2	LOC129532935,SORT1	same_chrom_segmental_psv	117	1369	7036	14080532	4255.0
9	3	1	NC_073224.2	GSTM2,LOC101129940,SEC22B	same_chrom_segmental_psv	1214	2834	24499	13067537	10260.3
10	3	2	NC_073224.2,NC_073243.2	GSTM2,LOC109023809,TRIP13	inter_chromosomal_psv	328	2225	28526	12886507	12466.0
11	2	2	NC_073224.2,NC_073233.2	LOC101134045	inter_chromosomal_psv	852	1493	1705	16433	1815.5
12	2	2	NC_073224.2,NC_073238.2	IGSF3,LOC129526379	inter_chromosomal_psv	186	2057	7360	93367	4708.5
13	3	3	NC_073224.2,NC_073235.2,NC_073244.2	LOC109025730,PDCD5,SPC25	inter_chromosomal_psv	320	420	1363	19465	1069.7
14	4	3	NC_073224.2,NC_073237.2,NC_086018.1	LOC101136036,LOC101148457,LOC109025592,TRAF5	inter_chromosomal_psv	1176	1891	6294	80549675	4730.8
15	2	1	NC_073224.2	MOV10,RHOC	tandem_like_psv	552	1345	5161	32640	3256.5
16	6	2	NC_073224.2,NC_073231.2	GSTM1,GSTM2,GSTM4,GSTM5	inter_chromosomal_psv	138	231	1702	1233751	1037.7
17	4	3	NC_073224.2,NC_073247.2,NC_073248.2	GSTM1,LOC129530196	inter_chromosomal_psv	232	289	3677	10451303	2818.5
18	4	4	NC_073224.2,NC_073235.2,NC_073236.2,NC_073247.2	LOC115932762,NOSTRIN,WDR64	inter_chromosomal_psv	146	187	1779	66271	1551.2
19	4	3	NC_073224.2,NC_073229.2,NC_073244.2	RPAP2,ZNF208	inter_chromosomal_psv	2147	3229	13976	113320	7531.5
20	2	1	NC_073224.2	C1H1orf146,GLMN	tandem_like_psv	404	781	2749	81276	1801.5
21	6	1	NC_073224.2	GBP2,GBP3,GBP4,GBP6,LOC101130426,LOC101137042	same_chrom_segmental_psv	827	1510	6172	397722	3932.7
22	3	3	NC_073224.2,NC_073229.2,NC_073240.2	AVEN	inter_chromosomal_psv	676	1039	1211	153181	2778.0
23	2	1	NC_073224.2	GNG5,RPF1	tandem_like_psv	289	493	2394	28009	1450.0
24	7	1	NC_073224.2	LOC101130728,LOC129523520,LOC129529226,LOC129531982,LOC134756437,LOC134758712,LOC134758754	same_chrom_segmental_psv	485	986	4326	13420704	2978.9
25	2	2	NC_073224.2,NC_073232.2	DUSP5,LOC129532115	inter_chromosomal_psv	236	454	2519	13957	1540.0
26	2	1	NC_073224.2	TESK2,TOE1	same_chrom_segmental_psv	934	1946	3120	154499	2569.5
27	2	2	NC_073224.2,NC_073244.2	PTPRF,PTPRS	inter_chromosomal_psv	704	2181	4285	18502	3308.0
28	5	4	NC_073224.2,NC_073228.2,NC_073235.2,NC_073247.2	LOC129533540	inter_chromosomal_psv	713	1949	5985	8511	4738.6
29	2	1	NC_073224.2	RBBP4,SYNC	tandem_like_psv	989	2071	3164	45579	2763.0
30	2	2	NC_073224.2,NC_073230.2	LOC101125339,XKR8	inter_chromosomal_psv	423	2136	4082	26122	3364.5
31	2	1	NC_073224.2	AUNIP,MTFR1L	tandem_like_psv	654	1443	3366	35322	2430.0
32	2	2	NC_073224.2,NC_073233.2	RHD,SDHD	inter_chromosomal_psv	390	664	1400	25181	1033.5
33	2	1	NC_073224.2	AKR7A2,LOC115933748	tandem_like_psv	270	1360	1943	30439	1705.0
34	2	1	NC_073224.2	EDARADD,ENO1	same_chrom_segmental_psv	389	972	2374	206661198	2240.5
35	4	4	NC_073224.2,NC_073233.2,NC_073239.2,NC_073244.2	ACTN1,ACTN3,ACTN4	inter_chromosomal_psv	118	227	4005	105436	2954.8
36	4	3	NC_073224.2,NC_073228.2,NC_073234.2	KRT18,LOC101153891,LOC109026917	inter_chromosomal_psv	150	192	1475	48514	859.2
37	2	1	NC_073224.2	LOC115931588	aligned_no_psv	0	687	3234	15038	1960.5
38	41	4	NC_073224.2,NC_073230.2,NC_073242.2,NC_073244.2	LOC101123988,LOC101128844,LOC101129171,LOC101133668,LOC101136009,LOC101137462,LOC101141027,LOC101142646,LOC101144838,LOC101145945,LOC101146634,LOC101147715,LOC101153126,LOC115930172,LOC115931567,LOC115931568,LOC115931576,LOC129527827,LOC129528947,ZNF254,ZNF273,ZNF429,ZNF43,ZNF430,ZNF486,ZNF506,ZNF626,ZNF675,ZNF678,ZNF680,ZNF681,ZNF723,ZNF91,ZNF92	inter_chromosomal_psv	463	501	28907	4243523	6318.0
39	2	1	NC_073224.2	ADORA1,CHIT1	same_chrom_segmental_psv	1162	2083	2614	101399	2429.5
40	2	1	NC_073224.2	LOC101144634,LOC115930073	same_chrom_segmental_psv	99	2966	4745	155608	3855.5
41	2	1	NC_073224.2	NEK7	aligned_no_psv	0	3018	4239	165754	3628.5
42	2	1	NC_073224.2	LOC101141950	tandem_like_psv	25	56	2944	9372	1500.0
43	2	2	NC_073224.2,NC_073230.2	LOC101124243,NOM1	inter_chromosomal_psv	115	6036	8018	21174	7046.0
44	2	1	NC_073224.2	NMNAT2	aligned_no_psv	0	4770	5970	174039	5370.0
45	3	1	NC_073224.2	LOC101124778	aligned_no_psv	0	167	1925	23792	753.0
46	2	1	NC_073224.2	FCGR2A,FCGR2B	tandem_like_psv	230	1488	2492	91692	2312.5
47	2	1	NC_073224.2	DEDD,NIT1	tandem_like_psv	646	1387	3007	14440	2216.0
48	2	1	NC_073224.2	LOC101146454,LOC115930226	tandem_like_psv	34	1136	1945	53378	1541.5
49	2	2	NC_073224.2,NC_073244.2	ATP1A2,ATP1A3	inter_chromosomal_psv	794	3552	5007	27796	4304.0
50	3	3	NC_073224.2,NC_073229.2,NC_073244.2	LOC101138011,LOC109025084,LOC129528550	inter_chromosomal_psv	227	752	3515	20394	2310.0
51	2	1	NC_073227.2	ANTXR2	aligned_no_psv	0	1903	4537	161851	3220.0
52	2	1	NC_073227.2	HELQ	aligned_no_psv	0	1995	4375	48733	3185.0
53	2	2	NC_073227.2,NC_073247.2	C3H4orf36,LOC101145464	inter_chromosomal_psv	851	1877	2473	13973	2188.5
54	5	4	NC_073227.2,NC_073235.2,NC_073238.2,NC_073239.2	LOC109023261,LOC129526123,LOC129532145,LOC129532854	inter_chromosomal_psv	303	451	7338	2165416	4347.2
55	2	1	NC_073227.2	ADH1B,LOC101136823	tandem_like_psv	97	1462	2646	48154	2556.0
56	2	2	NC_073227.2,NC_073236.2	DOK7,LOC115933190	inter_chromosomal_psv	33	1466	2500	33766	2059.5
