gene_a	chrom_a	gene_b	chrom_b	struct_score	matched_exons	in_sequence_pipeline
LOC129528228	NC_073241.2	LOC129530304	NC_073248.2	1.0	4	1
LOC129524662	NC_073237.2	LOC129528448	NC_073241.2	1.0	4	1
LOC134756432	NC_073236.2	LOC134757222	NC_073240.2	1.0	4	1
LOC134756370	NC_086017.1	LOC129526566	NC_073239.2	1.0	4	1
LOC129525765	NC_073234.2	LOC129527885	NC_073243.2	1.0	5	1
LOC115932837	NC_073246.2	LOC129530558	NC_086018.1	1.0	4	1
LOC129528259	NC_073241.2	LOC129528733	NC_073233.2	1.0	6	1
LOC129532980	NC_073240.2	LOC129525416	NC_073233.2	1.0	5	1
LOC129532980	NC_073240.2	LOC129531752	NC_073236.2	1.0	5	1
LOC129532980	NC_073240.2	LOC129532807	NC_073227.2	1.0	5	1
LOC129532980	NC_073240.2	LOC134756371	NC_073227.2	1.0	5	1
LOC129525416	NC_073233.2	LOC129531752	NC_073236.2	1.0	5	1
LOC129525416	NC_073233.2	LOC129532807	NC_073227.2	1.0	5	1
LOC129525416	NC_073233.2	LOC134756371	NC_073227.2	1.0	5	1
LOC129531752	NC_073236.2	LOC129532807	NC_073227.2	1.0	5	1
LOC129531752	NC_073236.2	LOC134756371	NC_073227.2	1.0	5	1
LOC129523739	NC_073230.2	LOC129532626	NC_086017.1	1.0	4	1
LOC129523993	NC_073224.2	LOC129528382	NC_073241.2	1.0	4	1
LOC129526565	NC_073241.2	LOC129525066	NC_086017.1	1.0	8	1
LOC129524661	NC_073237.2	LOC129528453	NC_073241.2	1.0	13	1
CCDC196	NC_073239.2	LOC129526440	NC_073238.2	1.0	10	1
LOC129530391	NC_073248.2	LOC129528187	NC_073238.2	1.0	14	1
LOC101153430	NC_073228.2	LOC129523454	NC_073224.2	1.0	4	1
LOC134757059	NC_073238.2	LOC134756832	NC_073236.2	1.0	10	1
LOC129527231	NC_073238.2	LOC134757302	NC_073240.2	1.0	12	1
LOC129524260	NC_073236.2	LOC129533142	NC_073227.2	1.0	6	1
LOC129524260	NC_073236.2	LOC129530539	NC_073235.2	1.0	6	1
LOC129533142	NC_073227.2	LOC129530539	NC_073235.2	1.0	6	1
LOC129523471	NC_073237.2	LOC129530594	NC_073238.2	1.0	6	1
LOC129523471	NC_073237.2	LOC134757411	NC_073241.2	1.0	6	1
LOC129530594	NC_073238.2	LOC134757411	NC_073241.2	1.0	6	1
LOC129525579	NC_073233.2	LOC129526003	NC_073234.2	1.0	10	1
LOC129525579	NC_073233.2	LOC129527948	NC_073243.2	1.0	10	1
LOC129526003	NC_073234.2	LOC129527948	NC_073243.2	1.0	10	1
LOC115932756	NC_073240.2	LOC115932954	NC_073238.2	1.0	5	1
LOC129530133	NC_073247.2	LOC129526580	NC_073242.2	1.0	9	1
LOC129524663	NC_073237.2	LOC129528459	NC_073241.2	1.0	10	1
LOC129531450	NC_073240.2	LOC134756387	NC_073236.2	1.0	4	1
LOC129527278	NC_073236.2	LOC129526409	NC_073238.2	1.0	8	1
LOC129530464	NC_073238.2	LOC129524653	NC_073237.2	1.0	12	1
LOC129530464	NC_073238.2	LOC129528455	NC_073241.2	1.0	12	1
LOC129524653	NC_073237.2	LOC129528455	NC_073241.2	1.0	12	1
LOC115933202	NC_073236.2	LOC129530721	NC_073240.2	1.0	14	1
LOC115933202	NC_073236.2	LOC134757056	NC_073238.2	1.0	14	1
LOC129530721	NC_073240.2	LOC134757056	NC_073238.2	1.0	14	1
LOC129524028	NC_073231.2	LOC129534553	NC_073229.2	1.0	9	1
LOC129531982	NC_073224.2	PLA2G4B	NC_073240.2	0.95	19	1
LOC129528467	NC_073241.2	LOC129524470	NC_073237.2	0.933	14	1
LOC129529646	NC_086018.1	LOC129530391	NC_073248.2	0.929	13	1
LOC129529646	NC_086018.1	LOC129528187	NC_073238.2	0.929	13	1
LOC129529646	NC_086018.1	LOC134757319	NC_073240.2	0.929	13	1
LOC129530391	NC_073248.2	LOC134757319	NC_073240.2	0.929	13	1
LOC129528187	NC_073238.2	LOC134757319	NC_073240.2	0.929	13	1
LOC129528441	NC_073241.2	LOC129524654	NC_073237.2	0.923	12	1
LOC129528441	NC_073241.2	LOC129529380	NC_073238.2	0.923	12	1
LOC129524654	NC_073237.2	LOC129529380	NC_073238.2	0.923	12	1
LOC129528455	NC_073241.2	LOC129524664	NC_073237.2	0.923	12	1
LOC134757302	NC_073240.2	LOC101140864	NC_073238.2	0.917	11	1
LOC115933254	NC_073236.2	LOC101142783	NC_073237.2	0.905	19	1
LOC129528163	NC_073241.2	LOC134756947	NC_073238.2	0.9	9	1
LOC129523703	NC_073230.2	LOC129525579	NC_073233.2	0.9	9	1
LOC129523703	NC_073230.2	LOC129526003	NC_073234.2	0.9	9	1
LOC129523703	NC_073230.2	LOC129527948	NC_073243.2	0.9	9	1
LOC129524833	NC_073239.2	LOC129523959	NC_073224.2	0.9	9	1
LOC134757055	NC_073238.2	LOC129530543	NC_073236.2	0.9	9	1
LOC129532042	NC_073224.2	PLA2G4B	NC_073240.2	0.9	18	1
PLA2G4B	NC_073240.2	LOC129529226	NC_073224.2	0.9	18	1
LOC129523934	NC_073230.2	LOC129532895	NC_073227.2	0.889	8	1
LOC129523703	NC_073230.2	LOC129530133	NC_073247.2	0.889	8	1
LOC129523703	NC_073230.2	LOC129526580	NC_073242.2	0.889	8	1
LOC129530133	NC_073247.2	LOC129524833	NC_073239.2	0.889	8	1
LOC129530133	NC_073247.2	LOC129523959	NC_073224.2	0.889	8	1
LOC129530133	NC_073247.2	LOC129525023	NC_073232.2	0.889	8	1
LOC129529647	NC_086018.1	LOC134757055	NC_073238.2	0.889	8	1
LOC129524663	NC_073237.2	LOC129528444	NC_073241.2	0.889	8	1
LOC129528444	NC_073241.2	LOC134757055	NC_073238.2	0.889	8	1
LOC129528444	NC_073241.2	LOC129530486	NC_073246.2	0.889	8	1
LOC129528444	NC_073241.2	LOC129530565	NC_073246.2	0.889	8	1
LOC129526580	NC_073242.2	LOC129524833	NC_073239.2	0.889	8	1
LOC129526580	NC_073242.2	LOC129523959	NC_073224.2	0.889	8	1
LOC129526580	NC_073242.2	LOC129525023	NC_073232.2	0.889	8	1
LOC129528193	NC_073241.2	LOC129530486	NC_073246.2	0.889	8	1
LOC129528193	NC_073241.2	LOC129530565	NC_073246.2	0.889	8	1
LOC134756389	NC_073231.2	LOC129523468	NC_073236.2	0.889	8	1
LOC129523468	NC_073236.2	LOC101142457	NC_073247.2	0.889	8	1
LOC115931421	NC_073241.2	LOC129524028	NC_073231.2	0.889	8	1
LOC115931421	NC_073241.2	LOC129534553	NC_073229.2	0.889	8	1
LOC101152936	NC_073224.2	EMB	NC_073243.2	0.889	8	1
LOC129530491	NC_073246.2	LOC129528196	NC_073241.2	0.875	7	1
LRPAP1	NC_073227.2	LOC134756753	NC_073236.2	0.875	7	1
LOC115934341	NC_086017.1	LOC101152938	NC_073233.2	0.875	7	1
LOC101139163	NC_086017.1	LOC101152938	NC_073233.2	0.875	7	1
LOC129528465	NC_073241.2	LOC129529646	NC_086018.1	0.867	13	1
LOC129529646	NC_086018.1	LOC129528447	NC_073241.2	0.867	13	1
LOC129530564	NC_073246.2	LOC129528467	NC_073241.2	0.867	13	1
LOC129531862	NC_073236.2	LOC101152675	NC_073237.2	0.867	13	1
LOC101148570	NC_073230.2	DPY19L2	NC_073234.2	0.864	19	1
LOC134757319	NC_073240.2	LOC129530492	NC_073246.2	0.857	12	1
LOC134757319	NC_073240.2	LOC129528194	NC_073241.2	0.857	12	1
LOC134757319	NC_073240.2	LOC134757391	NC_073241.2	0.857	12	1
LOC129526391	NC_073236.2	LOC129531453	NC_073240.2	0.857	6	1
LOC101144812	NC_073241.2	LOC129526437	NC_073238.2	0.857	12	1
LOC101144812	NC_073241.2	LOC129527390	NC_073242.2	0.857	12	1
LOC129526437	NC_073238.2	LOC129527390	NC_073242.2	0.857	12	1
ZNF705A	NC_073234.2	ZNF705D	NC_073231.2	0.857	6	1
PLA2G4B	NC_073240.2	LOC129534588	NC_073224.2	0.85	17	1
LOC129524661	NC_073237.2	LOC129530391	NC_073248.2	0.846	11	1
LOC129524661	NC_073237.2	LOC129528187	NC_073238.2	0.846	11	1
LOC129524661	NC_073237.2	LOC134757319	NC_073240.2	0.846	11	1
LOC129528453	NC_073241.2	LOC129530391	NC_073248.2	0.846	11	1
LOC129528453	NC_073241.2	LOC129528187	NC_073238.2	0.846	11	1
LOC129528453	NC_073241.2	LOC134757319	NC_073240.2	0.846	11	1
LOC134756831	NC_073236.2	LOC129531205	NC_073240.2	0.846	11	1
LOC115932915	NC_073238.2	LOC115932799	NC_073236.2	0.833	10	1
LOC129524260	NC_073236.2	LOC129527796	NC_073242.2	0.833	5	1
LOC129533142	NC_073227.2	LOC129527796	NC_073242.2	0.833	5	1
LOC129530539	NC_073235.2	LOC129527796	NC_073242.2	0.833	5	1
LOC129523471	NC_073237.2	C1QTNF3	NC_073243.2	0.833	5	1
LOC129530594	NC_073238.2	C1QTNF3	NC_073243.2	0.833	5	1
LOC134757411	NC_073241.2	C1QTNF3	NC_073243.2	0.833	5	1
LOC129526379	NC_073238.2	LOC129530543	NC_073236.2	0.818	9	1
LOC129530543	NC_073236.2	LOC129528466	NC_073241.2	0.818	9	1
LOC129530564	NC_073246.2	LOC129528445	NC_073241.2	0.812	13	1
LOC129527662	NC_073242.2	LOC101138622	NC_073240.2	0.8	4	1
LOC129525765	NC_073234.2	LOC129527430	NC_073242.2	0.8	4	1
LOC129525765	NC_073234.2	LOC129528750	NC_073244.2	0.8	4	1
LOC129525765	NC_073234.2	LOC129532980	NC_073240.2	0.8	4	1
LOC129525765	NC_073234.2	LOC129525416	NC_073233.2	0.8	4	1
LOC129525765	NC_073234.2	LOC129531752	NC_073236.2	0.8	4	1
LOC129525765	NC_073234.2	LOC129532807	NC_073227.2	0.8	4	1
LOC129525765	NC_073234.2	LOC134756371	NC_073227.2	0.8	4	1
LOC129527885	NC_073243.2	LOC129527430	NC_073242.2	0.8	4	1
LOC129527885	NC_073243.2	LOC129528750	NC_073244.2	0.8	4	1
LOC129527885	NC_073243.2	LOC129532980	NC_073240.2	0.8	4	1
LOC129527885	NC_073243.2	LOC129525416	NC_073233.2	0.8	4	1
LOC129527885	NC_073243.2	LOC129531752	NC_073236.2	0.8	4	1
LOC129527885	NC_073243.2	LOC129532807	NC_073227.2	0.8	4	1
LOC129527885	NC_073243.2	LOC134756371	NC_073227.2	0.8	4	1
MORN5	NC_073237.2	LOC129532980	NC_073240.2	0.8	4	1
MORN5	NC_073237.2	LOC129525416	NC_073233.2	0.8	4	1
MORN5	NC_073237.2	LOC129531752	NC_073236.2	0.8	4	1
MORN5	NC_073237.2	LOC129532807	NC_073227.2	0.8	4	1
MORN5	NC_073237.2	LOC134756371	NC_073227.2	0.8	4	1
PRSS2	NC_073230.2	PRSS3	NC_073237.2	0.8	4	1
LOC129527430	NC_073242.2	LOC129528750	NC_073244.2	0.8	4	1
LOC129527430	NC_073242.2	LOC129532980	NC_073240.2	0.8	4	1
LOC129527430	NC_073242.2	LOC129525416	NC_073233.2	0.8	4	1
LOC129527430	NC_073242.2	LOC129531752	NC_073236.2	0.8	4	1
LOC129527430	NC_073242.2	LOC129532807	NC_073227.2	0.8	4	1
LOC129527430	NC_073242.2	LOC134756371	NC_073227.2	0.8	4	1
