case	locus_id	annotation	disposition	membership_role	fresh_family	rna_degree	dna_degree	both_layer_degree	rna_only_degree	dna_only_degree
MAGEA	L~chrX_147847404_147853231	MAGEA9B	KEEP_KNOWN	FAMILY_MEMBER	GWFAM34	6	6	6	0	0
MAGEA	L~chrX_147951771_147957050	MAGEA11	KEEP_KNOWN	FAMILY_MEMBER	GWFAM34	6	5	5	1	0
MAGEA	L~chrX_148047652_148053473	MAGEA9	KEEP_KNOWN	FAMILY_MEMBER	GWFAM34	6	6	6	0	0
MAGEA	L~chrX_150181730_150191399	MAGEA4	KEEP_KNOWN	FAMILY_MEMBER	GWFAM34	6	5	5	1	0
MAGEA	L~chrX_150399384_150404635	LOC100533997,MAGEA10	KEEP_KNOWN	FAMILY_MEMBER	GWFAM34	5	3	3	2	0
MAGEA	L~chrX_150965292_150968920	MAGEA3	KEEP_KNOWN	FAMILY_MEMBER	GWFAM34	6	5	5	1	0
MAGEA	L~chrX_151032688_151036482	MAGEA6	KEEP_KNOWN	FAMILY_MEMBER	GWFAM34	5	4	4	1	0
MAGEA	L~chrX_25725472_25728073	MAGEB18	REVIEW_CONFLICTING_GENE	EXCLUDE_CONFOUND	GWFAM33	1	0	0	1	0
MAGEA	L~chrX_29807852_29812991	MAGEB2	REVIEW_CONFLICTING_GENE	EXCLUDE_CONFOUND	GWFAM33	1	0	0	1	0
MAGEA	L~chrX_29836044_29844402	MAGEB1	REVIEW_CONFLICTING_GENE	EXCLUDE_CONFOUND	GWFAM33	2	0	0	2	0
