kind	both_spliced	gene_a	chrom_a	jA	psiA	gene_b	chrom_b	jB	psiB	uA	spA	uB	spB	dPSI	pval	q
homologous	0	LOC129532032	NC_073224.2	15880304-15881063	0.0	MAPKBP1	NC_073240.2	42533288-42534047	1.0	0	66	25	25	1.0	6.24514729695102e-23	1.4988353512682447e-21
homologous	0	LOC129532032	NC_073224.2	15879243-15879762	0.0	MAPKBP1	NC_073240.2	42532227-42532746	1.0	0	66	24	24	1.0	2.2732336160901716e-22	4.944283114996123e-21
homologous	0	LOC129532032	NC_073224.2	15876630-15877018	0.0	MAPKBP1	NC_073240.2	42529619-42530007	1.0	0	66	23	23	1.0	8.524626060338144e-22	1.6480943716653748e-20
homologous	0	LOC129532032	NC_073224.2	15878285-15879053	0.0	MAPKBP1	NC_073240.2	42531269-42532037	1.0	0	66	23	23	1.0	8.524626060338144e-22	1.6480943716653748e-20
homologous	1	LOC101147259	NC_073237.2	93534519-93538824	0.0	LOC115933254	NC_073236.2	32884967-32889244	1.0	0	53	25	25	1.0	5.855436781046312e-21	1.072469473581114e-19
homologous	0	LOC101148271	NC_073230.2	46339963-46342026	0.0	LOC129525065	NC_073232.2	8665281-8667348	1.0	0	1964	5	5	1.0	4.0753039710840375e-15	4.502240577578556e-14
homologous	0	LOC101149650	NC_073228.2	185272416-185275865	0.0	PGM5	NC_073237.2	64594357-64600394	1.0	0	9	35	35	1.0	1.4105754918365005e-09	9.720401409091131e-09
homologous	1	HERC2	NC_073240.2	29471916-29472174	1.0	LOC101149126	NC_073242.2	68795812-68796072	0.0	9	9	0	5	1.0	0.0004995004995004995	0.001801307500789366
homologous	1	HERC2	NC_073240.2	29473320-29476000	1.0	LOC101149126	NC_073242.2	68791948-68794664	0.0	7	7	0	5	1.0	0.0012626262626262627	0.0042824483745425275
A_private		LOC115932779	NC_073242.2	29111074-29112840	1.0	LOC129528916	-	-	0.0	9	9	0	0	1.0	1.0	1.0
A_private		LOC115932779	NC_073242.2	29106341-29110948	1.0	LOC129528916	-	-	0.0	8	8	0	0	1.0	1.0	1.0
A_private		LOC115932779	NC_073242.2	29075005-29076160	1.0	LOC129528916	-	-	0.0	9	9	0	0	1.0	1.0	1.0
A_private		LOC115932779	NC_073242.2	29072707-29074827	1.0	LOC129528916	-	-	0.0	9	9	0	0	1.0	1.0	1.0
A_private		LOC115932779	NC_073242.2	29068105-29072545	1.0	LOC129528916	-	-	0.0	8	8	0	0	1.0	1.0	1.0
A_private		LOC115932779	NC_073242.2	29052664-29064549	1.0	LOC129528916	-	-	0.0	8	8	0	0	1.0	1.0	1.0
A_private		LOC115932779	NC_073242.2	29037496-29041385	1.0	LOC129528916	-	-	0.0	6	6	0	0	1.0	1.0	1.0
A_private		LOC115932779	NC_073242.2	29034295-29037319	1.0	LOC129528916	-	-	0.0	7	7	0	0	1.0	1.0	1.0
A_private		LOC115932779	NC_073242.2	29030757-29034127	1.0	LOC129528916	-	-	0.0	7	7	0	0	1.0	1.0	1.0
A_private		LOC115932779	NC_073242.2	28987265-28994131	1.0	LOC129528916	-	-	0.0	6	6	0	0	1.0	1.0	1.0
A_private		LOC115932779	NC_073242.2	28971159-28987084	1.0	LOC129528916	-	-	0.0	10	10	0	0	1.0	1.0	1.0
A_private		LOC115932779	NC_073242.2	28970009-28971057	1.0	LOC129528916	-	-	0.0	10	10	0	0	1.0	1.0	1.0
A_private		LOC115932779	NC_073242.2	28963499-28969839	1.0	LOC129528916	-	-	0.0	12	12	0	0	1.0	1.0	1.0
A_private		LOC115932779	NC_073242.2	28951697-28961168	1.0	LOC129528916	-	-	0.0	14	14	0	0	1.0	1.0	1.0
A_private		LOC115932779	NC_073242.2	28865428-28869146	1.0	LOC129528916	-	-	0.0	66	66	0	0	1.0	1.0	1.0
A_private		LOC115932779	NC_073242.2	28859113-28861932	1.0	LOC129528916	-	-	0.0	69	69	0	0	1.0	1.0	1.0
