module	class	reason
# ============================================================================
# Rustle retirement map. Class legend:
#   DEAD-flow        = pure network-flow (retire FIRST, user priority #1)
#   DEAD-stringtie   = StringTie-era transcript assembler; slated for removal
#   SHARED-tendril   = assembler file, but thesis imports a named symbol; EXTRACT that symbol before removal (softer marker)
#   KEEP-thesis      = multi-copy-family thesis layer (vg_family + thesis bins)
#   KEEP-foundational= low-level type/IO used by BOTH thesis and assembler; stays
#   DEAD-orphan      = file present but NOT declared as a module (not compiled)
# Thesis roots: bins copy_assign / gw_family_catalog / asj / asj_verify -> import ONLY rustle::genome + rustle::vg_family::*
# ============================================================================
src/rustle/vg_family/	KEEP-thesis	Whole thesis layer: O1 family detect/split/read_conflict, O2 copy_assign(+pipeline), O3 allele_specific_junctions, O4 absent_copy. Consumed by all 4 thesis bins. DO NOT TOUCH.
src/rustle/genome.rs	KEEP-thesis	GenomeIndex used 28x across vg_family + directly by copy_assign/asj_verify bins. Depends only on types. Clean keep.
src/rustle/types.rs	KEEP-foundational	Bundle, BundleRead, DetHashMap, DetHashSet, RunConfig, Junction, JunctionStats used pervasively by thesis. REVERSE TENDRIL: types calls crate::stringtie_parity::stringtie_exact() (2x) + crate::vg_family::* (fine). Relocate stringtie_exact() before deleting stringtie_parity.
src/rustle/bam.rs	KEEP-foundational	open_bam / exons_from_cigar / record_to_bundle_read / extract_mismatches_vs_fasta used by thesis. REVERSE TENDRIL: `use crate::polya` -> polya::detect_polya_aligned_unaligned (1 call). Relocate that fn before deleting polya.
src/rustle/util/mod.rs	KEEP-foundational	bitset/bitvec/constants/coord/hard_counters. No crate deps. Needed transitively by types + graph. Keep.
src/rustle/util/bitset.rs	KEEP-foundational	Low-level bitset. No crate deps.
src/rustle/util/bitvec.rs	KEEP-foundational	Low-level. No crate deps.
src/rustle/util/constants.rs	KEEP-foundational	Constants. No crate deps.
src/rustle/util/coord.rs	KEEP-foundational	Coordinate helpers. No crate deps.
src/rustle/util/hard_counters.rs	KEEP-foundational	Counters. No crate deps.
src/rustle/vg.rs	SHARED-tendril	378KB. Thesis imports 8 symbols (reverse_complement, FamilyGroup, fnv1a64, graph_exon_seqs, exon_kmer_similarity, enumerate_diagnostic_sites, discover_family_groups_layer2, build_multimap_index_from_secondary_index). BIDIRECTIONAL: vg.rs itself calls vg_family 47x. Heaviest extraction: split family-discovery core -> kept module, mark EM-reweighting/-G2 body dead.
src/rustle/graph.rs	SHARED-tendril	Graph + Graph::new used by vg_family::family_graph and layer2. Otherwise assembler graph (also re-exported in lib.rs). Extract/replace Graph usage before removal. Deps: util,types only (clean).
src/rustle/path_extract.rs	SHARED-tendril	551KB. Thesis imports ONLY the `Transcript` type (used by layer2). Body pulls in max_flow, parse_trflong_st, stringtie_parity, parity (all DEAD). EXTRACT `Transcript` to a kept types module, then delete.
src/rustle/bundle.rs	SHARED-tendril	101KB. Thesis imports recompute_junction_stats + collect_secondary_index_from_bam (the latter re-exported by vg_family/secondary_index.rs). EXTRACT those 2 fns, then delete. Body pulls bundle_builder/junction_correction/assembly_mode (DEAD).
