family_id	gene_id	chrom	start	end	strand
RBMY	gene-LOC129530238	NC_073248.2	19671638	19685525	-
RBMY	gene-LOC129530239	NC_073248.2	19625715	19639621	-
RBMY	gene-LOC129530240	NC_073248.2	19648670	19662577	-
RBMY	gene-LOC129530241	NC_073248.2	19694606	19708531	-
RBMY	gene-LOC129530242	NC_073248.2	19717578	19730926	-
RBMY	gene-LOC129530243	NC_073248.2	19602754	19616644	-
RBMY	gene-LOC129530249	NC_073248.2	25725362	25739264	-
RBMY	gene-LOC129530256	NC_073248.2	15477440	15491521	+
RBMY	gene-LOC129530259	NC_073248.2	15918165	15930918	-
RBMY	gene-LOC129530261	NC_073248.2	16137383	16150683	-
RBMY	gene-LOC129530264	NC_073248.2	16264504	16278821	+
RBMY	gene-LOC129530266	NC_073248.2	16415999	16429873	+
RBMY	gene-LOC129530267	NC_073248.2	16438966	16454625	+
