family	catalog_fid	present	n_copies_catalog	n_annot	n_NA	genes	n_copies_truth	recall	precision_strict_EpDNA	precision_bio_corrected	genuine_over_merge	missed_copies	core_recip_med	core_recip_max	frac_edges_near_identical	regime	class_definition	class_assignment	class_overall	K_frontier_O2	note
RABL2	73	True	5	5	0	LOC101142457,LOC129523511,LOC134756389,RABL2A,RABL2B	5	1.000	1.000	1.000	NONE	NONE	0.468	0.999	0.100	divergent(<0.70)	clean	resolvable	CLEAN	VG K=5/5 (fully_resolvable)	RAB-like GTPase; cross-chromosomal 5-copy cluster (flagship clean)
APOBEC3	569	True	3	3	0	APOBEC3C,APOBEC3D,APOBEC3F	3	1.000	0.667	1.000	NONE	NONE	0.303	0.381	0.000	divergent(<0.70)	clean	n/a	CLEAN	not in O2 validated set	APOBEC3 cytidine-deaminase tandem cluster (Bailey/Soto)
MAGEA	517	True	11	11	0	LOC129529976,LOC129529978,LOC129529983,LOC129529986,MAGEA1,MAGEA12,MAGEA4	13	0.846	1.000	1.000	NONE	515:MAGEA9;SINGLETON/not-multicopy:MAGEA10	0.685	1.000	0.164	divergent(<0.70)	mid	resolvable	MID	DNA chi_H=2 asm_hapCN=2 K_read=4	MAGE-A cancer/testis X-array (Xq28)
ANKRD18	306	True	15	10	5	ANKRD18A,ANKRD18B,FOXO1,LOC101142783,LOC101147259,LOC115933254,LOC129524732	15	1.000	0.700	0.900	FOXO1	NONE	0.338	0.910	0.086	divergent(<0.70)	clean	k-frontier	MID/divergent-overmerge	VG K=4/6 (partial)	ANKRD18A/B ankyrin-repeat segdup (flagship mid / K-frontier)
RGPD8	313	True	8	8	0	LOC101131768,LOC101136692,LOC101137060,LOC109025447,LOC129531666,LOC129531667,RGPD8	8	1.000	0.875	1.000	NONE	NONE	0.487	1.000	0.050	divergent(<0.70)	clean	floor	FLOOR	VG K=1/7 (no_psv)	RANBP2-paralog RGPD cluster (flagship K-frontier FLOOR)
ZNF92	42	True	41	41	0	LOC101123988,LOC101128844,LOC101129171,LOC101133668,LOC101136009,LOC101137462,LOC101141027,LOC101142646,LOC101144838,LOC101145945,LOC101146634,LOC101147715,LOC101153126,LOC115930172,LOC115931567,LOC115931568,LOC115931576,LOC129527827,LOC129528947,ZNF254,ZNF273,ZNF429,ZNF43,ZNF430,ZNF486,ZNF506,ZNF626,ZNF675,ZNF678,ZNF680,ZNF681,ZNF723,ZNF91,ZNF92	52	0.788	0.902	0.976	LOC129527827	SINGLETON/not-multicopy:ZNF727,ZNF736,ZNF14,ZNF682,LOC101136009,LOC101136009,ZNF429,LOC101128106;191:LOC101133668;83:ZNF626;22:ZNF208	0.305	0.972	0.008	divergent(<0.70)	mid	n/a	MID/divergent-overmerge	not in O2 validated set	KRAB-zinc-finger cluster (divergent-paralog DEFINITION regime)
GSTM	18	True	3	3	0	GSTM1,GSTM4,GSTM5	11	0.273	1.000	1.000	NONE	SINGLETON/not-multicopy:GSTM3;19:GSTM1;6:GSTM2;7:GSTM2;10:GSTM2;11:GSTM2;20:GSTM2,GSTM2	0.436	0.440	0.000	divergent(<0.70)	floor	floor	FLOOR	DNA chi_H=7 asm_hapCN=19 K_read=0	glutathione-S-transferase Mu tandem cluster; GSTM2 near-identical collapse
HERC2	388	True	6	6	0	HERC2,LOC109023386,LOC115930830,LOC129527072,LOC134757229	7	0.857	0.833	1.000	NONE	387:HERC2	0.272	0.321	0.000	divergent(<0.70)	mid	n/a	MID	not in O2 validated set	HERC2 / HERC2P duplicon cluster, chr15 segdup (Eichler)
