a	b	seq_id	cov_min	cov_max	len_min	len_max	len_ratio	njunc_a	njunc_b	njunc_min	njunc_diff	njunc_ratio	frac_ref	frac_mem	aln_cov_small	contig	co_junc	antisense	same_chrom	log_dist	overlap	disjoint	edge_betw	jaccard_nbr	common_nbr	deg_min	deg_max	compara_pos	panel_real	panel_counter	group
LOC115933187	LOC129532372	0.9861	0.6145	0.8491	2372	3276	0.7241	6	4	4	2	0.6667	0.667	1.0	0.847	4	4	0	0		0	1	0.008333	1.0	12	13	13	0	0	0	0
LOC101149650	LOC129532372	0.9792	0.3581	0.7483	2372	4920	0.4821	16	4	4	12	0.25	0.125	0.5	0.742	2	2	0	0		0	1	0.025	0.8571	12	13	15	0	0	0	0
LOC129532372	SH3KBP1	0.9902	0.4632	0.6838	2372	3506	0.6766	4	19	4	15	0.2105	0.211	1.0	0.683	4	4	0	0		0	1	0.008333	1.0	12	13	13	0	0	0	0
LOC129532372	LOC129532896	0.9896	0.6855	0.9224	1765	2372	0.7441	4	7	4	3	0.5714	0.571	1.0	0.921	4	4	0	0		0	1	0.008333	1.0	12	13	13	0	0	0	0
LOC129527796	LOC129532372	0.9883	0.6847	0.8832	1841	2372	0.7761	5	4	4	1	0.8	0.8	1.0	0.882	4	4	0	0		0	1	0.008333	1.0	12	13	13	0	0	0	0
LOC129530539	LOC129532372	0.9871	0.6872	0.9107	1791	2372	0.7551	5	4	4	1	0.8	0.8	1.0	0.909	4	4	0	0		0	1	0.008333	1.0	12	13	13	0	0	0	0
LOC129532372	LOC129533142	0.9871	0.6847	0.9105	1787	2372	0.7534	4	5	4	1	0.8	0.8	1.0	0.908	4	4	0	0		0	1	0.008333	1.0	12	13	13	0	0	0	0
LOC129524260	LOC129532372	0.9865	0.6847	0.9104	1786	2372	0.753	5	4	4	1	0.8	0.8	1.0	0.909	4	4	0	0		0	1	0.008333	1.0	12	13	13	0	0	0	0
LOC129531995	LOC129532372	0.9868	0.6383	0.9876	1534	2372	0.6467	3	4	3	1	0.75	0.75	1.0	0.986	3	3	0	0		0	1	0.008333	1.0	12	13	13	0	0	0	0
LOC129532372	LOC134758032	0.9878	0.5839	0.9837	1410	2372	0.5944	4	2	2	2	0.5	0.5	1.0	0.982	2	2	0	1	8.373	0	1	0.008333	1.0	12	13	13	0	0	0	0
LOC129532372	LOC134758397	0.9416	0.5839	1.0	1322	2372	0.5573	4	1	1	3	0.25	0.25	1.0	0.998	1	1	0	0		0	1	0.009848	0.8333	10	11	13	0	0	0	0
LOC129528733	LOC129532372	0.9845	0.2989	0.8161	870	2372	0.3668	5	4	4	1	0.8	0.8	1.0	0.814	4	4	0	0		0	1	0.009091	0.9167	11	12	13	0	0	0	0
LOC129528259	LOC129532372	0.9845	0.2989	0.8161	870	2372	0.3668	5	4	4	1	0.8	0.8	1.0	0.814	4	4	0	0		0	1	0.009091	0.9167	11	12	13	0	0	0	0
LOC101144634	LOC115930073	0.9996	0.5732	0.9171	2966	3127	0.9485	4	1	1	3	0.25	0.25	1.0	0.86	1	1	0	1	5.115	0	1	1.0	0.0	0	1	1	0	0	0	1
LOC115932969	LOC129532332	1.0	0.1535	0.7459	724	3518	0.2058	1	1	1	0	1.0	0.0	0.0	0.746	0	0	1	1	0.0	1	0	1.0	0.0	0	1	1	0	0	0	2
LOC101148918	LOC115932637	0.9035	0.2856	0.4429	12441	18822	0.661	31	13	13	18	0.4194	0.161	0.385	0.293	5	5	0	0		0	1	0.000529	0.3867	29	42	64	0	0	0	3
LOC101148918	LOC129532190	0.9386	0.2182	0.7305	6334	18822	0.3365	31	19	19	12	0.6129	0.323	0.526	0.71	10	10	0	1	6.749	0	1	0.0007	0.2308	15	40	42	0	0	0	3
LOC101124243	NOM1	0.9732	0.7095	1.0	6074	8521	0.7128	12	10	10	2	0.8333	0.833	1.0	0.994	10	10	0	0		0	1	1.0	0.0	0	1	1	0	0	0	4
LOC129529531	LOC129532311	1.0	1.0	1.0	451	451	1.0	1	1	1	0	1.0	1.0	1.0	1.0	1	1	0	1	6.77	0	1	1.0	0.0	0	1	1	0	0	0	5
AHCTF1	LOC101139146	0.9862	0.9541	0.9977	8267	8647	0.9561	35	1	1	34	0.0286	0.029	1.0	0.997	1	1	0	0		0	1	0.333333	1.0	1	2	2	0	0	0	6
ADSS2	LOC134758419	0.9217	0.2896	0.4114	1594	1896	0.8407	12	6	6	6	0.5	0.083	0.167	0.437	1	1	0	0		0	1	1.0	0.0	0	1	1	0	0	0	7
CEP170	LOC129531985	0.9651	0.6574	0.9581	5348	7435	0.7193	20	10	10	10	0.5	0.4	0.8	0.943	6	8	0	1	7.218	0	1	0.1	1.0	2	3	3	0	0	0	8
CEP170	LOC115933756	0.9823	0.5881	1.0	4658	7435	0.6265	20	16	16	4	0.8	0.8	1.0	0.989	16	16	0	1	7.458	0	1	0.1	1.0	2	3	3	0	0	0	8
LOC115933758	LOC134758682	0.9881	0.2003	0.7956	318	1263	0.2518	7	2	2	5	0.2857	0.286	1.0	0.796	2	2	0	1	7.459	0	1	0.4	0.0	0	1	4	0	0	0	8
LOC115932637	LOC129532190	0.9273	0.0	0.4627	6334	12441	0.5091	13	19	13	6	0.6842	0.263	0.385	0.553	5	5	0	0		0	1	0.000825	0.2911	23	40	64	0	0	0	3
LOC129532190	LOC134757481	0.9244	0.4627	0.4732	6244	6334	0.9858	19	5	5	14	0.2632	0.0	0.0	0.468	0	0	0	0		0	1	0.000495	0.3393	19	37	40	0	0	0	3
LOC129532190	LOC134757484	0.9244	0.4627	0.521	5718	6334	0.9027	19	4	4	15	0.2105	0.0	0.0	0.511	0	0	0	0		0	1	0.000459	0.375	21	39	40	0	0	0	3
LOC129532190	LOC134757483	0.9241	0.4312	0.4627	6334	6842	0.9258	19	4	4	15	0.2105	0.0	0.0	0.461	0	0	0	0		0	1	0.000562	0.3091	17	34	40	0	0	0	3
LOC129532190	LOC134757482	0.9091	0.0	0.4627	4008	6334	0.6328	19	4	4	15	0.2105	0.0	0.0	0.729	0	0	0	0		0	1	0.000469	0.3654	19	33	40	0	0	0	3
LOC129532190	LOC134757747	0.9231	0.0	0.4627	1535	6334	0.2423	19	9	9	10	0.4737	0.211	0.444	0.375	2	4	0	0		0	1	0.000728	0.3469	17	28	40	0	0	0	3
LOC129532190	LOC134757485	0.9088	0.4162	0.4627	6334	7203	0.8794	19	7	7	12	0.3684	0.263	0.714	0.56	5	5	0	0		0	1	0.000652	0.303	20	40	48	0	0	0	3
LOC129532190	LOC134757744	0.9224	0.0	0.4627	4248	6334	0.6707	19	5	5	14	0.2632	0.0	0.0	0.688	0	0	0	0		0	1	0.000728	0.3469	17	28	40	0	0	0	3
LOC129528753	LOC129532190	0.9224	0.0	0.4627	4390	6334	0.6931	6	19	6	13	0.3158	0.0	0.0	0.666	0	0	0	0		0	1	0.00073	0.34	17	29	40	0	0	0	3
LOC129532190	LOC134756357	0.9605	0.3572	0.4654	6334	8394	0.7546	19	15	15	4	0.7895	0.421	0.533	0.636	8	8	0	1	8.129	0	1	0.000296	0.3934	24	40	47	0	0	0	3
LOC129532190	LOC134757241	0.9092	0.0	0.4627	4760	6334	0.7515	19	8	8	11	0.4211	0.263	0.625	0.715	5	5	0	0		0	1	0.000749	0.2353	16	40	46	0	0	0	3
LOC129532190	LOC134756800	0.9192	0.4654	0.7363	3906	6334	0.6167	19	2	2	17	0.1053	0.0	0.0	0.733	0	0	0	0		0	1	0.000382	0.3962	21	36	40	0	0	0	3
LOC101144552	LOC129532190	0.9351	0.395	0.4627	3876	6334	0.6119	21	19	19	2	0.9048	0.143	0.158	0.076	3	3	0	0		0	1	0.000732	0.3684	21	40	40	0	0	0	3
LOC129529254	LOC129532190	0.912	0.2564	0.3622	6334	9516	0.6656	21	19	19	2	0.9048	0.524	0.579	0.36	7	11	0	1	6.498	0	1	0.000892	0.22	11	23	40	0	0	0	3
LOC129532017	LOC129532190	0.9072	0.0	0.4626	6334	13045	0.4856	15	19	15	4	0.7895	0.368	0.467	0.591	5	7	0	0		0	1	0.000776	0.3115	19	40	42	0	0	0	3
LOC129532190	LOC129532624	0.9188	0.4503	0.4627	6334	6339	0.9992	19	5	5	14	0.2632	0.0	0.0	0.446	0	0	0	0		0	1	0.00083	0.2535	18	40	51	0	0	0	3
LOC101124648	LOC129532190	0.943	0.3349	0.3767	6334	8161	0.7761	19	19	19	0	1.0	0.0	0.0	0.376	0	0	0	1	7.11	0	1	0.000928	0.2105	12	31	40	0	0	0	3
LOC129532190	LOC134759267	0.9303	0.0	0.3173	2953	6334	0.4662	19	2	2	17	0.1053	0.0	0.0	0.842	0	0	0	0		0	1	0.000893	0.2245	11	22	40	0	0	0	3
LOC129532190	LOC134759265	0.935	0.0	0.3019	3081	6334	0.4864	19	2	2	17	0.1053	0.0	0.0	0.776	0	0	0	0		0	1	0.00084	0.3	15	27	40	0	0	0	3
LOC129532190	LOC134759261	0.935	0.0	0.3019	2953	6334	0.4662	19	2	2	17	0.1053	0.0	0.0	0.809	0	0	0	0		0	1	0.00084	0.3	15	27	40	0	0	0	3
LOC129532190	LOC134759263	0.9345	0.0	0.3019	3377	6334	0.5332	19	2	2	17	0.1053	0.0	0.0	0.708	0	0	0	0		0	1	0.000921	0.2222	12	28	40	0	0	0	3
LOC115931714	LOC129532190	0.9755	0.1985	0.3744	3376	6334	0.533	9	19	9	10	0.4737	0.368	0.778	0.372	7	7	0	1	7.373	0	1	0.000533	0.1961	10	23	40	0	0	0	3
LOC115930814	LOC129532190	0.9606	0.1879	0.69	1684	6334	0.2659	5	19	5	14	0.2632	0.263	1.0	0.688	5	5	0	0		0	1	0.001011	0.1786	10	28	40	0	0	0	3
LOC129532190	LOC134757385	0.9673	0.135	0.3492	1633	6334	0.2578	19	6	6	13	0.3158	0.211	0.667	0.516	4	4	0	0		0	1	0.001307	0.1818	10	27	40	0	0	0	3
LOC129529254	LOC134758748	0.9615	0.3766	1.0	3535	9516	0.3715	21	2	2	19	0.0952	0.095	1.0	1.0	2	2	0	1	6.552	0	1	0.00143	0.3846	10	15	23	0	0	0	3
LOC101124648	LOC129529254	0.9135	0.3453	0.4496	8161	9516	0.8576	19	21	19	2	0.9048	0.0	0.0	0.401	0	0	0	1	6.986	0	1	0.00034	0.4054	15	23	31	0	0	0	3
LOC101151914	LOC129529254	0.9593	0.2707	0.7746	3390	9516	0.3562	5	21	5	16	0.2381	0.095	0.4	0.76	2	2	0	1	5.511	0	1	0.00075	0.2692	7	12	23	0	0	0	3
LOC115930151	LOC129529254	0.9305	0.2127	0.9985	1312	9516	0.1379	2	21	2	19	0.0952	0.095	1.0	0.849	2	2	0	0		0	1	0.000668	0.25	10	23	29	0	0	0	3
LOC129529254	LOC134757294	0.9772	0.1246	0.6085	1944	9516	0.2043	21	2	2	19	0.0952	0.095	1.0	0.609	2	2	0	0		0	1	0.001396	0.0862	5	23	42	0	0	0	3
LOC129529254	LOC134756478	0.981	0.1218	0.4008	2889	9516	0.3036	21	2	2	19	0.0952	0.095	1.0	0.401	2	2	0	0		0	1	0.00088	0.1852	5	11	23	0	0	0	3
LOC115930814	LOC129529254	0.9515	0.1213	0.6621	1684	9516	0.177	5	21	5	16	0.2381	0.238	1.0	0.662	5	5	0	0		0	1	0.000678	0.1395	6	23	28	0	0	0	3
LOC129529247	LOC134758715	0.9905	0.9824	0.9976	6650	6770	0.9823	28	25	25	3	0.8929	0.893	1.0	0.997	23	25	0	1	4.99	0	1	0.009524	1.0	8	9	9	0	0	0	9
LOC129529247	LOC129532055	0.9822	0.9871	1.0	6770	6807	0.9946	28	28	28	0	1.0	0.964	0.964	0.991	23	27	0	1	6.541	0	1	0.009524	1.0	8	9	9	0	0	0	9
LOC129529247	LOC129532032	0.9887	0.7815	1.0	5258	6770	0.7767	28	28	28	0	1.0	1.0	1.0	0.999	28	28	0	1	5.313	0	1	0.02619	0.75	6	7	9	0	0	0	9
LOC129529247	LOC134758759	0.9867	0.7861	0.9836	5379	6770	0.7945	28	29	28	1	0.9655	0.966	1.0	0.983	28	28	0	1	6.566	0	1	0.02619	0.75	6	7	9	0	0	0	9
LOC129529247	MAPKBP1	0.9785	0.7274	1.0	6770	7105	0.9529	28	33	28	5	0.8485	0.848	1.0	0.643	28	28	0	0		0	1	0.009524	1.0	8	9	9	0	0	0	9
LOC101128796	LOC129529247	0.9917	0.6555	0.9797	4530	6770	0.6691	30	28	28	2	0.9333	0.933	1.0	0.979	25	28	0	1	6.527	0	1	0.02619	0.75	6	7	9	0	0	0	9
LOC129529247	LOC129531977	0.9715	0.6409	0.9306	4740	6770	0.7001	28	31	28	3	0.9032	0.871	0.964	0.915	27	27	0	1	7.128	0	1	0.02619	0.75	6	7	9	0	0	0	9
LOC129529265	LOC129532040	1.0	0.8096	1.0	676	835	0.8096	2	3	2	1	0.6667	0.667	1.0	1.0	2	2	0	1	5.333	0	1	0.009524	1.0	4	5	5	0	0	0	9
LOC129529265	LOC134758761	0.9985	0.73	1.0	676	926	0.73	2	3	2	1	0.6667	0.667	1.0	1.0	2	2	0	1	6.566	0	1	0.009524	1.0	4	5	5	0	0	0	9
LOC109023422	LOC129529265	0.974	0.8129	1.0	676	850	0.7953	3	2	2	1	0.6667	0.667	1.0	1.0	2	2	0	1	6.541	0	1	0.009524	1.0	4	5	5	0	0	0	9
LOC129529265	LOC134758752	0.9897	0.9064	1.0	676	748	0.9037	2	2	2	0	1.0	1.0	1.0	1.0	2	2	0	1	6.554	0	1	0.009524	1.0	4	5	5	0	0	0	9
LOC129529265	LOC129532070	0.9882	0.528	1.0	676	943	0.7169	2	3	2	1	0.6667	0.667	1.0	1.0	2	2	0	1	6.527	0	1	0.095238	0.5	4	5	9	0	0	0	9
LOC129529234	LOC129531983	0.9851	0.82	1.0	1069	2622	0.4077	7	8	7	1	0.875	0.875	1.0	0.89	7	7	0	1	7.127	0	1	0.035714	1.0	6	7	7	0	0	0	10
LOC129523520	LOC129529234	0.9979	0.4463	0.8205	1069	1159	0.9223	8	7	7	1	0.875	0.875	1.0	1.0	7	7	0	1	6.524	0	1	0.035714	1.0	6	7	7	0	0	0	10
LOC129529234	LOC134758712	0.9861	0.6072	0.6694	1069	1101	0.9709	7	7	7	0	1.0	1.0	1.0	1.0	7	7	0	1	5.018	0	1	0.035714	1.0	6	7	7	0	0	0	10
