family	name	chrom	start0	end	strand	biotype	level1	level2
NPIP	NPIPA1	chr16	14938509	14953106	+	protein_coding	NPIPA	A1
NPIP	NPIPA2	chr16	14740933	14763869	+	protein_coding	NPIPA	A2/3
NPIP	NPIPA5	chr16	15368419	15386444	-	protein_coding	NPIPA	A5
NPIP	NPIPA6	chr16	16340280	16359022	+	protein_coding	NPIPA	A6-9
NPIP	NPIPA7	chr16	16391363	16406190	+	protein_coding	NPIPA	A6-9
NPIP	NPIPA8	chr16	18325161	18343979	-	protein_coding	NPIPA	A6-9
NPIP	NPIPA9	chr16	18372371	18391116	-	protein_coding	NPIPA	A6-9
NPIP	NPIPB10P	chr16	29318967	29333452	+	pseudogene	NPIPB	B10
NPIP	NPIPB11	chr16	29663350	29688504	-	protein_coding	NPIPB	B11
NPIP	NPIPB12	chr16	29765317	29788442	-	protein_coding	NPIPB	B12/13
NPIP	NPIPB13	chr16	30609396	30634670	-	protein_coding	NPIPB	B12/13
NPIP	NPIPB14P	chr16	75785805	75805631	-	pseudogene	NPIPB	B14
NPIP	NPIPB15	chr16	80194083	80209885	+	protein_coding	NPIPB	B15
NPIP	NPIPB1P	chr18	11781940	11796470	-	pseudogene	NPIPB	B1
NPIP	NPIPB2	chr16	11963310	12012756	-	protein_coding	NPIPB	B2
NPIP	NPIPB3	chr16	21337399	21360419	-	protein_coding	NPIPB	B3-5
NPIP	NPIPB4	chr16	22359821	22382362	+	protein_coding	NPIPB	B3-5
NPIP	NPIPB5	chr16	22781606	22814310	+	protein_coding	NPIPB	B3-5
NPIP	NPIPB6	chr16	28623032	28645151	-	protein_coding	NPIPB	B6-9
NPIP	NPIPB7	chr16	28737008	28778611	-	protein_coding	NPIPB	B6-9
NPIP	NPIPB8	chr16	28928824	28939457	+	protein_coding	NPIPB	B6-9
NPIP	NPIPB9	chr16	29016080	29053452	+	protein_coding	NPIPB	B6-9
TBC1D3	TBC1D3	chr17	39044722	39055625	-	protein_coding	cluster2	AE
TBC1D3	TBC1D3B	chr17	37113574	37124508	-	protein_coding	cluster1	B
TBC1D3	TBC1D3D	chr17	38989318	39001929	+	protein_coding	cluster2	CDKL
TBC1D3	TBC1D3E	chr17	38911264	38922351	+	protein_coding	cluster2	AE
TBC1D3	TBC1D3F	chr17	37427056	37437961	-	protein_coding	cluster1	F
TBC1D3	TBC1D3G	chr17	37267960	37282718	+	protein_coding	cluster1	G
TBC1D3	TBC1D3H	chr17	37325492	37336401	-	protein_coding	cluster1	H
TBC1D3	TBC1D3I	chr17	37201560	37212491	-	protein_coding	cluster1	I
TBC1D3	TBC1D3K	chr17	38965105	38977716	-	protein_coding	cluster2	CDKL
