dn	n_reads	mm_median	mm_mean	mm_max
DN_NC_073224.2_100532147_6	141	1.0000	1.0426	2
DN_NC_073224.2_100535401_4	400	2.0000	1.8675	2
DN_NC_073224.2_100772522_11	105	2.0000	2.4667	51
DN_NC_073224.2_100975273_21	400	2.0000	2.0825	51
DN_NC_073224.2_101136214_11	400	2.0000	2.1475	51
DN_NC_073224.2_101578782_11	349	2.0000	2.0057	3
DN_NC_073224.2_101602135_9	316	2.0000	2.0032	3
DN_NC_073224.2_102253297_12	63	1.0000	1.0794	6
DN_NC_073224.2_103138337_14	400	3.0000	3.1000	51
DN_NC_073224.2_103145991_4	400	3.0000	3.1050	51
DN_NC_073224.2_105669663_7	84	1.0000	1.4167	22
DN_NC_073224.2_105672200_3	89	1.0000	1.3933	22
DN_NC_073224.2_105776266_5	345	1.0000	1.4145	28
DN_NC_073224.2_105784199_2	313	1.0000	1.4537	28
DN_NC_073224.2_114480077_3	62	22.0000	26.9355	51
DN_NC_073224.2_114825986_4	400	3.0000	3.8325	51
DN_NC_073224.2_115073393_19	400	10.0000	21.0950	52
DN_NC_073224.2_115073534_2	74	18.0000	22.7973	51
DN_NC_073224.2_115215234_17	400	5.0000	8.6025	52
DN_NC_073224.2_116008764_12	328	4.0000	3.9268	52
DN_NC_073224.2_116693847_11	400	4.0000	6.9350	51
DN_NC_073224.2_116807774_25	400	37.5000	38.9775	52
DN_NC_073224.2_117114419_5	400	4.0000	5.4125	52
DN_NC_073224.2_117217199_13	400	5.0000	5.9350	51
DN_NC_073224.2_117447152_14	306	4.0000	9.2712	52
DN_NC_073224.2_117494263_25	400	34.0000	34.6875	52
DN_NC_073224.2_120787661_19	400	1.0000	1.0000	1
DN_NC_073224.2_120975632_11	400	25.0000	15.5500	52
DN_NC_073224.2_123525276_5	207	1.0000	1.9903	51
DN_NC_073224.2_124008865_3	145	1.0000	1.7034	52
DN_NC_073224.2_124234032_12	400	42.0000	39.5575	52
DN_NC_073224.2_124254598_20	400	46.0000	45.2700	52
DN_NC_073224.2_124490902_14	400	38.0000	36.0525	52
DN_NC_073224.2_124983304_5	400	4.0000	3.9450	39
DN_NC_073224.2_125055626_35	400	31.5000	31.8125	51
DN_NC_073224.2_125594338_29	400	30.0000	30.6325	52
DN_NC_073224.2_125859316_3	245	2.0000	6.7388	51
DN_NC_073224.2_126139506_3	166	10.0000	9.6145	51
DN_NC_073224.2_126184593_6	360	1.0000	2.4778	51
DN_NC_073224.2_126189262_21	400	1.0000	2.3300	51
DN_NC_073224.2_129169623_8	220	2.0000	2.5136	51
DN_NC_073224.2_129191737_8	400	6.0000	5.8950	51
DN_NC_073224.2_129200469_3	400	6.0000	13.4900	52
DN_NC_073224.2_129211328_8	400	6.0000	8.9425	51
DN_NC_073224.2_129429039_7	400	40.0000	36.9500	52
DN_NC_073224.2_129970070_21	400	39.0000	39.3850	52
DN_NC_073224.2_130013703_13	400	5.0000	6.9700	51
DN_NC_073224.2_130157457_4	400	4.0000	13.6325	52
DN_NC_073224.2_130224824_25	400	35.0000	32.1325	52
DN_NC_073224.2_130305133_13	324	4.0000	10.1204	52
DN_NC_073224.2_130335848_23	400	11.0000	21.1750	52
DN_NC_073224.2_130406472_2	184	7.0000	8.9402	51
DN_NC_073224.2_130406472_4	192	7.0000	8.8281	51
DN_NC_073224.2_130416112_8	400	6.0000	5.8200	39
DN_NC_073224.2_130449319_18	373	1.0000	1.1153	39
DN_NC_073224.2_130486250_9	400	1.0000	1.0075	2
DN_NC_073224.2_130686217_20	334	1.0000	4.2515	42
DN_NC_073224.2_136262916_11	400	42.0000	34.2625	51
DN_NC_073224.2_13812644_2	65	1.0000	1.7692	51
DN_NC_073224.2_13850922_2	84	1.0000	1.0119	2
DN_NC_073224.2_14366670_16	83	1.0000	4.5181	53
DN_NC_073224.2_14727985_2	95	10.0000	11.2632	53
DN_NC_073224.2_147572773_13	324	1.0000	12.4352	52
DN_NC_073224.2_147663563_19	267	1.0000	12.7266	52
DN_NC_073224.2_147715668_5	192	1.0000	3.0052	52
DN_NC_073224.2_150567709_6	400	4.0000	5.9575	52
DN_NC_073224.2_150600792_11	63	3.0000	19.0952	52
DN_NC_073224.2_150712594_12	114	1.0000	16.2807	52
DN_NC_073224.2_150787798_12	400	2.0000	6.2475	52
DN_NC_073224.2_150835184_3	400	4.0000	8.0500	52
DN_NC_073224.2_150859518_11	400	4.0000	9.1300	52
DN_NC_073224.2_150903711_11	400	4.0000	6.6250	52
DN_NC_073224.2_150948916_11	400	4.0000	4.6975	51
DN_NC_073224.2_150982352_2	400	7.0000	5.7175	51
DN_NC_073224.2_155484145_3	362	1.0000	2.5746	51
DN_NC_073224.2_155489872_9	363	1.0000	2.5702	51
DN_NC_073224.2_15670210_25	400	9.0000	14.8325	52
DN_NC_073224.2_15783681_8	400	9.0000	11.4825	52
DN_NC_073224.2_16928217_2	297	3.0000	3.3232	51
DN_NC_073224.2_186733859_5	10	5.0000	16.9000	51
DN_NC_073224.2_19027212_8	400	9.0000	9.1200	51
DN_NC_073224.2_19135994_8	400	9.0000	10.5325	51
DN_NC_073224.2_19235747_8	400	9.0000	10.6575	51
DN_NC_073224.2_19344252_8	400	9.0000	10.6175	51
DN_NC_073224.2_194445089_11	191	2.0000	4.4188	51
DN_NC_073224.2_194593658_8	226	1.5000	2.6150	51
DN_NC_073224.2_196241058_22	400	1.0000	1.0025	2
DN_NC_073224.2_196323176_17	242	1.0000	1.1405	18
DN_NC_073224.2_197128142_3	136	1.0000	17.6765	51
DN_NC_073224.2_199406700_5	87	1.0000	4.4368	51
DN_NC_073224.2_199458269_6	43	2.0000	15.8837	52
DN_NC_073224.2_199494304_6	36	7.5000	23.5556	52
DN_NC_073224.2_200263910_4	95	1.0000	1.3789	23
DN_NC_073224.2_206460331_8	77	1.0000	1.9481	47
DN_NC_073224.2_207257149_3	400	8.0000	7.8225	51
DN_NC_073224.2_207270226_12	400	8.0000	7.9425	51
DN_NC_073224.2_207670698_13	19	1.0000	2.2632	22
DN_NC_073224.2_208886621_22	400	1.0000	1.1275	51
DN_NC_073224.2_210837399_19	219	1.0000	3.5662	52
DN_NC_073224.2_211985035_3	70	3.0000	3.4000	5
DN_NC_073224.2_213161178_3	93	1.0000	1.0538	3
DN_NC_073224.2_213368965_21	48	1.0000	3.8750	47
DN_NC_073224.2_213462039_6	400	51.0000	41.3700	51
DN_NC_073224.2_214075309_3	400	1.0000	1.0100	2
DN_NC_073224.2_214095871_7	400	1.0000	1.0075	2
DN_NC_073224.2_214517378_2	300	9.0000	8.1700	9
DN_NC_073224.2_216467757_3	385	1.0000	1.0052	2
DN_NC_073224.2_216927976_16	36	1.0000	1.0000	1
DN_NC_073224.2_218361248_19	400	12.0000	22.9775	51
DN_NC_073224.2_218434129_23	400	10.0000	14.4925	51
DN_NC_073224.2_219630924_4	11	1.0000	2.4545	17
DN_NC_073224.2_220588830_7	258	5.0000	5.0271	51
DN_NC_073224.2_220611411_7	249	5.0000	4.9157	6
DN_NC_073224.2_223156764_8	400	9.0000	9.6825	47
DN_NC_073224.2_223478295_8	400	9.0000	19.5700	52
DN_NC_073224.2_228923130_6	132	1.0000	1.1515	13
DN_NC_073224.2_228936705_6	117	1.0000	1.0684	3
DN_NC_073224.2_231736369_12	400	2.0000	2.2300	45
DN_NC_073224.2_236757333_2	94	1.0000	1.5000	6
DN_NC_073224.2_239070568_18	119	1.0000	1.0756	10
DN_NC_073224.2_239365488_12	400	1.0000	1.0200	2
DN_NC_073224.2_239847758_15	97	1.0000	1.6495	51
DN_NC_073224.2_25093112_7	400	2.0000	2.5825	52
DN_NC_073224.2_26635584_9	16	1.0000	9.9375	51
DN_NC_073224.2_27333739_3	261	51.0000	46.9502	52
DN_NC_073224.2_29070818_24	400	9.0000	9.1675	51
DN_NC_073224.2_38911600_25	400	1.0000	1.7500	51
DN_NC_073224.2_38985857_7	400	1.0000	3.1100	51
DN_NC_073224.2_40627195_4	355	51.0000	44.7239	52
DN_NC_073224.2_45389129_11	95	51.0000	30.9895	52
DN_NC_073224.2_46970626_9	311	2.0000	1.9228	51
