fam	gene	chrom	start	end	bp	cls	mean_total	mean_uniq	fam_found	mischain_frac	nearest_copy_bp	verified_bucket	topup_recoverable
ID_35	AL669831.1	chr1	152393	205163	52770	lncRNA	195.3	192.5	True		0	FOUND:protein-tail	False
ID_393	MST1L	chr1	16352796	16368125	15329	transcribed_pseudogene	22.4	18.9	True		0	FOUND:rna-split	False
ID_393	MST1P2	chr1	16566523	16571192	4669	transcribed_pseudogene	229.8	206.0	True		0	FOUND:rna-split	False
ID_131	AMY2A	chr1	103465755	103474647	8892	coding	13.3	12.8	True		0	FOUND:rna-split	False
ID_131	AMY1A	chr1	103504154	103513416	9262	coding	128.5	4.5	True		0	FOUND:rna-split	False
ID_131	AC105272.1	chr1	103516936	103517135	199	unannotated	4.0	4.0	True	1.0	3515	MISS:mischain	True
ID_131	AMY1B	chr1	103630425	103639464	9039	coding	132.1	2.2	True		0	FOUND:rna-split	False
ID_131	AMYP1	chr1	103750861	103757011	6150	pseudogene	11.0	2.0	True		0	FOUND:protein-tail	False
ID_131	AMY1C	chr1	103787543	103795829	8286	coding	180.0	8.0	True		0	FOUND:rna-split	False
ID_400	NOTCH2	chr1	119924808	120114044	189236	coding	151.9	151.9	True		0	FOUND:rna-split	False
ID_448	SEC22B	chr1	120164163	120189787	25624	coding	562.1	562.1	True		0	FOUND:rna-split	False
ID_215	AC244669.2	chr1	120210345	120332947	122602	pseudogene	2.2	1.9	True		6588	MISS:not-expressed	False
ID_212	AC244669.1	chr1	120280596	120355138	74542	pseudogene	2.0	1.3	True		0	FOUND:rna-split	False
ID_215	AC241952.1	chr1	120503158	120714510	211352	transcribed_pseudogene	44.7	44.4	True		0	FOUND:rna-split	False
ID_400	NOTCH2NLR	chr1	120737163	120807117	69954	coding	0.4	0.4	True		0	FOUND:projection	False
ID_400	NBPF26	chr1	120737166	120851508	114342	coding	17.0	10.7	True		0	FOUND:rna-split	False
ID_431	PPIAL4A	chr1	120899120	120899781	661	fragment	0.0	0.0	True		24283	MISS:not-expressed	False
ID_212	AC241377.4	chr1	120973035	120986976	13941	transcribed_pseudogene	22.8	22.7	True		0	FOUND:rna-split	False
ID_211	AC241377.2	chr1	120995080	121061551	66471	transcribed_pseudogene	30.2	30.2	True		0	FOUND:rna-split	False
ID_357	FCGR1B	chr1	121096726	121106544	9818	piece-of-other	11.1	11.1	True		0	FOUND:rna-split	False
ID_226	H2BP1	chr1	121117591	121126640	9049	transcribed_pseudogene	12.5	12.5	True		0	FOUND:rna-split	False
ID_226	H3P4	chr1	121127576	121127993	417	fragment	12.8	12.8	True	0.0	2378	MISS:collapse-K0	False
ID_354	FAM72B	chr1	121177004	121194903	17899	coding	143.4	143.4	True		0	FOUND:rna-split	False
ID_462	SRGAP2C	chr1	121194173	121402237	208064	coding	136.5	136.5	True		0	FOUND:rna-split	False
ID_24	AC239859.5	chr1	142491733	142492317	584	fragment	8.0	4.0	True		1026	FOUND:expr-collapse	False
