family_id	n_genes	n_contigs	cross_chrom	dom_biotype	compara_paralog	genes
GFAM0	464	24	1	protein_coding	0	LOC109029187,LOC101134637,LOC109025909,LOC109028162,LOC129523454,LOC101146129,LOC134757968,LOC129532360,LOC101128508,LOC129532378,LOC129532381,LOC129532382,LOC129532414,LOC129532419,LOC129532420,LOC129523578,LOC129532425,LOC134757997,LOC129532423,LOC129532421,LOC129532417,LOC134757998,LOC134757999,LOC129532377,LOC134758000,LOC134758001,LOC134758002,LOC134758003,LOC134758004,LOC134758005,LOC134758006,LOC134758007,LOC134758008,LOC129532418,FRG2C,LOC115935411,HGFAC,DOK7,LRPAP1,LOC134758245,SLC9B1,FRG1,LOC129532822,LOC129532824,LOC129532820,LOC129532832,LOC129532826,LOC115932853,LOC129532809,LOC129532828,LOC129532810,LOC129532811,LOC134758385,LOC129532817,LOC129532813,LOC129532416,LOC129532818,LOC129532815,LOC115932855,LOC101123968,LOC115932854,LOC129532831,LOC101149396,LOC134758387,LOC129532829,LOC129532823,LOC129532821,TLK2,LOC101139046,METTL2A,LOC101153430,LOC101125106,LOC134758421,LOC101144823,LOC101145937,LOC115931276,LOC101129170,LOC101137229,LOC109023127,METTL2B,LOC129534624,LOC134758882,LOC129524120,TUBB8,CDK2AP2,LOC101152462,LOC129532222,LOC109024803,LOC101127159,LOC129531947,LOC129530544,LOC129530543,LOC134756700,LOC129526957,LOC129526469,LOC115932907,LOC129526375,LOC129527278,LOC115932819,LOC115932812,LOC134756832,LOC134756753,LOC129526471,LOC134756368,LOC134756755,LOC129526106,LOC134756386,LOC134756833,LOC134756387,LOC134756757,LOC101136771,LOC134756432,LOC115934282,LOC109028905,LOC129526391,LOC129531435,LOC101143341,LOC115932799,LOC129531432,LOC129531429,LOC115933152,LOC115933033,LOC115931699,LOC115932939,LOC129523503,LOC129531870,LOC129531742,LOC134756703,LOC115933558,LOC115933574,LOC115933174,LOC129524653,LOC129524654,LOC129524656,LOC129524426,LOC129524657,LOC129524658,LOC129524659,LOC129524661,LOC129524662,LOC129524663,LOC134756925,LOC129524664,LOC129524600,LOC129524667,LOC129524668,LOC129524669,LOC129524670,LOC129524470,LOC129524472,LOC101139703,LOC109028351,LOC129524570,LOC129524675,AQP7,LOC129530466,LOC129530464,LOC129530468,LOC134757054,LOC134756947,LOC134757055,LOC129529380,LOC129528187,LOC129526951,LOC129527191,LOC134757038,LOC134757039,LOC129526409,LOC115933013,LOC101133851,LOC129526385,LOC129526389,LOC134757059,LOC134757060,LOC115933037,LOC134757041,LOC134757042,LOC101142362,LOC129526379,LOC129526378,LOC129526405,LOC134757073,LOC129526398,LOC129526395,LOC129526400,LOC129526401,LOC101132815,LOC134757075,LOC115932954,LOC129526105,LOC134756953,LOC115932915,LOC115931076,LOC101144369,LOC129526253,LOC129527250,LOC129527211,LOC129526160,LOC129527246,LOC129526436,LOC101138564,LOC129526437,LOC129526135,TPTE2,LOC129526136,MPHOSPH8,SLC25A15,LOC129526252,LOC129526251,LOC101135732,LOC129526550,LOC129526551,LOC129526552,LOC129526568,LOC129526569,LOC129526554,LOC109023149,LOC109023224,LOC134757319,LOC134757216,LOC101126792,LOC129527275,LOC134757320,LOC129527283,LOC129531439,LOC134757221,LOC134757222,LOC129531453,LOC115931040,LOC129531450,LOC134757223,LOC134757226,LOC129534664,LOC115932756,LOC129526873,LOC101129329,LOC129527198,LOC129526976,LOC115932905,LOC101138622,LOC129523556,LOC129527200,LOC129527242,LOC115933429,LOC129523572,LOC115933428,LOC129527258,LOC101152972,LOC115934544,LOC109023156,LOC134757324,LOC129527053,LOC129527054,LOC129528439,LOC129528440,LOC129528441,LOC129528443,LOC134757392,LOC129528175,LOC129528444,LOC129528445,LOC129528447,LOC129528448,LOC129528449,LOC134757413,LOC129528193,LOC129528196,LOC129528194,LOC129528452,LOC129528453,LOC129528455,LOC134757414,LOC129528228,LOC129528458,LOC129528459,LOC129528460,LOC129528462,LOC129528463,LOC134757415,LOC129528464,LOC129528161,LOC129528163,LOC129528465,LOC129528466,LOC129528467,LOC129528469,LOC134757391,LOC129528236,LOC101144812,LOC129528182,LOC115931074,LOC129527662,LOC115933460,LOC129527390,LOC129527345,LOC129527819,LOC129527821,LOC101149482,LOC129523521,LOC129527828,LOC129527830,LOC129527454,LOC129527440,LOC129527445,LOC101151529,LOC129527432,LOC129523522,LOC101149126,LOC101128458,LOC115931020,LOC115931021,LOC109023694,LOC101128088,LOC115931038,CES4A,LOC109025051,LOC129527970,LOC115933170,LOC109023877,LOC115933270,LOC115932887,LOC134757612,ABHD17A,RHPN2,GGTLC1,LOC129529219,LOC115931713,LOC129529220,LOC115933219,LOC115932837,LOC129530473,LOC101142904,LOC134757864,LOC129530470,LOC129530498,LOC129530497,LOC129530502,LOC129530496,LOC115932761,LOC129530495,LOC129530571,LOC129530564,LOC129530565,LOC129530567,LOC129530568,LOC129530569,LOC129530492,LOC129530491,LOC129530485,LOC129530486,LOC129530487,LOC129530488,LOC129529381,LOC129529284,LOC129529382,LOC129529383,LOC109024528,LOC129529384,LOC129529286,LOC129529385,LOC129529387,LOC101129069,LOC115933526,LOC115934290,LOC129529391,LOC129529333,LOC129529294,LOC129530558,LOC129530554,LOC129530552,LOC129529646,LOC129529647,LOC129529426,LOC129529427,LOC129529648,LOC129529649,LOC109024802,LOC129529434,LOC101125723,LOC129529639,LOC129529652,LOC129529548,LOC129529430,USP18,LOC134756411,LOC101123878,LOC129529560,LOC129529656,LOC134758233,LOC129529657,DGCR6,PRODH,CCDC188,LOC115931957,DGCR6L,LOC129529660,LOC129529661,ZNF74,LOC129529663,LOC101130998,LOC129529581,LOC129529590,LOC129529588,LOC129529664,LOC129529591,LOC101150852,LOC115931939,LOC134758221,LOC115931912,LOC115931911,LOC101148457,LOC129529600,LOC129529598,GGTLC2,LOC109024617,LOC115931947,LOC109024567,LOC101149491,LOC101126655,GGT1,LOC115932815,LOC129529613,LOC129523490,LOC129529620,LOC129529625,LOC129529615,LOC134758213,LOC134756364,LOC115931970,LOC129529618,LOC134756365,LOC129529612,LOC101135843,LOC129529623,LOC129529621,LOC129529614,LOC101126658,LOC129529624,LOC101129569,LOC115932925,LOC101149759,LOC115931980,LOC115931971,LOC109024570,LOC115931972,LOC115931945,CCNQ,SLC6A8,BCAP31,LOC115932158,LOC129530429,LOC129530296,LOC115934309,LOC129530229,LOC129530378,LOC129530304,LOC129530379,LOC129530380,LOC129530398,LOC129530391,LOC129530382,LOC129530289,LOC129530383,LOC129530384
GFAM1	201	23	1	protein_coding	1	LOC129529247,LOC129529234,LOC129529226,LOC101136353,LOC134758715,LOC134758712,LOC129534588,LOC129534585,LOC129532032,LOC129532042,LOC129534707,WNT3A,LOC115931212,LOC129523520,LOC101128796,LOC129534593,LOC101130728,LOC129532055,LOC134757776,LOC134758744,LOC134756437,LOC134757815,LOC134758754,LOC134758759,LOC129532026,LOC101124648,LOC129529231,LOC115931242,LOC129531982,LOC129531983,LOC129531977,LOC101148643,LOC134756357,LOC129524034,LOC129523993,LOC129523959,LOC134758032,LOC134758556,LOC129532709,LOC134756370,LOC129525066,LOC101132452,LOC129523505,LOC134758144,LOC115933194,LOC129532626,LOC129532627,LOC129532991,LOC129533142,LOC129533288,LOC134756371,LOC129532956,LOC129533126,LOC129533127,LOC129523553,LOC115936299,LOC134758407,LOC115933269,LOC129532807,LOC115933227,LOC129532895,LOC129523511,LOC101149305,LOC134758397,LOC129524138,LOC101144932,LOC129533402,LOC129533569,THOC3,LOC101136188,LOC115934622,LOC101131460,LOC101149650,LOC134758469,LOC129534569,LOC129534570,LOC109025132,LOC134758710,LOC129534177,LOC129534554,LOC115930119,LOC129534555,LOC129534553,LOC129523703,LOC129523704,LOC129523739,LOC115933182,LOC129532624,LOC101148271,LOC129523855,LOC109025131,LOC115930148,LOC129523876,LOC134758922,LOC129534781,LOC129534780,LOC129523687,LOC129523881,LOC129523685,LOC129523684,LOC134756440,LOC101147007,LOC101146296,LOC134758802,LOC129523896,LOC129523817,LOC129523819,LOC129523820,LOC129523934,LOC129528141,LOC129524261,LOC115933023,LOC129524028,LOC134756389,LOC129524105,LOC134759048,LOC129525023,LOC129525067,LOC129532712,LOC129525065,LOC109027802,LOC129525174,LOC129524832,LOC134759270,LOC129529378,LOC129528733,LOC129525411,LOC129525416,LOC115933091,LOC129525556,LOC134756488,LOC129525554,LOC129525576,LOC129525577,LOC129525579,LOC129525641,LOC134756540,LOC134756600,LOC129525684,LOC129525765,LOC129526002,LOC129526003,LOC129531989,FOXD4L1,RABL2A,SLC35F5,LOC129532017,LOC129530539,LOC101142515,LOC134756800,LOC115933239,LOC129531752,LOC101136743,LOC129531748,LOC129523468,LOC134756825,LOC129524260,LOC129533139,LOC129524612,NDUFA8,LOC129526909,LOC129526566,LOC129524833,MAPKBP1,LOC115932637,PLA2G4B,SPTBN5,LOC115930151,LOC134757295,LOC129532980,LOC129527370,LOC129526565,LOC129528382,LOC115931421,LOC129528259,LOC129525442,LOC129527457,LOC115931432,LOC134756358,LOC129527430,LOC129526580,LOC129524036,LOC129527979,DOC2B,LOC129527884,LOC129527885,LOC129527948,LOC129528719,LOC101142376,LOC129528748,LOC129528750,LOC134757770,LOC129528989,LOC129529096,RABL2B,LOC115936298,LOC129530133,LOC101142457,LOC129532896,LOC129529932,LOC129530307
GFAM2	182	19	1	protein_coding	0	LOC129527151,PRAMEF20,PRAMEF17,PRAMEF19,LOC101144999,LOC115933122,LOC129529411,LOC134758527,LOC115933180,LOC115932964,LOC101152310,LOC115932965,LOC129525038,LOC101146902,LOC134758529,LOC129533082,LOC115931091,LOC115930113,LOC101138466,LOC101150863,LOC101144003,LOC115932944,LOC101148340,LOC115932946,LOC101150488,LOC101146552,LOC115933009,LOC129533108,LOC101145725,LOC101148714,LOC115932888,LOC101147979,LOC134758535,LOC115933279,LOC134758536,LOC134759254,LOC115933244,LOC129533091,LOC129533087,HNRNPCL1,LOC101151592,LOC101153753,LOC101144371,PRAMEF12,LOC115933961,LOC134757970,LOC115934341,LOC109028725,LOC129532776,LOC115936312,ALG1L2,LOC101139163,LOC115933946,LOC101125415,LOC115934340,LOC129533220,LOC129533217,LOC129533219,LOC129533215,LOC129533212,LOC129533214,LOC129533206,LOC129533209,LOC129533222,LOC129533225,LOC129533224,LOC129533223,LOC129533221,LOC134758236,LOC129524400,LOC129524399,LOC101143900,LOC115934310,LOC134756435,LOC101130354,LOC109023085,LOC115934976,LOC115936058,LOC129534573,LOC129534111,ASNS,LOC134758964,LOC101133440,LOC101130785,LOC134758981,LOC134759084,LOC134758982,LOC134758983,LOC134758989,LOC134758990,LOC134758991,LOC134759085,LOC134758993,LOC129524393,LOC134758995,LOC129524394,LOC129524397,LOC134758996,LOC129524347,LOC129524346,LOC101126783,LOC134759057,ZNF705D,LOC115935600,DEFB130B,DEFB131A,LOC101133718,LOC129524356,LOC134758998,LOC134758999,LOC129524371,LOC134759000,LOC129524360,LOC134759001,LOC134759002,LOC134759003,LOC129524357,LOC129524362,LOC129524358,LOC129524370,LOC129524369,LOC134759004,LOC129524363,LOC134759005,LOC129524364,LOC129524365,LOC129524368,LOC129524366,LOC129524367,LOC129524361,LOC129524359,LOC129524376,LOC129524373,LOC134759006,LOC129524372,LOC129524355,LOC134759007,LOC101128182,LOC134759008,LOC134759009,LOC129524348,LOC129524349,LOC129524350,LOC129524352,LOC129524353,LOC129524344,LOC129524351,LOC134759010,LOC115932960,LOC101126312,LOC101128260,LOC134759064,LOC129525035,LOC129525034,LOC101139117,LOC101130727,LOC101152938,LOC115936283,LOC109028727,LOC101127524,ZNF705EP,XNDC1N,DEFB108B,LOC129525550,ZNF705A,FAM90A1,LOC134756549,LOC115930184,LOC134756663,LOC129524489,LOC129524559,LOC115930437,LOC129524726,LOC134757181,LOC134757253,LOC129528280,EEF2KMT,LOC129527542,LOC129528948,LOC134757796,LOC129529606,LOC129529611
GFAM3	122	8	1	protein_coding	0	LOC109026716,LOC109028664,LOC101132464,LOC129524935,LOC115936044,LOC134759152,LOC101141990,LOC115933071,LOC101130854,LOC129527569,LOC129527573,LOC129527568,LOC115931102,LOC129527585,LOC129527586,LOC115931069,LOC101134912,LOC115931062,LOC101135276,LOC129527592,LOC129527600,LOC129527613,LOC101125551,XPO6,LOC115931046,LOC115931047,LOC129527618,LOC115932781,LOC134757470,LOC115931110,LOC134757498,SULT1A2,LOC115931109,PDXDC1,LOC129523555,MPV17L,MYH11,LOC129527750,LOC115933079,NPIPB11,LOC129527626,LOC115933349,SULT1A3,LOC115930099,LOC115933350,LOC129527629,LOC101151897,LOC101150079,LOC115932699,LOC101143578,LOC129527339,LOC101141855,LOC129527628,LOC115932701,BFAR,PARN,TNFRSF17,LOC129527636,LOC129527341,LOC109023568,LOC115933144,LOC115932744,LOC101128221,LOC115930161,LOC129527692,LOC129527696,LOC129527695,LOC101147502,LOC115933369,LOC101154433,LOC129527693,LOC115931075,EXOSC6,LOC101134557,LOC115932827,LOC115932828,LOC109023634,LOC101129998,LOC129527720,LOC129527724,LOC129527725,LOC115930163,LOC129527723,LOC129527726,LOC129527721,LOC101127609,EIF5A,LOC129528916,LOC115932641,LOC115930101,LOC129530145,LOC101146761,LOC115933253,LOC101147858,LOC101148206,LOC129530148,IL3RA,LOC129530050,ASMTL,P2RY8,LOC129530054,LOC129530055,DHRSX,ZBED1,CD99,LOC129530145,LOC101146761,LOC115933253,LOC101147858,LOC101148206,LOC129530148,IL3RA,LOC129530050,ASMTL,LOC134757952,P2RY8,LOC129530054,LOC129530055,DHRSX,LOC129530417,ZBED1,CD99
GFAM4	75	10	1	protein_coding	0	LOC101147160,LOC115934005,LOC101154368,LOC115935305,LOC101145482,LOC129525722,LOC101126097,LOC115932953,LOC129525691,GPR89A,LOC115933183,PPIAL4H,LOC129525664,LOC129532935,LOC129525628,LOC129525599,SEC22B,LOC134756922,LOC101125737,LOC134757007,LOC129525646,LOC134756954,LOC134756861,LOC109028615,LOC115934004,LOC101128637,LOC101129940,LOC129525331,LOC129525374,LOC129525330,LOC129523581,LOC129525329,LOC115932777,LOC129532613,LOC129525208,LOC115933235,LOC129525191,LOC109025744,LOC101146213,LOC129525219,LOC115932984,LOC115933775,LOC101135585,LOC129525230,PSMA5,SORT1,LOC134758505,LOC101131274,LOC115930576,CROCC,LOC129533282,LOC115933275,LOC134758588,LOC134757816,LOC115932867,LOC129533340,LOC134756448,LOC134757814,LOC129533277,LOC101140340,LOC101139294,LOC101153588,LOC101147117,LOC101127555,LOC115933479,LOC101144515,LOC101151494,LOC101135138,LOC101127811,LOC101154144,LOC101137179,LOC129526222,TRIP13,BRD9,LOC101152412
GFAM5	74	6	1	protein_coding	0	LOC109026064,LOC101140842,GOLGA2,LOC101138059,LOC109023386,LOC101150678,LOC129527057,LOC101145660,LOC129527068,LOC129527171,LOC129527071,LOC129527072,LOC115930826,LOC101153918,LOC134757232,LOC134757233,LOC115930774,LOC101151050,GOLGA6L7,LOC129527170,LOC115933315,LOC115933515,LOC115930830,LOC129527175,LOC134756434,LOC134757309,LOC129527019,LOC129527017,LOC115930778,LOC134757235,LOC134757307,LOC134757308,LOC129527021,LOC101135389,LOC129527176,LOC115930779,LOC101149363,LOC101131916,LOC129527209,LOC101133389,LOC109023367,LOC115930772,LOC101147924,ISLR2,LOC115930818,LOC109023457,COMMD4,LOC115930789,UBE2Q2,LOC115930844,LOC101142488,LOC109023513,LOC101139171,LOC134757271,ADAMTS7,GOLGA6L10,LOC129526914,WHAMM,LOC115930840,LOC115932861,LOC115933405,LOC101149595,LOC129523549,LOC101149954,LOC101138066,LOC129523543,LOC101127226,LOC101139904,LOC101140620,LIPG,LOC101137572,LOC115931294,LOC134757625,LOC101137218
GFAM6	66	2	1	protein_coding	0	LOC115935376,LOC115935297,UPK3BL1,LOC115933167,LOC101146750,LOC115932795,DBNL,LOC129523857,LOC115933216,LOC115930131,LOC129523466,LOC101127516,LOC115933283,LOC115935416,LOC115933256,LOC115935290,LOC115935261,POM121,NSUN5,TRIM50,LOC129523901,LOC101146186,TRIM73,LOC101131844,POM121C,LOC101132319,LOC101127139,UPK3B,DTX2,LOC109027640,ZP3,LOC115933217,LOC101126771,LOC101143607,LOC101145093,LOC129534743,LOC115935262,LOC115935266,LOC115935268,LOC129534750,LOC109027627,LOC101129811,LOC129534752,LOC115932796,LOC101130894,LOC101136868,LOC101146405,LOC115933185,LOC115933184,LOC101128488,SPDYE3,LOC129523494,LOC115935415,LOC101136273,LOC115935248,LOC101130521,LOC115931292,LOC134757579,LOC134757581,LOC134757578,LOC134757580,LOC134757583,LOC101125919,LOC134757582,LOC115931291,LOC115931293
GFAM7	51	2	1	protein_coding	0	LOC129526109,LOC134756380,LOC129526127,LOC129526209,LOC129526103,LOC134757023,LOC129526156,LOC129526120,LOC129526102,LOC129526203,LOC129526157,LOC129526207,LOC129526131,LOC129526155,LOC129526121,LOC129526113,LOC129526208,LOC129526152,LOC129526104,LOC134757024,LOC129526101,LOC129526210,NTF4,LOC115931555,LOC101123748,LOC101133291,LOC101124600,LOC101154318,LOC129528600,LOC129528601,LOC129528604,LOC129528606,LOC129528608,LOC129528610,LOC129528611,LOC129528613,LOC129528614,LOC129528615,LOC129528616,LOC129528617,LOC129528618,LOC129528620,LOC129528619,LOC129528621,LOC129528622,LOC129528623,LOC129528624,LOC129528625,LOC109024055,SAXO3,LHB
GFAM8	44	1	0	protein_coding	0	LOC115931259,LOC101150816,LOC129527881,LOC134757565,LOC134757613,LOC134757614,LOC134757567,LOC134757616,LOC134757615,LOC134757617,LOC115931231,LOC134757642,LOC115931245,LOC134757618,LOC129528035,LOC134757555,LOC129527910,LOC134757556,LOC129527896,LOC129527899,LOC129527897,LOC129527892,LOC115931232,LOC129527890,LOC129527909,LOC129527912,LOC129527901,LOC134757557,LOC129527898,LOC129527865,LOC129527871,LOC134757558,LOC134757559,LOC134757560,LOC129527874,LOC134757561,LOC134757562,LOC129527866,LOC134757563,LOC129527868,LOC129527887,LOC129527886,LOC115931279,LOC129527888
GFAM9	34	7	1	protein_coding	0	LOC109026167,LOC101125875,LOC109028262,LOC129531487,LOC129531862,LOC101134651,LOC129531486,LOC115935842,LOC115935858,LOC101134109,LOC129524732,ANKRD18A,LOC101141666,IGFBPL1,ALDH1B1,NOL6,ANKRD18B,LOC129524764,LOC115935867,LOC129524687,LOC129524766,LOC101152675,LOC115935773,LOC115935870,LOC101149535,LOC101147259,LOC129524455,LOC134756891,LOC134756977,LOC101137900,LOC101152843,SUGT1,CNN2,LOC115935851
