gene_a	gene_b	dn_a	dn_b	cls	core	aln_frac	aln_len	matches_best	blocklen_best	matches_sum	len_a	len_b	recip_id_best	recip_id_sum
ABCD1	LOC129526391	DN_NC_073236.2_25270756_7	DN_NC_073247.2_165410205_10	TP	0.4426	0.81	1488	1381	1488	1381	1837	3821	0.3614	0.3614
ABCD1	LOC129526471	DN_NC_073236.2_22701854_7	DN_NC_073247.2_165410205_10	TP	0.3255	0.8083	1480	1372	1480	1372	1831	3821	0.3591	0.3591
ABCD1	LOC129531453	DN_NC_073240.2_15970659_7	DN_NC_073247.2_165410205_10	TP	0.3224	0.8056	1479	1363	1479	1363	1836	3821	0.3567	0.3567
ABITRAM	CTNNAL1	DN_NC_073237.2_105179643_6	DN_NC_073237.2_105184979_19	genuine	0.7593	0.7599	2431	2431	2431	2431	3199	5675	0.4284	0.4284
ACP1	ALKAL2	DN_NC_073236.2_139618373_5	DN_NC_073236.2_139624268_6	genuine	0.8616	0.8616	1867	1867	1867	1867	2167	6234	0.2995	0.2995
ACSBG1	IDH3A	DN_NC_073240.2_79048326_11	DN_NC_073240.2_79068535_14	TP	0.5137	0.513	2175	2175	2175	2175	4240	4711	0.4617	0.4617
ACTB	ACTG1	DN_NC_073228.2_10434405_6	DN_NC_073230.2_12962256_6	TP	0.5384	0.5257	1115	1023	1115	1023	2233	2121	0.4581	0.4581
ACTL6A	MRPL47	DN_NC_086017.1_190656695_14	DN_NC_086017.1_190680196_7	genuine	0.4282	0.4274	1069	1069	1069	1069	2501	3571	0.2994	0.2994
ACTN1	ACTN4	DN_NC_073239.2_85769342_21	DN_NC_073244.2_50412691_21	truthbar	0.6757	0.5804	2280	1903	2280	1903	3928	3964	0.4801	0.4801
ADGRF5	LOC109023105	DN_NC_073229.2_64639535_22	DN_NC_073238.2_32078126_7	genuine	0.2208	0.9057	3064	2916	3064	2916	6038	3383	0.4829	0.4829
ADH1B	LOC101136823	DN_NC_073227.2_119617950_9	DN_NC_073227.2_119647764_9	TP	0.3518	0.7835	2768	2442	2768	2442	4603	3533	0.5305	0.5305
ADORA1	CHIT1	DN_NC_073224.2_53524414_11	DN_NC_073224.2_53535059_3	genuine	0.4714	0.471	1063	1063	1063	1063	2257	3924	0.2709	0.2709
AKR1B10	LOC115935241	DN_NC_073230.2_143596666_10	DN_NC_073230.2_143617302_10	TP	0.4206	0.4203	1202	1157	1202	1157	3913	2860	0.2957	0.2957
AKR7A2	LOC115933748	DN_NC_073224.2_220588830_7	DN_NC_073224.2_220611411_7	TP	0.7366	0.7337	1011	929	1011	929	1378	2900	0.3203	0.3203
AKT1	AKT2	DN_NC_073239.2_121772610_13	DN_NC_073244.2_51984253_14	truthbar	0.2018	0.2889	939	785	939	785	4489	3250	0.1749	0.1749
AKTIP	RBL2	DN_NC_073242.2_82507839_22	DN_NC_073242.2_82560306_10	genuine	0.3117	0.3105	1525	1525	1525	1525	4911	6617	0.2305	0.2305
ALDH1B1	LOC115935842	DN_NC_073236.2_32676987_2	DN_NC_073237.2_24562366_2	TP	0.3444	1.001	3081	2969	3081	2969	3100	3078	0.9577	0.9577
ALDH1B1	LOC129524687	DN_NC_073237.2_24562360_2	DN_NC_073237.2_31692944_2	TP	0.8829	1.0	3126	3051	3126	3051	3126	3212	0.9499	0.9499
ALG10	ALG10B	DN_NC_073234.2_62953363_3	DN_NC_073234.2_67151860_3	TP	0.5702	0.9802	4215	4050	4215	4050	5706	4300	0.7098	0.7098
ALG1L1P	LOC101127338	DN_NC_086017.1_134833806_5	DN_NC_086017.1_136815000_6	genuine	0.6561	1.1244	994	840	994	840	884	1008	0.8333	0.8333
AMN1	ETFBKMT	DN_NC_073234.2_69501458_7	DN_NC_073234.2_69557459_4	genuine	0.6472	0.6468	1540	1540	1540	1540	2381	6285	0.2450	0.2450
ANKRD18A	ANKRD18B	DN_NC_073237.2_24387014_11	DN_NC_073237.2_31481917_11	TP	0.2528	0.89	3310	3044	3310	3044	4617	3719	0.6593	0.6593
ANKRD18A	LOC101142783	DN_NC_073237.2_24387014_11	DN_NC_073237.2_29418618_13	TP	0.3383	0.909	4197	4142	4197	4142	4617	4927	0.8407	0.8407
ANKRD18A	LOC115933254	DN_NC_073236.2_32935295_3	DN_NC_073237.2_24387014_11	TP	0.217	0.5114	2361	2278	2361	2278	7097	4617	0.3210	0.3210
ANKRD18B	LOC101142783	DN_NC_073237.2_29418618_13	DN_NC_073237.2_31481917_11	TP	0.5768	0.6244	2322	2249	2322	2249	4927	3719	0.4565	0.4565
ANKRD18B	LOC101147259	DN_NC_073237.2_31481917_11	DN_NC_073237.2_93516915_6	TP	0.2605	0.5576	1916	1784	1916	1784	3719	3436	0.4797	0.4797
ANKRD18B	LOC115933254	DN_NC_073236.2_32866582_11	DN_NC_073237.2_31481917_11	TP	0.5644	0.9919	3689	3431	3689	3431	6125	3719	0.5602	0.5602
ANKRD36C	LOC101125154	DN_NC_073236.2_33699714_3	DN_NC_073236.2_35163364_4	truthbar	0.1925	0.8081	2804	2686	2804	2686	3781	3470	0.7104	0.7104
ANKRD36C	LOC109025523	DN_NC_073236.2_33791336_41	DN_NC_073236.2_35320202_37	TP	0.5033	0.5014	1586	1503	1586	1503	3282	3163	0.4580	0.4580
ANKRD6	LYRM2	DN_NC_073229.2_113642543_16	DN_NC_073229.2_113787300_3	genuine	0.6194	0.6194	3402	3402	3402	3402	5492	9322	0.3649	0.3649
APOBEC3C	APOBEC3D	DN_NC_086018.1_36987543_6	DN_NC_086018.1_37016890_4	genuine	0.2709	0.308	855	751	855	751	3110	2776	0.2415	0.2415
