gene_a	gene_b	in_dna_loose	cls	core_recip	aln_frac	fold	residual	up_aln_frac	up_id	down_aln_frac	down_id	max_flank_aln_frac	min_flank_aln_frac	mean_flank_aln_frac	best_flank_id
ABCA10	ABCA8	0	truthbar	0.1809	0.0000	3	0	NA	NA	NA	NA	NA	NA	NA	NA
ABCA10	ABCA9	0	truthbar	0.3553	0.0000	3	0	NA	NA	NA	NA	NA	NA	NA	NA
ABCA13	ITSN1	0	genuine	0.1409	0.1400	1	0	NA	NA	NA	NA	NA	NA	NA	NA
ABCA13	LOC101150644	0	genuine	0.1360	0.0000	1	0	NA	NA	NA	NA	NA	NA	NA	NA
ABCA13	LOC129532904	0	genuine	0.1346	0.0000	1	0	NA	NA	NA	NA	NA	NA	NA	NA
ABCA8	ABCA9	0	truthbar	0.4182	0.1727	3	0	NA	NA	NA	NA	NA	NA	NA	NA
ABCD1	LOC129526391	1	TP	0.4426	0.8100	2	0	NA	NA	0.295500	0.944056	0.295500	0.295500	0.295500	0.944056
ABCD1	LOC129526471	1	TP	0.3255	0.8083	2	0	NA	NA	0.299500	0.949301	0.299500	0.299500	0.299500	0.949301
ABCD1	LOC129531453	1	TP	0.3224	0.8056	2	0	NA	NA	0.299500	0.947552	0.299500	0.299500	0.299500	0.947552
ABITRAM	CTNNAL1	0	genuine	0.7593	0.7599	3	0	NA	NA	NA	NA	NA	NA	NA	NA
ACADL	C3H4orf36	0	genuine	0.2241	0.0000	0	0	NA	NA	NA	NA	NA	NA	NA	NA
ACADL	SPC25	0	genuine	0.1610	0.0000	0	0	NA	NA	NA	NA	NA	NA	NA	NA
ACAT2	TCP1	0	genuine	0.1573	0.1576	1	0	NA	NA	NA	NA	NA	NA	NA	NA
ACO2	POLR3H	0	genuine	0.2132	0.0000	3	0	NA	NA	NA	NA	NA	NA	NA	NA
ACOT6	CDKN2AIPNL	0	genuine	0.1320	0.0000	3	0	NA	NA	NA	NA	NA	NA	NA	NA
ACOT9	LOC129525165	0	genuine	0.1880	0.0000	3	0	NA	NA	NA	NA	NA	NA	NA	NA
ACP1	ALKAL2	0	genuine	0.8616	0.8616	3	0	NA	NA	NA	NA	NA	NA	NA	NA
ACSBG1	IDH3A	1	TP	0.5137	0.5130	4	0	NA	NA	NA	NA	NA	NA	NA	NA
ACSL3	ACSL4	0	truthbar	0.1790	0.0000	1	0	NA	NA	NA	NA	NA	NA	NA	NA
ACSM1	LOC129528956	0	genuine	0.1515	0.9663	1	0	NA	NA	NA	NA	NA	NA	NA	NA
ACTA2	ACTB	0	truthbar	0.6390	0.0000	1	0	NA	NA	NA	NA	NA	NA	NA	NA
ACTA2	ACTG1	0	truthbar	0.6350	0.0000	1	0	NA	NA	NA	NA	NA	NA	NA	NA
ACTB	ACTG1	1	TP	0.5384	0.5257	1	0	NA	NA	NA	NA	NA	NA	NA	NA
ACTL6A	MRPL47	0	genuine	0.4282	0.4274	1	0	NA	NA	NA	NA	NA	NA	NA	NA
ACTN1	ACTN3	0	truthbar	0.3588	0.0000	1	0	NA	NA	NA	NA	NA	NA	NA	NA
ACTN1	ACTN4	0	truthbar	0.6757	0.5804	1	0	NA	NA	NA	NA	NA	NA	NA	NA
ACTN3	ACTN4	0	truthbar	0.7921	0.0000	1	0	NA	NA	NA	NA	NA	NA	NA	NA
ADA	PKIG	0	genuine	0.2136	0.2136	3	0	NA	NA	NA	NA	NA	NA	NA	NA
ADAM29	LOC101154164	0	truthbar	0.3251	0.0000	1	0	NA	NA	NA	NA	NA	NA	NA	NA
ADAT1	LOC109026802	0	genuine	0.2491	0.0000	3	0	NA	NA	NA	NA	NA	NA	NA	NA
ADGRF5	LOC109023105	0	genuine	0.2208	0.9057	1	0	NA	NA	0.911500	0.913846	0.911500	0.911500	0.911500	0.913846
ADH1B	LOC101136823	1	TP	0.3518	0.7835	0	0	NA	NA	NA	NA	NA	NA	NA	NA
ADORA1	CHIT1	0	genuine	0.4714	0.4710	1	0	NA	NA	NA	NA	NA	NA	NA	NA
AFG3L2	TUBB6	0	genuine	0.2395	0.2391	3	0	NA	NA	NA	NA	NA	NA	NA	NA
AK6	TAF9B	0	genuine	0.3182	0.0000	3	0	NA	NA	NA	NA	NA	NA	NA	NA
AKR1B10	LOC115935241	1	TP	0.4206	0.4203	3	0	NA	NA	NA	NA	NA	NA	NA	NA
AKR7A2	LOC115933748	1	TP	0.7366	0.7337	3	0	NA	NA	NA	NA	NA	NA	NA	NA
AKT1	AKT2	0	truthbar	0.2018	0.2889	3	0	NA	NA	NA	NA	NA	NA	NA	NA
AKTIP	RBL2	0	genuine	0.3117	0.3105	1	0	NA	NA	NA	NA	NA	NA	NA	NA
ALB	AVEN	0	genuine	0.1543	0.0000	3	0	NA	NA	NA	NA	NA	NA	NA	NA
ALDH1B1	ALDH2	0	truthbar	0.4238	0.0000	4	0	NA	NA	NA	NA	NA	NA	NA	NA
ALDH1B1	LOC115935842	1	TP	0.3444	1.0010	4	0	0.969500	0.985682	0.254500	0.977413	0.969500	0.254500	0.612000	0.985682
ALDH1B1	LOC129524687	1	TP	0.8829	1.0000	4	0	0.949500	0.992262	0.254500	0.979466	0.949500	0.254500	0.602000	0.992262
ALDH1L1	ALDH1L2	0	truthbar	0.5237	0.0000	1	0	NA	NA	NA	NA	NA	NA	NA	NA
ALDH2	LOC129524687	0	truthbar	0.2743	0.0000	4	0	NA	NA	NA	NA	NA	NA	NA	NA
ALG1	LOC101139163	0	genuine	0.1538	0.4459	0	0	NA	NA	NA	NA	NA	NA	NA	NA
ALG1	LOC101152938	0	genuine	0.1724	0.4199	0	0	NA	NA	NA	NA	NA	NA	NA	NA
ALG10	ALG10B	1	TP	0.5702	0.9802	3	0	0.951000	0.958438	NA	NA	0.951000	0.951000	0.951000	0.958438
ALG1L1P	LOC101127338	0	genuine	0.6561	1.1244	3	0	0.397500	0.951389	0.828500	0.954442	0.828500	0.397500	0.613000	0.954442
AMN1	ETFBKMT	0	genuine	0.6472	0.6468	3	0	NA	NA	NA	NA	NA	NA	NA	NA
AMPD2	AMPD3	0	truthbar	0.1647	0.0000	3	0	NA	NA	NA	NA	NA	NA	NA	NA
AMY2A	ZNF888	0	genuine	0.1698	0.0000	4	0	NA	NA	NA	NA	NA	NA	NA	NA
AMZ2	LOC101129405	0	genuine	0.1651	0.7199	3	0	NA	NA	NA	NA	NA	NA	NA	NA
ANKRD18A	ANKRD18B	1	TP	0.2528	0.8900	4	0	NA	NA	0.702500	0.989556	0.702500	0.702500	0.702500	0.989556
ANKRD18A	LOC101142783	1	TP	0.3383	0.9090	4	0	0.118000	1.000000	NA	NA	0.118000	0.118000	0.118000	1.000000
ANKRD18A	LOC115933254	1	TP	0.2170	0.5114	4	1	0.342000	0.988550	NA	NA	0.342000	0.342000	0.342000	0.988550
ANKRD18B	LOC101142783	1	TP	0.5768	0.6244	4	0	NA	NA	NA	NA	NA	NA	NA	NA
ANKRD18B	LOC101147259	1	TP	0.2605	0.5576	4	0	NA	NA	0.454500	0.953020	0.454500	0.454500	0.454500	0.953020
ANKRD18B	LOC115933254	1	TP	0.5644	0.9919	4	1	NA	NA	0.454500	0.981842	0.454500	0.454500	0.454500	0.981842
ANKRD36C	LOC101125154	0	truthbar	0.1925	0.8081	1	0	NA	NA	0.310000	0.984848	0.310000	0.310000	0.310000	0.984848
ANKRD36C	LOC109025523	1	TP	0.5033	0.5014	1	0	0.675000	0.960036	NA	NA	0.675000	0.675000	0.675000	0.960036
ANKRD37	UFSP2	0	genuine	0.2174	0.2174	1	0	NA	NA	NA	NA	NA	NA	NA	NA
ANKRD6	LYRM2	0	genuine	0.6194	0.6194	3	0	NA	NA	NA	NA	NA	NA	NA	NA
ANKRD62	LOC109025523	0	genuine	0.2212	0.0000	1	0	NA	NA	NA	NA	NA	NA	NA	NA
ANO1	ANO2	0	truthbar	0.2128	0.0000	4	0	NA	NA	NA	NA	NA	NA	NA	NA
ANO1	PRKAR2A	0	genuine	0.1371	0.0000	4	0	NA	NA	NA	NA	NA	NA	NA	NA
AP1B1	AP2B1	0	truthbar	0.4286	0.0000	3	0	NA	NA	NA	NA	NA	NA	NA	NA
AP1M1	AP1M2	0	truthbar	0.3873	0.0000	3	0	NA	NA	NA	NA	NA	NA	NA	NA
AP1S2	BDP1	0	genuine	0.2271	0.2262	3	0	NA	NA	NA	NA	NA	NA	NA	NA
AP2A1	AP2A2	0	truthbar	0.2691	0.0000	1	0	NA	NA	NA	NA	NA	NA	NA	NA
APBA2	APBA3	0	truthbar	0.1630	0.0000	3	0	NA	NA	NA	NA	NA	NA	NA	NA
APOBEC3C	APOBEC3D	0	genuine	0.2709	0.3080	4	0	NA	NA	NA	NA	NA	NA	NA	NA
APOBEC3C	APOBEC3F	0	genuine	0.3030	0.6780	4	0	NA	NA	NA	NA	NA	NA	NA	NA
APOBEC3D	APOBEC3F	1	TP	0.3807	0.9775	4	0	NA	NA	NA	NA	NA	NA	NA	NA
APOL2	APOL3	0	truthbar	0.3708	0.3042	1	0	NA	NA	NA	NA	NA	NA	NA	NA
APOL3	APOL4	0	truthbar	0.2863	0.4186	1	0	NA	NA	0.556000	0.895509	0.556000	0.556000	0.556000	0.895509
APOL4	LOC129527096	0	genuine	0.2801	0.7764	1	0	NA	NA	NA	NA	NA	NA	NA	NA
ARFGEF1	ARFGEF2	0	truthbar	0.2362	0.0000	1	0	NA	NA	NA	NA	NA	NA	NA	NA
ARHGEF39	CCDC107	0	genuine	0.4694	0.4705	1	0	NA	NA	NA	NA	NA	NA	NA	NA
ARHGEF4	SPATA13	0	genuine	0.2424	0.0000	3	0	NA	NA	NA	NA	NA	NA	NA	NA
ARID1A	ARID1B	0	truthbar	0.2719	0.0000	1	0	NA	NA	NA	NA	NA	NA	NA	NA
ARL17A	LOC101135168	0	genuine	0.5577	0.5577	3	0	NA	NA	NA	NA	NA	NA	NA	NA
ARL17A	LOC115934626	0	genuine	0.4194	0.6153	3	0	NA	NA	NA	NA	NA	NA	NA	NA
ARRB1	ARRB2	0	truthbar	0.5264	0.0000	1	0	NA	NA	NA	NA	NA	NA	NA	NA
ASB6	NTMT1	1	TP	0.7080	0.7066	2	0	NA	NA	NA	NA	NA	NA	NA	NA
ASNS	LOC129531864	0	genuine	0.2269	0.2159	3	0	NA	NA	NA	NA	NA	NA	NA	NA
ATP12A	ATP1A2	0	truthbar	0.2964	0.0000	1	0	NA	NA	NA	NA	NA	NA	NA	NA
ATP12A	ATP1A3	0	truthbar	0.5263	0.0000	1	0	NA	NA	NA	NA	NA	NA	NA	NA
ATP1A1	ATP1A2	0	truthbar	0.5176	0.0000	1	0	NA	NA	NA	NA	NA	NA	NA	NA
ATP1A1	ATP1A3	0	truthbar	0.8895	0.0000	1	0	NA	NA	NA	NA	NA	NA	NA	NA
ATP1A2	ATP1A3	0	truthbar	0.4359	0.7730	1	0	NA	NA	NA	NA	NA	NA	NA	NA
ATP2A1	ATP2A2	0	truthbar	0.4375	0.0000	3	0	NA	NA	NA	NA	NA	NA	NA	NA
ATP2B3	ATP2B4	0	truthbar	0.3204	0.0000	3	0	NA	NA	NA	NA	NA	NA	NA	NA
ATP5ME	PDE6B	0	genuine	0.2016	0.3748	1	0	NA	NA	NA	NA	NA	NA	NA	NA
ATP6V0A2	TCIRG1	0	truthbar	0.1467	0.0000	1	0	NA	NA	NA	NA	NA	NA	NA	NA
ATP6V1C2	PDIA6	1	TP	0.3828	0.3800	4	0	NA	NA	NA	NA	NA	NA	NA	NA
ATP9A	ATP9B	0	truthbar	0.3714	0.0000	3	0	NA	NA	NA	NA	NA	NA	NA	NA
ATPSCKMT	LOC101133249	0	genuine	0.1790	0.7193	3	0	NA	NA	NA	NA	NA	NA	NA	NA
AUNIP	MTFR1L	0	genuine	0.7245	0.7245	1	0	NA	NA	NA	NA	NA	NA	NA	NA
B3GAT2	SMAP1	0	genuine	0.4622	0.5285	3	0	NA	NA	NA	NA	NA	NA	NA	NA
B3GNTL1	TBCD	0	genuine	0.5383	0.5360	1	0	NA	NA	NA	NA	NA	NA	NA	NA
BBIP1	PDCD4	0	genuine	0.6716	0.6716	1	0	NA	NA	NA	NA	NA	NA	NA	NA
BCR	LOC101132434	1	TP	0.3002	0.6622	0	0	NA	NA	0.673000	0.968954	0.673000	0.673000	0.673000	0.968954
BCR	LOC101135843	1	TP	0.2560	0.5649	0	0	NA	NA	0.670500	0.970209	0.670500	0.670500	0.670500	0.970209
BCR	LOC115932815	1	TP	0.2679	0.5461	0	0	NA	NA	0.670500	0.972625	0.670500	0.670500	0.670500	0.972625
BEX1	BEX2	0	truthbar	0.3416	0.6782	1	0	NA	NA	NA	NA	NA	NA	NA	NA
