case	locus_id	path	path_status
NBPF_repeat_bridge	L~chr12_110591816_110607946	RB~NBPF_repeat_bridge~0:RNA@858,RB~NBPF_repeat_bridge~1:RNA@858,RB~NBPF_repeat_bridge~3:RNA@858,RB~NBPF_repeat_bridge~4:RNA@858,RB~NBPF_repeat_bridge~5:RNA@860,RB~NBPF_repeat_bridge~2:RNA@861	PAIRWISE_WITNESSES_NOT_YET_CONSOLIDATED
NBPF_repeat_bridge	L~chr14_18170236_18190010	RB~NBPF_repeat_bridge~11:RNA@430,RB~NBPF_repeat_bridge~8:RNA@430,RB~NBPF_repeat_bridge~6:RNA@432,RB~NBPF_repeat_bridge~9:RNA@460,RB~NBPF_repeat_bridge~10:RNA@617,RB~NBPF_repeat_bridge~0:RNA@820,RB~NBPF_repeat_bridge~7:RNA@823,DB~NBPF_repeat_bridge~4:DNA@8992,DB~NBPF_repeat_bridge~3:DNA@17944	PAIRWISE_WITNESSES_NOT_YET_CONSOLIDATED
NBPF_repeat_bridge	L~chr14_31943082_31948334	DB~NBPF_repeat_bridge~4:DNA@719,DB~NBPF_repeat_bridge~11:DNA@732,DB~NBPF_repeat_bridge~1:DNA@1132,DB~NBPF_repeat_bridge~13:DNA@1235,RB~NBPF_repeat_bridge~12:RNA@1235,DB~NBPF_repeat_bridge~8:DNA@1478,DB~NBPF_repeat_bridge~9:DNA@1835	PAIRWISE_WITNESSES_NOT_YET_CONSOLIDATED
NBPF_repeat_bridge	L~chr15_40664879_40672646	RB~NBPF_repeat_bridge~21:RNA@3225,RB~NBPF_repeat_bridge~19:RNA@5175,RB~NBPF_repeat_bridge~16:RNA@5449	PAIRWISE_WITNESSES_NOT_YET_CONSOLIDATED
NBPF_repeat_bridge	L~chr15_46535297_46542401	DB~NBPF_repeat_bridge~5:DNA@4302,RB~NBPF_repeat_bridge~10:RNA@4302,RB~NBPF_repeat_bridge~25:RNA@4302,RB~NBPF_repeat_bridge~4:RNA@4427	PAIRWISE_WITNESSES_NOT_YET_CONSOLIDATED
NBPF_repeat_bridge	L~chr18_79318414_79365251	RB~NBPF_repeat_bridge~13:RNA@693,RB~NBPF_repeat_bridge~14:RNA@693,RB~NBPF_repeat_bridge~15:RNA@699,RB~NBPF_repeat_bridge~16:RNA@750,DB~NBPF_repeat_bridge~6:DNA@9583	PAIRWISE_WITNESSES_NOT_YET_CONSOLIDATED
NBPF_repeat_bridge	L~chr1_108256107_108352036	DB~NBPF_repeat_bridge~1:DNA@15642,DB~NBPF_repeat_bridge~0:DNA@30889	PAIRWISE_WITNESSES_NOT_YET_CONSOLIDATED
NBPF_repeat_bridge	L~chr1_224377066_224384199	RB~NBPF_repeat_bridge~18:RNA@4937,RB~NBPF_repeat_bridge~22:RNA@4937,RB~NBPF_repeat_bridge~15:RNA@5126,DB~NBPF_repeat_bridge~2:DNA@5580,RB~NBPF_repeat_bridge~24:RNA@5580,RB~NBPF_repeat_bridge~9:RNA@5580	PAIRWISE_WITNESSES_NOT_YET_CONSOLIDATED
NBPF_repeat_bridge	L~chr20_5512078_5518490	RB~NBPF_repeat_bridge~2:RNA@2678,RB~NBPF_repeat_bridge~7:RNA@2678	PAIRWISE_WITNESSES_NOT_YET_CONSOLIDATED
NBPF_repeat_bridge	L~chr20_5535248_5544066	.	NO_SELECTED_PAIRWISE_WITNESS
NBPF_repeat_bridge	L~chr2_110773830_110806970	RB~NBPF_repeat_bridge~17:RNA@183,RB~NBPF_repeat_bridge~19:RNA@479,RB~NBPF_repeat_bridge~18:RNA@513,RB~NBPF_repeat_bridge~13:RNA@696,RB~NBPF_repeat_bridge~20:RNA@1162,RB~NBPF_repeat_bridge~6:RNA@1162,RB~NBPF_repeat_bridge~1:RNA@1475,DB~NBPF_repeat_bridge~8:DNA@16874,DB~NBPF_repeat_bridge~7:DNA@31642	PAIRWISE_WITNESSES_NOT_YET_CONSOLIDATED
NBPF_repeat_bridge	L~chr5_86491157_86514189	RB~NBPF_repeat_bridge~21:RNA@340,DB~NBPF_repeat_bridge~9:DNA@20357	PAIRWISE_WITNESSES_NOT_YET_CONSOLIDATED
NBPF_repeat_bridge	L~chr6_143315899_143338050	DB~NBPF_repeat_bridge~13:DNA@5,RB~NBPF_repeat_bridge~12:RNA@5,DB~NBPF_repeat_bridge~12:DNA@11801	PAIRWISE_WITNESSES_NOT_YET_CONSOLIDATED
NBPF_repeat_bridge	L~chr7_54952741_54954933	DB~NBPF_repeat_bridge~10:DNA@85,DB~NBPF_repeat_bridge~11:DNA@85,DB~NBPF_repeat_bridge~3:DNA@85,DB~NBPF_repeat_bridge~6:DNA@85,RB~NBPF_repeat_bridge~23:RNA@85,RB~NBPF_repeat_bridge~11:RNA@86,DB~NBPF_repeat_bridge~12:DNA@88,DB~NBPF_repeat_bridge~7:DNA@88,RB~NBPF_repeat_bridge~20:RNA@88,DB~NBPF_repeat_bridge~2:DNA@118,RB~NBPF_repeat_bridge~24:RNA@118,DB~NBPF_repeat_bridge~5:DNA@278,RB~NBPF_repeat_bridge~25:RNA@278,DB~NBPF_repeat_bridge~0:DNA@308,RB~NBPF_repeat_bridge~5:RNA@401	PAIRWISE_WITNESSES_NOT_YET_CONSOLIDATED
NBPF_repeat_bridge	L~chr8_82275840_82283845	RB~NBPF_repeat_bridge~17:RNA@926,RB~NBPF_repeat_bridge~22:RNA@1257,RB~NBPF_repeat_bridge~14:RNA@1439,RB~NBPF_repeat_bridge~23:RNA@1903,RB~NBPF_repeat_bridge~8:RNA@1904,RB~NBPF_repeat_bridge~3:RNA@2219,DB~NBPF_repeat_bridge~10:DNA@6512	PAIRWISE_WITNESSES_NOT_YET_CONSOLIDATED
