case	entity_id	entity_type	chrom	start	end	strand	fresh_family	fresh_copy	annotation	disposition	membership_role	coordinate_space
GOLGA6_8	L~chr15_18484393_18487719	LOCUS	chr15	18484393	18487719	+	GWFAM16	0	.	KEEP_RNA_CANDIDATE	CANDIDATE_MEMBER	genome
GOLGA6_8	L~chr15_20096768_20102630	LOCUS	chr15	20096768	20102630	-	GWFAM16	1	.	KEEP_RNA_CANDIDATE	CANDIDATE_MEMBER	genome
GOLGA6_8	L~chr15_20279485_20289994	LOCUS	chr15	20279485	20289994	-	GWFAM16	2	.	KEEP_RNA_CANDIDATE	CANDIDATE_MEMBER	genome
GOLGA6_8	L~chr15_20841196_20854572	LOCUS	chr15	20841196	20854572	+	GWFAM16	3	.	KEEP_RNA_CANDIDATE	CANDIDATE_MEMBER	genome
GOLGA6_8	L~chr15_20972619_20985986	LOCUS	chr15	20972619	20985986	-	GWFAM16	4	LOC124907502	KEEP_RNA_CANDIDATE	CANDIDATE_MEMBER	genome
GOLGA6_8	L~chr15_21175968_21180517	LOCUS	chr15	21175968	21180517	-	GWFAM16	5	GOLGA6L2	KEEP_KNOWN	FAMILY_MEMBER	genome
GOLGA6_8	L~chr15_26121347_26134747	LOCUS	chr15	26121347	26134747	+	GWFAM16	6	GOLGA8F	KEEP_KNOWN	FAMILY_MEMBER	genome
GOLGA6_8	L~chr15_26296281_26309739	LOCUS	chr15	26296281	26309739	-	GWFAM16	7	GOLGA8G	KEEP_KNOWN	FAMILY_MEMBER	genome
GOLGA6_8	L~chr15_27926395_27929106	LOCUS	chr15	27926395	27929106	+	GWFAM16	8	GOLGA8T	KEEP_KNOWN	FAMILY_MEMBER	genome
GOLGA6_8	L~chr15_30241447_30252178	LOCUS	chr15	30241447	30252178	-	GWFAM16	9	GOLGA8O	KEEP_KNOWN	FAMILY_MEMBER	genome
GOLGA6_8	L~chr15_32184800_32193680	LOCUS	chr15	32184800	32193680	-	GWFAM16	10	GOLGA8A	KEEP_KNOWN	FAMILY_MEMBER	genome
GOLGA6_8	L~chr15_32330973_32333374	LOCUS	chr15	32330973	32333374	+	GWFAM17	4	GOLGA8B	KEEP_KNOWN	FAMILY_MEMBER	genome
GOLGA6_8	L~chr15_73646286_73657758	LOCUS	chr15	73646286	73657758	+	GWFAM16	12	.	KEEP_RNA_CANDIDATE	CANDIDATE_MEMBER	genome
GOLGA6_8	L~chr15_80204134_80213595	LOCUS	chr15	80204134	80213595	-	GWFAM16	13	GOLGA6L10	KEEP_KNOWN	FAMILY_MEMBER	genome
GOLGA6_8	L~chr15_80293456_80303275	LOCUS	chr15	80293456	80303275	+	GWFAM16	14	GOLGA6L9	KEEP_KNOWN	FAMILY_MEMBER	genome
GOLGA6_8	L~chr15_82101756_82111482	LOCUS	chr15	82101756	82111482	+	GWFAM16	16	GOLGA6L4	KEEP_KNOWN	FAMILY_MEMBER	genome
GOLGA6_8	L~chr15_82259345_82265184	LOCUS	chr15	82259345	82265184	-	GWFAM16	17	.	KEEP_RNA_CANDIDATE	CANDIDATE_MEMBER	genome
GOLGA6_8	L~chr5_7237265_7244593	LOCUS	chr5	7237265	7244593	-	GWFAM18	1	.	KEEP_RNA_CANDIDATE	CANDIDATE_MEMBER	genome
GOLGA6_8	L~chr9_140463642_140483173	LOCUS	chr9	140463642	140483173	-	GWFAM16	18	GOLGA2,SWI5	REVIEW_RELATED_OUTGROUP	CONTEXT_OUTGROUP	genome
GOLGA6_8	RB~GOLGA6_8~0	BLOCK	.	0	3665	+	.	.	.	RNA_BLOCK	EVIDENCE_WITNESS	exon_sum_pairwise_witness
GOLGA6_8	RB~GOLGA6_8~1	BLOCK	.	0	3664	+	.	.	.	RNA_BLOCK	EVIDENCE_WITNESS	exon_sum_pairwise_witness
GOLGA6_8	RB~GOLGA6_8~2	BLOCK	.	0	3671	+	.	.	.	RNA_BLOCK	EVIDENCE_WITNESS	exon_sum_pairwise_witness
GOLGA6_8	RB~GOLGA6_8~3	BLOCK	.	0	3671	+	.	.	.	RNA_BLOCK	EVIDENCE_WITNESS	exon_sum_pairwise_witness
GOLGA6_8	RB~GOLGA6_8~4	BLOCK	.	0	2557	+	.	.	.	RNA_BLOCK	EVIDENCE_WITNESS	exon_sum_pairwise_witness
GOLGA6_8	RB~GOLGA6_8~5	BLOCK	.	0	2886	+	.	.	.	RNA_BLOCK	EVIDENCE_WITNESS	exon_sum_pairwise_witness
GOLGA6_8	RB~GOLGA6_8~6	BLOCK	.	0	2853	+	.	.	.	RNA_BLOCK	EVIDENCE_WITNESS	exon_sum_pairwise_witness
GOLGA6_8	RB~GOLGA6_8~7	BLOCK	.	0	3130	+	.	.	.	RNA_BLOCK	EVIDENCE_WITNESS	exon_sum_pairwise_witness
GOLGA6_8	RB~GOLGA6_8~8	BLOCK	.	0	3130	+	.	.	.	RNA_BLOCK	EVIDENCE_WITNESS	exon_sum_pairwise_witness
GOLGA6_8	RB~GOLGA6_8~9	BLOCK	.	0	3147	+	.	.	.	RNA_BLOCK	EVIDENCE_WITNESS	exon_sum_pairwise_witness
GOLGA6_8	RB~GOLGA6_8~10	BLOCK	.	0	2319	+	.	.	.	RNA_BLOCK	EVIDENCE_WITNESS	exon_sum_pairwise_witness
GOLGA6_8	RB~GOLGA6_8~11	BLOCK	.	0	2319	+	.	.	.	RNA_BLOCK	EVIDENCE_WITNESS	exon_sum_pairwise_witness
GOLGA6_8	RB~GOLGA6_8~12	BLOCK	.	0	2319	+	.	.	.	RNA_BLOCK	EVIDENCE_WITNESS	exon_sum_pairwise_witness
GOLGA6_8	RB~GOLGA6_8~13	BLOCK	.	0	2319	+	.	.	.	RNA_BLOCK	EVIDENCE_WITNESS	exon_sum_pairwise_witness
GOLGA6_8	RB~GOLGA6_8~14	BLOCK	.	0	2168	+	.	.	.	RNA_BLOCK	EVIDENCE_WITNESS	exon_sum_pairwise_witness
GOLGA6_8	RB~GOLGA6_8~15	BLOCK	.	0	1648	+	.	.	.	RNA_BLOCK	EVIDENCE_WITNESS	exon_sum_pairwise_witness
GOLGA6_8	RB~GOLGA6_8~16	BLOCK	.	0	1793	+	.	.	.	RNA_BLOCK	EVIDENCE_WITNESS	exon_sum_pairwise_witness
GOLGA6_8	RB~GOLGA6_8~17	BLOCK	.	0	5267	+	.	.	.	RNA_BLOCK	EVIDENCE_WITNESS	exon_sum_pairwise_witness
GOLGA6_8	RB~GOLGA6_8~18	BLOCK	.	0	5268	+	.	.	.	RNA_BLOCK	EVIDENCE_WITNESS	exon_sum_pairwise_witness
GOLGA6_8	RB~GOLGA6_8~19	BLOCK	.	0	5268	+	.	.	.	RNA_BLOCK	EVIDENCE_WITNESS	exon_sum_pairwise_witness
GOLGA6_8	RB~GOLGA6_8~20	BLOCK	.	0	2198	+	.	.	.	RNA_BLOCK	EVIDENCE_WITNESS	exon_sum_pairwise_witness
GOLGA6_8	RB~GOLGA6_8~21	BLOCK	.	0	3522	+	.	.	.	RNA_BLOCK	EVIDENCE_WITNESS	exon_sum_pairwise_witness
GOLGA6_8	RB~GOLGA6_8~22	BLOCK	.	0	1519	+	.	.	.	RNA_BLOCK	EVIDENCE_WITNESS	exon_sum_pairwise_witness
GOLGA6_8	RB~GOLGA6_8~23	BLOCK	.	0	2813	+	.	.	.	RNA_BLOCK	EVIDENCE_WITNESS	exon_sum_pairwise_witness
GOLGA6_8	RB~GOLGA6_8~24	BLOCK	.	0	3660	+	.	.	.	RNA_BLOCK	EVIDENCE_WITNESS	exon_sum_pairwise_witness
GOLGA6_8	RB~GOLGA6_8~25	BLOCK	.	0	2811	+	.	.	.	RNA_BLOCK	EVIDENCE_WITNESS	exon_sum_pairwise_witness
GOLGA6_8	RB~GOLGA6_8~26	BLOCK	.	0	3122	+	.	.	.	RNA_BLOCK	EVIDENCE_WITNESS	exon_sum_pairwise_witness
GOLGA6_8	RB~GOLGA6_8~27	BLOCK	.	0	2255	+	.	.	.	RNA_BLOCK	EVIDENCE_WITNESS	exon_sum_pairwise_witness
GOLGA6_8	RB~GOLGA6_8~28	BLOCK	.	0	3141	+	.	.	.	RNA_BLOCK	EVIDENCE_WITNESS	exon_sum_pairwise_witness
GOLGA6_8	RB~GOLGA6_8~29	BLOCK	.	0	5267	+	.	.	.	RNA_BLOCK	EVIDENCE_WITNESS	exon_sum_pairwise_witness
GOLGA6_8	RB~GOLGA6_8~30	BLOCK	.	0	5267	+	.	.	.	RNA_BLOCK	EVIDENCE_WITNESS	exon_sum_pairwise_witness
GOLGA6_8	RB~GOLGA6_8~31	BLOCK	.	0	2198	+	.	.	.	RNA_BLOCK	EVIDENCE_WITNESS	exon_sum_pairwise_witness
GOLGA6_8	RB~GOLGA6_8~32	BLOCK	.	0	3522	+	.	.	.	RNA_BLOCK	EVIDENCE_WITNESS	exon_sum_pairwise_witness
GOLGA6_8	RB~GOLGA6_8~33	BLOCK	.	0	1519	+	.	.	.	RNA_BLOCK	EVIDENCE_WITNESS	exon_sum_pairwise_witness
GOLGA6_8	RB~GOLGA6_8~34	BLOCK	.	0	2813	+	.	.	.	RNA_BLOCK	EVIDENCE_WITNESS	exon_sum_pairwise_witness
GOLGA6_8	RB~GOLGA6_8~35	BLOCK	.	0	3660	+	.	.	.	RNA_BLOCK	EVIDENCE_WITNESS	exon_sum_pairwise_witness
GOLGA6_8	RB~GOLGA6_8~36	BLOCK	.	0	2811	+	.	.	.	RNA_BLOCK	EVIDENCE_WITNESS	exon_sum_pairwise_witness
GOLGA6_8	RB~GOLGA6_8~37	BLOCK	.	0	3122	+	.	.	.	RNA_BLOCK	EVIDENCE_WITNESS	exon_sum_pairwise_witness
GOLGA6_8	RB~GOLGA6_8~38	BLOCK	.	0	2255	+	.	.	.	RNA_BLOCK	EVIDENCE_WITNESS	exon_sum_pairwise_witness
GOLGA6_8	RB~GOLGA6_8~39	BLOCK	.	0	3140	+	.	.	.	RNA_BLOCK	EVIDENCE_WITNESS	exon_sum_pairwise_witness
GOLGA6_8	RB~GOLGA6_8~40	BLOCK	.	0	2044	+	.	.	.	RNA_BLOCK	EVIDENCE_WITNESS	exon_sum_pairwise_witness
GOLGA6_8	RB~GOLGA6_8~41	BLOCK	.	0	5274	+	.	.	.	RNA_BLOCK	EVIDENCE_WITNESS	exon_sum_pairwise_witness
GOLGA6_8	RB~GOLGA6_8~42	BLOCK	.	0	2198	+	.	.	.	RNA_BLOCK	EVIDENCE_WITNESS	exon_sum_pairwise_witness
GOLGA6_8	RB~GOLGA6_8~43	BLOCK	.	0	3522	+	.	.	.	RNA_BLOCK	EVIDENCE_WITNESS	exon_sum_pairwise_witness
GOLGA6_8	RB~GOLGA6_8~44	BLOCK	.	0	1519	+	.	.	.	RNA_BLOCK	EVIDENCE_WITNESS	exon_sum_pairwise_witness
GOLGA6_8	RB~GOLGA6_8~45	BLOCK	.	0	2813	+	.	.	.	RNA_BLOCK	EVIDENCE_WITNESS	exon_sum_pairwise_witness
GOLGA6_8	RB~GOLGA6_8~46	BLOCK	.	0	3091	+	.	.	.	RNA_BLOCK	EVIDENCE_WITNESS	exon_sum_pairwise_witness
GOLGA6_8	RB~GOLGA6_8~47	BLOCK	.	0	2819	+	.	.	.	RNA_BLOCK	EVIDENCE_WITNESS	exon_sum_pairwise_witness
GOLGA6_8	RB~GOLGA6_8~48	BLOCK	.	0	3130	+	.	.	.	RNA_BLOCK	EVIDENCE_WITNESS	exon_sum_pairwise_witness
GOLGA6_8	RB~GOLGA6_8~49	BLOCK	.	0	1232	+	.	.	.	RNA_BLOCK	EVIDENCE_WITNESS	exon_sum_pairwise_witness
GOLGA6_8	RB~GOLGA6_8~50	BLOCK	.	0	3147	+	.	.	.	RNA_BLOCK	EVIDENCE_WITNESS	exon_sum_pairwise_witness
GOLGA6_8	RB~GOLGA6_8~51	BLOCK	.	0	2198	+	.	.	.	RNA_BLOCK	EVIDENCE_WITNESS	exon_sum_pairwise_witness
GOLGA6_8	RB~GOLGA6_8~52	BLOCK	.	0	3522	+	.	.	.	RNA_BLOCK	EVIDENCE_WITNESS	exon_sum_pairwise_witness
GOLGA6_8	RB~GOLGA6_8~53	BLOCK	.	0	1519	+	.	.	.	RNA_BLOCK	EVIDENCE_WITNESS	exon_sum_pairwise_witness
GOLGA6_8	RB~GOLGA6_8~54	BLOCK	.	0	2813	+	.	.	.	RNA_BLOCK	EVIDENCE_WITNESS	exon_sum_pairwise_witness
GOLGA6_8	RB~GOLGA6_8~55	BLOCK	.	0	3098	+	.	.	.	RNA_BLOCK	EVIDENCE_WITNESS	exon_sum_pairwise_witness
GOLGA6_8	RB~GOLGA6_8~56	BLOCK	.	0	2826	+	.	.	.	RNA_BLOCK	EVIDENCE_WITNESS	exon_sum_pairwise_witness
GOLGA6_8	RB~GOLGA6_8~57	BLOCK	.	0	2949	+	.	.	.	RNA_BLOCK	EVIDENCE_WITNESS	exon_sum_pairwise_witness
GOLGA6_8	RB~GOLGA6_8~58	BLOCK	.	0	1232	+	.	.	.	RNA_BLOCK	EVIDENCE_WITNESS	exon_sum_pairwise_witness
GOLGA6_8	RB~GOLGA6_8~59	BLOCK	.	0	3214	+	.	.	.	RNA_BLOCK	EVIDENCE_WITNESS	exon_sum_pairwise_witness
GOLGA6_8	RB~GOLGA6_8~60	BLOCK	.	0	1806	+	.	.	.	RNA_BLOCK	EVIDENCE_WITNESS	exon_sum_pairwise_witness
GOLGA6_8	RB~GOLGA6_8~61	BLOCK	.	0	1625	+	.	.	.	RNA_BLOCK	EVIDENCE_WITNESS	exon_sum_pairwise_witness
GOLGA6_8	RB~GOLGA6_8~62	BLOCK	.	0	1562	+	.	.	.	RNA_BLOCK	EVIDENCE_WITNESS	exon_sum_pairwise_witness
GOLGA6_8	RB~GOLGA6_8~63	BLOCK	.	0	3351	+	.	.	.	RNA_BLOCK	EVIDENCE_WITNESS	exon_sum_pairwise_witness
GOLGA6_8	RB~GOLGA6_8~64	BLOCK	.	0	2203	+	.	.	.	RNA_BLOCK	EVIDENCE_WITNESS	exon_sum_pairwise_witness
GOLGA6_8	RB~GOLGA6_8~65	BLOCK	.	0	3757	+	.	.	.	RNA_BLOCK	EVIDENCE_WITNESS	exon_sum_pairwise_witness
GOLGA6_8	RB~GOLGA6_8~66	BLOCK	.	0	4417	+	.	.	.	RNA_BLOCK	EVIDENCE_WITNESS	exon_sum_pairwise_witness
GOLGA6_8	RB~GOLGA6_8~67	BLOCK	.	0	3833	+	.	.	.	RNA_BLOCK	EVIDENCE_WITNESS	exon_sum_pairwise_witness
GOLGA6_8	RB~GOLGA6_8~68	BLOCK	.	0	2813	+	.	.	.	RNA_BLOCK	EVIDENCE_WITNESS	exon_sum_pairwise_witness
GOLGA6_8	RB~GOLGA6_8~69	BLOCK	.	0	3773	+	.	.	.	RNA_BLOCK	EVIDENCE_WITNESS	exon_sum_pairwise_witness
GOLGA6_8	RB~GOLGA6_8~70	BLOCK	.	0	3448	+	.	.	.	RNA_BLOCK	EVIDENCE_WITNESS	exon_sum_pairwise_witness
GOLGA6_8	RB~GOLGA6_8~71	BLOCK	.	0	2787	+	.	.	.	RNA_BLOCK	EVIDENCE_WITNESS	exon_sum_pairwise_witness
GOLGA6_8	RB~GOLGA6_8~72	BLOCK	.	0	2423	+	.	.	.	RNA_BLOCK	EVIDENCE_WITNESS	exon_sum_pairwise_witness
GOLGA6_8	RB~GOLGA6_8~73	BLOCK	.	0	4108	+	.	.	.	RNA_BLOCK	EVIDENCE_WITNESS	exon_sum_pairwise_witness
GOLGA6_8	RB~GOLGA6_8~74	BLOCK	.	0	2826	+	.	.	.	RNA_BLOCK	EVIDENCE_WITNESS	exon_sum_pairwise_witness
GOLGA6_8	RB~GOLGA6_8~75	BLOCK	.	0	2980	+	.	.	.	RNA_BLOCK	EVIDENCE_WITNESS	exon_sum_pairwise_witness
GOLGA6_8	DB~GOLGA6_8~0	BLOCK	.	0	3147	+	.	.	.	DNA_BLOCK	EVIDENCE_WITNESS	transcript_normalised_genomic_span_pairwise_witness
