family	n_copies	K	psvs	class	reads	reads_one_copy	validation	chroms
18	9	9	72	fully_resolvable	510	398	386/398	NC_073227.2,NC_073230.2,NC_073232.2,NC_073237.2,NC_073239.2,NC_073240.2,NC_073242.2,NC_086017.1
38	8	8	114	fully_resolvable	141	93	92/93	NC_073248.2
42	8	8	21	fully_resolvable	248	40	38/40	NC_073247.2
0	7	7	246	fully_resolvable	1342	432	312/432	NC_073224.2
4	7	7	345	fully_resolvable	3837	3766	3744/3766	NC_073227.2,NC_073236.2,NC_073238.2,NC_073246.2,NC_073248.2
44	6	6	45	fully_resolvable	147	58	52/58	NC_073229.2,NC_073232.2,NC_073236.2,NC_073241.2,NC_073244.2,NC_086017.1
12	5	5	362	fully_resolvable	612	434	433/434	NC_073242.2
27	5	5	137	fully_resolvable	281	126	123/126	NC_073236.2,NC_073238.2,NC_073239.2,NC_073240.2
39	5	5	235	fully_resolvable	201	145	144/145	NC_073227.2,NC_073231.2,NC_073235.2,NC_073247.2,NC_086018.1
9	4	4	70	fully_resolvable	551	254	180/254	NC_073236.2,NC_073238.2,NC_073240.2
28	4	4	64	fully_resolvable	314	202	202/202	NC_073242.2
41	4	4	98	fully_resolvable	744	508	460/508	NC_073238.2,NC_073240.2,NC_073241.2,NC_073244.2
65	4	4	59	fully_resolvable	400	12	10/12	NC_073229.2,NC_073230.2,NC_073241.2,NC_086018.1
72	4	4	235	fully_resolvable	107	54	53/54	NC_073236.2,NC_073237.2,NC_073238.2
3	3	3	88	fully_resolvable	587	464	457/464	NC_073233.2,NC_073242.2,NC_073244.2
13	3	3	382	fully_resolvable	3481	473	473/473	NC_073224.2
15	3	3	19	fully_resolvable	653	637	637/637	NC_073236.2,NC_073238.2,NC_073240.2
16	3	3	564	fully_resolvable	383	277	272/277	NC_073232.2
17	3	3	119	fully_resolvable	775	369	369/369	NC_073232.2
19	3	3	181	fully_resolvable	1882	1608	1608/1608	NC_073242.2
24	3	3	357	fully_resolvable	2490	2452	2450/2452	NC_073224.2
31	3	3	99	fully_resolvable	441	221	221/221	NC_073229.2,NC_073234.2,NC_086017.1
52	3	3	41	fully_resolvable	371	364	360/364	NC_073242.2
59	3	3	45	fully_resolvable	232	197	197/197	NC_073242.2
74	3	3	51	fully_resolvable	266	153	148/153	NC_073228.2
80	3	3	171	fully_resolvable	68	47	47/47	NC_073236.2,NC_073240.2
81	3	3	93	fully_resolvable	1645	1591	1590/1591	NC_073236.2,NC_073237.2
83	3	3	10	fully_resolvable	137	33	32/33	NC_073238.2,NC_073240.2
87	3	3	117	fully_resolvable	339	99	99/99	NC_073242.2
89	3	3	38	fully_resolvable	30	22	22/22	NC_073246.2,NC_086018.1
90	3	3	26	fully_resolvable	65	51	51/51	NC_073246.2,NC_086018.1
115	3	3	18	fully_resolvable	37	9	7/9	NC_073240.2
5	2	2	33	fully_resolvable	968	848	841/848	NC_073240.2
8	2	2	55	fully_resolvable	700	591	579/591	NC_073237.2
10	2	2	67	fully_resolvable	822	307	304/307	NC_073224.2
23	2	2	1	fully_resolvable	3418	3	3/3	NC_073239.2
25	2	2	21	fully_resolvable	518	424	422/424	NC_073237.2
26	2	2	14	fully_resolvable	257	111	111/111	NC_073229.2
29	2	2	9	fully_resolvable	741	0	0/0	NC_073247.2,NC_073248.2
33	2	2	39	fully_resolvable	595	449	448/449	NC_073232.2
35	2	2	105	fully_resolvable	392	202	189/202	NC_073240.2
36	2	2	15	fully_resolvable	287	139	135/139	NC_073242.2
37	2	2	7	fully_resolvable	410	381	376/381	NC_073242.2
40	2	2	20	fully_resolvable	333	238	235/238	NC_073228.2
43	2	2	3	fully_resolvable	1035	969	77/969	NC_073247.2
47	2	2	65	fully_resolvable	193	117	116/117	NC_073237.2,NC_073238.2
48	2	2	38	fully_resolvable	378	211	211/211	NC_073237.2
49	2	2	32	fully_resolvable	197	29	29/29	NC_073238.2
50	2	2	18	fully_resolvable	320	272	272/272	NC_073238.2,NC_073240.2
53	2	2	1	fully_resolvable	230	115	115/115	NC_073247.2
54	2	2	37	fully_resolvable	183	152	152/152	NC_073227.2,NC_073240.2
55	2	2	62	fully_resolvable	237	79	69/79	NC_073228.2
57	2	2	81	fully_resolvable	1005	884	884/884	NC_073232.2
58	2	2	14	fully_resolvable	662	33	31/33	NC_073247.2,NC_073248.2
64	2	2	178	fully_resolvable	387	266	266/266	NC_073224.2
66	2	2	126	fully_resolvable	357	166	166/166	NC_073238.2
67	2	2	119	fully_resolvable	248	179	179/179	NC_073240.2
71	2	2	11	fully_resolvable	145	75	69/75	NC_073228.2
73	2	2	27	fully_resolvable	286	229	228/229	NC_073228.2
77	2	2	12	fully_resolvable	141	103	100/103	NC_073230.2
78	2	2	29	fully_resolvable	59	17	17/17	NC_073232.2,NC_073242.2
79	2	2	13	fully_resolvable	109	47	47/47	NC_073235.2,NC_073242.2
82	2	2	85	fully_resolvable	499	112	108/112	NC_073236.2,NC_073238.2
85	2	2	107	fully_resolvable	670	317	317/317	NC_073242.2
91	2	2	3	fully_resolvable	316	197	197/197	NC_073247.2,NC_073248.2
92	2	2	1	fully_resolvable	167	5	5/5	NC_073247.2
97	2	2	1	fully_resolvable	95	64	62/64	NC_073224.2
98	2	2	27	fully_resolvable	98	78	77/78	NC_073246.2,NC_086018.1
100	2	2	29	fully_resolvable	103	65	65/65	NC_073228.2
102	2	2	32	fully_resolvable	3268	2286	2269/2286	NC_073229.2
105	2	2	55	fully_resolvable	129	33	30/33	NC_073234.2
106	2	2	18	fully_resolvable	297	292	291/292	NC_073235.2
107	2	2	28	fully_resolvable	116	49	44/49	NC_073236.2
109	2	2	55	fully_resolvable	199	90	90/90	NC_073237.2
110	2	2	24	fully_resolvable	55	13	13/13	NC_073245.2
111	2	2	18	fully_resolvable	420	344	344/344	NC_073238.2,NC_073240.2
114	2	2	10	fully_resolvable	64	12	12/12	NC_073240.2
116	2	2	107	fully_resolvable	97	58	58/58	NC_073241.2,NC_073246.2
117	2	2	26	fully_resolvable	139	112	112/112	NC_073242.2
118	2	2	1	fully_resolvable	124	5	3/5	NC_073242.2
119	2	2	7	fully_resolvable	54	15	15/15	NC_073242.2
120	2	2	6	fully_resolvable	100	97	96/97	NC_073244.2
121	2	2	36	fully_resolvable	221	145	9/145	NC_073247.2,NC_073248.2
123	2	2	145	fully_resolvable	458	195	195/195	NC_073227.2
124	2	2	8	fully_resolvable	316	303	303/303	NC_073224.2
125	2	2	51	fully_resolvable	375	110	109/110	NC_073224.2
128	2	2	19	fully_resolvable	2456	1659	1656/1659	NC_073224.2
129	2	2	97	fully_resolvable	88	36	36/36	NC_073224.2
132	2	2	80	fully_resolvable	822	304	301/304	NC_073224.2
135	2	2	38	fully_resolvable	55	34	34/34	NC_086017.1
136	2	2	105	fully_resolvable	118	38	36/38	NC_086017.1
137	2	2	261	fully_resolvable	479	386	386/386	NC_086017.1
138	2	2	276	fully_resolvable	388	307	307/307	NC_073243.2
139	2	2	13	fully_resolvable	16	10	10/10	NC_073227.2,NC_073236.2
143	2	2	41	fully_resolvable	19	12	12/12	NC_073228.2
146	2	2	17	fully_resolvable	47	29	27/29	NC_073230.2
147	2	2	12	fully_resolvable	73	2	2/2	NC_073230.2
150	2	2	133	fully_resolvable	85	76	76/76	NC_073230.2
152	2	2	115	fully_resolvable	512	455	454/455	NC_073232.2
153	2	2	99	fully_resolvable	452	36	36/36	NC_073232.2
154	2	2	194	fully_resolvable	222	153	152/153	NC_073232.2
156	2	2	6	fully_resolvable	62	11	10/11	NC_073235.2,NC_073242.2
157	2	2	1	fully_resolvable	52	50	50/50	NC_073235.2,NC_073242.2
158	2	2	28	fully_resolvable	34	25	25/25	NC_073235.2,NC_073242.2
160	2	2	58	fully_resolvable	88	55	55/55	NC_073237.2
161	2	2	7	fully_resolvable	52	36	36/36	NC_073237.2
163	2	2	36	fully_resolvable	97	54	54/54	NC_073238.2
164	2	2	22	fully_resolvable	42	10	10/10	NC_073238.2,NC_073240.2
165	2	2	57	fully_resolvable	161	124	124/124	NC_073239.2
166	2	2	5	fully_resolvable	156	87	86/87	NC_073239.2
167	2	2	1	fully_resolvable	3388	3	3/3	NC_073239.2
171	2	2	39	fully_resolvable	372	118	117/118	NC_073239.2
172	2	2	4	fully_resolvable	56	47	46/47	NC_073240.2
173	2	2	114	fully_resolvable	235	169	169/169	NC_073240.2
174	2	2	204	fully_resolvable	132	79	79/79	NC_073240.2,NC_073243.2
177	2	2	52	fully_resolvable	155	63	53/63	NC_073242.2
178	2	2	133	fully_resolvable	1570	1342	1342/1342	NC_073242.2
