fam	chrom	start	end	n_reads	genes	n_mapq60
fam_MCL110_073244	NC_073244.2	61710631	61751306	3	LOC101127866[protein_coding]	3
fam_MCL111_073244	NC_073244.2	17831053	18010585	87	LOC134757657[lncRNA];LOC101126415[protein_coding];ZNF440[protein_coding]	87
fam_MCL111_073244	NC_073244.2	18178006	18195403	20	ZNF20[protein_coding];ZNF625[protein_coding]	20
fam_MCL120_073244	NC_073244.2	55450990	55524770	280	ZNF45[protein_coding];ZNF221[protein_coding];ZNF155[protein_coding]	280
fam_MCL120_073244	NC_073244.2	55538420	55546320	91	ZNF222[protein_coding]	91
fam_MCL120_073244	NC_073244.2	55585245	55603264	13	ZNF284[protein_coding];LOC129528974[pseudogene]	13
fam_MCL120_073244	NC_073244.2	55654744	55675555	149	ZNF234[protein_coding]	149
fam_MCL14_073242	NC_073242.2	18447311	18515849	7	LOC134757490[V_segment]	5
fam_MCL1_073242	NC_073242.2	15910925	16107730	332	LOC101130854[protein_coding];LOC129527572[pseudogene];LOC101129526[protein_coding]	331
fam_MCL1_073242	NC_073242.2	21706171	21737810	17	LOC115931069[protein_coding];LOC101134912[protein_coding];LOC129527845[snoRNA]	7
fam_MCL1_073242	NC_073242.2	22021268	22108677	32	LOC101135276[protein_coding];LOC129527594[pseudogene];LOC134757430[pseudogene]	27
fam_MCL1_073242	NC_073242.2	29391621	29442611	11	LOC101140878[protein_coding];LOC115931109[protein_coding]	10
fam_MCL21_073242	NC_073242.2	16288117	16295496	7	LOC129527569[protein_coding];LOC129527573[protein_coding]	1
fam_MCL21_073242	NC_073242.2	30609140	30674278	143	LOC134757432[lncRNA];LOC115933066[protein_coding]	141
fam_MCL236_073244	NC_073244.2	63917960	63957471	9	LOC115931547[protein_coding];LOC101138952[protein_coding]	9
fam_MCL27_073242	NC_073242.2	21081714	21109136	5	LOC115931102[protein_coding];LOC134757428[lncRNA]	3
fam_MCL27_073242	NC_073242.2	22021271	22077684	3	LOC101135276[protein_coding];LOC129527594[pseudogene]	3
fam_MCL27_073242	NC_073242.2	35233770	35518850	4	LOC129527636[protein_coding];LOC129527341[protein_coding];LOC129527641[pseudogene]	1
fam_MCL27_073242	NC_073242.2	35988426	36034974	120	LOC101128221[protein_coding]	120
fam_MCL29_073242	NC_073242.2	99211161	99318751	8	LOC129527692[protein_coding];LOC129527698[lncRNA];LOC129527696[protein_coding]	4
fam_MCL29_073242	NC_073242.2	104202690	104291506	3	LOC115932828[protein_coding];LOC109023634[protein_coding];LOC101129998[protein_coding]	1
fam_MCL30_073244	NC_073244.2	29543310	29586454	19	LOC101123988[protein_coding]	19
fam_MCL30_073244	NC_073244.2	29969845	30006016	78	ZNF675[protein_coding]	78
fam_MCL30_073244	NC_073244.2	30067663	30086597	4	ZNF681[protein_coding]	4
fam_MCL37_073244	NC_073244.2	18045680	18068042	54	LOC109024269[lncRNA];ZNF433[protein_coding]	54
fam_MCL37_073244	NC_073244.2	18096791	18113584	25	LOC109025073[protein_coding]	25
fam_MCL40_073242	NC_073242.2	27157157	27175493	17	LOC129523519[protein_coding]	0
fam_MCL43_073244	NC_073244.2	18348483	18372782	29	ZNF563[protein_coding]	29
fam_MCL43_073244	NC_073244.2	18418960	18423868	4	LOC101133966[pseudogene]	4
fam_MCL44_073244	NC_073244.2	47964477	47994180	102	NO_GENE	102
fam_MCL4_073244	NC_073244.2	64720671	64748718	419	ZNF600[protein_coding]	419
fam_MCL4_073244	NC_073244.2	64906466	64921969	98	LOC101153131[protein_coding]	98
fam_MCL54_073242	NC_073242.2	15726063	15787981	7	LOC101136480[protein_coding]	7
fam_MCL54_073242	NC_073242.2	16188647	16229646	4	LOC101129526[protein_coding];LOC129527569[protein_coding]	3
fam_MCL54_073242	NC_073242.2	30624812	30628867	5	NO_GENE	5
fam_MCL54_073242	NC_073242.2	30707460	30779480	211	LOC115933250[protein_coding]	210
fam_MCL65_073244	NC_073244.2	27956142	27997166	80	ZNF429[protein_coding]	80
fam_MCL65_073244	NC_073244.2	28255847	28304626	159	LOC101144838[protein_coding];LOC101143733[pseudogene]	159
fam_MCL65_073244	NC_073244.2	28332173	28380674	77	LOC129528952[lncRNA];ZNF43[protein_coding]	77
fam_MCL65_073244	NC_073244.2	28588115	28633040	6	LOC101145945[protein_coding]	6
fam_MCL65_073244	NC_073244.2	29046964	29081055	11	LOC115931576[protein_coding];LOC129528954[lncRNA]	11
fam_MCL65_073244	NC_073244.2	29543310	29586454	24	LOC101123988[protein_coding]	24
fam_MCL65_073244	NC_073244.2	29660818	29718693	211	ZNF91[protein_coding];LOC115931586[lncRNA];LOC101124726[pseudogene]	211
fam_MCL65_073244	NC_073244.2	30067663	30086597	4	ZNF681[protein_coding]	4
fam_MCL6_073244	NC_073244.2	27408441	27439974	25	LOC129528947[lncRNA];LOC101137843[protein_coding]	25
fam_MCL6_073244	NC_073244.2	27504830	27551550	63	ZNF430[protein_coding]	63
fam_MCL7_073242	NC_073242.2	21105875	21135807	27	LOC115931102[protein_coding];LOC129527585[protein_coding];LOC115931156[snoRNA]	22
fam_MCL7_073242	NC_073242.2	21708732	21733818	17	LOC101134912[protein_coding];LOC129527845[snoRNA]	10
fam_MCL7_073242	NC_073242.2	22081744	22097722	12	LOC134757430[pseudogene];LOC129527846[snoRNA];LOC129527593[pseudogene]	12
fam_MCL7_073242	NC_073242.2	29484595	29537833	340	PDXDC1[protein_coding];LOC101126513[protein_coding];NTAN1[protein_coding]	340
fam_MCL7_073242	NC_073242.2	99648970	99735064	3	LOC134757441[lncRNA];LOC129527693[protein_coding];LOC129527844[snoRNA]	1
fam_MCL7_073242	NC_073242.2	103894061	103964751	22	LOC101126158[pseudogene];LOC101134557[protein_coding]	22
fam_MCL88_073242	NC_073242.2	16188647	16302052	9	LOC101129526[protein_coding];LOC129527569[protein_coding];LOC129527573[protein_coding]	7
fam_MCL9_073244	NC_073244.2	27285366	27320289	13	LOC101137462[protein_coding]	13
fam_MCL9_073244	NC_073244.2	27755924	27802272	127	LOC101141027[protein_coding]	127
fam_MCL9_073244	NC_073244.2	28017230	28050877	3	LOC115931568[protein_coding];LOC115931570[protein_coding]	3
fam_MCL9_073244	NC_073244.2	28332173	28380674	82	LOC129528952[lncRNA];ZNF43[protein_coding]	82
fam_MCL9_073244	NC_073244.2	29046964	29081055	11	LOC115931576[protein_coding];LOC129528954[lncRNA]	11
fam_MCL9_073244	NC_073244.2	29543310	29586454	24	LOC101123988[protein_coding]	24
fam_MCL9_073244	NC_073244.2	29660818	29718693	227	ZNF91[protein_coding];LOC115931586[lncRNA];LOC101124726[pseudogene]	227
fam_MCL9_073244	NC_073244.2	29969845	30006016	81	ZNF675[protein_coding]	81
fam_MCL9_073244	NC_073244.2	30263681	30286968	7	LOC101126289[protein_coding]	7
