dn	n_kmers	km_median	km_mean	km_p90	km_frac_ge_100
DN_NC_073224.2_100532147_6	4190	0.0000	1022.3229	1.0000	0.0363
DN_NC_073224.2_100535401_4	2814	0.0000	305.1972	1.0000	0.0032
DN_NC_073224.2_100772522_11	3498	1.0000	0.9211	2.0000	0.0000
DN_NC_073224.2_100975273_21	4769	0.0000	0.6584	2.0000	0.0000
DN_NC_073224.2_101136214_11	2657	0.0000	0.7542	2.0000	0.0000
DN_NC_073224.2_101578782_11	2307	0.0000	0.7573	2.0000	0.0000
DN_NC_073224.2_101602135_9	2568	0.0000	0.7948	2.0000	0.0000
DN_NC_073224.2_102253297_12	2792	0.0000	0.4638	1.0000	0.0000
DN_NC_073224.2_103138337_14	1872	0.0000	1.5775	1.0000	0.0032
DN_NC_073224.2_103145991_4	3070	0.0000	579.0889	1.0000	0.0182
DN_NC_073224.2_105669663_7	1633	0.0000	0.4250	1.0000	0.0000
DN_NC_073224.2_105672200_3	3136	0.0000	240.4904	1.0000	0.0038
DN_NC_073224.2_105776266_5	4016	0.0000	0.6616	1.0000	0.0002
DN_NC_073224.2_105784199_2	2657	0.0000	0.6421	1.0000	0.0004
DN_NC_073224.2_114480077_3	2020	1.0000	371.7619	16.0000	0.0668
DN_NC_073224.2_114825986_4	3327	1.0000	928.9624	2.0000	0.0298
DN_NC_073224.2_115073393_19	4263	0.0000	5.4065	19.0000	0.0000
DN_NC_073224.2_115073534_2	2685	1.0000	644.0175	13.0000	0.0618
DN_NC_073224.2_115215234_17	4379	0.0000	1.5823	5.0000	0.0000
DN_NC_073224.2_116008764_12	2157	0.0000	0.8405	2.0000	0.0000
DN_NC_073224.2_116693847_11	2681	0.0000	573.3349	4.0000	0.0332
DN_NC_073224.2_116807774_25	2054	0.0000	8.9757	26.0000	0.0000
DN_NC_073224.2_117114419_5	6615	0.0000	317.6352	3.0000	0.0128
DN_NC_073224.2_117217199_13	5610	1.0000	52.2217	5.0000	0.0169
DN_NC_073224.2_117447152_14	6391	0.0000	553.7295	4.0000	0.0232
DN_NC_073224.2_117494263_25	2043	0.0000	9.2849	26.0000	0.0000
DN_NC_073224.2_120787661_19	2994	0.0000	0.4546	1.0000	0.0000
DN_NC_073224.2_120975632_11	7311	1.0000	3.3880	14.0000	0.0003
DN_NC_073224.2_123525276_5	1308	0.0000	1074.7294	2660.3000	0.1491
DN_NC_073224.2_124008865_3	5459	1.0000	0.6173	1.0000	0.0002
DN_NC_073224.2_124234032_12	4381	0.0000	1.9507	4.0000	0.0000
DN_NC_073224.2_124254598_20	3523	0.0000	7.5075	4.0000	0.0028
DN_NC_073224.2_124490902_14	5484	0.0000	0.9010	2.0000	0.0000
DN_NC_073224.2_124983304_5	6590	1.0000	192.5730	4.0000	0.0124
DN_NC_073224.2_125055626_35	2096	0.0000	8.3058	24.0000	0.0000
DN_NC_073224.2_125594338_29	1955	0.0000	8.5806	25.0000	0.0000
DN_NC_073224.2_125859316_3	1684	1.0000	460.7844	966.0000	0.1942
DN_NC_073224.2_126139506_3	2266	1.0000	212.6686	4.0000	0.0380
DN_NC_073224.2_126184593_6	1146	0.0000	0.4965	1.0000	0.0000
DN_NC_073224.2_126189262_21	5271	0.0000	0.4481	1.0000	0.0000
DN_NC_073224.2_129169623_8	913	0.0000	0.5071	1.0000	0.0000
DN_NC_073224.2_129191737_8	1996	0.0000	18.6288	2.0000	0.0050
DN_NC_073224.2_129200469_3	1208	1.0000	28.5132	78.6000	0.0902
DN_NC_073224.2_129211328_8	6622	1.0000	1044.3511	4.0000	0.0500
DN_NC_073224.2_129429039_7	2372	0.0000	7.2260	21.0000	0.0000
DN_NC_073224.2_129970070_21	3956	0.0000	7.3875	23.0000	0.0000
DN_NC_073224.2_130013703_13	3181	0.0000	1.8240	5.0000	0.0006
DN_NC_073224.2_130157457_4	5730	2.0000	7.6565	3.0000	0.0021
DN_NC_073224.2_130224824_25	2752	0.0000	7.4350	23.0000	0.0000
DN_NC_073224.2_130305133_13	6278	0.0000	566.0981	4.0000	0.0260
DN_NC_073224.2_130335848_23	3347	0.0000	6.9710	23.0000	0.0000
DN_NC_073224.2_130406472_2	2664	0.0000	1460.4516	5952.8000	0.1959
DN_NC_073224.2_130406472_4	1941	0.0000	2003.7558	9334.0000	0.2689
