gene_a	gene_b	class	cls	core	aln_frac	all_isoform_alnfrac	gga_score	exon_hom	junc_conc	shared_path	n_exon_match	n_iso_a	n_iso_b
ABCA10	ABCA8	truthbar-FP	truthbar	0.1809	0.0000	0.0000	0.1056	0.1503	0.0417	0.0800	4	2	8
ABCA10	ABCA9	truthbar-FP	truthbar	0.3553	0.0000	0.0000	0.1056	0.1503	0.0417	0.0800	4	2	8
ABCA13	ITSN1	genuine-FP	genuine	0.1409	0.1400	0.1400	0.0347	0.0495	0.0000	0.0400	1	4	8
ABCA13	LOC101150644	genuine-FP	genuine	0.1360	0.0000	0.1400	0.0000	0.0000	0.0000	0.0000	0	4	2
ABCA13	LOC129532904	genuine-FP	genuine	0.1346	0.0000	1.0000	0.1021	0.1815	0.0000	0.0455	1	4	3
ABCA8	ABCA9	truthbar-FP	truthbar	0.4182	0.1727	1.0000	0.8390	0.9797	0.9167	0.4800	24	8	8
ABCD1	LOC129526391	TP	TP	0.4426	0.8100	1.0000	0.2970	0.4571	0.1905	0.0833	3	8	4
ABCD1	LOC129526471	TP	TP	0.3255	0.8083	1.0000	0.4624	0.7879	0.1905	0.0833	3	8	3
ABCD1	LOC129531453	TP	TP	0.3224	0.8056	1.0000	0.2996	0.4916	0.0952	0.1200	3	8	3
ABITRAM	CTNNAL1	genuine-FP	genuine	0.7593	0.7599	0.7882	0.3927	0.7020	0.0000	0.1667	1	4	8
ACADL	C3H4orf36	genuine-FP	genuine	0.2241	0.0000	1.0000	0.7891	0.7903	0.9286	0.6471	15	4	4
ACADL	SPC25	genuine-FP	genuine	0.1610	0.0000	0.3707	0.0000	0.0000	0.0000	0.0000	0	4	18
ACAT2	TCP1	genuine-FP	genuine	0.1573	0.1576	0.4757	0.2705	0.3674	0.1250	0.2222	2	6	8
ACO2	POLR3H	genuine-FP	genuine	0.2132	0.0000	0.2725	0.1678	0.2523	0.0000	0.1667	9	8	4
ACOT6	CDKN2AIPNL	genuine-FP	genuine	0.1320	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0	6	2
ACOT9	LOC129525165	genuine-FP	genuine	0.1880	0.0000	1.0000	0.0331	0.0383	0.0000	0.0556	1	4	3
ACP1	ALKAL2	genuine-FP	genuine	0.8616	0.8616	1.0000	0.8869	1.0000	0.8333	0.7143	7	8	2
ACSBG1	IDH3A	TP	TP	0.5137	0.5130	1.0000	0.9540	0.9857	0.8846	0.9600	24	6	8
ACSL3	ACSL4	truthbar-FP	truthbar	0.1790	0.0000	0.0000	0.0335	0.0357	0.0000	0.0625	2	8	8
