dn_a	dn_b	contain_ab	contain_ba	n_exon_a	n_exon_b	n_cov_a	n_cov_b
DN_NC_073224.2_100532147_6	DN_NC_073224.2_100535401_4	0.000000	0.250000	6	4	0	1
DN_NC_073224.2_100772522_11	DN_NC_073247.2_66651439_2	0.000000	0.000000	11	2	0	0
DN_NC_073224.2_100975273_21	DN_NC_073224.2_101136214_11	0.428571	0.900000	21	10	9	9
DN_NC_073224.2_101578782_11	DN_NC_073224.2_101602135_9	0.636364	0.666667	11	9	7	6
DN_NC_073224.2_102253297_12	DN_NC_073240.2_76716889_13	0.000000	0.000000	12	13	0	0
DN_NC_073224.2_103138337_14	DN_NC_073224.2_103145991_4	0.071429	0.000000	14	4	1	0
DN_NC_073224.2_105669663_7	DN_NC_073224.2_105672200_3	0.142857	0.333333	7	3	1	1
DN_NC_073224.2_105776266_5	DN_NC_073224.2_105784199_2	0.000000	0.500000	5	2	0	1
DN_NC_073224.2_114480077_3	DN_NC_073224.2_115073534_2	0.333333	0.500000	3	2	1	1
DN_NC_073224.2_114825986_4	DN_NC_073240.2_44556092_13	0.250000	0.846154	4	13	1	11
DN_NC_073224.2_115073393_19	DN_NC_073224.2_116807774_25	0.736842	1.000000	19	25	14	25
DN_NC_073224.2_115073393_19	DN_NC_073224.2_117494263_25	0.736842	1.000000	19	25	14	25
DN_NC_073224.2_115073393_19	DN_NC_073224.2_124254598_20	0.105263	0.150000	19	20	2	3
DN_NC_073224.2_115073393_19	DN_NC_073224.2_129429039_7	0.368421	1.000000	19	7	7	7
DN_NC_073224.2_115073393_19	DN_NC_073224.2_129970070_21	0.789474	0.952381	19	21	15	20
DN_NC_073224.2_115073393_19	DN_NC_073224.2_218361248_19	0.789474	0.947368	19	19	15	18
DN_NC_073224.2_115073393_19	DN_NC_073224.2_218434129_23	0.789474	0.956522	19	23	15	22
DN_NC_073224.2_115073393_19	DN_NC_073224.2_223156764_8	0.263158	0.625000	19	8	5	5
DN_NC_073224.2_115215234_17	DN_NC_073224.2_117217199_13	0.823529	0.846154	17	13	14	11
DN_NC_073224.2_115215234_17	DN_NC_073224.2_130013703_13	0.823529	0.923077	17	13	14	12
DN_NC_073224.2_116008764_12	DN_NC_073224.2_124490902_14	1.000000	0.928571	12	14	12	13
DN_NC_073224.2_116693847_11	DN_NC_073224.2_130686217_20	0.727273	0.400000	11	20	8	8
DN_NC_073224.2_116807774_25	DN_NC_073224.2_117494263_25	1.000000	1.000000	25	25	25	25
DN_NC_073224.2_116807774_25	DN_NC_073224.2_124234032_12	0.400000	0.416667	25	12	10	5
DN_NC_073224.2_116807774_25	DN_NC_073224.2_124254598_20	0.320000	0.200000	25	20	8	4
DN_NC_073224.2_116807774_25	DN_NC_073224.2_125055626_35	1.000000	1.000000	25	35	25	35
DN_NC_073224.2_116807774_25	DN_NC_073224.2_125594338_29	0.960000	1.000000	25	29	24	29
DN_NC_073224.2_116807774_25	DN_NC_073224.2_129970070_21	1.000000	0.904762	25	21	25	19
DN_NC_073224.2_116807774_25	DN_NC_073224.2_130224824_25	1.000000	0.960000	25	25	25	24
DN_NC_073224.2_116807774_25	DN_NC_073224.2_130335848_23	0.960000	0.826087	25	23	24	19
DN_NC_073224.2_116807774_25	DN_NC_073224.2_218361248_19	0.720000	0.842105	25	19	18	16
DN_NC_073224.2_116807774_25	DN_NC_073224.2_218434129_23	0.720000	0.869565	25	23	18	20
DN_NC_073224.2_117114419_5	DN_NC_073224.2_124983304_5	1.000000	1.000000	5	5	5	5
DN_NC_073224.2_117114419_5	DN_NC_073224.2_130157457_4	0.800000	1.000000	5	4	4	4
DN_NC_073224.2_117217199_13	DN_NC_073224.2_130013703_13	0.923077	1.000000	13	13	12	13
DN_NC_073224.2_117217199_13	DN_NC_073243.2_49045190_4	0.000000	0.000000	13	4	0	0
DN_NC_073224.2_117447152_14	DN_NC_073224.2_130305133_13	1.000000	1.000000	14	13	14	13
DN_NC_073224.2_117447152_14	DN_NC_073243.2_111262956_13	0.928571	0.846154	14	13	13	11
DN_NC_073224.2_117494263_25	DN_NC_073224.2_124234032_12	0.400000	0.416667	25	12	10	5
DN_NC_073224.2_117494263_25	DN_NC_073224.2_124254598_20	0.320000	0.200000	25	20	8	4
DN_NC_073224.2_117494263_25	DN_NC_073224.2_125055626_35	1.000000	1.000000	25	35	25	35
DN_NC_073224.2_117494263_25	DN_NC_073224.2_125594338_29	0.720000	1.000000	25	29	18	29
DN_NC_073224.2_117494263_25	DN_NC_073224.2_129970070_21	0.760000	0.904762	25	21	19	19
DN_NC_073224.2_117494263_25	DN_NC_073224.2_130224824_25	0.760000	0.960000	25	25	19	24
DN_NC_073224.2_117494263_25	DN_NC_073224.2_130335848_23	0.720000	0.826087	25	23	18	19
DN_NC_073224.2_117494263_25	DN_NC_073224.2_218361248_19	0.680000	0.894737	25	19	17	17
DN_NC_073224.2_117494263_25	DN_NC_073224.2_218434129_23	0.680000	0.913043	25	23	17	21
DN_NC_073224.2_120787661_19	DN_NC_073224.2_96681549_23	0.000000	0.000000	19	23	0	0
DN_NC_073224.2_120787661_19	DN_NC_073244.2_53573424_23	0.000000	0.000000	19	23	0	0
