member_1	member_2	tier	identity	coverage_of_shorter	score
NPIPB2	NPIPA2	sensitive	0.964500	0.974301	0.939714
NPIPB2	NPIPP1	sensitive	0.977600	0.995130	0.972839
NPIPB2	NPIPA5	sensitive	0.965000	0.970610	0.936639
NPIPB2	NPIPA7	asm20	0.976600	0.987781	0.964667
NPIPB2	NPIPB6	sensitive	0.973900	0.790726	0.770088
NPIPB2	NPIPB8	sensitive	0.974100	0.787974	0.767566
NPIPB2	NPIPB7	asm20	0.973600	1.000000	0.973600
NPIPB2	NPIPB9	sensitive	0.973400	0.790595	0.769565
NPIPB2	NPIPB10P	sensitive	0.976000	0.999432	0.975446
NPIPB2	NPIPB11	asm20	0.981600	0.718623	0.705401
NPIPB2	NPIPB12	sensitive	0.983000	0.721660	0.709391
NPIPB2	NPIPB14P	sensitive	0.970400	0.817522	0.793323
NPIPB2	NPIPB15	sensitive	0.973100	1.000000	0.973100
NPIPA2	NPIPP1	sensitive	0.985900	1.098300	1.082814
NPIPA2	NPIPA5	asm20	0.986900	1.001959	0.988833
NPIPA2	NPIPA7	asm20	0.987800	0.997919	0.985744
NPIPA2	NPIPB6	sensitive	0.971800	1.142149	1.109941
NPIPA2	NPIPB8	sensitive	0.971400	1.153731	1.120734
NPIPA2	NPIPB7	sensitive	0.971400	0.979788	0.951767
NPIPA2	NPIPB9	sensitive	0.971400	1.154826	1.121798
NPIPA2	NPIPB10P	sensitive	0.973300	0.980545	0.954365
NPIPA2	NPIPB11	sensitive	0.973100	1.147854	1.116976
NPIPA2	NPIPB12	asm20	0.976100	1.162604	1.134818
NPIPA2	NPIPB14P	sensitive	0.970500	1.135638	1.102137
NPIPA2	NPIPB15	sensitive	0.971300	0.979447	0.951337
NPIPP1	NPIPA5	asm20	0.986400	1.095976	1.081071
NPIPP1	NPIPA7	asm20	0.984900	1.281772	1.262418
NPIPP1	NPIPB6	sensitive	0.971000	0.997801	0.968864
NPIPP1	NPIPB8	sensitive	0.970000	0.997801	0.967867
NPIPP1	NPIPB7	sensitive	0.970100	1.275686	1.237543
NPIPP1	NPIPB9	sensitive	0.970100	0.997801	0.967966
NPIPP1	NPIPB10P	asm20	0.973000	1.289761	1.254938
NPIPP1	NPIPB11	sensitive	0.972900	0.997801	0.970760
NPIPP1	NPIPB12	asm20	0.973800	0.997539	0.971403
NPIPP1	NPIPB14P	sensitive	0.970300	0.987799	0.958461
NPIPP1	NPIPB15	sensitive	0.970900	1.292884	1.255261
NPIPA5	NPIPA7	asm20	0.987900	1.000000	0.987900
NPIPA5	NPIPB6	sensitive	0.971300	1.138224	1.105557
NPIPA5	NPIPB8	sensitive	0.971800	1.149762	1.117338
NPIPA5	NPIPB7	sensitive	0.970700	0.980327	0.951604
NPIPA5	NPIPB9	sensitive	0.971100	1.150852	1.117593
NPIPA5	NPIPB10P	sensitive	0.971900	0.980545	0.952992
NPIPA5	NPIPB11	sensitive	0.972700	1.143448	1.112231
NPIPA5	NPIPB12	asm20	0.974700	1.155846	1.126603
NPIPA5	NPIPB14P	sensitive	0.970400	1.131508	1.098015
NPIPA5	NPIPB15	sensitive	0.970800	0.982192	0.953512
NPIPA7	NPIPB6	sensitive	0.970800	0.997516	0.968388
NPIPA7	NPIPB8	sensitive	0.970300	0.997516	0.967890
NPIPA7	NPIPB7	sensitive	0.969900	0.980058	0.950558
NPIPA7	NPIPB9	sensitive	0.970400	0.997516	0.967989
NPIPA7	NPIPB10P	sensitive	0.971500	0.980545	0.952600
NPIPA7	NPIPB11	sensitive	0.971600	0.997516	0.969186
NPIPA7	NPIPB12	sensitive	0.974200	1.005975	0.980021
NPIPA7	NPIPB14P	sensitive	0.969900	0.981000	0.951472
NPIPA7	NPIPB15	sensitive	0.970200	0.981136	0.951898
NPIPB6	NPIPB8	sensitive	0.990900	1.008554	0.999376
NPIPB6	NPIPB7	asm20	0.996200	1.000000	0.996200
NPIPB6	NPIPB9	asm20	0.996800	1.010572	1.007338
NPIPB6	NPIPB10P	asm20	0.994100	1.000000	0.994100
NPIPB6	NPIPB11	sensitive	0.980000	0.968381	0.949013
NPIPB6	NPIPB12	sensitive	0.977700	0.994041	0.971874
NPIPB6	NPIPB14P	sensitive	0.974500	0.992031	0.966734
NPIPB6	NPIPB15	sensitive	0.989800	0.999507	0.989312
NPIPB8	NPIPB7	asm20	0.994400	1.000000	0.994400
NPIPB8	NPIPB9	sensitive	0.990800	1.002001	0.992783
NPIPB8	NPIPB10P	asm20	0.994200	1.000000	0.994200
NPIPB8	NPIPB11	sensitive	0.977400	0.965504	0.943684
NPIPB8	NPIPB12	sensitive	0.977600	0.985611	0.963533
NPIPB8	NPIPB14P	sensitive	0.973600	0.999294	0.972913
NPIPB8	NPIPB15	sensitive	0.989000	0.999507	0.988513
NPIPB7	NPIPB9	asm20	0.997900	1.000000	0.997900
NPIPB7	NPIPB10P	asm20	0.993400	1.001065	0.994458
NPIPB7	NPIPB11	sensitive	0.977000	0.980125	0.957582
NPIPB7	NPIPB12	sensitive	0.975500	0.995486	0.971097
NPIPB7	NPIPB14P	sensitive	0.973700	0.965640	0.940244
NPIPB7	NPIPB15	sensitive	0.989400	0.999437	0.988843
NPIPB9	NPIPB10P	asm20	0.993500	1.000923	0.994417
NPIPB9	NPIPB11	sensitive	0.979800	0.964101	0.944626
NPIPB9	NPIPB12	sensitive	0.977100	0.983596	0.961071
NPIPB9	NPIPB14P	sensitive	0.974700	1.000252	0.974946
NPIPB9	NPIPB15	sensitive	0.989200	0.999437	0.988643
NPIPB10P	NPIPB11	sensitive	0.978400	0.981468	0.960269
NPIPB10P	NPIPB12	sensitive	0.977400	0.989634	0.967268
NPIPB10P	NPIPB14P	sensitive	0.975200	0.966487	0.942518
NPIPB10P	NPIPB15	asm20	0.991000	1.001349	0.992337
NPIPB11	NPIPB12	sensitive	0.984800	1.000045	0.984844
NPIPB11	NPIPB14P	sensitive	0.971200	0.995259	0.966596
NPIPB11	NPIPB15	sensitive	0.975300	0.978672	0.954499
NPIPB12	NPIPB14P	sensitive	0.972000	1.007364	0.979158
NPIPB12	NPIPB15	sensitive	0.974600	0.988949	0.963830
NPIPB14P	NPIPB15	sensitive	0.975800	0.966003	0.942625
