gene	chrom	start	end	strand	n_introns	K	n_chain_reads	primary_at_gene	primary_frac	n_secondary	n_sib_chain_match	n_seq_favors_sibling	nm_rate_gene	nm_rate_primary	dom_sibling	dom_sibling_n	klass
gene-LOC129526389	NC_073238.2	23392847	23427012	+	13	5	3332	81	0.024	3251	2335	3107	0.0127	0.0027	gene-LRPAP1	1177	secondary_dependent_ambiguous
gene-LOC129523503	NC_073236.2	30205487	30242923	+	16	6	2442	116	0.048	2326	1389	2120	0.0134	0.0028	gene-LRPAP1	1180	secondary_dependent_ambiguous
gene-LOC101124683	NC_073239.2	35396743	35467198	+	32	8	1826	387	0.212	1439	1436	1438	0.0017	0.0012	gene-LOC115930071	1439	secondary_dependent_ambiguous
gene-LOC101136480	NC_073242.2	15726063	15788084	-	30	8	1430	158	0.11	1272	1243	1270	0.008	0.0004	gene-LOC115933250	1229	secondary_dependent_ambiguous
gene-LOC115932683	NC_073240.2	21429950	21478500	+	25	8	943	179	0.19	764	764	761	0.0025	0.0008	gene-TUBGCP5	764	secondary_dependent_ambiguous
gene-LOC134756368	NC_073236.2	23070423	23086604	-	5	2	627	154	0.246	473	445	472	0.0065	0.0016	gene-LOC115932954	264	secondary_dependent_ambiguous
gene-LOC115932984	NC_073224.2	130222432	130274152	-	38	8	587	118	0.201	469	408	412	0.0152	0.0112	gene-LOC101135585	145	secondary_dependent_ambiguous
gene-LOC134756861	NC_073224.2	117479304	117528942	+	35	8	583	139	0.238	444	390	427	0.0205	0.0106	gene-LOC101135585	151	secondary_dependent_ambiguous
gene-LOC115933235	NC_073224.2	129352995	129435541	+	44	8	581	80	0.138	501	443	432	0.016	0.0111	gene-LOC129525330	127	secondary_dependent_ambiguous
gene-LOC129525331	NC_073224.2	125048458	125116132	-	46	8	576	98	0.17	478	424	407	0.015	0.0101	gene-LOC134756861	106	secondary_dependent_ambiguous
gene-LOC101129903	NC_073230.2	63523034	63555175	-	9	3	560	0	0.0	560	560	559	0.0176	0.0032	gene-FKBP9	560	secondary_dependent_ambiguous
gene-LOC129534728	NC_073230.2	82009170	82278817	-	15	5	543	27	0.05	516	514	515	0.0281	0.0009	gene-LOC101126070	514	secondary_dependent_ambiguous
gene-LOC115932779	NC_073242.2	28850493	29158527	-	87	8	495	76	0.154	419	414	409	0.0059	0.0011	gene-SORL1	320	secondary_dependent_ambiguous
gene-LOC129529234	NC_073224.2	15670180	15679350	+	9	3	473	73	0.154	400	241	399	0.0102	0.0017	NC_073224.2:intergenic	125	secondary_dependent_ambiguous
gene-LOC115933039	NC_073244.2	20932519	21157156	-	62	8	449	61	0.136	388	387	379	0.0058	0.001	gene-SORL1	319	secondary_dependent_ambiguous
gene-LOC109026769	NC_073228.2	79883255	79972101	-	17	6	441	83	0.188	358	348	358	0.0098	0.0001	gene-CCDC144A	348	secondary_dependent_ambiguous
gene-LOC129533365	NC_073228.2	81689163	81694307	-	10	4	439	63	0.144	376	373	376	0.0234	0.0003	gene-LOC115932994	373	secondary_dependent_ambiguous
gene-LOC129525599	NC_073224.2	116802060	116847211	+	42	8	432	69	0.16	363	308	343	0.0227	0.0076	gene-LOC129525330	69	secondary_dependent_ambiguous
gene-LOC115932121	NC_073247.2	166247326	166260939	-	9	3	411	26	0.063	385	373	304	0.0	0.0004	gene-IKBKG	381	secondary_dependent_ambiguous
gene-LOC101126097	NC_073224.2	115215234	115300842	-	34	8	392	54	0.138	338	205	334	0.0157	0.0065	gene-LOC134756922	185	secondary_dependent_ambiguous
gene-LOC129523520	NC_073224.2	19024562	19035441	-	8	3	377	47	0.125	330	223	302	0.0099	0.0018	gene-LOC134758712	98	secondary_dependent_ambiguous
gene-LOC101136473	NC_073240.2	45637060	45653171	-	5	2	376	0	0.0	376	376	376	0.0406	0.0033	gene-SORD	376	secondary_dependent_ambiguous
gene-LOC129523464	NC_073237.2	84341528	84346814	-	8	3	369	30	0.081	339	338	338	0.0106	0.0027	gene-LOC101145975	338	secondary_dependent_ambiguous
gene-LOC134756437	NC_073224.2	19235754	19243961	-	9	3	366	77	0.21	289	182	289	0.0117	0.0018	gene-LOC134758712	84	secondary_dependent_ambiguous
gene-LOC134758754	NC_073224.2	19344258	19352444	-	11	4	353	40	0.113	313	210	313	0.0093	0.0018	NC_073224.2:intergenic	71	secondary_dependent_ambiguous
gene-LOC101130728	NC_073224.2	19136000	19144211	-	11	4	350	52	0.149	298	214	297	0.0086	0.0015	gene-LOC134758712	84	secondary_dependent_ambiguous
gene-LOC101149966	NC_073242.2	84880820	84913673	+	14	5	350	18	0.051	332	331	332	0.0347	0.0025	gene-CES1	331	secondary_dependent_ambiguous
gene-ZC3H7A	NC_073242.2	15387798	15414682	-	19	7	343	17	0.05	326	217	320	0.0066	0.0003	gene-LOC115932749	203	secondary_dependent_ambiguous
gene-LOC101136971	NC_073242.2	28520981	28548016	+	17	6	342	18	0.053	324	213	319	0.0063	0.0003	gene-LOC115932749	202	secondary_dependent_ambiguous
gene-GPR89A	NC_073224.2	116008802	116054830	+	16	6	284	45	0.158	239	238	239	0.1807	0.0	gene-LOC101128637	238	secondary_dependent_ambiguous
gene-LOC101146324	NC_073232.2	13947463	13961736	-	8	3	282	49	0.174	233	228	233	0.0268	0.0009	gene-LOC115936027	228	secondary_dependent_ambiguous
gene-LOC134757964	NC_073248.2	51254100	51283925	-	12	4	273	1	0.004	272	270	271	0.016	0.0011	gene-LETM1	265	secondary_dependent_ambiguous
gene-LOC115935989	NC_073232.2	68914287	68962914	-	7	3	267	15	0.056	252	232	251	0.0192	0.0058	gene-SHLD2	232	secondary_dependent_ambiguous
gene-LOC129530721	NC_073240.2	4632509	4666339	+	13	5	267	2	0.007	265	263	265	0.0157	0.0011	gene-LETM1	259	secondary_dependent_ambiguous
gene-LOC115933202	NC_073236.2	4601985	4635614	+	13	5	267	2	0.007	265	262	265	0.016	0.0011	gene-LETM1	259	secondary_dependent_ambiguous
gene-LOC134757056	NC_073238.2	8108687	8142476	+	13	5	266	2	0.008	264	261	264	0.0164	0.0011	gene-LETM1	258	secondary_dependent_ambiguous
gene-LOC129527724	NC_073242.2	104346770	104364607	-	17	6	256	32	0.125	224	220	224	0.009	0.0007	gene-LOC115930161	114	secondary_dependent_ambiguous
gene-LOC129526385	NC_073238.2	22875847	22937373	-	8	3	255	30	0.118	225	209	223	0.0049	0.0013	gene-LOC129526957	186	secondary_dependent_ambiguous
gene-LOC101127609	NC_073242.2	104908709	104928775	-	19	7	250	42	0.168	208	204	208	0.0096	0.0008	gene-LOC115930161	111	secondary_dependent_ambiguous
gene-LOC134757216	NC_073240.2	14396080	14473868	-	7	3	248	23	0.093	225	215	222	0.0021	0.0013	gene-LOC129526957	181	secondary_dependent_ambiguous
gene-LOC129529768	NC_073247.2	59715730	59723090	+	4	2	236	39	0.165	197	195	196	0.0018	0.0	gene-LOC129529765	40	secondary_dependent_ambiguous
gene-LOC129529769	NC_073247.2	59725270	59732619	+	4	2	232	41	0.177	191	190	191	0.0018	0.0	gene-LOC129529765	41	secondary_dependent_ambiguous
gene-LOC129529767	NC_073247.2	59706203	59713555	+	4	2	230	31	0.135	199	197	199	0.0017	0.0	gene-LOC129529765	41	secondary_dependent_ambiguous
gene-LOC101148384	NC_073235.2	31684679	31709055	-	20	7	228	46	0.202	182	175	182	0.0272	0.0013	gene-LOC101134642	175	secondary_dependent_ambiguous
