family_id	n_loci	dominant_gene	member_dn	member_gene	chrom	start	end
0	2	GLMP	DN_NC_073224.2_100532147_6	GLMP	NC_073224.2	100532147	100537751
0	2	GLMP	DN_NC_073224.2_100535401_4	TMEM79	NC_073224.2	100535401	100545909
1	2	GON4L	DN_NC_073224.2_100975273_21	GON4L	NC_073224.2	100975273	101068289
1	2	GON4L	DN_NC_073224.2_101136214_11	DAP3	NC_073224.2	101136214	101165258
2	2	GBA1	DN_NC_073224.2_101578782_11	GBA1	NC_073224.2	101578782	101587073
2	2	GBA1	DN_NC_073224.2_101602135_9	LOC101127437	NC_073224.2	101602135	101607689
3	2	SCNM1	DN_NC_073224.2_105669663_7	SCNM1	NC_073224.2	105669663	105673546
3	2	SCNM1	DN_NC_073224.2_105672200_3	LYSMD1	NC_073224.2	105672200	105679058
4	2	TRNAQ-CUG	DN_NC_073224.2_114480077_3	TRNAQ-CUG	NC_073224.2	114480077	114483087
4	2	TRNAQ-CUG	DN_NC_073224.2_115073534_2	LOC134756743	NC_073224.2	115073534	115128780
5	2	LOC129525730	DN_NC_073224.2_115044966_4	LOC129525730	NC_073224.2	115044966	115050006
5	2	LOC129525730	DN_NC_073224.2_115725463_3	NA	NC_073224.2	115725463	115730550
6	15	LOC115930164	DN_NC_073224.2_115073393_19	LOC115933241	NC_073224.2	115073393	115193872
6	15	LOC115930164	DN_NC_073224.2_116807774_25	LOC129525599	NC_073224.2	116807774	116835308
6	15	LOC115930164	DN_NC_073224.2_117494263_25	LOC134756861	NC_073224.2	117494263	117521778
6	15	LOC115930164	DN_NC_073224.2_125055626_35	LOC129525331	NC_073224.2	125055626	125095445
6	15	LOC115930164	DN_NC_073224.2_125594338_29	LOC129525330	NC_073224.2	125594338	125629357
6	15	LOC115930164	DN_NC_073224.2_129429039_7	LOC115933235	NC_073224.2	129429039	129435541
6	15	LOC115930164	DN_NC_073224.2_129970070_21	GSTM2	NC_073224.2	129970070	129995159
6	15	LOC115930164	DN_NC_073224.2_130224824_25	LOC115932984	NC_073224.2	130224824	130257152
6	15	LOC115930164	DN_NC_073224.2_130335848_23	LOC101135585	NC_073224.2	130335848	130374650
6	15	LOC115930164	DN_NC_073224.2_218361248_19	LOC101131274	NC_073224.2	218361248	218406123
6	15	LOC115930164	DN_NC_073224.2_218434129_23	LOC115930576	NC_073224.2	218434129	218484870
6	15	LOC115930164	DN_NC_073224.2_223156764_8	LOC115930164	NC_073224.2	223156764	223205281
6	15	LOC115930164	DN_NC_073224.2_223291569_8	LOC115930164	NC_073224.2	223291569	223342021
6	15	LOC115930164	DN_NC_073224.2_223478295_8	LOC115930164	NC_073224.2	223478295	223553675
6	15	LOC115930164	DN_NC_073224.2_223613827_8	LOC115930164	NC_073224.2	223613827	223625871
7	3	LOC101126097	DN_NC_073224.2_115215234_17	LOC101126097	NC_073224.2	115215234	115246016
7	3	LOC101126097	DN_NC_073224.2_117217199_13	LOC134756922	NC_073224.2	117217199	117278033
7	3	LOC101126097	DN_NC_073224.2_130013703_13	GSTM2	NC_073224.2	130013703	130080097
8	2	GPR89A	DN_NC_073224.2_116008764_12	GPR89A	NC_073224.2	116008764	116055232
8	2	GPR89A	DN_NC_073224.2_124490902_14	LOC101128637	NC_073224.2	124490902	124557189
9	2	LOC129532935	DN_NC_073224.2_116693847_11	LOC129532935	NC_073224.2	116693847	116752792
9	2	LOC129532935	DN_NC_073224.2_130686217_20	SORT1	NC_073224.2	130686217	130774379
10	3	SEC22B	DN_NC_073224.2_117114419_5	SEC22B	NC_073224.2	117114419	117139645
10	3	SEC22B	DN_NC_073224.2_124983304_5	LOC101129940	NC_073224.2	124983304	125008555
10	3	SEC22B	DN_NC_073224.2_130157457_4	GSTM2	NC_073224.2	130157457	130181956
11	3	LOC109023809	DN_NC_073224.2_117447152_14	LOC109023809	NC_073224.2	117447152	117475649
11	3	LOC109023809	DN_NC_073224.2_130305133_13	GSTM2	NC_073224.2	130305133	130333659
11	3	LOC109023809	DN_NC_073243.2_111262956_13	TRIP13	NC_073243.2	111262956	111287626
12	2	LOC101134045	DN_NC_073224.2_119539361_2	NA	NC_073224.2	119539361	119555794
12	2	LOC101134045	DN_NC_073233.2_14005356_9	LOC101134045	NC_073233.2	14005356	14017083
13	2	IGSF3	DN_NC_073224.2_120975632_11	IGSF3	NC_073224.2	120975632	121068999
13	2	IGSF3	DN_NC_073238.2_24435116_16	LOC129526379	NC_073238.2	24435116	24483769
14	3	LOC109025730	DN_NC_073224.2_123525276_5	LOC109025730	NC_073224.2	123525276	123536289
14	3	LOC109025730	DN_NC_073235.2_71373985_7	SPC25	NC_073235.2	71373985	71393450
14	3	LOC109025730	DN_NC_073244.2_43610901_6	PDCD5	NC_073244.2	43610901	43617830
15	2	LOC109029488	DN_NC_073224.2_124234032_12	LOC109029488	NC_073224.2	124234032	124252089
15	2	LOC109029488	DN_NC_073224.2_124254598_20	LOC115932735	NC_073224.2	124254598	124347827
16	4	LOC109025592	DN_NC_073224.2_125859316_3	LOC109025592	NC_073224.2	125859316	125938804
16	4	LOC109025592	DN_NC_073224.2_45389129_11	TRAF5	NC_073224.2	45389129	45437416
16	4	LOC109025592	DN_NC_073237.2_96675699_5	LOC101136036	NC_073237.2	96675699	96716877
16	4	LOC109025592	DN_NC_086018.1_19844955_6	LOC101148457	NC_086018.1	19844955	19861177
17	2	RHOC	DN_NC_073224.2_126184593_6	RHOC	NC_073224.2	126184593	126190542
17	2	RHOC	DN_NC_073224.2_126189262_21	MOV10	NC_073224.2	126189262	126217233
18	3	GSTM5	DN_NC_073224.2_129191737_8	GSTM5	NC_073224.2	129191737	129198214
18	3	GSTM5	DN_NC_073224.2_129211328_8	GSTM1	NC_073224.2	129211328	129222730
18	3	GSTM5	DN_NC_073224.2_130416112_8	GSTM4	NC_073224.2	130416112	130425488
19	4	GSTM1	DN_NC_073224.2_129200469_3	GSTM1	NC_073224.2	129200469	129222194
19	4	GSTM1	DN_NC_073224.2_139648450_2	NA	NC_073224.2	139648450	139651772
19	4	GSTM1	DN_NC_073247.2_101028925_2	NA	NC_073247.2	101028925	101089937
19	4	GSTM1	DN_NC_073248.2_27104145_4	LOC129530196	NC_073248.2	27104145	27118485
20	2	GSTM2	DN_NC_073224.2_130406472_2	GSTM2	NC_073224.2	130406472	130413539
20	2	GSTM2	DN_NC_073224.2_130406472_4	GSTM2	NC_073224.2	130406472	130413536
20	2	GSTM2	DN_NC_073231.2_95446522_6	NA	NC_073231.2	95446522	95616687
21	4	WDR64	DN_NC_073224.2_13812644_2	WDR64	NC_073224.2	13812644	13832322
21	4	WDR64	DN_NC_073235.2_71287360_16	NOSTRIN	NC_073235.2	71287360	71353631
21	4	WDR64	DN_NC_073236.2_30490104_2	LOC115932762	NC_073236.2	30490104	30514875
21	4	WDR64	DN_NC_073247.2_66706466_2	NA	NC_073247.2	66706466	66715243
22	3	RPAP2	DN_NC_073224.2_147572773_13	RPAP2	NC_073224.2	147572773	147663961
22	3	RPAP2	DN_NC_073229.2_48204411_2	NA	NC_073229.2	48204411	48210413
22	3	RPAP2	DN_NC_073229.2_48206781_2	NA	NC_073229.2	48206781	48210421
22	3	RPAP2	DN_NC_073244.2_28431147_7	ZNF208	NC_073244.2	28431147	28544467
23	2	GLMN	DN_NC_073224.2_147663563_19	GLMN	NC_073224.2	147663563	147717983
23	2	GLMN	DN_NC_073224.2_147715668_5	C1H1orf146	NC_073224.2	147715668	147744839
24	4	LOC101137042	DN_NC_073224.2_150567709_6	LOC101137042	NC_073224.2	150567709	150581340
24	4	LOC101137042	DN_NC_073224.2_150859518_11	GBP2	NC_073224.2	150859518	150880912
24	4	LOC101137042	DN_NC_073224.2_150903711_11	LOC101130426	NC_073224.2	150903711	150917769
24	4	LOC101137042	DN_NC_073224.2_150948916_11	GBP3	NC_073224.2	150948916	150965431
25	2	GBP6	DN_NC_073224.2_150600792_11	GBP6	NC_073224.2	150600792	150623268
25	2	GBP6	DN_NC_073224.2_150787798_12	GBP4	NC_073224.2	150787798	150804813
26	3	AVEN	DN_NC_073224.2_152452447_2	NA	NC_073224.2	152452447	152456740
26	3	AVEN	DN_NC_073229.2_91949623_2	NA	NC_073229.2	91949623	91955182
26	3	AVEN	DN_NC_073240.2_34703303_6	AVEN	NC_073240.2	34703303	34856484
27	2	GNG5	DN_NC_073224.2_155484145_3	GNG5	NC_073224.2	155484145	155493399
