family_id	tid	chrom	start	end	n_exon	strand	n_reads	core_recip
GWFAM28	RC_NC_073224.2_223156794_8	NC_073224.2	223156794	223342021	8	+	2	1.0
GWFAM5	RC_NC_073230.2_75855128_11	NC_073230.2	75855128	76010240	11	+	2	1.0
GWFAM83	RC_NC_073229.2_49629883_23	NC_073229.2	49629883	49650298	23	-	2	1.0
GWFAM245	RC_NC_073247.2_84544129_7	NC_073247.2	84544129	84586429	7	+	2	1.0
GWFAM56	RC_NC_073228.2_54292844_14	NC_073228.2	54292844	54303755	14	-	1	1.0
GWFAM56	RC_NC_073228.2_54400031_14	NC_073228.2	54400031	54411025	14	-	2	1.0
GWFAM72	RC_NC_073228.2_164078226_7	NC_073228.2	164078226	164167555	7	-	2	1.0
GWFAM120	RC_NC_073232.2_99608677_7	NC_073232.2	99608677	99617893	7	+	2	1.0
GWFAM161	RC_NC_073236.2_49989276_21	NC_073236.2	49989276	50033815	21	-	2	1.0
GWFAM161	RC_NC_073236.2_51161753_23	NC_073236.2	51161753	51224379	23	+	2	1.0
GWFAM229	RC_NC_073244.2_65303494_2	NC_073244.2	65303494	65389514	2	+	2	1.0
GWFAM59	RC_NC_073234.2_45248493_2	NC_073234.2	45248493	45249127	2	-	1	1.0
GWFAM46	RC_NC_073233.2_5828682_2	NC_073233.2	5828682	5831770	2	+	1	1.0
GWFAM206	RC_NC_073242.2_16377504_16	NC_073242.2	16377504	16544874	16	-	2	1.0
GWFAM196	RC_NC_073242.2_18434960_5	NC_073242.2	18434960	18467194	5	-	2	1.0
GWFAM207	RC_NC_073242.2_31459616_2	NC_073242.2	31459616	31462078	2	+	2	1.0
GWFAM258	RC_NC_073248.2_34757175_6	NC_073248.2	34757175	34759904	6	-	2	1.0
GWFAM145	RC_NC_073245.2_55902744_14	NC_073245.2	55902744	55954440	14	+	2	1.0
GWFAM239	RC_NC_073247.2_17613343_19	NC_073247.2	17613343	18320130	19	+	1	0.999
GWFAM168	RC_NC_073236.2_32692893_5	NC_073236.2	32692893	32708537	5	-	1	0.999
GWFAM161	RC_NC_073236.2_47672433_26	NC_073236.2	47672433	47730904	26	+	2	0.999
GWFAM34	RC_NC_073239.2_66809695_3	NC_073239.2	66809695	66816632	3	-	1	0.999
GWFAM213	RC_NC_073242.2_67776974_2	NC_073242.2	67776974	67777987	2	+	1	0.999
GWFAM47	RC_NC_073227.2_211600246_2	NC_073227.2	211600246	211614717	2	+	1	0.997
GWFAM28	RC_NC_073224.2_223291700_3	NC_073224.2	223291700	223456049	3	+	1	0.995
