family	copyA	copyB	chromA	chromB	co_located	aln_identity	psv_total	psv_exonic	private_exon_bp	verdict
DNFAM0	NC_073224.2:115215233	NC_073224.2:117216992	NC_073224.2	NC_073224.2	0		1560	88	0	resolvable
DNFAM0	NC_073224.2:115215233	NC_073224.2:119537361	NC_073224.2	NC_073224.2	0		1337	73	0	resolvable
DNFAM0	NC_073224.2:115215233	NC_073224.2:123416319	NC_073224.2	NC_073224.2	0		1808	74	0	resolvable
DNFAM0	NC_073224.2:115215233	NC_073224.2:124006865	NC_073224.2	NC_073224.2	0		0	NA	0	unaligned
DNFAM0	NC_073224.2:115215233	NC_073224.2:129234731	NC_073224.2	NC_073224.2	0		1331	73	0	resolvable
DNFAM0	NC_073224.2:115215233	NC_073224.2:129234731	NC_073224.2	NC_073224.2	0		1331	73	0	resolvable
DNFAM0	NC_073224.2:115215233	NC_073224.2:129234731	NC_073224.2	NC_073224.2	0		1331	73	0	resolvable
DNFAM0	NC_073224.2:115215233	NC_073224.2:132945918	NC_073224.2	NC_073224.2	0		1678	73	0	resolvable
DNFAM0	NC_073224.2:115215233	NC_073224.2:136262907	NC_073224.2	NC_073224.2	0		1365	73	0	resolvable
DNFAM0	NC_073224.2:115215233	NC_073224.2:137028332	NC_073224.2	NC_073224.2	0		1762	73	0	resolvable
DNFAM0	NC_073224.2:115215233	NC_073224.2:13643041	NC_073224.2	NC_073224.2	0		2860	73	0	resolvable
DNFAM0	NC_073224.2:115215233	NC_073224.2:147523902	NC_073224.2	NC_073224.2	0		5316	115	0	resolvable
DNFAM0	NC_073224.2:115215233	NC_073224.2:150565709	NC_073224.2	NC_073224.2	0		3093	73	0	resolvable
DNFAM0	NC_073224.2:115215233	NC_073224.2:150598182	NC_073224.2	NC_073224.2	0		1484	138	0	resolvable
DNFAM0	NC_073224.2:115215233	NC_073224.2:150710594	NC_073224.2	NC_073224.2	0		2585	73	0	resolvable
DNFAM0	NC_073224.2:115215233	NC_073224.2:150712605	NC_073224.2	NC_073224.2	0		4145	73	0	resolvable
DNFAM0	NC_073224.2:115215233	NC_073224.2:150807112	NC_073224.2	NC_073224.2	0		2374	85	0	resolvable
