family_id	dominant_gene	n_protein_families	is_impure	oracle_mapped	oracle_fp	oracle_cls	fp_score	fp_score_oof	n_members	n_genes	distinct_loci	n_edges	edge_density	max_degree	mean_degree	clustering	n_communities	fiedler	mincut	frac_in_giant	n_seqclust_hi	loci_per_seqclust	mem_per_seqclust	loci_per_comm	loci_per_gene	mem_per_locus	max_mult	med_mult	max_min_mult	frac_repeat_bridged	frac_ge_gate	genes
0	GLMP	0	0	0	0		0.12356	0.13363	2	2	2	1	1.0	1	1.0	0.0	1	0.735	0.3675	1.0	2	1.0	1.0	2.0	1.0	1.0	106	106	2	0.0	0.0	GLMP;TMEM79
1	GON4L	0	0	0	0		0.12742	0.13991	2	2	2	1	1.0	1	1.0	0.0	1	1.1974	0.5987	1.0	1	2.0	2.0	2.0	1.0	1.0	6	6	2	0.0	0.0	DAP3;GON4L
2	GBA1	1	0	1	0		0.12328	0.13282	2	2	2	1	1.0	1	1.0	0.0	1	0.7176	0.3588	1.0	2	1.0	1.0	2.0	1.0	1.0	3	3	2	0.0	0.0	GBA1;LOC101127437
3	ILF2	0	0	0	0		0.11918	0.12742	2	2	2	1	1.0	1	1.0	0.0	1	0.814	0.407	1.0	2	1.0	1.0	2.0	1.0	1.0	43	43	2	0.0	0.0	ILF2;SNAPIN
4	SCNM1	1	0	0	0		0.12893	0.13272	2	2	2	1	1.0	1	1.0	0.0	1	1.1664	0.5832	1.0	1	2.0	2.0	2.0	1.0	1.0	4	4	2	0.0	0.0	LYSMD1;SCNM1
5	CDC42SE1	0	0	0	0		0.13357	0.13544	2	2	2	1	1.0	1	1.0	0.0	1	1.1512	0.5756	1.0	1	2.0	2.0	2.0	1.0	1.0	345	345	2	0.0	0.0	C1H1orf56;CDC42SE1
6	TRNAQ-CUG	0	0	0	0		0.13619	0.13951	2	2	2	1	1.0	1	1.0	0.0	1	0.5596	0.2798	1.0	2	1.0	1.0	2.0	1.0	1.0	452	452	2	0.0	0.0	LOC134756743;TRNAQ-CUG
7	PRKAB2	2	1	0	0		0.12163	0.12123	2	2	2	1	1.0	1	1.0	0.0	1	0.848	0.424	1.0	2	1.0	1.0	2.0	1.0	1.0	426	426	2	0.0	0.0	PDIA3;PRKAB2
8	LOC129525730	0	0	0	0		0.01499	0.02261	2	1	2	1	1.0	1	1.0	0.0	1	1.0266	0.5133	1.0	1	2.0	2.0	2.0	2.0	1.0	0	0	0	0.0	0.0	LOC129525730
9	LOC115930164	2	1	1	1	multifam	0.4837	0.17573	15	12	15	67	0.638095238095238	14	8.933333333333334	0.8635897435897436	2	1.0001682284353905	2.8324000000000003	1.0	2	7.5	7.5	7.5	1.25	1.0	426	18	7	0.26229508196721313	0.0	GSTM2;LOC101131274;LOC101135585;LOC115930164;LOC115930576;LOC115932984;LOC115933235;LOC115933241;LOC129525330;LOC129525331;LOC129525599;LOC134756861
10	LOC101126097	3	1	1	0		0.19083	0.16994	3	3	3	3	1.0	2	2.0	1.0	1	1.087714466142355	0.7305999999999999	1.0	2	1.5	1.5	3.0	1.0	1.0	65	14	2	0.0	0.0	GSTM2;LOC101126097;LOC134756922
11	GPR89A	0	0	0	0		0.13701	0.15442	2	2	2	1	1.0	1	1.0	0.0	1	1.0078	0.5039	1.0	1	2.0	2.0	2.0	1.0	1.0	6	6	2	0.0	0.0	GPR89A;LOC101128637
12	LOC129532935	2	1	0	0		0.12808	0.08954	2	2	2	1	1.0	1	1.0	0.0	1	0.619	0.3095	1.0	2	1.0	1.0	2.0	1.0	1.0	5	5	2	0.0	0.0	LOC129532935;SORT1
13	SEC22B	2	1	1	1	multifam	0.22308	0.26086	3	3	3	3	1.0	2	2.0	1.0	1	0.8964048357716634	0.5985	1.0	2	1.5	1.5	3.0	1.0	1.0	236	43	2	0.0	0.0	GSTM2;LOC101129940;SEC22B
14	LOC109023809	2	1	1	0		0.26268	0.13062	3	3	3	3	1.0	2	2.0	1.0	1	0.6578371994243328	0.448	1.0	3	1.0	1.0	3.0	1.0	1.0	503	4	2	0.0	0.0	GSTM2;LOC109023809;TRIP13
15	LOC101134045	1	0	0	0		0.01627	0.01972	2	1	2	1	1.0	1	1.0	0.0	1	0.2736	0.1368	1.0	2	1.0	1.0	2.0	2.0	1.0	0	0	0	0.0	0.0	LOC101134045
16	IGSF3	1	0	0	0		0.1141	0.12031	2	2	2	1	1.0	1	1.0	0.0	1	0.917	0.4585	1.0	2	1.0	1.0	2.0	1.0	1.0	4	4	2	0.0	0.0	IGSF3;LOC129526379
17	LOC109025730	10	1	0	0		0.90279	0.88154	20	20	20	57	0.3	19	5.7	0.8700280112044817	3	0.45352543066132406	0.45289999999999997	1.0	20	1.0	1.0	6.666666666666667	1.0	1.0	497	65	26	0.9298245614035088	0.017543859649122806	C9H11orf65;COPS9;DCAF16;GIMAP4;LIPA;LOC109024560;LOC109025730;LOC129530096;LRFN5;MINPP1;NCALD;NCR3LG1;NFXL1;OXCT1;PDCD5;SPATA33;SPC25;THNSL1;TMEM38B;UCHL1
18	LOC109029488	1	0	0	0		0.13466	0.1408	2	2	2	1	1.0	1	1.0	0.0	1	0.49	0.245	1.0	2	1.0	1.0	2.0	1.0	1.0	13	13	2	0.0	0.0	LOC109029488;LOC115932735
19	LOC109025592	4	1	0	0		0.71997	0.58959	6	6	6	9	0.6	5	3.0	0.7611111111111111	2	0.3676472113386376	0.37560000000000004	1.0	6	1.0	1.0	3.0	1.0	1.0	497	285	4	0.0	0.0	LOC101136036;LOC101148457;LOC109025592;TIMM23B;TOR3A;TRAF5
20	RHOC	2	1	0	0		0.13366	0.138	2	2	2	1	1.0	1	1.0	0.0	1	1.072	0.536	1.0	1	2.0	2.0	2.0	1.0	1.0	3	3	2	0.0	0.0	MOV10;RHOC
21	GSTM5	1	0	0	0		0.15734	0.1559	3	3	3	3	1.0	2	2.0	1.0	1	1.2744968139742834	0.8547	1.0	3	1.0	1.0	3.0	1.0	1.0	6	6	2	0.0	0.0	GSTM1;GSTM4;GSTM5
22	GSTM1	1	0	0	0		0.18301	0.19557	4	2	4	3	0.5	3	1.5	0.0	1	0.20243512629986857	0.1906	1.0	4	1.0	1.0	4.0	2.0	1.0	195	195	2	0.0	0.0	GSTM1;LOC129530196
23	GSTM2	1	0	1	0		0.07077	0.05656	8	3	7	14	0.5	7	3.5	0.7041666666666667	2	0.15680627013652426	0.1464	1.0	7	1.0	1.1428571428571428	3.5	2.3333333333333335	1.1428571428571428	83	65	7	0.2	0.0	GSTM2;LOC129532045;LOC134757399
24	HIVEP1	2	1	0	0		0.25146	0.23258	4	2	4	3	0.5	2	1.5	0.0	2	0.08051510730398881	0.1308	1.0	4	1.0	1.0	2.0	2.0	1.0	0	0	0	0.0	0.0	FGD3;HIVEP1
25	WDR64	0	0	0	0		0.05912	0.06583	6	3	6	11	0.7333333333333333	5	3.6666666666666665	0.7111111111111111	2	0.45896712815127483	0.5578	1.0	6	1.0	1.0	3.0	2.0	1.0	51	51	2	0.0	0.0	LOC115932762;NOSTRIN;WDR64
26	RPAP2	1	0	0	0		0.41964	0.52762	7	4	6	11	0.5238095238095238	4	3.142857142857143	0.38095238095238093	3	0.18969899753857344	0.2638	1.0	5	1.2	1.4	2.0	1.5	1.1666666666666667	11	7.5	2	0.0	0.0	LOC101144919;LOC115930536;RPAP2;ZNF208
27	GLMN	0	0	0	0		0.13503	0.13548	2	2	2	1	1.0	1	1.0	0.0	1	1.0456	0.5228	1.0	1	2.0	2.0	2.0	1.0	1.0	4	4	2	0.0	0.0	C1H1orf146;GLMN
28	LOC101137042	1	0	0	0		0.1806	0.21213	4	4	4	6	1.0	3	3.0	1.0	1	0.7788570693021859	0.6019	1.0	3	1.3333333333333333	1.3333333333333333	4.0	1.0	1.0	5	4.5	2	0.0	0.0	GBP2;GBP3;LOC101130426;LOC101137042
29	GBP6	1	0	0	0		0.12887	0.13264	2	2	2	1	1.0	1	1.0	0.0	1	1.1678	0.5839	1.0	1	2.0	2.0	2.0	1.0	1.0	5	5	2	0.0	0.0	GBP4;GBP6
30	KYAT3	2	1	0	0		0.09762	0.11538	3	2	2	3	1.0	2	2.0	1.0	1	1.0181999999999995	0.6788	1.0	2	1.0	1.5	2.0	1.0	1.5	36	36.0	2	0.0	0.0	KYAT3;RBMX
31	AVEN	0	0	0	0		0.00221	0.00111	4	1	4	3	0.5	3	1.5	0.0	1	0.1603649648131374	0.1586	1.0	4	1.0	1.0	4.0	4.0	1.0	0	0	0	0.0	0.0	AVEN
32	GNG5	1	0	0	0		0.1243	0.12519	2	2	2	1	1.0	1	1.0	0.0	1	1.2614	0.6307	1.0	1	2.0	2.0	2.0	1.0	1.0	4	4	2	0.0	0.0	GNG5;RPF1
33	LOC129529226	2	1	0	0		0.11426	0.08949	7	7	7	21	1.0	6	6.0	1.0	1	3.543154059498104	3.0439000000000003	1.0	1	7.0	7.0	7.0	1.0	1.0	8	8	6	0.2857142857142857	0.0	LOC101130728;LOC129523520;LOC129529226;LOC129531982;LOC134756437;LOC134758712;LOC134758754
34	LOC129532115	1	0	0	0		0.13771	0.14379	2	2	2	1	1.0	1	1.0	0.0	1	0.4288	0.2144	1.0	2	1.0	1.0	2.0	1.0	1.0	3	3	2	0.0	0.0	DUSP5;LOC129532115
35	TESK2	1	0	0	0		0.1251	0.13778	2	2	2	1	1.0	1	1.0	0.0	1	1.2466	0.6233	1.0	1	2.0	2.0	2.0	1.0	1.0	12	12	2	0.0	0.0	TESK2;TOE1
36	PTPRF	1	0	0	0		0.11525	0.08161	2	2	2	1	1.0	1	1.0	0.0	1	0.8994	0.4497	1.0	2	1.0	1.0	2.0	1.0	1.0	40	40	2	0.0	0.0	PTPRF;PTPRS
37	SVBP	3	1	1	1	oversize	0.69058	0.60845	11	10	11	30	0.5454545454545454	10	5.454545454545454	0.8202020202020202	2	0.46592696103012216	0.4458	1.0	11	1.0	1.0	5.5	1.1	1.0	426	14.0	7	0.16666666666666666	0.0	FBXO17;LOC101126300;LOC101138261;LOC101145660;LOC101152741;LOC109027124;LOC129527173;LOC129528096;MPHOSPH8;SVBP
38	LOC129533540	0	0	0	0		0.0001	0.00012	5	1	4	10	1.0	4	4.0	1.0	2	0.7068715472592426	0.5655	1.0	4	1.0	1.25	2.0	4.0	1.25	0	0	0	0.0	0.0	LOC129533540
39	SYNC	2	1	0	0		0.13215	0.12787	2	2	2	1	1.0	1	1.0	0.0	1	1.2134	0.6067	1.0	1	2.0	2.0	2.0	1.0	1.0	497	497	2	0.0	0.0	RBBP4;SYNC
40	XKR8	1	0	0	0		0.13607	0.09597	2	2	2	1	1.0	1	1.0	0.0	1	0.4604	0.2302	1.0	2	1.0	1.0	2.0	1.0	1.0	3	3	2	0.0	0.0	LOC101125339;XKR8
41	AUNIP	0	0	0	0		0.11847	0.1117	2	2	2	1	1.0	1	1.0	0.0	1	1.449	0.7245	1.0	1	2.0	2.0	2.0	1.0	1.0	285	285	2	0.0	0.0	AUNIP;MTFR1L
42	RHD	2	1	0	0		0.11466	0.07858	2	2	2	1	1.0	1	1.0	0.0	1	0.9044	0.4522	1.0	2	1.0	1.0	2.0	1.0	1.0	4	4	2	0.0	0.0	RHD;SDHD
43	AKR7A2	1	0	0	0		0.11448	0.12826	2	2	2	1	1.0	1	1.0	0.0	1	1.4732	0.7366	1.0	1	2.0	2.0	2.0	1.0	1.0	3	3	2	0.0	0.0	AKR7A2;LOC115933748
44	ENO1	1	0	0	0		0.11598	0.1229	2	2	2	1	1.0	1	1.0	0.0	1	0.8752	0.4376	1.0	2	1.0	1.0	2.0	1.0	1.0	4	4	2	0.0	0.0	EDARADD;ENO1
45	ACTN3	1	0	0	0		0.09337	0.08729	4	3	4	6	1.0	3	3.0	1.0	1	1.7439890193587924	1.4362	1.0	1	4.0	4.0	4.0	1.3333333333333333	1.0	4	4	2	0.0	0.0	ACTN1;ACTN3;ACTN4
46	LOC109026917	1	0	0	0		0.11481	0.15392	4	3	3	6	1.0	3	3.0	1.0	2	0.767250107896899	0.8144	1.0	2	1.5	2.0	1.5	1.0	1.3333333333333333	5	4	2	0.0	0.0	KRT18;LOC101153891;LOC109026917
47	LOC115931588	0	0	0	0		0.01472	0.02285	2	1	2	1	1.0	1	1.0	0.0	1	0.5042	0.2521	1.0	2	1.0	1.0	2.0	2.0	1.0	0	0	0	0.0	0.0	LOC115931588
