chrom	v2_pos	offset
chr1	111902	169
chr1	152394	169
chr1	229784	169
chr1	12401097	169
chr1	12423167	169
chr1	12436862	169
chr1	12461543	169
chr1	12470088	169
chr1	12482393	169
chr1	12497045	169
chr1	12519593	169
chr1	12589644	169
chr1	12614040	169
chr1	12647701	169
chr1	12667848	169
chr1	12687095	169
chr1	12695444	169
chr1	12714772	169
chr1	12722268	169
chr1	12744775	169
chr1	12756817	169
chr1	12783098	169
chr1	15990343	169
chr1	16005697	169
chr1	16105848	169
chr1	16143162	169
chr1	16270242	169
chr1	16273097	169
chr1	16283975	169
chr1	16352797	169
chr1	16372066	169
chr1	16396695	169
chr1	16463210	169
chr1	16476131	169
chr1	16559580	169
chr1	16566524	169
chr1	16665834	169
chr1	21251424	169
chr1	21264330	169
chr1	23794253	169
chr1	25078509	169
chr1	25102372	169
chr1	25108663	169
chr1	25198546	169
chr1	26310459	169
chr1	26655254	169
chr1	46117547	169
chr1	65025527	169
chr1	103465756	169
chr1	103504155	169
chr1	103516937	169
chr1	103536280	169
chr1	103575109	169
chr1	103598298	169
chr1	103611078	169
chr1	103630426	169
chr1	103656732	169
chr1	103692432	169
chr1	103705211	169
chr1	103724558	169
chr1	103750862	169
chr1	103787544	169
chr1	108256984	169
chr1	108306517	169
chr1	108316997	169
chr1	108389909	169
chr1	108483665	169
chr1	119924809	169
chr1	120164164	169
chr1	120210346	169
chr1	120280597	169
chr1	120409666	169
chr1	120433148	169
chr1	120503159	169
chr1	120737164	169
chr1	120737167	169
chr1	120899121	169
chr1	120973036	169
chr1	120995081	169
chr1	121096727	169
chr1	121117592	169
chr1	121127577	169
chr1	121177005	169
chr1	121194174	169
chr1	142324620	169
chr1	142426296	169
chr1	142491734	169
chr1	142533331	169
chr1	142817364	169
chr1	142883386	169
chr1	142946823	169
chr1	142966565	169
chr1	143027384	169
chr1	143047108	169
chr1	143163926	169
chr1	143280830	169
chr1	143377448	169
chr1	143472957	169
chr1	143591827	169
chr1	143604943	169
chr1	143692934	169
chr1	143760915	169
chr1	143854255	169
chr1	144012011	169
chr1	144220683	169
chr1	144264692	169
chr1	144288807	169
chr1	144366358	169
chr1	144414640	169
chr1	144624327	169
chr1	144625930	169
chr1	144689108	169
chr1	144724764	169
chr1	144787641	169
chr1	145034532	169
chr1	145044076	169
chr1	145181595	169
chr1	145263047	169
chr1	145439434	169
chr1	145474976	169
chr1	145721099	169
chr1	145768950	169
chr1	145855640	169
chr1	146003304	169
chr1	146037811	169
chr1	146108308	169
chr1	146323668	169
chr1	146347680	169
chr1	146568093	169
chr1	146572933	169
chr1	146655090	169
chr1	146657846	169
chr1	146713523	169
chr1	146792465	169
chr1	146813830	169
chr1	147812235	169
chr1	147894132	169
chr1	148309242	169
chr1	148346521	169
chr1	148406732	169
chr1	148463579	169
chr1	148519506	169
chr1	148604219	169
chr1	148708009	169
chr1	148730483	169
chr1	148800986	169
chr1	148906816	169
chr1	148906834	169
chr1	148937359	169
chr1	154114013	169
chr1	160768052	169
chr1	160787167	169
chr1	160799197	169
chr1	160804384	169
chr1	160868841	169
chr1	160880538	169
chr1	160885752	169
chr1	160950630	169
chr1	160962336	169
chr1	160967540	169
chr1	161007501	169
chr1	162134937	169
chr1	200148030	169
chr1	205450360	169
chr1	205466059	169
chr1	205597537	169
chr1	218844269	169
chr1	221743931	169
chr1	221901756	169
chr1	223137394	169
chr1	223141182	169
chr1	223182494	169
chr1	223220411	169
chr1	224965829	169
chr1	227164455	169
chr1	227166793	169
chr1	227169116	169
chr1	242440524	169
chr1	242467319	169
chr1	242535126	169
chr10	37685	-9
chr10	39848	-9
chr10	24602376	-9
chr10	38138348	-9
chr10	38400376	-9
chr10	38427063	-9
chr10	38447205	-9
chr10	46559685	-9
chr10	46587420	-9
chr10	46608173	-9
chr10	46706662	-9
chr10	46735156	-9
chr10	46853372	-9
chr10	46990497	-9
chr10	47223260	-9
chr10	47255154	-9
chr10	47261668	-9
chr10	47347138	-9
chr10	47435398	-9
chr10	47464576	-9
chr10	47496905	-9
chr10	47641643	-9
chr10	47647056	-9
chr10	47674710	-9
chr10	47704600	-9
chr10	47759303	-9
chr10	47800156	-9
chr10	48351462	-9
chr10	48378519	-9
chr10	48393154	-9
chr10	48429680	-9
chr10	48454902	-9
chr10	48472527	-9
chr10	48581037	-9
chr10	48641166	-9
chr10	48677641	-9
chr10	48767614	-9
chr10	48844222	-9
chr10	48858781	-9
chr10	48899188	-9
chr10	48913236	-9
chr10	49002026	-9
chr10	50664341	-9
chr10	50791690	-9
chr10	50831827	-9
chr10	50870825	-9
chr10	50917528	-9
chr10	51030966	-9
chr10	51525350	-9
chr10	51553972	-9
chr10	51587897	-9
chr10	74545701	-9
chr10	80572528	-9
chr10	80710695	-9
chr10	80739716	-9
chr10	87977793	-9
chr10	88097763	-9
chr10	88109084	-9
chr10	88241275	-9
chr10	88270283	-9
chr10	98306371	-9
chr10	100723853	-9
chr10	104190414	-9
chr10	119999535	-9
chr10	134375590	-9
chr10	134385299	-9
chr10	134505425	-9
chr10	134526544	-9
chr10	134575319	-9
chr10	134608651	-9
chr10	134615845	-9
chr10	134618566	-9
chr10	134621872	-9
chr10	134625178	-9
chr10	134628488	-9
chr10	134631799	-9
chr10	134635110	-9
chr10	134638418	-9
chr10	134641728	-9
chr10	134645038	-9
chr10	134648348	-9
chr10	134651659	-9
chr10	134654970	-9
chr10	134658278	-9
chr10	134661588	-9
chr10	134664898	-9
chr10	134668208	-9
chr10	134671518	-9
chr10	134674824	-9
chr10	134678135	-9
chr10	134688088	-9
chr10	134691405	-9
chr10	134694716	-9
chr10	134698610	-9
chr10	134701337	-9
chr10	134704647	-9
chr10	134707957	-9
chr10	134711267	-9
chr10	134714577	-9
chr10	134717887	-9
chr10	134721197	-9
chr10	134724507	-9
chr10	134735996	-9
chr11	3741	1
chr11	5923	1
chr11	44118	1
chr11	49238	1
chr11	59476	1
chr11	79399	1
chr11	102258	1
chr11	113127	1
chr11	147427	1
chr11	185614	1
chr11	193941	1
chr11	233766	1
chr11	1071739	1
chr11	4352572	1
